ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
130,260,210720,6212,210720
130,260,211720,6212,211720
131,262,212720,6212,212720
131,262,213040,6212,213040
131,262,214040,6212,214040
131,262,214360,6212,214360
131,262,214950,6212,214950
131,262,214950,6212,214950
131,262,215110,6212,215110
132,264,215580,6212,215580
132,264,216050,6212,216050
133,266,217050,6212,217050
133,266,218050,6212,218050
133,266,218050,6212,218050
134,268,218860,6212,218860
135,270,219860,6212,219860
135,270,220860,6212,220860
135,270,221860,6212,221860
136,278,221860,6212,221860
137,280,222860,6212,222860
137,280,223670,6212,223670
138,282,224320,6212,224320
138,282,225320,6212,225320
138,282,225320,6212,225320
138,282,226130,6212,226130
139,284,227130,6212,227130
139,284,228130,6212,228130
140,286,228940,6212,228940
141,288,229940,6212,229940
141,288,230410,6212,230410
141,288,231410,6212,231410
142,290,232410,6212,232410
143,292,234410,6212,234410
143,292,234880,6212,234880
143,292,235880,6212,235880
143,292,236110,6212,236110
144,294,237110,6212,237110
144,294,237430,6212,237430
145,296,237750,6212,237750
146,298,238750,6212,238750
146,298,239340,6212,239340
147,300,240340,6212,240340
148,302,241340,6212,241340
148,302,241340,6212,241340
148,302,241660,6212,241660
148,302,241660,6212,241660
149,304,242470,6212,242470
150,306,243470,6212,243470
150,306,243940,6212,243940
150,306,244170,6212,244170
150,306,244490,6212,244490
150,306,244810,6212,244810
151,308,245620,6212,245620
151,308,246270,6212,246270
151,308,247270,6212,247270
151,308,248270,6212,248270
152,310,249270,6212,249270
152,310,250270,6212,250270
153,312,251270,6212,251270
154,314,251740,6212,251740
154,314,252740,6212,252740
154,314,253210,6212,253210
155,316,254210,6212,254210
155,316,254210,6212,254210
155,316,254680,6212,254680
155,316,255680,6212,255680
156,318,256680,6212,256680
156,318,257680,6212,257680
156,318,258680,6212,258680
157,320,259490,6212,259490
157,320,259810,6212,259810
157,320,260620,6212,260620
158,322,261620,6212,261620
159,330,269620,6212,269620
160,332,270090,6212,270090
160,332,271090,6212,271090
161,334,272090,6212,272090
161,334,272250,6212,272250
161,334,273250,6212,273250
162,336,274250,6212,274250
162,336,274900,6212,274900
162,336,275900,6212,275900
163,338,276900,6212,276900
163,338,277900,6212,277900
164,340,278900,6212,278900
164,340,279900,6212,279900
165,342,280900,6212,280900
165,342,281900,6212,281900
166,344,282900,6212,282900
166,344,283900,6212,283900
167,346,284710,6212,284710
168,348,285710,6212,285710
168,348,286710,6212,286710
168,348,287520,6212,287520
168,348,287520,6212,287520
168,348,287990,6212,287990
169,350,288990,6212,288990
169,350,289990,6212,289990
170,352,290990,6212,290990
170,352,291990,6212,291990
171,354,292990,6212,292990
171,354,293990,6212,293990
172,356,294990,6212,294990
172,356,294990,6212,294990
173,358,295460,6212,295460
173,358,295460,6212,295460
173,358,296460,6212,296460
173,358,296690,6212,296690
174,360,297690,6212,297690
174,360,297690,6212,297690
174,360,298690,6212,298690
174,360,298910,6212,298910
175,362,299910,6212,299910
176,364,300370,6212,300370
176,364,301180,6212,301180
176,364,302180,6212,302180
176,364,302990,6212,302990
176,364,303460,6212,303460
177,366,304460,6212,304460
178,368,305270,6212,305270
179,370,306270,6212,306270
179,370,306270,6212,306270
179,370,306270,6212,306270
179,370,307270,6212,307270
179,370,308270,6212,308270
180,372,309270,6212,309270
180,372,310270,6212,310270
180,372,310920,6212,310920
181,374,311920,6212,311920
181,374,312920,6212,312920
182,376,313920,6212,313920
183,378,314380,6212,314380
183,378,315380,6212,315380
184,380,316380,6212,316380
184,380,317380,6212,317380
184,380,317380,6212,317380
185,382,318380,6212,318380
185,382,318850,6212,318850
185,382,319850,6212,319850
186,384,320850,6212,320850
186,384,321170,6212,321170
186,384,321640,6212,321640
186,384,322110,6212,322110
187,386,322480,6212,322480
187,386,323290,6212,323290
188,388,323760,6212,323760
188,388,324760,6212,324760
188,388,324760,6212,324760
189,390,325760,6212,325760
189,390,326570,6212,326570
189,390,326570,6212,326570
189,390,327040,6212,327040
189,390,328040,6212,328040
190,392,329040,6212,329040
190,392,330040,6212,330040
190,392,330510,6212,330510
191,394,330730,6212,330730
192,396,331730,6212,331730
193,398,332730,6212,332730
193,398,332730,6212,332730
194,402,332730,6212,332730
194,402,333730,6212,333730
195,404,334730,6212,334730
195,404,335730,6212,335730
196,406,336730,6212,336730
196,406,337540,6212,337540
196,406,338000,6212,338000
196,406,339000,6212,339000
196,406,339000,6212,339000
197,408,340000,6212,340000
197,408,340220,6212,340220
198,410,340810,6212,340810
198,410,340810,6212,340810
198,410,341620,6212,341620
199,412,342620,6212,342620
199,412,342620,6212,342620
199,412,343620,6212,343620
200,414,344620,6212,344620
201,416,345430,6212,345430
201,416,345910,6212,345910
201,416,346910,6212,346910
201,416,347910,6212,347910
202,418,348560,6212,348560
203,420,349560,6212,349560
203,420,349720,6212,349720
203,420,350040,6212,350040
204,422,351040,6212,351040
204,422,352040,6212,352040
205,430,352040,6212,352040
206,432,353040,6212,353040
206,432,353040,6212,353040
206,432,353200,6212,353200
206,432,353360,6212,353360
206,432,354170,6212,354170
206,432,355170,6212,355170
207,434,355980,6212,355980
208,436,356980,6212,356980
209,438,357980,6212,357980
209,438,358980,6212,358980
209,438,359790,6212,359790
209,438,360790,6212,360790
209,438,361260,6212,361260
210,440,362260,6212,362260
210,440,363260,6212,363260
211,442,364070,6212,364070
212,444,365070,6212,365070
212,444,366070,6212,366070
212,444,366540,6212,366540
212,444,367540,6212,367540
213,446,368350,6212,368350
214,448,369350,6212,369350
214,448,370350,6212,370350
214,448,370350,6212,370350
215,450,371350,6212,371350
215,450,372350,6212,372350
215,450,372350,6212,372350
216,452,373350,6212,373350
216,452,374350,6212,374350
217,454,375350,6212,375350
217,454,376350,6212,376350
218,456,377350,6212,377350
218,456,377570,6212,377570
219,458,378570,6212,378570
219,458,379570,6212,379570
219,458,380570,6212,380570
220,460,381570,6212,381570
220,460,381570,6212,381570
220,460,382570,6212,382570
220,460,383570,6212,383570
221,462,384570,6212,384570
221,462,385570,6212,385570
221,462,385680,6212,385680
221,462,386490,6212,386490
222,464,387490,6212,387490
222,464,388490,6212,388490
223,466,389490,6212,389490
223,466,389490,6212,389490
224,468,390490,6212,390490
225,470,391300,6212,391300
225,470,391770,6212,391770
225,470,392580,6212,392580
226,472,393230,6212,393230
226,472,394230,6212,394230
227,474,395230,6212,395230
228,476,395600,6212,395600
228,476,396410,6212,396410
228,476,397410,6212,397410
228,476,398220,6212,398220
228,476,398220,6212,398220
229,478,399220,6212,399220
229,478,399220,6212,399220
229,478,400220,6212,400220
230,480,401220,6212,401220
230,480,402220,6212,402220
231,482,403220,6212,403220
231,482,403440,6212,403440
232,484,403910,6212,403910
232,484,404720,6212,404720
232,484,405720,6212,405720
233,486,406720,6212,406720
234,488,407530,6212,407530
234,488,408340,6212,408340
234,488,409340,6212,409340
235,490,410340,6212,410340
235,490,410340,6212,410340
235,490,411340,6212,411340
236,492,412340,6212,412340
236,492,412630,6212,412630
236,492,413100,6212,413100
237,494,414100,6212,414100
238,496,414910,6212,414910
238,496,415720,6212,415720
239,498,416530,6212,416530
239,498,416580,6212,416580
239,498,417050,6212,417050
239,498,417520,6212,417520
239,498,418520,6212,418520
240,500,419330,6212,419330
240,500,419650,6212,419650
240,500,419880,6212,419880
241,502,420880,6212,420880
242,504,421430,6212,421430
242,504,422430,6212,422430
242,504,422430,6212,422430
243,506,423430,6212,423430
243,506,424430,6212,424430
243,506,424910,6212,424910
244,508,425720,6212,425720
245,510,426720,6212,426720
245,510,427530,6212,427530
245,510,428530,6212,428530
245,510,429010,6212,429010
246,512,430010,6212,430010
246,512,431010,6212,431010
247,514,432010,6212,432010
247,514,433010,6212,433010
247,514,433010,6212,433010
248,516,434010,6212,434010
249,518,435010,6212,435010
250,520,435480,6212,435480
250,520,435480,6212,435480
251,524,439480,6212,439480
251,524,440480,6212,440480
251,524,440480,6212,440480
251,524,441290,6212,441290
252,526,442290,6212,442290
252,526,442760,6212,442760
252,526,443760,6212,443760
252,526,444760,6212,444760
253,528,445760,6212,445760
254,536,445760,6212,445760
255,538,446760,6212,446760
255,538,447760,6212,447760
255,538,448080,6212,448080
256,540,449080,6212,449080
256,540,449310,6212,449310
257,542,450120,6212,450120
258,544,451120,6212,451120
258,544,451930,6212,451930
258,544,452930,6212,452930
259,546,453160,6212,453160
259,546,453810,6212,453810
259,546,453810,6212,453810
259,546,454130,6212,454130
260,548,455130,6212,455130
260,548,455130,6212,455130
260,548,456130,6212,456130
260,548,457130,6212,457130
261,550,458130,6212,458130
262,552,458940,6212,458940
262,552,459260,6212,459260
262,552,460260,6212,460260
262,552,461070,6212,461070
263,554,462070,6212,462070
263,554,463070,6212,463070
264,556,464070,6212,464070
265,558,464540,6212,464540
265,558,465540,6212,465540
266,560,466540,6212,466540
266,560,467190,6212,467190
267,562,468000,6212,468000
267,562,469000,6212,469000
268,564,470000,6212,470000
268,564,470810,6212,470810
268,564,470810,6212,470810
268,564,470810,6212,470810
268,564,471810,6212,471810
268,564,471860,6212,471860
269,566,472860,6212,472860
269,566,473860,6212,473860
270,568,474670,6212,474670
270,568,475480,6212,475480
271,570,476480,6212,476480
271,570,477480,6212,477480
272,572,478290,6212,478290
272,572,479100,6212,479100
272,572,479570,6212,479570
273,580,479570,6212,479570
274,582,480570,6212,480570
274,582,480800,6212,480800
274,582,481800,6212,481800
275,584,482800,6212,482800
275,584,483800,6212,483800
275,584,483800,6212,483800
275,584,484120,6212,484120
276,586,485120,6212,485120
276,586,486120,6212,486120
277,588,486710,6212,486710
277,588,487520,6212,487520
277,588,487840,6212,487840
278,590,488840,6212,488840
279,592,489840,6212,489840
280,594,490840,6212,490840
281,596,491160,6212,491160
281,596,492160,6212,492160
281,596,492970,6212,492970
281,596,493970,6212,493970
281,596,494970,6212,494970
282,598,495780,6212,495780
283,600,496780,6212,496780
283,600,497250,6212,497250
283,600,498060,6212,498060
284,602,498870,6212,498870
284,602,498870,6212,498870
284,602,499520,6212,499520
284,602,500520,6212,500520
284,602,500520,6212,500520
285,604,501110,6212,501110
286,606,502110,6212,502110
286,606,502580,6212,502580
286,606,503580,6212,503580
287,608,504580,6212,504580
287,608,505580,6212,505580
288,610,506390,6212,506390
289,612,507390,6212,507390
289,612,507500,6212,507500
289,612,508310,6212,508310
289,612,509310,6212,509310
290,614,510310,6212,510310
291,616,511310,6212,511310
292,620,515310,6212,515310
292,620,516310,6212,516310
293,622,517120,6212,517120
293,622,517120,6212,517120
294,624,518120,6212,518120
294,624,519120,6212,519120
294,624,519340,6212,519340
294,624,520150,6212,520150
294,624,521150,6212,521150
295,626,522150,6212,522150
295,626,522620,6212,522620
295,626,523620,6212,523620
295,626,524620,6212,524620
296,628,525620,6212,525620
296,628,525850,6212,525850
297,630,526320,6212,526320
297,630,526780,6212,526780
297,630,527780,6212,527780
297,630,528590,6212,528590
297,630,528590,6212,528590
297,630,528590,6212,528590
298,632,529590,6212,529590
298,632,529590,6212,529590
299,634,530240,6212,530240
299,634,530560,6212,530560
299,634,531370,6212,531370
300,636,531600,6212,531600
300,636,532600,6212,532600
301,638,533600,6212,533600
301,638,533920,6212,533920
301,638,534730,6212,534730
301,638,535730,6212,535730
302,640,536730,6212,536730
303,642,537540,6212,537540
303,642,538190,6212,538190
303,642,539190,6212,539190
304,644,539840,6212,539840
304,644,540160,6212,540160
