ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
869285.57,14.49,2.23,798368.3,13.31
869061.29,14.49,2.23,798251.06,13.31
868870.24,14.49,2.22,797995.43,13.31
868657.34,14.49,2.22,797309.74,13.3
868531.75,14.49,2.22,797103.24,13.3
868507.67,14.49,2.22,796597.31,13.29
868724.46,14.49,2.23,796746.31,13.29
868500.18,14.49,2.23,796629.08,13.29
868291.44,14.49,2.23,796426.86,13.29
868291.44,14.49,2.23,796426.86,13.29
868429.13,14.49,2.23,796514.48,13.29
868204.85,14.49,2.23,796361.58,13.29
868502.67,14.5,2.23,795978.31,13.29
868468.71,14.5,2.24,795273.55,13.28
868277.66,14.5,2.23,795096.15,13.28
867978.92,14.5,2.23,794818.56,13.27
867978.92,14.5,2.23,794818.56,13.27
867797.04,14.49,2.23,795385.92,13.29
867614.87,14.49,2.23,795013.05,13.28
867489.28,14.49,2.23,794987.68,13.28
867489.28,14.49,2.23,794987.68,13.28
867489.28,14.49,2.23,794987.68,13.28
867265.0,14.49,2.23,794792.22,13.28
867265.0,14.49,2.23,794792.22,13.28
865834.11,14.49,2.22,793338.87,13.27
865643.05,14.49,2.22,793075.49,13.27
865418.78,14.48,2.22,792966.0,13.27
865556.46,14.49,2.22,793053.62,13.27
865332.18,14.49,2.22,792878.95,13.27
865630.0,14.49,2.23,792942.86,13.28
865630.0,14.49,2.23,792942.86,13.28
865523.31,14.49,2.23,792282.73,13.27
865332.25,14.49,2.23,792019.36,13.26
865549.59,14.5,2.23,792351.16,13.27
865358.53,14.5,2.23,792173.57,13.27
865358.53,14.5,2.23,792173.57,13.27
865134.25,14.49,2.23,791985.7,13.27
864835.51,14.49,2.23,791729.89,13.27
864662.46,14.49,2.22,790943.01,13.25
864900.7,14.49,2.23,790290.18,13.24
865038.38,14.5,2.23,790377.8,13.25
864814.11,14.5,2.23,790224.9,13.25
864951.79,14.5,2.24,790312.52,13.25
864727.51,14.5,2.24,790137.85,13.25
864514.51,14.5,2.23,789680.27,13.24
864511.33,14.5,2.24,789910.33,13.25
864277.3,14.5,2.23,789616.92,13.25
864086.24,14.5,2.23,789353.54,13.24
863274.16,14.49,2.23,787861.01,13.23
863049.89,14.49,2.23,787751.51,13.23
862858.83,14.49,2.23,787563.78,13.23
862963.3,14.5,2.23,787676.61,13.23
862714.25,14.49,2.23,787353.7,13.23
862524.24,14.49,2.23,788369.47,13.25
862142.63,14.49,2.22,787988.18,13.24
861952.62,14.49,2.22,787285.97,13.23
861762.61,14.48,2.22,786890.52,13.23
862083.19,14.49,2.23,788392.28,13.25
861348.23,14.49,2.22,787744.23,13.25
861157.17,14.49,2.22,787480.85,13.25
861157.17,14.49,2.22,787480.85,13.25
860903.69,14.48,2.22,786781.47,13.24
860903.69,14.48,2.22,786781.47,13.24
860679.41,14.48,2.22,786671.97,13.24
860679.41,14.48,2.22,786671.97,13.24
860488.36,14.48,2.22,786494.58,13.24
860705.69,14.49,2.22,786675.71,13.24
860705.69,14.49,2.22,786675.71,13.24
860324.08,14.48,2.22,786359.11,13.24
860133.03,14.48,2.22,786181.71,13.24
859924.29,14.48,2.21,785994.12,13.23
860141.62,14.48,2.22,786175.26,13.24
860141.62,14.48,2.22,786175.26,13.24
859950.56,14.48,2.22,785919.63,13.24
859926.48,14.48,2.22,785413.7,13.23
859613.27,14.48,2.22,785032.7,13.22
859613.27,14.48,2.22,785032.7,13.22
859314.53,14.48,2.21,784776.89,13.22
859090.25,14.48,2.21,784659.65,13.22
858877.36,14.47,2.21,783973.96,13.21
858562.96,14.47,2.21,783582.73,13.21
858371.9,14.47,2.21,783405.33,13.21
858147.63,14.47,2.2,783209.86,13.21
857776.02,14.46,2.2,782903.26,13.2
857584.97,14.46,2.2,782639.89,13.2
857360.69,14.46,2.2,782530.4,13.2
857336.61,14.46,2.2,782024.47,13.19
857211.01,14.46,2.2,781822.92,13.19
856795.68,14.46,2.2,781450.06,13.19
856586.94,14.46,2.19,781272.1,13.19
856395.89,14.46,2.19,781008.72,13.19
856395.89,14.46,2.19,781008.72,13.19
856685.78,14.46,2.2,781423.53,13.19
856494.73,14.46,2.2,781167.9,13.19
856139.55,14.46,2.19,780782.97,13.19
855926.66,14.46,2.19,780014.96,13.17
855612.26,14.45,2.19,779706.05,13.17
855387.98,14.45,2.19,779588.81,13.17
855196.93,14.45,2.19,779333.18,13.17
855172.84,14.45,2.19,778827.26,13.16
854948.57,14.45,2.19,778710.03,13.16
854948.57,14.45,2.19,778710.03,13.16
855165.36,14.46,2.19,778859.02,13.17
855141.28,14.46,2.19,778353.1,13.16
855141.28,14.46,2.19,778353.1,13.16
855015.68,14.46,2.19,778151.55,13.16
855313.5,14.46,2.2,777768.28,13.15
855164.26,14.46,2.2,777100.55,13.14
854973.21,14.46,2.2,776837.18,13.14
854748.93,14.46,2.2,776727.68,13.14
854724.85,14.46,2.2,776221.76,13.13
854599.26,14.46,2.2,776020.21,13.13
854599.26,14.46,2.2,776020.21,13.13
854408.2,14.46,2.2,775842.81,13.13
854625.53,14.47,2.2,776023.95,13.14
853608.11,14.47,2.2,775212.54,13.14
853584.03,14.47,2.21,774706.62,13.13
853202.42,14.46,2.2,774390.02,13.13
853202.42,14.46,2.2,774389.06,13.13
852888.02,14.46,2.2,774002.79,13.12
852724.49,14.46,2.2,774878.96,13.14
852533.43,14.46,2.2,774615.59,13.14
852750.76,14.47,2.2,774948.12,13.15
852559.7,14.46,2.2,774770.72,13.14
852559.7,14.46,2.2,774770.72,13.14
851799.66,14.46,2.2,773936.09,13.14
851958.34,14.47,2.2,774120.07,13.14
851767.98,14.46,2.2,773262.91,13.13
851767.98,14.46,2.2,773262.91,13.13
851576.92,14.46,2.2,772999.54,13.13
851451.33,14.46,2.2,773016.53,13.13
851227.05,14.46,2.2,772907.03,13.13
851036.0,14.46,2.2,772643.66,13.13
851011.91,14.46,2.2,772137.74,13.12
850697.51,14.46,2.2,771755.54,13.12
850538.7,14.46,2.19,771596.74,13.12
850314.43,14.46,2.19,771487.24,13.12
850314.43,14.46,2.19,771487.24,13.12
850290.34,14.46,2.19,770981.32,13.11
850396.26,14.46,2.2,771031.37,13.11
850205.2,14.46,2.2,770775.74,13.11
849833.59,14.46,2.19,770403.72,13.1
849609.32,14.45,2.19,770286.48,13.1
849418.26,14.45,2.19,770024.23,13.1
849193.99,14.45,2.19,769913.62,13.1
849193.99,14.45,2.19,769913.62,13.1
849002.93,14.45,2.19,769651.37,13.1
848778.66,14.45,2.19,769540.75,13.1
848754.57,14.45,2.19,769034.83,13.09
847737.15,14.45,2.19,768223.43,13.1
847546.1,14.45,2.19,767960.05,13.1
847232.89,14.45,2.19,767579.05,13.09
847021.71,14.45,2.18,767371.52,13.09
846997.62,14.45,2.18,766865.59,13.08
846997.62,14.45,2.18,766865.59,13.08
846683.22,14.45,2.18,766479.32,13.08
846659.14,14.45,2.18,765973.4,13.07
846533.54,14.45,2.18,765771.85,13.07
846309.27,14.45,2.18,765662.35,13.07
846118.21,14.45,2.18,765406.72,13.07
845893.94,14.44,2.18,765289.49,13.07
845081.86,14.44,2.17,763796.95,13.05
844890.8,14.44,2.17,763609.22,13.05
845116.47,14.44,2.18,763875.76,13.06
844099.05,14.45,2.18,763064.36,13.06
844096.8,14.45,2.18,763062.04,13.06
843923.74,14.45,2.18,762275.16,13.05
843699.47,14.45,2.18,762070.12,13.05
843329.53,14.44,2.18,761698.44,13.04
843636.87,14.45,2.18,761406.22,13.04
843434.08,14.44,2.18,761190.55,13.04
843243.72,14.44,2.18,761691.68,13.05
843017.71,14.44,2.18,761307.11,13.04
842826.66,14.44,2.18,761119.38,13.04
842826.66,14.44,2.18,761119.38,13.04
842602.38,14.44,2.18,760934.25,13.04
842411.33,14.44,2.17,760756.85,13.04
842628.66,14.44,2.18,760937.98,13.04
842424.58,14.44,2.18,760715.33,13.04
842042.97,14.44,2.17,760398.72,13.04
842293.52,14.44,2.18,760376.24,13.04
842293.52,14.44,2.18,760376.24,13.04
842258.05,14.44,2.18,760537.47,13.04
842255.8,14.45,2.18,760468.83,13.04
842022.88,14.44,2.18,760349.7,13.04
841798.61,14.44,2.18,760231.27,13.04
842049.16,14.45,2.18,760208.79,13.04
841766.55,14.44,2.18,760204.43,13.04
841766.55,14.44,2.18,760204.43,13.04
841542.27,14.44,2.18,759997.78,13.04
841351.22,14.44,2.18,759738.73,13.04
841315.75,14.44,2.18,759810.72,13.04
841566.3,14.45,2.18,759795.26,13.04
841566.3,14.45,2.18,759795.26,13.04
841039.01,14.44,2.18,758718.34,13.03
840021.58,14.44,2.18,757906.94,13.03
839797.31,14.44,2.18,757933.54,13.04
839795.06,14.45,2.18,757864.9,13.04
839795.06,14.45,2.18,757864.9,13.04
839570.79,14.44,2.18,757726.18,13.04
839379.73,14.44,2.18,757462.81,13.03
839155.46,14.44,2.18,757353.31,13.03
838964.4,14.44,2.18,757097.68,13.03
838740.13,14.44,2.18,756980.45,13.03
838549.07,14.44,2.17,756792.72,13.03
838324.79,14.44,2.17,756607.58,13.03
838133.74,14.44,2.17,756344.21,13.03
838133.74,14.44,2.17,756344.21,13.03
838238.2,14.44,2.18,756520.53,13.03
837955.59,14.44,2.17,756301.3,13.03
837953.35,14.44,2.17,756298.98,13.03
837729.07,14.44,2.17,756093.94,13.03
837538.02,14.44,2.17,755830.57,13.03
837755.35,14.44,2.18,756162.37,13.03
836995.3,14.44,2.17,755327.74,13.03
836804.24,14.44,2.17,755064.36,13.03
836579.97,14.44,2.17,754954.87,13.03
836281.23,14.43,2.17,754699.06,13.02
835899.62,14.43,2.16,754317.76,13.02
835875.54,14.43,2.16,753811.84,13.01
835460.21,14.43,2.16,753438.98,13.01
835460.21,14.43,2.16,753438.98,13.01
