ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
860918.71,14.05,0.46,213506.18,3.48
860918.71,14.05,0.46,213506.18,3.48
861078.39,14.05,0.46,213599.59,3.49
860922.03,14.05,0.46,213448.66,3.48
860922.03,14.05,0.46,213448.66,3.48
860972.48,14.05,0.46,213590.6,3.49
861714.85,14.06,0.47,213901.6,3.49
862302.37,14.07,0.48,214026.83,3.49
862482.07,14.08,0.49,214017.96,3.49
862226.46,14.08,0.48,213879.51,3.49
861960.87,14.07,0.48,213708.0,3.49
862140.58,14.08,0.49,214088.2,3.5
862728.1,14.09,0.5,214213.43,3.5
862592.19,14.09,0.5,214265.44,3.5
862592.19,14.09,0.5,214265.44,3.5
862283.07,14.08,0.49,213759.96,3.49
862126.72,14.08,0.49,213622.7,3.49
861990.81,14.08,0.49,213423.37,3.49
862146.55,14.09,0.49,213413.66,3.49
862392.29,14.09,0.5,213493.94,3.49
862136.68,14.09,0.5,213233.75,3.48
862000.77,14.09,0.5,213285.93,3.49
861864.86,14.09,0.5,213086.43,3.48
862319.14,14.1,0.5,213067.85,3.48
862206.48,14.1,0.5,212769.47,3.48
862386.19,14.1,0.51,212760.61,3.48
862436.64,14.1,0.51,212953.07,3.48
862192.04,14.1,0.51,212816.63,3.48
862242.49,14.1,0.51,212943.25,3.48
861986.88,14.1,0.51,212853.61,3.48
861741.23,14.1,0.5,212574.3,3.48
861900.91,14.1,0.51,212683.03,3.48
862348.2,14.11,0.52,212774.1,3.48
862191.84,14.11,0.51,212622.65,3.48
862517.81,14.11,0.52,212677.09,3.48
862361.45,14.11,0.52,212529.18,3.48
862408.81,14.11,0.52,212187.47,3.47
862408.81,14.11,0.52,212187.47,3.47
862717.72,14.12,0.53,212233.69,3.47
862765.08,14.12,0.53,211891.98,3.47
862803.68,14.12,0.53,211682.87,3.47
863391.2,14.13,0.54,211808.09,3.47
863391.2,14.13,0.54,211808.09,3.47
863056.94,14.13,0.54,211308.38,3.46
863107.39,14.13,0.54,211434.99,3.46
863287.1,14.14,0.55,211491.97,3.46
863337.54,14.14,0.55,211618.58,3.47
862979.18,14.14,0.54,211291.05,3.46
863029.63,14.14,0.55,211365.3,3.46
863189.31,14.14,0.55,211458.71,3.46
862923.72,14.14,0.55,211287.2,3.46
862668.11,14.14,0.55,211197.48,3.46
862532.2,14.14,0.55,211248.46,3.46
862532.2,14.14,0.55,211255.58,3.46
862319.73,14.13,0.54,211048.2,3.46
862319.73,14.13,0.54,211040.66,3.46
862479.41,14.14,0.55,211130.63,3.46
862665.07,14.14,0.55,211297.06,3.46
862824.75,14.15,0.55,211390.47,3.47
862659.16,14.14,0.55,211228.77,3.46
862393.58,14.14,0.55,211186.28,3.46
862444.03,14.14,0.55,211328.22,3.47
862308.12,14.14,0.55,211271.42,3.46
862467.8,14.15,0.56,211472.6,3.47
862302.21,14.14,0.55,211399.29,3.47
862060.65,14.14,0.55,211142.75,3.46
862266.04,14.15,0.56,211228.24,3.47
862316.49,14.15,0.56,211413.35,3.47
862363.85,14.15,0.56,211071.64,3.46
862098.26,14.15,0.56,210809.94,3.46
861846.96,14.14,0.55,210662.43,3.46
862232.86,14.15,0.56,210809.64,3.46
862418.52,14.16,0.57,210780.45,3.46
862418.52,14.16,0.57,212407.47,3.49
862468.97,14.16,0.57,212624.85,3.49
862329.97,14.16,0.57,211847.8,3.48
862078.4,14.16,0.56,211763.22,3.48
862460.66,14.16,0.57,212155.78,3.48
862217.65,14.16,0.57,211936.79,3.48
862397.35,14.16,0.57,211927.92,3.48
862141.74,14.16,0.57,211789.48,3.48
862380.43,14.17,0.58,212228.86,3.49
862135.83,14.16,0.57,211979.48,3.48
862374.52,14.17,0.58,212039.43,3.48
862424.97,14.17,0.58,212277.94,3.49
862180.37,14.17,0.58,212141.51,3.49
862420.94,14.17,0.58,212084.96,3.49
862420.94,14.17,0.58,211658.72,3.48
862471.39,14.17,0.58,211906.86,3.48
862566.12,14.18,0.59,212312.98,3.49
865282.2,14.22,0.63,218225.77,3.59
865280.32,14.22,0.63,218443.55,3.59
865440.0,14.23,0.63,218536.95,3.59
865625.66,14.23,0.64,218705.27,3.6
865785.34,14.23,0.64,218798.68,3.6
865835.79,14.24,0.65,218940.61,3.6
865584.22,14.23,0.64,218890.8,3.6
865763.93,14.24,0.65,219027.37,3.6
866002.61,14.24,0.65,219203.0,3.61
865737.03,14.24,0.65,218943.79,3.6
865787.48,14.24,0.65,219070.4,3.6
865837.93,14.24,0.65,219144.65,3.61
865542.34,14.24,0.65,218922.53,3.6
865542.34,14.24,0.65,218922.1,3.6
865296.73,14.24,0.65,218911.45,3.6
865476.43,14.24,0.65,218902.58,3.6
865340.53,14.24,0.65,219089.61,3.61
865084.91,14.24,0.65,218824.13,3.6
864840.32,14.24,0.64,218537.83,3.6
864678.19,14.23,0.64,218329.62,3.59
864728.64,14.24,0.65,218456.24,3.6
864914.3,14.24,0.65,218517.81,3.6
864914.3,14.24,0.65,218517.81,3.6
864914.3,14.24,0.65,220237.22,3.63
864778.39,14.24,0.65,220089.9,3.62
864526.83,14.24,0.65,220005.33,3.62
864765.51,14.24,0.65,220385.43,3.63
864825.23,14.24,0.65,222077.45,3.66
865004.94,14.25,0.66,222068.59,3.66
864760.34,14.24,0.65,221818.48,3.65
864723.57,14.24,0.65,221680.04,3.65
864883.25,14.25,0.66,222250.26,3.66
865625.62,14.26,0.67,222561.26,3.67
865316.5,14.26,0.67,222055.77,3.66
868397.07,14.31,0.72,222907.02,3.67
868261.16,14.31,0.72,222959.83,3.67
867995.58,14.31,0.71,222651.49,3.67
868046.03,14.31,0.72,222629.69,3.67
868096.48,14.31,0.72,222756.3,3.67
868312.14,14.32,0.72,222828.53,3.67
868117.5,14.31,0.72,222821.37,3.67
868167.95,14.32,0.73,222947.98,3.68
868347.66,14.32,0.73,223004.96,3.68
868030.38,14.32,0.73,222687.68,3.67
868080.83,14.32,0.73,222814.3,3.68
867825.21,14.32,0.72,222724.58,3.67
867875.66,14.32,0.73,222818.92,3.68
867739.76,14.32,0.73,222671.61,3.67
867603.85,14.32,0.73,222671.61,3.67
868061.53,14.33,0.74,222466.26,3.67
868241.24,14.33,0.74,222457.39,3.67
868032.4,14.33,0.74,222295.52,3.67
867891.08,14.33,0.74,222109.3,3.67
867941.53,14.33,0.74,222301.76,3.67
867941.53,14.33,0.74,222301.34,3.67
867941.53,14.33,0.74,222301.34,3.67
867685.92,14.33,0.74,222211.7,3.67
867432.8,14.32,0.73,222038.78,3.67
868175.18,14.34,0.75,222349.78,3.67
868446.06,14.34,0.75,222424.29,3.67
868496.51,14.35,0.75,222550.91,3.68
868693.08,14.35,0.76,222588.86,3.68
868693.08,14.35,0.76,222713.84,3.68
868480.61,14.35,0.76,222543.18,3.68
