ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
560,2957,616230,6212,616230
561,2959,617230,6212,617230
561,2959,617780,6212,617780
562,2961,618780,6212,618780
562,2961,619780,6212,619780
563,2969,620590,6212,620590
563,2969,621590,6212,621590
563,2969,622140,6212,622140
563,2969,623140,6212,623140
564,2973,623510,6212,623510
564,2973,624510,6212,624510
565,2981,625510,6212,625510
565,2981,625830,6212,625830
566,2983,626640,6212,626640
567,2991,634640,6212,634640
568,2999,635640,6212,635640
568,2999,636640,6212,636640
569,3007,637640,6212,637640
570,3015,638640,6212,638640
570,3015,639640,6212,639640
570,3015,639870,6212,639870
571,3023,640340,6212,640340
572,3027,640570,6212,640570
573,3029,641570,6212,641570
573,3029,641890,6212,641890
573,3029,642360,6212,642360
573,3029,643360,6212,643360
574,3031,644360,6212,644360
574,3031,645170,6212,645170
575,3033,645980,6212,645980
575,3033,646980,6212,646980
576,3041,647980,6212,647980
577,3049,648980,6212,648980
577,3049,649980,6212,649980
578,3057,650980,6212,650980
578,3057,650980,6212,650980
579,3065,651980,6212,651980
580,3073,652790,6212,652790
580,3073,653600,6212,653600
581,3081,654070,6212,654070
582,3085,655070,6212,655070
582,3085,656070,6212,656070
583,3093,657070,6212,657070
584,3101,657540,6212,657540
584,3101,658540,6212,658540
584,3101,659540,6212,659540
585,3109,660540,6212,660540
585,3109,661540,6212,661540
585,3109,662540,6212,662540
586,3117,662860,6212,662860
587,3125,663670,6212,663670
588,3133,664670,6212,664670
589,3141,665670,6212,665670
590,3149,666670,6212,666670
590,3149,667670,6212,667670
591,3153,668480,6212,668480
591,3153,669480,6212,669480
591,3153,670290,6212,670290
591,3153,670610,6212,670610
591,3153,671610,6212,671610
592,3161,672260,6212,672260
592,3161,673260,6212,673260
592,3161,674260,6212,674260
593,3169,675260,6212,675260
594,3171,675580,6212,675580
595,3179,676580,6212,676580
596,3187,677580,6212,677580
597,3189,678580,6212,678580
598,3191,679050,6212,679050
599,3199,679280,6212,679280
600,3201,680280,6212,680280
601,3203,680280,6212,680280
601,3203,680600,6212,680600
601,3203,681070,6212,681070
601,3203,682070,6212,682070
601,3203,682550,6212,682550
602,3211,683360,6212,683360
603,3219,684170,6212,684170
603,3219,684330,6212,684330
604,3221,685140,6212,685140
604,3221,685950,6212,685950
604,3221,686760,6212,686760
605,3229,686760,6212,686760
606,3237,687230,6212,687230
607,3239,688230,6212,688230
607,3239,689230,6212,689230
607,3239,690230,6212,690230
608,3247,691230,6212,691230
608,3247,692040,6212,692040
609,3249,692850,6212,692850
610,3257,693320,6212,693320
610,3257,693910,6212,693910
611,3259,694910,6212,694910
611,3259,695910,6212,695910
612,3261,696380,6212,696380
613,3263,697380,6212,697380
614,3271,698380,6212,698380
614,3271,699380,6212,699380
615,3273,700190,6212,700190
616,3275,701190,6212,701190
616,3275,702190,6212,702190
616,3275,703190,6212,703190
617,3283,704190,6212,704190
618,3285,704190,6212,704190
618,3285,704410,6212,704410
619,3287,705410,6212,705410
619,3287,706410,6212,706410
620,3289,707410,6212,707410
621,3297,708410,6212,708410
622,3305,709410,6212,709410
623,3307,710060,6212,710060
623,3307,710870,6212,710870
623,3307,711870,6212,711870
623,3307,712870,6212,712870
623,3307,713340,6212,713340
624,3311,713800,6212,713800
