ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
936778.06,15.58,3.32,826780.42,13.75
936814.29,15.58,3.32,826516.6,13.75
936623.24,15.58,3.32,826341.71,13.75
936891.99,15.59,3.33,826357.26,13.75
936364.7,15.59,3.32,825280.33,13.74
936565.4,15.59,3.33,825176.79,13.74
937162.89,15.6,3.34,825214.77,13.74
937515.41,15.61,3.34,825625.63,13.75
938225.78,15.62,3.36,825728.35,13.75
938443.11,15.63,3.36,826066.9,13.76
938252.05,15.63,3.36,825811.55,13.75
938249.8,15.63,3.36,825752.11,13.75
938370.01,15.63,3.37,825301.2,13.75
938370.01,15.63,3.37,825189.97,13.75
938178.95,15.63,3.37,825015.08,13.75
938178.95,15.63,3.37,824725.37,13.74
938178.95,15.63,3.37,824614.14,13.74
938447.71,15.64,3.37,824629.69,13.74
938445.46,15.64,3.38,824570.25,13.74
938714.22,15.65,3.38,824675.48,13.75
938523.16,15.65,3.38,824500.59,13.75
938791.92,15.66,3.39,824516.14,13.75
938600.86,15.65,3.39,824331.45,13.75
939058.43,15.66,3.4,824481.56,13.75
939056.18,15.67,3.4,824422.12,13.75
939766.54,15.68,3.41,824526.5,13.76
939969.91,15.69,3.42,824232.58,13.75
940352.87,15.69,3.43,824558.97,13.76
940352.87,15.69,3.43,824397.13,13.76
940490.56,15.7,3.43,824291.44,13.76
940389.74,15.7,3.43,823981.64,13.75
940687.56,15.7,3.44,823598.37,13.75
940685.31,15.71,3.44,823515.14,13.75
940954.07,15.71,3.45,823620.37,13.75
941759.09,15.73,3.46,823701.17,13.76
941759.09,15.73,3.46,823589.93,13.75
942027.84,15.73,3.47,823573.98,13.76
942373.05,15.74,3.48,823579.76,13.76
942337.58,15.74,3.48,823568.67,13.76
942337.58,15.74,3.48,823411.54,13.76
942751.05,15.75,3.48,823564.06,13.76
942567.31,15.75,3.48,823103.65,13.75
942567.31,15.75,3.48,823001.45,13.75
941549.89,15.75,3.49,822190.04,13.76
941818.65,15.76,3.5,822046.97,13.76
942123.64,15.77,3.5,822095.34,13.76
941636.41,15.76,3.5,821702.54,13.75
941905.17,15.77,3.5,821680.34,13.76
942155.71,15.77,3.51,821666.81,13.76
942356.41,15.78,3.51,821447.45,13.75
942606.96,15.78,3.52,821433.92,13.75
942875.72,15.79,3.53,821402.47,13.76
943586.08,15.8,3.54,821508.04,13.76
943395.02,15.8,3.54,821333.15,13.76
943595.72,15.81,3.54,821229.61,13.76
943411.98,15.81,3.54,820814.49,13.75
943757.18,15.81,3.55,820820.27,13.75
944025.94,15.82,3.55,820868.24,13.76
944217.84,15.82,3.56,820650.24,13.75
944815.33,15.84,3.57,820688.22,13.76
945018.7,15.84,3.58,820394.3,13.75
945156.38,15.85,3.58,820288.6,13.75
945425.14,15.85,3.59,820288.02,13.75
945234.08,15.85,3.59,820103.33,13.75
945231.84,15.85,3.59,820043.89,13.75
945500.59,15.86,3.6,820149.12,13.76
945769.35,15.87,3.6,820117.68,13.76
945523.12,15.88,3.61,819681.63,13.76
945298.85,15.87,3.61,819545.28,13.76
945567.61,15.88,3.62,819612.18,13.77
946116.23,15.89,3.63,819605.67,13.77
946921.25,15.91,3.64,819686.46,13.77
946777.46,15.91,3.64,819198.36,13.76
947487.82,15.92,3.66,819301.08,13.77
947756.58,15.93,3.66,819349.05,13.77
947619.53,15.93,3.66,819083.93,13.77
948329.89,15.94,3.68,819186.66,13.77
948072.52,15.95,3.68,818778.02,13.77
948545.23,15.96,3.69,818701.1,13.77
948745.92,15.96,3.7,818597.55,13.77
949004.8,15.97,3.7,818455.84,13.77
949004.8,15.97,3.7,818353.63,13.77
949273.56,15.97,3.71,818558.15,13.77
949273.56,15.97,3.71,818159.62,13.77
949542.32,15.98,3.72,818264.85,13.77
949792.87,15.99,3.72,818251.32,13.77
950895.77,16.01,3.74,819003.89,13.79
951606.13,16.02,3.75,819109.46,13.79
951874.89,16.03,3.76,819215.1,13.79
952750.88,16.04,3.78,819253.37,13.79
953461.24,16.05,3.79,819356.1,13.8
953461.24,16.05,3.79,819005.82,13.79
953730.0,16.06,3.8,819021.37,13.79
953727.75,16.06,3.8,818961.93,13.79
953536.7,16.06,3.8,818787.04,13.79
953536.7,16.06,3.8,818684.83,13.79
953881.9,16.07,3.81,818690.61,13.79
953698.16,16.07,3.81,818269.59,13.79
953507.1,16.07,3.8,818084.89,13.79
953775.86,16.08,3.81,818190.13,13.79
953584.8,16.08,3.81,818015.24,13.79
953853.56,16.08,3.82,818120.47,13.79
954119.76,16.09,3.82,817614.08,13.79
953928.7,16.09,3.82,817354.42,13.79
954197.46,16.1,3.83,817332.21,13.79
954274.3,16.1,3.83,817169.35,13.79
954731.87,16.11,3.84,817319.46,13.79
954316.54,16.11,3.84,816958.17,13.79
954710.88,16.11,3.85,816575.9,13.78
