ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
338,1721,382560,6212,382560
339,1729,383030,6212,383030
340,1737,383400,6212,383400
341,1745,383400,6212,383400
342,1753,384400,6212,384400
343,1761,385400,6212,385400
344,1769,386210,6212,386210
345,1777,386680,6212,386680
346,1779,386680,6212,386680
346,1779,388680,6212,388680
347,1787,396680,6212,396680
347,1787,397680,6212,397680
348,1789,398490,6212,398490
348,1789,398490,6212,398490
349,1797,399490,6212,399490
350,1805,400490,6212,400490
351,1807,401490,6212,401490
351,1807,402490,6212,402490
352,1815,403490,6212,403490
353,1823,404490,6212,404490
354,1831,405490,6212,405490
355,1839,406490,6212,406490
356,1841,406490,6212,406490
356,1841,407140,6212,407140
356,1841,407510,6212,407510
356,1841,408320,6212,408320
357,1849,409320,6212,409320
358,1851,410320,6212,410320
359,1853,410790,6212,410790
359,1853,414790,6212,414790
360,1861,415790,6212,415790
361,1863,416790,6212,416790
362,1871,417110,6212,417110
363,1873,417580,6212,417580
364,1881,418390,6212,418390
365,1889,420390,6212,420390
366,1891,420390,6212,420390
367,1893,421390,6212,421390
368,1901,422390,6212,422390
369,1909,426390,6212,426390
369,1909,427390,6212,427390
370,1917,428390,6212,428390
371,1925,429390,6212,429390
372,1933,429940,6212,429940
373,1937,430410,6212,430410
374,1939,431410,6212,431410
375,1947,431880,6212,431880
376,1949,432530,6212,432530
377,1951,434530,6212,434530
378,1959,435340,6212,435340
378,1959,435810,6212,435810
378,1959,436280,6212,436280
379,1967,436280,6212,436280
380,1975,437090,6212,437090
381,1977,437680,6212,437680
382,1979,438680,6212,438680
382,1979,439150,6212,439150
383,1987,439960,6212,439960
384,1995,440960,6212,440960
385,1999,442960,6212,442960
386,2001,443430,6212,443430
387,2009,444240,6212,444240
388,2011,445240,6212,445240
389,2013,445890,6212,445890
390,2021,447890,6212,447890
391,2029,448700,6212,448700
391,2029,449700,6212,449700
392,2037,450020,6212,450020
393,2045,450490,6212,450490
393,2045,451490,6212,451490
394,2053,451490,6212,451490
394,2053,451490,6212,451490
395,2061,453490,6212,453490
396,2069,461490,6212,461490
396,2069,461490,6212,461490
397,2077,462490,6212,462490
397,2077,462960,6212,462960
398,2079,463550,6212,463550
398,2079,464200,6212,464200
399,2087,465010,6212,465010
400,2089,466010,6212,466010
400,2089,466010,6212,466010
401,2091,466010,6212,466010
402,2093,466820,6212,466820
403,2095,467820,6212,467820
404,2097,467870,6212,467870
405,2099,468870,6212,468870
406,2101,469870,6212,469870
407,2109,470680,6212,470680
407,2109,471490,6212,471490
408,2117,472490,6212,472490
409,2125,472720,6212,472720
410,2127,473720,6212,473720
410,2127,474190,6212,474190
411,2135,475000,6212,475000
412,2137,477000,6212,477000
413,2139,478000,6212,478000
414,2147,478810,6212,478810
415,2155,479810,6212,479810
416,2157,479810,6212,479810
417,2165,479810,6212,479810
418,2167,480810,6212,480810
419,2169,481810,6212,481810
419,2169,483810,6212,483810
420,2177,484810,6212,484810
421,2179,484810,6212,484810
422,2181,485810,6212,485810
423,2183,486280,6212,486280
423,2183,487090,6212,487090
424,2191,495090,6212,495090
425,2193,495900,6212,495900
426,2201,495900,6212,495900
427,2203,496370,6212,496370
428,2211,496370,6212,496370
429,2213,497180,6212,497180
429,2213,505180,6212,505180
430,2215,506180,6212,506180
430,2215,506830,6212,506830
431,2223,507830,6212,507830
432,2231,515830,6212,515830
433,2233,516830,6212,516830
433,2233,517830,6212,517830
433,2233,518300,6212,518300
434,2241,520300,6212,520300
435,2243,521110,6212,521110
436,2251,522110,6212,522110
436,2251,523110,6212,523110
437,2259,523570,6212,523570
438,2261,524040,6212,524040
438,2261,524040,6212,524040
439,2263,524040,6212,524040
440,2265,525040,6212,525040
441,2273,526040,6212,526040
441,2273,527040,6212,527040
442,2277,527510,6212,527510
443,2285,528510,6212,528510
443,2285,529160,6212,529160
444,2287,530160,6212,530160
444,2287,531160,6212,531160
445,2295,531810,6212,531810
446,2297,532130,6212,532130
446,2297,533130,6212,533130
447,2299,534130,6212,534130
447,2299,535130,6212,535130
448,2301,535940,6212,535940
448,2301,539940,6212,539940
448,2301,540750,6212,540750
449,2309,541070,6212,541070
450,2317,549070,6212,549070
451,2325,549070,6212,549070
452,2327,549300,6212,549300
453,2335,553300,6212,553300
454,2343,553770,6212,553770
455,2351,553770,6212,553770
455,2351,554000,6212,554000
455,2351,554470,6212,554470
455,2351,555470,6212,555470
456,2355,556470,6212,556470
456,2355,557470,6212,557470
457,2357,559470,6212,559470
457,2357,560470,6212,560470
458,2365,561470,6212,561470
458,2365,562470,6212,562470
458,2365,563470,6212,563470
458,2365,564470,6212,564470
458,2365,566470,6212,566470
459,2367,566940,6212,566940
460,2375,567940,6212,567940
461,2383,568750,6212,568750
461,2383,570750,6212,570750
461,2383,571750,6212,571750
462,2385,572750,6212,572750
463,2393,580750,6212,580750
464,2401,580750,6212,580750
465,2403,582750,6212,582750
466,2405,583400,6212,583400
467,2413,584400,6212,584400
467,2413,585400,6212,585400
468,2421,586400,6212,586400
469,2423,587400,6212,587400
470,2431,588400,6212,588400
471,2435,589400,6212,589400
472,2437,589400,6212,589400
472,2437,589400,6212,589400
473,2445,597400,6212,597400
474,2453,605400,6212,605400
474,2453,606210,6212,606210
474,2453,607020,6212,607020
475,2455,609020,6212,609020
476,2457,610020,6212,610020
477,2465,618020,6212,618020
478,2467,619020,6212,619020
479,2469,619490,6212,619490
480,2477,620490,6212,620490
481,2485,620490,6212,620490
482,2487,621490,6212,621490
483,2491,621490,6212,621490
484,2493,622490,6212,622490
485,2501,623490,6212,623490
486,2503,624490,6212,624490
487,2511,625490,6212,625490
487,2511,625960,6212,625960
487,2511,627960,6212,627960
487,2511,628430,6212,628430
487,2511,629240,6212,629240
488,2513,630240,6212,630240
489,2521,634240,6212,634240
490,2529,634240,6212,634240
490,2529,634710,6212,634710
490,2529,635710,6212,635710
491,2537,636180,6212,636180
492,2539,636990,6212,636990
492,2539,637460,6212,637460
493,2541,638270,6212,638270
494,2543,638590,6212,638590
494,2543,639060,6212,639060
494,2543,640060,6212,640060
495,2545,640380,6212,640380
496,2547,640840,6212,640840
497,2555,641840,6212,641840
498,2557,642650,6212,642650
498,2557,642760,6212,642760
498,2557,643570,6212,643570
498,2557,643890,6212,643890
499,2561,644890,6212,644890
500,2563,646890,6212,646890
501,2571,646890,6212,646890
501,2571,647890,6212,647890
502,2579,648890,6212,648890
502,2579,648890,6212,648890
503,2581,649890,6212,649890
503,2581,650700,6212,650700
504,2589,658700,6212,658700
505,2591,659020,6212,659020
505,2591,660020,6212,660020
505,2591,661020,6212,661020
505,2591,662020,6212,662020
506,2593,662830,6212,662830
507,2595,663830,6212,663830
508,2603,663830,6212,663830
509,2605,664830,6212,664830
510,2613,665830,6212,665830
511,2615,666830,6212,666830
511,2615,667640,6212,667640
511,2615,667640,6212,667640
512,2617,668640,6212,668640
512,2617,668870,6212,668870
513,2619,669870,6212,669870
514,2621,670870,6212,670870
514,2621,671870,6212,671870
515,2623,672870,6212,672870
516,2627,673870,6212,673870
517,2635,674870,6212,674870
518,2637,674870,6212,674870
519,2645,675340,6212,675340
519,2645,676340,6212,676340
520,2653,677340,6212,677340
521,2655,678340,6212,678340
522,2657,678340,6212,678340
523,2659,678560,6212,678560
524,2667,679020,6212,679020
525,2675,679490,6212,679490
525,2675,680490,6212,680490
526,2683,680810,6212,680810
526,2683,681360,6212,681360
527,2691,689360,6212,689360
527,2691,689360,6212,689360
527,2691,690170,6212,690170
527,2691,694170,6212,694170
528,2693,694170,6212,694170
528,2693,695170,6212,695170
529,2701,696170,6212,696170
529,2701,697170,6212,697170
529,2701,697640,6212,697640
530,2709,698450,6212,698450
531,2717,698770,6212,698770
532,2725,699770,6212,699770
533,2733,699990,6212,699990
533,2733,701990,6212,701990
534,2741,709990,6212,709990
535,2749,717990,6212,717990
536,2751,718990,6212,718990
537,2759,719990,6212,719990
538,2767,720990,6212,720990
538,2767,721990,6212,721990
539,2769,722990,6212,722990
540,2777,723990,6212,723990
541,2779,724990,6212,724990
542,2781,725460,6212,725460
543,2785,725780,6212,725780
543,2785,726590,6212,726590
544,2787,726910,6212,726910
545,2795,727910,6212,727910
546,2803,728720,6212,728720
547,2805,729530,6212,729530
548,2813,729750,6212,729750
548,2813,730070,6212,730070
548,2813,731070,6212,731070
549,2821,732070,6212,732070
549,2821,733070,6212,733070
550,2823,734070,6212,734070
550,2823,734230,6212,734230
550,2823,734820,6212,734820
551,2831,736820,6212,736820
552,2839,737820,6212,737820
552,2839,738820,6212,738820
553,2840,739040,6212,739040
553,2840,739850,6212,739850
553,2840,740320,6212,740320
554,2848,740640,6212,740640
554,2848,741290,6212,741290
555,2850,741750,6212,741750
556,2854,742560,6212,742560
557,2856,743560,6212,743560
557,2856,744210,6212,744210
558,2864,745210,6212,745210
558,2864,746020,6212,746020
559,2866,747020,6212,747020
560,2868,748020,6212,748020
561,2872,748490,6212,748490
561,2872,748720,6212,748720
561,2872,749720,6212,749720
561,2872,749720,6212,749720
562,2874,750190,6212,750190
563,2876,751190,6212,751190
563,2876,759190,6212,759190
564,2878,760190,6212,760190
564,2878,760660,6212,760660
565,2880,761130,6212,761130
565,2880,761600,6212,761600
566,2882,762600,6212,762600
566,2882,763070,6212,763070
567,2890,764070,6212,764070
568,2898,765070,6212,765070
569,2900,765070,6212,765070
570,2902,765390,6212,765390
571,2904,766390,6212,766390
572,2906,766710,6212,766710
573,2914,766710,6212,766710
574,2922,767710,6212,767710
574,2922,768710,6212,768710
575,2930,769710,6212,769710
576,2938,769710,6212,769710
576,2938,770710,6212,770710
576,2938,771710,6212,771710
576,2938,772710,6212,772710
577,2940,773710,6212,773710
577,2940,775710,6212,775710
578,2942,776180,6212,776180
578,2942,777180,6212,777180
579,2950,785180,6212,785180
579,2950,786180,6212,786180
579,2950,787180,6212,787180
580,2958,788180,6212,788180
581,2966,788990,6212,788990
