ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
281,774,644420,6212,644420
282,782,652420,6212,652420
282,782,653420,6212,653420
283,784,654420,6212,654420
283,784,655070,6212,655070
283,784,655390,6212,655390
284,786,656200,6212,656200
284,786,657200,6212,657200
285,788,657670,6212,657670
285,788,658670,6212,658670
286,790,659670,6212,659670
286,790,660670,6212,660670
287,792,661670,6212,661670
287,792,661670,6212,661670
287,792,662260,6212,662260
288,794,663260,6212,663260
288,794,664260,6212,664260
289,796,665260,6212,665260
289,796,666260,6212,666260
290,798,666910,6212,666910
290,798,667910,6212,667910
291,800,668910,6212,668910
291,800,669910,6212,669910
291,800,669910,6212,669910
292,802,670910,6212,670910
292,802,671370,6212,671370
292,802,672370,6212,672370
293,804,673370,6212,673370
293,804,673840,6212,673840
294,806,674650,6212,674650
294,806,675650,6212,675650
294,806,675650,6212,675650
295,808,676650,6212,676650
295,808,677650,6212,677650
295,808,677970,6212,677970
295,808,678290,6212,678290
296,810,679290,6212,679290
296,810,680100,6212,680100
297,812,681100,6212,681100
297,812,682100,6212,682100
298,814,683100,6212,683100
298,814,683570,6212,683570
298,814,684570,6212,684570
299,816,685570,6212,685570
299,816,685570,6212,685570
299,816,686570,6212,686570
300,818,687380,6212,687380
300,818,688380,6212,688380
301,820,689030,6212,689030
301,820,690030,6212,690030
302,822,691030,6212,691030
302,822,691350,6212,691350
303,830,699350,6212,699350
304,834,703350,6212,703350
304,834,704160,6212,704160
305,836,705160,6212,705160
305,836,706160,6212,706160
306,844,714160,6212,714160
307,852,722160,6212,722160
308,854,722970,6212,722970
308,854,723780,6212,723780
309,862,731780,6212,731780
310,864,732590,6212,732590
310,864,733590,6212,733590
311,866,734180,6212,734180
311,866,735180,6212,735180
311,866,735500,6212,735500
312,868,736150,6212,736150
312,868,736700,6212,736700
312,868,737020,6212,737020
312,868,737020,6212,737020
312,868,737020,6212,737020
313,870,737490,6212,737490
313,870,737490,6212,737490
313,870,738300,6212,738300
314,872,740300,6212,740300
315,874,741300,6212,741300
315,874,741770,6212,741770
315,874,742240,6212,742240
315,874,742710,6212,742710
316,876,743520,6212,743520
316,876,744520,6212,744520
317,878,745520,6212,745520
317,878,745520,6212,745520
317,878,746520,6212,746520
318,886,754520,6212,754520
319,888,755330,6212,755330
319,888,756140,6212,756140
320,890,757140,6212,757140
320,890,758140,6212,758140
321,892,758730,6212,758730
321,892,758730,6212,758730
321,892,759540,6212,759540
321,892,759540,6212,759540
322,900,767540,6212,767540
323,902,768190,6212,768190
