ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
223,1204,126300,6212,126300
223,1204,126530,6212,126530
224,1206,126530,6212,126530
225,1208,127340,6212,127340
225,1208,127340,6212,127340
226,1216,127340,6212,127340
227,1218,127660,6212,127660
228,1220,128310,6212,128310
229,1228,128770,6212,128770
230,1236,129420,6212,129420
230,1236,130230,6212,130230
230,1236,130700,6212,130700
231,1244,131170,6212,131170
232,1252,131720,6212,131720
233,1260,132040,6212,132040
233,1260,132850,6212,132850
234,1262,133660,6212,133660
235,1264,134010,6212,134010
236,1272,134010,6212,134010
237,1280,134470,6212,134470
238,1282,134940,6212,134940
239,1284,135940,6212,135940
240,1292,136410,6212,136410
241,1300,136730,6212,136730
241,1300,136960,6212,136960
242,1308,137770,6212,137770
243,1316,138230,6212,138230
244,1324,138230,6212,138230
245,1326,138230,6212,138230
246,1334,139230,6212,139230
247,1336,139700,6212,139700
248,1338,140250,6212,140250
249,1346,140250,6212,140250
250,1348,140720,6212,140720
251,1350,141040,6212,141040
252,1358,141270,6212,141270
252,1358,141920,6212,141920
253,1366,142390,6212,142390
254,1374,143200,6212,143200
255,1382,143200,6212,143200
256,1384,144200,6212,144200
257,1386,144520,6212,144520
258,1394,145330,6212,145330
258,1394,146140,6212,146140
259,1396,146510,6212,146510
259,1396,146980,6212,146980
259,1396,147790,6212,147790
260,1400,148260,6212,148260
261,1404,148580,6212,148580
262,1412,149390,6212,149390
263,1414,149860,6212,149860
263,1414,150670,6212,150670
264,1416,151670,6212,151670
265,1424,152670,6212,152670
266,1426,153040,6212,153040
267,1434,153510,6212,153510
268,1442,153740,6212,153740
269,1444,154550,6212,154550
270,1452,155360,6212,155360
271,1460,155360,6212,155360
272,1461,155360,6212,155360
273,1469,155830,6212,155830
274,1477,156300,6212,156300
275,1485,156770,6212,156770
276,1487,157000,6212,157000
277,1489,157810,6212,157810
278,1497,158130,6212,158130
279,1499,158130,6212,158130
280,1507,158350,6212,158350
280,1507,158350,6212,158350
281,1509,158670,6212,158670
281,1509,158890,6212,158890
281,1509,159540,6212,159540
282,1511,160010,6212,160010
283,1513,160330,6212,160330
284,1521,160700,6212,160700
285,1529,160700,6212,160700
286,1537,160700,6212,160700
287,1545,161020,6212,161020
288,1553,161830,6212,161830
289,1561,162150,6212,162150
290,1563,162470,6212,162470
291,1571,163280,6212,163280
292,1579,164090,6212,164090
293,1587,164900,6212,164900
294,1589,165120,6212,165120
295,1597,165120,6212,165120
295,1597,165590,6212,165590
296,1599,165590,6212,165590
296,1599,166240,6212,166240
297,1607,166710,6212,166710
297,1607,167520,6212,167520
298,1608,167840,6212,167840
298,1608,168490,6212,168490
298,1608,168490,6212,168490
299,1616,168490,6212,168490
299,1616,169300,6212,169300
299,1616,169620,6212,169620
300,1624,170270,6212,170270
300,1624,170590,6212,170590
301,1626,171400,6212,171400
302,1628,172050,6212,172050
303,1636,172860,6212,172860
304,1644,173090,6212,173090
305,1646,174090,6212,174090
306,1648,174410,6212,174410
307,1649,175220,6212,175220
307,1649,176030,6212,176030
307,1649,176030,6212,176030
307,1649,176490,6212,176490
308,1657,176960,6212,176960
309,1665,177430,6212,177430
310,1673,177430,6212,177430
311,1677,178240,6212,178240
312,1685,179050,6212,179050
312,1685,179860,6212,179860
313,1687,180670,6212,180670
314,1695,181140,6212,181140
315,1697,181620,6212,181620
316,1699,181850,6212,181850
316,1699,182660,6212,182660
317,1707,183660,6212,183660
317,1707,183660,6212,183660
317,1707,183980,6212,183980
318,1715,183980,6212,183980
318,1715,184630,6212,184630
319,1717,184950,6212,184950
320,1725,185760,6212,185760
320,1725,186230,6212,186230
320,1725,186230,6212,186230
321,1727,186880,6212,186880
322,1729,187690,6212,187690
323,1737,188160,6212,188160
323,1737,188620,6212,188620
324,1745,188780,6212,188780
325,1753,189780,6212,189780
326,1761,190330,6212,190330
327,1769,190650,6212,190650
328,1771,191460,6212,191460
329,1779,191830,6212,191830
329,1779,192640,6212,192640
330,1787,193110,6212,193110
331,1789,193920,6212,193920
332,1797,194730,6212,194730
333,1805,195200,6212,195200
333,1805,195670,6212,195670
334,1813,195670,6212,195670
335,1815,195990,6212,195990
336,1817,196450,6212,196450
336,1817,197260,6212,197260
336,1817,197910,6212,197910
337,1825,198560,6212,198560
338,1827,199370,6212,199370
339,1829,199370,6212,199370
340,1831,199370,6212,199370
341,1833,199830,6212,199830
342,1841,200640,6212,200640
343,1843,200640,6212,200640
344,1847,201450,6212,201450
344,1847,201920,6212,201920
345,1855,202390,6212,202390
346,1857,202610,6212,202610
347,1865,203420,6212,203420
348,1867,204070,6212,204070
349,1875,204540,6212,204540
349,1875,204540,6212,204540
350,1877,205350,6212,205350
351,1879,206160,6212,206160
352,1881,206160,6212,206160
352,1881,207160,6212,207160
353,1889,207620,6212,207620
354,1897,208090,6212,208090
355,1905,208250,6212,208250
356,1913,208710,6212,208710
357,1921,209260,6212,209260
358,1923,209730,6212,209730
358,1923,210730,6212,210730
358,1923,211540,6212,211540
359,1925,211860,6212,211860
360,1929,212180,6212,212180
361,1931,212830,6212,212830
362,1933,213200,6212,213200
363,1941,214010,6212,214010
364,1949,214600,6212,214600
365,1957,214600,6212,214600
365,1957,215070,6212,215070
366,1961,215880,6212,215880
366,1961,216690,6212,216690
367,1963,217500,6212,217500
368,1967,217500,6212,217500
369,1975,218310,6212,218310
370,1977,218780,6212,218780
371,1985,218780,6212,218780
372,1987,219010,6212,219010
373,1989,219820,6212,219820
373,1989,220140,6212,220140
373,1989,220950,6212,220950
373,1989,221760,6212,221760
373,1989,222130,6212,222130
373,1989,222780,6212,222780
374,1997,223330,6212,223330
374,1997,223800,6212,223800
375,1999,224610,6212,224610
376,2003,225420,6212,225420
377,2005,225890,6212,225890
378,2013,226540,6212,226540
379,2021,227540,6212,227540
380,2029,228540,6212,228540
381,2031,228860,6212,228860
382,2033,229670,6212,229670
382,2033,229670,6212,229670
383,2035,230480,6212,230480
383,2035,230950,6212,230950
383,2035,230950,6212,230950
384,2037,231180,6212,231180
385,2039,231990,6212,231990
386,2041,232800,6212,232800
387,2049,233280,6212,233280
388,2057,241280,6212,241280
389,2065,241600,6212,241600
390,2073,241760,6212,241760
391,2081,242080,6212,242080
392,2083,242890,6212,242890
393,2091,243360,6212,243360
394,2092,243680,6212,243680
394,2092,243680,6212,243680
395,2100,244490,6212,244490
396,2108,244490,6212,244490
396,2108,244950,6212,244950
397,2110,245600,6212,245600
398,2114,246410,6212,246410
399,2115,246410,6212,246410
400,2123,247220,6212,247220
400,2123,247680,6212,247680
401,2131,247680,6212,247680
402,2139,248680,6212,248680
403,2143,249000,6212,249000
403,2143,249810,6212,249810
404,2145,250360,6212,250360
404,2145,250830,6212,250830
405,2153,250830,6212,250830
406,2161,251300,6212,251300
406,2161,251300,6212,251300
407,2163,252300,6212,252300
407,2163,253110,6212,253110
407,2163,253920,6212,253920
408,2165,254730,6212,254730
409,2173,255280,6212,255280
410,2175,256090,6212,256090
410,2175,256900,6212,256900
410,2175,257220,6212,257220
410,2175,257680,6212,257680
411,2177,258680,6212,258680
412,2185,259680,6212,259680
412,2185,260330,6212,260330
413,2193,261140,6212,261140
414,2197,261140,6212,261140
414,2197,262140,6212,262140
415,2199,262610,6212,262610
415,2199,263200,6212,263200
416,2207,264200,6212,264200
417,2209,265010,6212,265010
418,2217,265480,6212,265480
419,2225,265480,6212,265480
420,2227,265800,6212,265800
420,2227,266170,6212,266170
421,2235,266640,6212,266640
421,2235,266640,6212,266640
422,2237,267110,6212,267110
422,2237,267110,6212,267110
423,2245,267570,6212,267570
423,2245,267800,6212,267800
424,2253,268610,6212,268610
425,2261,268930,6212,268930
426,2263,269930,6212,269930
426,2263,270740,6212,270740
427,2265,271550,6212,271550
428,2273,271550,6212,271550
429,2281,271550,6212,271550
429,2281,272020,6212,272020
429,2281,273020,6212,273020
430,2289,273830,6212,273830
431,2297,274640,6212,274640
432,2299,275450,6212,275450
433,2307,275770,6212,275770
434,2309,276090,6212,276090
434,2309,277090,6212,277090
434,2309,277250,6212,277250
435,2317,277720,6212,277720
435,2317,277720,6212,277720
436,2325,278310,6212,278310
436,2325,279120,6212,279120
437,2329,279440,6212,279440
438,2337,279910,6212,279910
439,2339,280500,6212,280500
439,2339,281310,6212,281310
440,2341,281470,6212,281470
440,2341,282280,6212,282280
440,2341,282600,6212,282600
441,2349,283410,6212,283410
441,2349,284220,6212,284220
441,2349,284540,6212,284540
442,2351,285350,6212,285350
442,2351,286000,6212,286000
442,2351,286470,6212,286470
442,2351,286470,6212,286470
443,2353,287470,6212,287470
444,2361,288470,6212,288470
445,2363,289280,6212,289280
446,2365,290090,6212,290090
447,2373,290740,6212,290740
448,2375,290740,6212,290740
449,2383,291220,6212,291220
449,2383,291380,6212,291380
450,2387,291700,6212,291700
451,2395,292510,6212,292510
451,2395,292830,6212,292830
452,2403,293640,6212,293640
453,2411,294290,6212,294290
453,2411,294940,6212,294940
453,2411,295750,6212,295750
454,2419,296220,6212,296220
454,2419,296540,6212,296540
455,2427,296650,6212,296650
456,2429,297120,6212,297120
456,2429,297120,6212,297120
457,2431,297590,6212,297590
457,2431,297590,6212,297590
458,2439,297590,6212,297590
459,2447,298240,6212,298240
459,2447,299050,6212,299050
460,2455,299640,6212,299640
461,2463,299640,6212,299640
462,2471,300450,6212,300450
462,2471,301040,6212,301040
463,2479,302040,6212,302040
464,2487,302510,6212,302510
465,2489,302730,6212,302730
465,2489,303540,6212,303540
465,2489,304010,6212,304010
466,2497,304010,6212,304010
467,2505,305010,6212,305010
468,2513,305820,6212,305820
469,2515,306290,6212,306290
470,2517,306940,6212,306940
471,2519,307490,6212,307490
471,2519,308300,6212,308300
472,2527,308950,6212,308950
473,2529,309420,6212,309420
473,2529,310230,6212,310230
474,2537,310550,6212,310550
475,2545,311360,6212,311360
476,2553,311950,6212,311950
477,2555,311950,6212,311950
478,2557,312420,6212,312420
478,2557,312890,6212,312890
478,2557,312940,6212,312940
478,2557,312940,6212,312940
479,2565,313260,6212,313260
479,2565,313730,6212,313730
480,2567,314050,6212,314050
481,2569,315050,6212,315050
482,2577,316050,6212,316050
483,2585,316860,6212,316860
484,2587,316860,6212,316860
485,2595,316860,6212,316860
486,2603,317670,6212,317670
486,2603,317670,6212,317670
487,2611,317670,6212,317670
488,2619,318480,6212,318480
488,2619,319030,6212,319030
488,2619,319840,6212,319840
489,2621,320160,6212,320160
490,2623,320480,6212,320480
491,2631,320950,6212,320950
492,2633,321410,6212,321410
493,2635,322220,6212,322220
494,2643,322870,6212,322870
494,2643,323340,6212,323340
495,2651,324150,6212,324150
495,2651,324470,6212,324470
495,2651,324470,6212,324470
495,2651,324940,6212,324940
