ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
874690.13,14.6,0.98,215335.48,3.6
874392.6,14.6,0.98,215190.43,3.59
874392.6,14.6,0.98,215194.82,3.59
874620.67,14.6,0.98,215334.44,3.6
874326.4,14.6,0.98,215193.71,3.59
874065.14,14.6,0.98,214930.97,3.59
874286.46,14.6,0.98,214962.74,3.59
874458.27,14.61,0.99,215274.32,3.6
874322.06,14.61,0.99,215274.32,3.6
874185.86,14.61,0.99,215244.46,3.6
874357.67,14.61,0.99,215325.03,3.6
874060.14,14.61,0.99,215212.77,3.6
874288.21,14.61,0.99,215480.93,3.6
874460.02,14.62,1.0,215557.52,3.6
874165.75,14.61,0.99,215449.45,3.6
874217.68,14.62,0.99,215638.0,3.61
874081.47,14.62,0.99,215537.43,3.6
874253.29,14.62,1.0,215618.0,3.61
874474.61,14.62,1.0,215880.78,3.61
874474.61,14.62,1.0,215880.78,3.61
874338.4,14.62,1.0,215835.09,3.61
874060.38,14.62,1.0,215563.58,3.61
873752.86,14.62,1.0,215441.74,3.6
873804.79,14.62,1.0,215564.72,3.61
873856.72,14.62,1.0,215635.84,3.61
874078.04,14.63,1.01,215667.62,3.61
874078.04,14.63,1.01,215725.13,3.61
874078.04,14.63,1.01,215725.13,3.61
874129.98,14.63,1.01,215950.56,3.61
873832.45,14.63,1.01,215805.51,3.61
873871.66,14.63,1.01,221562.48,3.71
873713.52,14.63,1.0,221409.9,3.71
873765.45,14.63,1.01,221532.88,3.71
873937.27,14.63,1.01,221681.16,3.71
873801.06,14.63,1.01,221596.44,3.71
873664.85,14.63,1.01,221577.1,3.71
874202.42,14.64,1.02,221726.32,3.71
874423.74,14.65,1.03,221758.1,3.71
876057.17,14.68,1.05,222258.54,3.72
875864.82,14.67,1.05,221823.25,3.72
875916.75,14.68,1.06,222048.68,3.72
875916.75,14.68,1.06,222048.68,3.72
875780.55,14.68,1.06,221937.6,3.72
875832.48,14.68,1.06,222060.58,3.72
875616.45,14.68,1.06,221850.63,3.72
875318.93,14.67,1.05,221705.58,3.72
875370.86,14.68,1.06,221776.71,3.72
875182.84,14.67,1.05,221595.63,3.72
875404.16,14.68,1.06,221627.4,3.72
875267.96,14.68,1.06,221496.98,3.71
875109.82,14.68,1.06,221338.85,3.71
874973.61,14.68,1.06,221338.85,3.71
875145.42,14.68,1.06,221832.91,3.72
875197.36,14.68,1.06,221955.89,3.72
875452.41,14.69,1.07,222171.79,3.73
875504.35,14.69,1.07,222294.76,3.73
875206.82,14.69,1.07,221969.28,3.73
878204.37,14.74,1.12,221409.54,3.72
878256.3,14.74,1.12,221480.67,3.72
878522.65,14.75,1.13,221237.17,3.71
878750.72,14.75,1.13,221221.2,3.71
878466.44,14.75,1.13,221346.18,3.72
878466.44,14.75,1.13,221346.18,3.72
