ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1194335.06,19.68,1.1,197251.94,3.25
1193796.39,19.68,1.09,196727.73,3.24
1193714.51,19.68,1.09,196603.37,3.24
1194323.87,19.69,1.11,196782.76,3.24
1194552.22,19.7,1.11,196528.38,3.24
1195311.9,19.71,1.13,196850.18,3.25
1195557.03,19.72,1.13,196658.37,3.24
1195802.16,19.72,1.14,196477.7,3.24
1195786.03,19.73,1.14,196423.29,3.24
1196031.16,19.73,1.15,196231.49,3.24
1195509.27,19.73,1.14,195678.26,3.23
1194987.38,19.72,1.14,195113.91,3.22
1194275.49,19.71,1.13,194370.68,3.21
1194275.49,19.71,1.13,194394.46,3.21
1194520.62,19.72,1.14,194213.79,3.21
1195280.3,19.73,1.15,194535.59,3.21
1195433.01,19.74,1.16,194178.72,3.21
1195343.54,19.74,1.16,194130.56,3.21
1195276.65,19.74,1.16,194078.12,3.21
1195521.77,19.75,1.16,193886.32,3.2
1194999.89,19.74,1.16,193321.96,3.19
1194478.0,19.74,1.15,192768.74,3.18
1194748.08,19.74,1.16,193140.64,3.19
1194241.43,19.74,1.15,192648.44,3.18
1194832.82,19.75,1.16,192750.37,3.19
1194894.67,19.75,1.17,192833.42,3.19
1194894.67,19.75,1.17,192816.75,3.19
1194894.67,19.75,1.17,192794.74,3.19
1194894.67,19.75,1.17,192819.62,3.19
1195156.57,19.76,1.17,192598.81,3.18
1194617.9,19.75,1.17,192074.6,3.18
1193824.82,19.75,1.17,191839.87,3.17
1194358.06,19.76,1.18,191904.85,3.18
1194184.32,19.76,1.18,192393.54,3.18
1194495.92,19.77,1.19,192570.04,3.19
1193780.29,19.76,1.18,191872.61,3.18
1193587.7,19.76,1.18,191794.56,3.18
1194347.38,19.78,1.19,192116.36,3.18
1194180.35,19.78,1.2,192038.86,3.18
1194713.59,19.79,1.21,192103.84,3.18
1195473.28,19.8,1.22,192425.63,3.19
1195306.24,19.8,1.22,192421.5,3.19
1195551.37,19.81,1.23,192229.7,3.19
1195029.48,19.81,1.22,191676.48,3.18
1195558.46,19.82,1.24,191737.19,3.18
1196167.83,19.83,1.25,191916.57,3.18
1196000.79,19.83,1.25,191895.07,3.18
1196245.92,19.84,1.25,191703.27,3.18
1197368.42,19.86,1.28,191825.01,3.18
1197175.83,19.86,1.28,191814.41,3.18
1196629.7,19.85,1.27,191230.0,3.17
1196872.31,19.86,1.28,190689.95,3.16
1196160.42,19.85,1.27,189946.73,3.15
1196160.42,19.85,1.27,189946.73,3.15
1196124.54,19.85,1.27,189931.41,3.15
1196472.93,19.86,1.28,190898.19,3.17
1196302.93,19.86,1.28,190926.47,3.17
1196783.81,19.87,1.29,190394.8,3.16
1196265.65,19.87,1.28,189897.85,3.15
1195759.2,19.86,1.28,189361.02,3.15
1195773.04,19.86,1.28,189034.71,3.14
1196313.54,19.87,1.29,190572.64,3.17
1196313.54,19.87,1.29,190572.64,3.17
1196387.09,19.87,1.29,190615.81,3.17
1196625.85,19.88,1.3,190706.9,3.17
1196709.4,19.88,1.3,190760.08,3.17
1195901.2,19.87,1.29,189936.26,3.16
1195394.76,19.87,1.28,189399.43,3.15
1195202.17,19.87,1.28,189573.39,3.15
1194695.72,19.86,1.28,189036.57,3.14
1194721.03,19.86,1.28,189155.67,3.14
1194324.37,19.86,1.27,188742.87,3.14
1194400.27,19.86,1.28,189660.2,3.15
1195150.76,19.88,1.3,189377.4,3.15
1194644.31,19.87,1.29,188840.57,3.14
1194446.04,19.87,1.29,188731.42,3.14
1194247.77,19.87,1.29,188879.09,3.14
1194491.64,19.88,1.3,188982.67,3.14
1194308.57,19.88,1.3,189047.39,3.15
1193802.13,19.87,1.29,188510.56,3.14
