ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1615181.12,26.7,1.13,255329.65,4.22
1614925.38,26.7,1.13,255343.24,4.22
1614669.64,26.7,1.13,255285.88,4.22
1614824.2,26.71,1.14,254961.24,4.22
1614824.2,26.71,1.14,257384.04,4.26
1614824.2,26.71,1.14,257038.88,4.25
1614978.76,26.72,1.14,256724.71,4.25
1615146.35,26.73,1.15,256373.36,4.24
1615300.91,26.73,1.16,256059.2,4.24
1615045.17,26.73,1.16,256015.43,4.24
1614303.58,26.72,1.15,255234.09,4.23
1614193.58,26.72,1.15,255124.09,4.22
1614267.45,26.73,1.15,255436.74,4.23
1613967.85,26.72,1.15,255153.14,4.22
1613712.11,26.72,1.15,255166.73,4.23
1614014.31,26.73,1.16,256819.47,4.25
1613758.57,26.73,1.16,256762.11,4.25
1617236.18,26.79,1.21,258857.45,4.29
1617026.57,26.78,1.21,258664.81,4.28
1616474.99,26.78,1.2,258063.01,4.28
1616089.8,26.77,1.2,257813.36,4.27
1615335.17,26.77,1.19,257058.73,4.26
1615079.43,26.77,1.19,257014.96,4.26
1615153.3,26.77,1.2,257328.56,4.27
1615153.3,26.77,1.2,257328.56,4.27
1615342.75,26.78,1.2,257400.91,4.27
1614601.16,26.77,1.19,256609.11,4.25
1614675.03,26.77,1.2,257228.69,4.26
1614289.84,26.77,1.19,256818.96,4.26
1614832.71,26.78,1.21,256897.26,4.26
1614832.71,26.78,1.21,256897.26,4.26
1615022.16,26.78,1.21,256983.19,4.26
1614952.26,26.79,1.21,256858.92,4.26
1614696.52,26.79,1.21,257150.72,4.27
1614440.78,26.79,1.21,257164.31,4.27
1614185.04,26.79,1.21,257106.95,4.27
1613940.22,26.79,1.21,256395.56,4.26
1613940.22,26.79,1.21,256395.56,4.26
1613940.22,26.79,1.21,256395.56,4.26
1613684.48,26.79,1.21,256452.93,4.26
1613684.48,26.79,1.21,256452.93,4.26
1613684.48,26.79,1.21,256452.93,4.26
1613531.13,26.79,1.21,256238.62,4.25
1613275.39,26.79,1.21,256137.49,4.25
1613019.65,26.79,1.21,256093.72,4.25
1612763.91,26.79,1.21,256093.72,4.25
1612508.17,26.79,1.21,256049.95,4.25
1612441.29,26.79,1.22,256226.96,4.26
1612185.55,26.79,1.22,256183.19,4.26
1611929.82,26.79,1.22,256183.19,4.26
1611674.08,26.79,1.22,256181.59,4.26
1611418.34,26.79,1.22,256139.42,4.26
1611418.34,26.79,1.22,256139.42,4.26
1611118.74,26.79,1.21,255855.82,4.25
1611118.74,26.79,1.21,255855.82,4.25
1610863.0,26.79,1.21,255812.05,4.25
1610607.26,26.79,1.21,255812.05,4.25
1610761.82,26.8,1.22,255487.41,4.25
1610506.08,26.8,1.22,255443.64,4.25
1610579.94,26.8,1.23,255757.77,4.26
1610579.94,26.8,1.23,255753.26,4.26
1610579.94,26.8,1.23,255750.37,4.26
1610028.35,26.79,1.22,255159.04,4.25
1610028.35,26.79,1.22,255159.04,4.25
1609772.61,26.79,1.22,255166.96,4.25
1609705.73,26.8,1.22,255255.53,4.25
1609649.77,26.8,1.23,254736.59,4.24
1609308.7,26.8,1.22,254339.56,4.24
1608923.51,26.79,1.22,253978.06,4.23
1608678.69,26.79,1.22,253266.68,4.22
1608525.34,26.8,1.22,253052.38,4.22
1608269.6,26.8,1.22,253008.61,4.22
1608013.86,26.8,1.22,253008.61,4.22
1607946.98,26.8,1.22,253097.73,4.22
1607691.24,26.8,1.22,253105.1,4.22
1607691.24,26.8,1.22,255351.48,4.26
1607624.36,26.8,1.23,255440.6,4.26
1607368.62,26.8,1.23,255447.97,4.26
1607069.02,26.8,1.22,255212.0,4.26
1607236.61,26.8,1.23,254860.65,4.25
1606980.87,26.81,1.23,254851.68,4.25
1607244.0,26.81,1.24,255293.97,4.26
1606988.27,26.81,1.24,255307.56,4.26
1606732.53,26.81,1.24,255250.2,4.26
1606476.79,26.81,1.24,255241.23,4.26
1606221.05,26.81,1.24,255178.58,4.26
1605965.31,26.81,1.24,255134.81,4.26
1603919.4,26.81,1.24,255127.41,4.27
1603919.4,26.81,1.24,255963.17,4.28
1603164.78,26.81,1.23,255208.55,4.27
