ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1135376.75,19.17,0.5,209173.54,3.53
1135209.72,19.17,0.5,209151.53,3.53
1135431.35,19.18,0.51,209068.87,3.53
1135264.32,19.18,0.51,208986.63,3.53
1135097.28,19.18,0.51,208982.18,3.53
1135359.27,19.18,0.51,209080.72,3.53
1135192.24,19.18,0.51,209321.23,3.54
1135213.17,19.19,0.51,209421.86,3.54
1135370.03,19.19,0.52,209668.32,3.54
1135202.99,19.19,0.52,209664.86,3.54
1135035.96,19.19,0.52,209581.63,3.54
1134868.93,19.19,0.52,209499.24,3.54
1134701.9,19.19,0.52,209494.94,3.54
1134534.86,19.19,0.52,209412.54,3.54
1134367.83,19.19,0.52,209408.24,3.54
1134200.8,19.19,0.52,209384.35,3.54
1134033.77,19.2,0.52,209321.55,3.54
1133664.75,19.19,0.51,208955.8,3.54
1133497.71,19.19,0.51,208873.34,3.54
1133497.71,19.19,0.51,208873.34,3.54
1133330.68,19.19,0.51,208869.11,3.54
1133330.68,19.19,0.51,208869.11,3.54
1133163.65,19.19,0.51,208786.87,3.54
1132996.62,19.19,0.51,208782.41,3.54
1132996.62,19.19,0.51,208782.41,3.54
1132829.58,19.19,0.51,208758.52,3.54
1132625.45,19.19,0.51,208547.22,3.53
1132465.9,19.19,0.51,208553.39,3.53
1132298.87,19.19,0.51,208490.59,3.53
1132298.87,19.19,0.51,208490.59,3.53
1132298.87,19.19,0.51,208490.59,3.53
1132568.95,19.2,0.52,208727.27,3.54
1132401.92,19.2,0.52,208764.92,3.54
1132422.85,19.2,0.52,208865.55,3.54
1132422.85,19.2,0.52,208865.55,3.54
1132255.82,19.2,0.52,208862.13,3.54
1132063.79,19.2,0.52,208643.4,3.54
1131896.76,19.2,0.52,208562.07,3.54
1131917.69,19.2,0.52,208740.61,3.54
1131750.66,19.2,0.52,208729.87,3.54
1131393.54,19.2,0.52,208448.85,3.54
1131414.47,19.2,0.52,208538.2,3.54
1131435.41,19.2,0.52,208638.82,3.54
1131592.26,19.21,0.53,208885.29,3.55
1131425.23,19.21,0.53,208802.78,3.54
1131203.21,19.21,0.52,208612.86,3.54
1131036.18,19.21,0.52,208608.67,3.54
1130837.91,19.21,0.52,208585.13,3.54
1130670.88,19.21,0.52,208581.66,3.54
1130503.85,19.21,0.52,208498.43,3.54
1130765.84,19.21,0.53,208596.98,3.54
1130396.81,19.21,0.52,208416.22,3.54
1130229.78,19.21,0.52,208471.74,3.54
1130062.75,19.21,0.52,208389.35,3.54
1129895.72,19.21,0.52,208385.05,3.54
1129728.68,19.21,0.52,208302.54,3.54
1129434.8,19.21,0.52,208020.83,3.54
1129267.77,19.21,0.52,208016.64,3.54
1129288.7,19.21,0.52,208117.27,3.54
1129309.63,19.21,0.52,208260.57,3.54
1129142.6,19.21,0.52,208181.8,3.54
1128975.56,19.21,0.52,208173.87,3.54
1128808.53,19.21,0.52,208170.41,3.54
1128829.46,19.22,0.53,208252.49,3.55
1128850.4,19.22,0.53,208353.11,3.55
1128683.36,19.22,0.53,208337.89,3.55
1128945.35,19.23,0.54,208436.43,3.55
1128778.32,19.23,0.54,208676.95,3.55
1128778.32,19.23,0.54,208676.95,3.55
1128778.32,19.23,0.54,208676.95,3.55
1128611.29,19.23,0.54,208653.05,3.55
1128611.29,19.23,0.54,208653.05,3.55
1128444.26,19.23,0.54,208590.25,3.55
1128444.26,19.23,0.54,208575.09,3.55
1128465.19,19.23,0.54,208675.72,3.56
1128298.16,19.23,0.54,208653.71,3.56
1128094.02,19.23,0.54,208519.25,3.55
1127926.99,19.23,0.54,208436.79,3.55
1127947.92,19.23,0.54,208616.2,3.56
1127968.85,19.23,0.54,208716.83,3.56
1127968.85,19.23,0.54,208716.83,3.56
1127801.82,19.23,0.54,208701.61,3.56
1127477.93,19.23,0.54,208451.51,3.56
1127310.9,19.23,0.54,208369.42,3.55
1127143.87,19.23,0.54,208364.82,3.56
1127143.87,19.23,0.54,208364.82,3.56
1126859.38,19.23,0.53,208578.94,3.56
1126692.35,19.23,0.53,208568.21,3.56
1126525.32,19.23,0.53,208492.25,3.56
1126525.32,19.23,0.53,208492.25,3.56
1126358.28,19.23,0.53,208481.51,3.56
1126191.25,19.23,0.53,208405.55,3.56
1126212.18,19.23,0.54,208506.18,3.56
1126045.15,19.23,0.54,208502.77,3.56
1126045.15,19.23,0.54,208502.77,3.56
1125878.12,19.23,0.54,208420.51,3.56
1125711.09,19.23,0.54,208416.07,3.56
1125544.05,19.23,0.54,208392.18,3.56
1125175.03,19.23,0.53,208026.43,3.56
1125008.0,19.23,0.53,207963.63,3.55
1124840.97,19.23,0.53,207960.17,3.56
1124861.9,19.23,0.53,208042.25,3.56
1124882.83,19.24,0.54,208142.87,3.56
1124715.8,19.24,0.54,208127.65,3.56
1124715.8,19.24,0.54,208146.21,3.56
1124715.8,19.24,0.54,208146.21,3.56
1124548.77,19.24,0.54,208142.74,3.56
1124968.75,19.24,0.54,208547.38,3.57
1124801.72,19.25,0.54,208465.15,3.57
1124609.13,19.25,0.54,208441.12,3.57
1124630.06,19.25,0.55,208620.57,3.57
1124162.8,19.24,0.54,208235.71,3.56
1124164.83,19.24,0.54,208238.59,3.56
1123997.8,19.24,0.54,208214.7,3.56
1123830.77,19.24,0.54,208151.89,3.56
1124100.85,19.25,0.55,208140.82,3.56
1124121.78,19.25,0.55,208564.0,3.57
1123954.75,19.25,0.55,208560.54,3.57
1123787.72,19.25,0.55,208477.31,3.57
1123589.45,19.25,0.55,208673.86,3.58
1123422.42,19.25,0.55,208591.36,3.57
1123443.35,19.26,0.55,208748.85,3.58
1123443.35,19.26,0.55,208748.85,3.58
1123276.31,19.26,0.55,208726.62,3.58
1123109.28,19.26,0.55,208794.88,3.58
1122942.25,19.26,0.55,208713.52,3.58
1122575.13,19.25,0.55,208454.36,3.58
1122408.1,19.25,0.55,208450.22,3.58
1122241.07,19.25,0.55,208426.33,3.58
1122241.07,19.25,0.55,208426.33,3.58
1122074.04,19.25,0.55,208363.53,3.58
1122094.97,19.26,0.55,208464.15,3.58
1122514.95,19.27,0.56,208885.09,3.59
1122347.92,19.27,0.56,208881.63,3.59
1122180.89,19.27,0.56,208798.4,3.58
1121988.3,19.27,0.56,208778.07,3.59
1121821.27,19.27,0.56,208774.61,3.59
1122060.02,19.27,0.56,209033.9,3.59
1121892.99,19.27,0.56,208950.67,3.59
1121725.96,19.27,0.56,208868.21,3.59
1121558.92,19.27,0.56,208863.98,3.59
1121391.89,19.27,0.56,208781.72,3.59
1121412.82,19.28,0.57,208960.75,3.59
1121245.79,19.28,0.57,208957.28,3.59
1121078.76,19.28,0.57,208874.06,3.59
1120885.78,19.28,0.57,208095.35,3.58
1120735.88,19.28,0.56,208072.05,3.58
1120735.88,19.28,0.56,208072.05,3.58
1120568.85,19.28,0.56,207989.95,3.58
1120483.03,19.28,0.57,208021.33,3.58
1120316.0,19.28,0.57,208016.73,3.58
1120148.96,19.28,0.57,208013.27,3.58
1119927.82,19.28,0.56,207774.42,3.58
1119729.55,19.28,0.56,207705.7,3.58
1119729.55,19.28,0.56,207705.7,3.58
1119562.51,19.28,0.56,207622.47,3.57
1119583.45,19.28,0.57,207723.1,3.58
1119830.46,19.29,0.57,208129.64,3.58
1119830.46,19.29,0.57,208104.15,3.58
