ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
129,282,217200,6212,217200
129,282,218200,6212,218200
130,284,219010,6212,219010
130,284,219330,6212,219330
131,286,220140,6212,220140
132,288,221140,6212,221140
132,288,222140,6212,222140
132,288,222140,6212,222140
132,288,223140,6212,223140
133,290,223790,6212,223790
133,290,223790,6212,223790
133,290,224790,6212,224790
134,292,226790,6212,226790
134,292,227020,6212,227020
135,294,227490,6212,227490
135,294,228490,6212,228490
136,296,229300,6212,229300
136,296,230300,6212,230300
137,298,231300,6212,231300
137,298,232300,6212,232300
138,300,233110,6212,233110
138,300,233110,6212,233110
138,300,233920,6212,233920
138,300,234510,6212,234510
138,300,234830,6212,234830
139,302,235830,6212,235830
140,310,235830,6212,235830
140,310,235830,6212,235830
140,310,236300,6212,236300
141,312,237110,6212,237110
141,312,237110,6212,237110
141,312,238110,6212,238110
141,312,238340,6212,238340
142,314,239340,6212,239340
142,314,240340,6212,240340
142,314,241340,6212,241340
142,314,241340,6212,241340
142,314,241660,6212,241660
142,314,242130,6212,242130
143,316,243130,6212,243130
144,324,243130,6212,243130
144,324,243780,6212,243780
144,324,244590,6212,244590
145,332,252590,6212,252590
146,334,253590,6212,253590
146,334,254590,6212,254590
147,336,255590,6212,255590
147,336,256240,6212,256240
148,338,257240,6212,257240
148,338,257710,6212,257710
149,340,258710,6212,258710
149,340,259710,6212,259710
150,342,260710,6212,260710
150,342,261710,6212,261710
151,344,262710,6212,262710
151,344,262940,6212,262940
151,344,263940,6212,263940
152,346,264940,6212,264940
152,346,265750,6212,265750
153,348,266560,6212,266560
153,348,267030,6212,267030
153,348,268030,6212,268030
154,352,269030,6212,269030
154,352,270030,6212,270030
155,354,271030,6212,271030
155,354,271030,6212,271030
155,354,271580,6212,271580
156,356,272050,6212,272050
157,358,272700,6212,272700
157,358,272700,6212,272700
157,358,273700,6212,273700
158,360,274700,6212,274700
158,360,275510,6212,275510
158,360,275980,6212,275980
159,362,276980,6212,276980
159,362,277980,6212,277980
159,362,278980,6212,278980
159,362,279790,6212,279790
160,364,280790,6212,280790
161,372,288790,6212,288790
161,372,289600,6212,289600
162,374,290600,6212,290600
162,374,291150,6212,291150
163,376,292150,6212,292150
163,376,293150,6212,293150
163,376,293620,6212,293620
164,378,294620,6212,294620
164,378,295430,6212,295430
165,380,296080,6212,296080
165,380,297080,6212,297080
166,382,298080,6212,298080
166,382,299080,6212,299080
167,384,300080,6212,300080
167,384,301080,6212,301080
168,386,302080,6212,302080
168,386,303080,6212,303080
169,388,304080,6212,304080
169,388,304550,6212,304550
170,390,305550,6212,305550
170,390,305550,6212,305550
170,390,306550,6212,306550
170,390,306550,6212,306550
171,392,307550,6212,307550
171,392,308550,6212,308550
171,392,308550,6212,308550
172,394,309550,6212,309550
172,394,309780,6212,309780
173,402,310780,6212,310780
173,402,311780,6212,311780
173,402,311780,6212,311780
173,402,311780,6212,311780
173,402,312240,6212,312240
173,402,313240,6212,313240
173,402,314050,6212,314050
173,402,314050,6212,314050
173,402,315050,6212,315050
173,402,315270,6212,315270
173,402,316270,6212,316270
173,402,317080,6212,317080
173,402,318080,6212,318080
173,402,318540,6212,318540
174,404,319350,6212,319350
174,404,320160,6212,320160
175,406,320810,6212,320810
175,406,321810,6212,321810
175,406,322040,6212,322040
176,408,323040,6212,323040
177,412,324040,6212,324040
177,412,325040,6212,325040
177,412,326040,6212,326040
177,412,326510,6212,326510
177,412,326980,6212,326980
178,414,327980,6212,327980
179,416,328980,6212,328980
179,416,329980,6212,329980
180,418,330980,6212,330980
180,418,331300,6212,331300
181,420,332300,6212,332300
181,420,333110,6212,333110
182,422,333920,6212,333920
182,422,334920,6212,334920
183,424,335920,6212,335920
183,424,336920,6212,336920
184,426,337730,6212,337730
184,426,338540,6212,338540
185,428,339540,6212,339540
185,428,340010,6212,340010
186,430,341010,6212,341010
187,438,341010,6212,341010
187,438,341010,6212,341010
187,438,342010,6212,342010
187,438,342010,6212,342010
188,440,343010,6212,343010
188,440,343010,6212,343010
188,440,343820,6212,343820
189,442,344820,6212,344820
189,442,345050,6212,345050
189,442,346050,6212,346050
190,444,346860,6212,346860
190,444,347670,6212,347670
190,444,347670,6212,347670
191,446,348670,6212,348670
191,446,349020,6212,349020
191,446,350020,6212,350020
192,448,351020,6212,351020
192,448,351020,6212,351020
192,448,351340,6212,351340
192,448,352340,6212,352340
193,450,353340,6212,353340
193,450,353340,6212,353340
193,450,354340,6212,354340
194,452,355340,6212,355340
194,452,356150,6212,356150
195,454,357150,6212,357150
195,454,357150,6212,357150
195,454,358150,6212,358150
196,456,359150,6212,359150
196,456,360150,6212,360150
196,456,360620,6212,360620
197,458,361620,6212,361620
197,458,362620,6212,362620
198,460,363430,6212,363430
198,460,364240,6212,364240
199,462,365240,6212,365240
199,462,365240,6212,365240
199,462,365240,6212,365240
199,462,366240,6212,366240
200,464,366470,6212,366470
200,464,367470,6212,367470
201,472,368470,6212,368470
201,472,369280,6212,369280
201,472,369930,6212,369930
201,472,369930,6212,369930
201,472,370930,6212,370930
201,472,371930,6212,371930
201,472,372390,6212,372390
201,472,373200,6212,373200
201,472,374200,6212,374200
201,472,375200,6212,375200
202,476,376200,6212,376200
202,476,377200,6212,377200
202,476,378010,6212,378010
202,476,378010,6212,378010
203,478,379010,6212,379010
203,478,380010,6212,380010
203,478,381010,6212,381010
203,478,381480,6212,381480
204,480,382480,6212,382480
204,480,383480,6212,383480
204,480,383480,6212,383480
205,482,384480,6212,384480
205,482,385290,6212,385290
206,484,385520,6212,385520
206,484,386520,6212,386520
207,486,387520,6212,387520
207,486,388520,6212,388520
207,486,389520,6212,389520
208,488,389990,6212,389990
209,490,390990,6212,390990
209,490,391990,6212,391990
210,492,392990,6212,392990
210,492,393990,6212,393990
210,492,394800,6212,394800
211,494,395800,6212,395800
211,494,396800,6212,396800
211,494,397800,6212,397800
211,494,398030,6212,398030
212,502,398030,6212,398030
213,504,399030,6212,399030
213,504,399840,6212,399840
214,506,400840,6212,400840
215,508,401840,6212,401840
215,508,402160,6212,402160
216,512,403160,6212,403160
216,512,403160,6212,403160
216,512,404160,6212,404160
216,512,404970,6212,404970
216,512,405520,6212,405520
216,512,405520,6212,405520
216,512,405680,6212,405680
216,512,406000,6212,406000
216,512,406810,6212,406810
217,514,407280,6212,407280
218,516,408280,6212,408280
218,516,409090,6212,409090
218,516,409560,6212,409560
219,518,410020,6212,410020
219,518,411020,6212,411020
220,520,412020,6212,412020
220,520,413020,6212,413020
220,520,413240,6212,413240
220,520,413240,6212,413240
221,522,414240,6212,414240
222,530,422240,6212,422240
222,530,423240,6212,423240
223,532,424050,6212,424050
223,532,424050,6212,424050
223,532,425050,6212,425050
224,534,426050,6212,426050
224,534,426270,6212,426270
225,536,426920,6212,426920
225,536,427920,6212,427920
226,538,428920,6212,428920
227,540,429920,6212,429920
227,540,430570,6212,430570
227,540,431380,6212,431380
228,542,432380,6212,432380
228,542,433030,6212,433030
229,544,433500,6212,433500
229,544,433500,6212,433500
229,544,434310,6212,434310
229,544,434780,6212,434780
229,544,435250,6212,435250
229,544,435720,6212,435720
230,546,436190,6212,436190
230,546,437000,6212,437000
231,548,438000,6212,438000
231,548,438320,6212,438320
231,548,439320,6212,439320
232,550,440130,6212,440130
232,550,440600,6212,440600
232,550,441600,6212,441600
232,550,441920,6212,441920
233,552,442730,6212,442730
233,552,442890,6212,442890
233,552,443890,6212,443890
234,554,444540,6212,444540
234,554,444540,6212,444540
234,554,445540,6212,445540
234,554,446010,6212,446010
235,556,447010,6212,447010
235,556,447330,6212,447330
235,556,448330,6212,448330
236,558,449330,6212,449330
236,558,449700,6212,449700
237,560,450700,6212,450700
237,560,451700,6212,451700
238,562,452700,6212,452700
239,564,453700,6212,453700
239,564,454700,6212,454700
240,572,455700,6212,455700
240,572,456700,6212,456700
240,572,456700,6212,456700
240,572,456700,6212,456700
240,572,456930,6212,456930
240,572,457930,6212,457930
240,572,457930,6212,457930
240,572,458250,6212,458250
240,572,458720,6212,458720
241,576,459720,6212,459720
241,576,460720,6212,460720
241,576,461720,6212,461720
241,576,462530,6212,462530
241,576,463340,6212,463340
241,576,463820,6212,463820
241,576,464820,6212,464820
241,576,465820,6212,465820
242,578,466820,6212,466820
242,578,466820,6212,466820
243,580,467820,6212,467820
243,580,468820,6212,468820
243,580,469630,6212,469630
244,582,470630,6212,470630
244,582,471100,6212,471100
245,584,472100,6212,472100
245,584,472910,6212,472910
245,584,473720,6212,473720
245,584,474720,6212,474720
245,584,475720,6212,475720
245,584,476720,6212,476720
246,586,477530,6212,477530
246,586,477760,6212,477760
246,586,478760,6212,478760
246,586,478760,6212,478760
247,588,479760,6212,479760
247,588,479980,6212,479980
248,590,480450,6212,480450
248,590,481260,6212,481260
249,592,482260,6212,482260
249,592,483260,6212,483260
250,594,484260,6212,484260
250,594,485070,6212,485070
251,596,485660,6212,485660
251,596,486660,6212,486660
252,604,494660,6212,494660
253,606,495210,6212,495210
253,606,496020,6212,496020
253,606,496020,6212,496020
254,608,497020,6212,497020
254,608,498020,6212,498020
254,608,498020,6212,498020
255,610,499020,6212,499020
255,610,500020,6212,500020
255,610,500250,6212,500250
256,612,501250,6212,501250
256,612,501410,6212,501410
257,614,502410,6212,502410
258,616,503410,6212,503410
258,616,504410,6212,504410
258,616,504880,6212,504880
259,618,505350,6212,505350
260,620,505820,6212,505820
261,622,506820,6212,506820
261,622,507630,6212,507630
261,622,508630,6212,508630
261,622,509630,6212,509630
261,622,509950,6212,509950
261,622,510760,6212,510760
261,622,511080,6212,511080
262,624,511550,6212,511550
262,624,512360,6212,512360
263,626,512830,6212,512830
263,626,513830,6212,513830
263,626,514300,6212,514300
263,626,514300,6212,514300
263,626,514620,6212,514620
264,628,515620,6212,515620
265,636,516620,6212,516620
265,636,517430,6212,517430
265,636,518430,6212,518430
265,636,518900,6212,518900
265,636,519220,6212,519220
265,636,519690,6212,519690
265,636,520500,6212,520500
265,636,520970,6212,520970
265,636,521970,6212,521970
265,636,522970,6212,522970
265,636,523970,6212,523970
265,636,523970,6212,523970
266,638,524620,6212,524620
266,638,525620,6212,525620
267,640,526430,6212,526430
267,640,526430,6212,526430
267,640,527240,6212,527240
268,642,528240,6212,528240
268,642,529240,6212,529240
269,644,529710,6212,529710
269,644,529710,6212,529710
269,644,529710,6212,529710
269,644,530710,6212,530710
270,646,531710,6212,531710
271,648,532710,6212,532710
272,650,533710,6212,533710
272,650,534710,6212,534710
272,650,535030,6212,535030
273,652,536030,6212,536030
274,654,537030,6212,537030
274,654,537030,6212,537030
274,654,537030,6212,537030
274,654,538030,6212,538030
275,656,539030,6212,539030
275,656,539500,6212,539500
276,658,540500,6212,540500
276,658,540500,6212,540500
276,658,541150,6212,541150
277,660,542150,6212,542150
278,662,542620,6212,542620
278,662,542620,6212,542620
278,662,542730,6212,542730
278,662,543200,6212,543200
278,662,544200,6212,544200
278,662,544200,6212,544200
279,664,545200,6212,545200
279,664,546200,6212,546200
279,664,547200,6212,547200
280,666,548200,6212,548200
280,666,549200,6212,549200
281,668,550200,6212,550200
282,670,551200,6212,551200
282,670,551430,6212,551430
282,670,552430,6212,552430
283,672,553430,6212,553430
283,672,554240,6212,554240
283,672,555240,6212,555240
284,674,556240,6212,556240
284,674,556700,6212,556700
284,674,557700,6212,557700
284,674,558160,6212,558160
285,676,559160,6212,559160
285,676,559970,6212,559970
285,676,559970,6212,559970
285,676,560970,6212,560970
285,676,561970,6212,561970
286,678,562970,6212,562970
286,678,563780,6212,563780
287,680,564370,6212,564370
287,680,564840,6212,564840
288,682,565840,6212,565840
289,686,569840,6212,569840
289,686,569840,6212,569840
289,686,570310,6212,570310
289,686,570310,6212,570310
289,686,570630,6212,570630
290,688,571440,6212,571440
290,688,572440,6212,572440
291,690,573440,6212,573440
291,690,573440,6212,573440
291,690,574440,6212,574440
291,690,574670,6212,574670
292,692,575670,6212,575670
292,692,576670,6212,576670
293,694,577670,6212,577670
293,694,577670,6212,577670
294,696,578670,6212,578670
294,696,579140,6212,579140
295,698,579790,6212,579790
295,698,580790,6212,580790
295,698,581790,6212,581790
295,698,581790,6212,581790
296,700,582790,6212,582790
296,700,583260,6212,583260
297,702,583580,6212,583580
297,702,584390,6212,584390
297,702,585200,6212,585200
298,704,585670,6212,585670
298,704,586670,6212,586670
299,712,586670,6212,586670
300,714,587670,6212,587670
