ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
660737.34,10.96,0.74,184310.32,3.06
660051.76,10.95,0.73,183564.45,3.04
659627.35,10.94,0.72,183230.57,3.04
659525.13,10.94,0.72,183147.41,3.04
660005.4,10.95,0.73,183243.0,3.04
660091.81,10.95,0.73,183683.82,3.05
659945.56,10.95,0.73,183679.64,3.05
659945.56,10.95,0.73,183679.64,3.05
660319.93,10.96,0.74,183457.44,3.05
660710.35,10.97,0.75,183311.58,3.04
660608.12,10.97,0.75,183303.06,3.04
660505.9,10.97,0.75,183219.89,3.04
660605.42,10.97,0.75,182821.05,3.04
660503.2,10.97,0.75,182729.37,3.04
660400.98,10.97,0.75,182729.37,3.04
660290.98,10.97,0.75,182620.24,3.03
659924.73,10.97,0.74,182227.86,3.03
659822.51,10.97,0.74,182136.17,3.03
660111.29,10.97,0.75,182315.5,3.03
660197.7,10.97,0.75,182429.35,3.03
660523.64,10.98,0.76,182731.88,3.04
660421.42,10.98,0.76,182731.88,3.04
659735.85,10.97,0.75,181986.01,3.03
659959.13,10.98,0.75,182052.97,3.03
659959.13,10.98,0.75,182052.97,3.03
659959.13,10.98,0.75,182052.97,3.03
659856.91,10.98,0.75,182022.42,3.03
659488.74,10.97,0.75,181759.75,3.02
659386.52,10.97,0.75,181698.62,3.02
659284.3,10.97,0.75,181690.09,3.02
659182.08,10.97,0.75,181606.93,3.02
659268.49,10.97,0.75,181895.29,3.03
659268.49,10.97,0.75,181895.29,3.03
658963.13,10.97,0.75,181300.42,3.02
658293.61,10.96,0.74,180630.9,3.01
657799.41,10.95,0.73,180191.03,3.0
658209.63,10.96,0.74,180004.68,3.0
658107.41,10.96,0.74,180011.46,3.0
658107.41,10.96,0.74,180011.46,3.0
657421.83,10.95,0.73,179265.59,2.99
657508.24,10.96,0.73,179379.44,2.99
657406.02,10.96,0.73,179280.97,2.99
657303.8,10.96,0.73,179287.75,2.99
657008.29,10.95,0.73,179056.69,2.98
656906.07,10.95,0.73,178958.22,2.98
656622.61,10.95,0.73,178686.0,2.98
656899.23,10.95,0.73,179045.25,2.99
656899.23,10.95,0.73,179045.25,2.99
656740.61,10.95,0.73,178889.12,2.98
657490.91,10.96,0.74,179117.55,2.99
657505.45,10.97,0.74,179057.39,2.99
657403.23,10.97,0.74,179064.17,2.99
657301.01,10.97,0.74,178965.7,2.99
657301.01,10.97,0.74,178965.7,2.99
657387.42,10.97,0.75,179079.55,2.99
657285.19,10.97,0.75,179086.33,2.99
657182.97,10.97,0.75,178987.86,2.99
656477.59,10.96,0.74,178282.48,2.98
656477.59,10.96,0.74,178282.48,2.98
656375.37,10.96,0.74,178187.04,2.98
656461.78,10.96,0.74,178319.92,2.98
656685.07,10.97,0.75,178386.88,2.98
656582.85,10.97,0.75,178386.88,2.98
656582.85,10.97,0.75,178386.88,2.98
656669.25,10.97,0.75,178675.24,2.98
656567.03,10.97,0.75,178584.59,2.98
656464.81,10.97,0.75,178583.56,2.98
656551.22,10.97,0.75,178697.4,2.99
656449.0,10.97,0.75,178605.71,2.99
656774.94,10.98,0.76,178908.25,2.99
656672.72,10.98,0.76,178908.25,2.99
656570.5,10.98,0.76,178816.56,2.99
656366.06,10.98,0.76,178724.87,2.99
655997.89,10.98,0.75,178462.2,2.99
655895.67,10.98,0.75,178462.2,2.99
655695.53,10.97,0.75,178226.92,2.98
656400.37,10.99,0.76,178335.2,2.98
656104.86,10.98,0.76,178104.13,2.98
656517.05,10.99,0.77,178207.84,2.98
656907.47,11.0,0.78,178061.99,2.98
656483.06,10.99,0.77,178062.79,2.98
657187.9,11.01,0.78,178171.06,2.98
657578.32,11.01,0.79,178025.21,2.98
657578.32,11.01,0.79,178025.21,2.98
657990.52,11.02,0.8,178332.79,2.99
657990.52,11.02,0.8,178332.79,2.99
658076.92,11.02,0.8,178446.64,2.99
657974.7,11.02,0.8,178453.42,2.99
657668.77,11.02,0.8,178245.13,2.99
658149.05,11.03,0.81,178667.69,2.99
657982.35,11.03,0.8,178643.2,2.99
657696.55,11.02,0.8,178324.57,2.99
657796.07,11.03,0.8,177925.73,2.98
657941.39,11.03,0.81,177972.84,2.98
657255.82,11.02,0.8,177226.97,2.97
657153.6,11.02,0.8,177128.5,2.97
657051.38,11.02,0.8,177119.98,2.97
656949.15,11.02,0.8,177036.82,2.97
656846.93,11.02,0.8,177043.6,2.97
657172.88,11.03,0.8,177156.45,2.97
657070.66,11.03,0.8,177057.98,2.97
656702.49,11.02,0.8,176853.44,2.97
656600.27,11.02,0.8,176761.75,2.97
656600.27,11.02,0.8,176761.75,2.97
656926.22,11.03,0.81,177255.22,2.98
656824.0,11.03,0.81,177255.22,2.98
656721.78,11.03,0.81,177163.53,2.97
656036.2,11.02,0.8,176417.66,2.96
655933.98,11.02,0.8,176417.66,2.96
656020.39,11.02,0.8,176531.5,2.97
655800.7,11.02,0.8,176278.49,2.96
655887.1,11.02,0.8,176411.37,2.96
655784.88,11.02,0.8,176418.15,2.96
654967.12,11.02,0.8,176418.15,2.97
655293.06,11.03,0.81,176531.0,2.97
655190.84,11.03,0.81,176432.53,2.97
655088.62,11.03,0.81,176424.01,2.97
654929.99,11.03,0.8,176268.61,2.97
654827.77,11.03,0.8,176185.44,2.97
654725.55,11.03,0.8,176093.76,2.97
654948.84,11.03,0.81,176510.19,2.97
654846.62,11.03,0.81,176510.19,2.97
654744.4,11.03,0.81,176418.5,2.97
654642.18,11.03,0.81,176418.5,2.97
654539.96,11.03,0.81,176425.28,2.97
654437.73,11.03,0.81,176326.81,2.97
654828.15,11.04,0.82,176180.96,2.97
654142.58,11.03,0.81,175435.09,2.96
654040.36,11.03,0.81,175343.4,2.96
653938.14,11.03,0.81,175343.4,2.96
654024.54,11.03,0.81,175457.24,2.96
653922.32,11.03,0.81,175365.56,2.96
653820.1,11.03,0.81,175365.56,2.96
653906.51,11.04,0.82,175498.43,2.96
653906.51,11.04,0.82,175524.52,2.96
653538.34,11.03,0.81,175286.08,2.96
653436.12,11.03,0.81,175194.39,2.96
653333.89,11.03,0.81,175194.39,2.96
653231.67,11.03,0.81,175201.17,2.96
653129.45,11.03,0.81,175102.7,2.96
653027.23,11.03,0.81,175109.48,2.96
652925.01,11.03,0.81,175011.01,2.96
652822.79,11.03,0.81,174919.32,2.96
652822.79,11.03,0.81,174902.91,2.96
653573.09,11.05,0.82,175131.35,2.96
653573.09,11.05,0.82,176887.22,2.99
653470.87,11.05,0.82,176887.22,2.99
653265.37,11.04,0.82,176684.69,2.99
653163.14,11.04,0.82,176593.0,2.99
653253.06,11.05,0.82,177666.09,3.0
653150.83,11.05,0.82,177666.09,3.0
653111.67,11.05,0.82,177636.27,3.0
653009.45,11.05,0.82,177627.75,3.0
653343.47,11.05,0.83,177888.78,3.01
652837.18,11.04,0.82,177298.43,3.0
652734.96,11.04,0.82,177215.27,3.0
652821.36,11.05,0.83,177486.47,3.0
652455.12,11.04,0.82,177094.1,3.0
652366.01,11.04,0.82,176497.77,2.99
652452.41,11.05,0.82,176611.62,2.99
652350.19,11.05,0.82,176519.93,2.99
655908.13,11.11,0.88,178587.9,3.02
657738.47,11.14,0.92,181499.03,3.07
657532.42,11.14,0.91,181203.63,3.07
657430.2,11.14,0.91,181203.63,3.07
657327.98,11.14,0.91,181195.11,3.07
657225.76,11.14,0.91,181111.94,3.07
657449.05,11.14,0.92,181353.42,3.07
657346.83,11.14,0.92,181360.2,3.07
657244.61,11.14,0.92,181261.73,3.07
657142.39,11.14,0.92,181170.05,3.07
657476.41,11.15,0.93,181195.08,3.07
657374.19,11.15,0.93,181195.08,3.07
657271.97,11.15,0.93,181103.39,3.07
657169.75,11.15,0.93,181103.39,3.07
657169.75,11.15,0.93,181103.39,3.07
657067.53,11.15,0.93,181011.7,3.07
656701.28,11.14,0.92,181075.34,3.07
656599.06,11.14,0.92,181075.34,3.07
656496.84,11.14,0.92,181058.6,3.07
656201.33,11.14,0.92,180827.53,3.07
656527.28,11.15,0.92,181085.46,3.07
656159.11,11.14,0.92,180777.17,3.07
656754.34,11.15,0.93,180446.37,3.06
656581.85,11.15,0.93,180640.94,3.07
656907.8,11.16,0.93,180753.79,3.07
656805.58,11.16,0.93,180678.84,3.07
656805.58,11.16,0.93,180678.84,3.07
656703.36,11.16,0.93,180659.17,3.07
656789.76,11.16,0.94,180962.69,3.07
656789.76,11.16,0.94,180962.69,3.07
656421.87,11.15,0.93,180557.2,3.07
656319.64,11.15,0.93,180481.44,3.07
656217.42,11.15,0.93,180389.75,3.07
656115.2,11.15,0.93,180389.75,3.07
655747.03,11.15,0.93,180127.08,3.06
656234.87,11.16,0.94,180035.4,3.06
656625.29,11.17,0.94,179889.54,3.06
656523.07,11.17,0.94,179896.33,3.06
656523.07,11.17,0.94,179896.33,3.06
656523.07,11.17,0.94,179896.33,3.06
656420.85,11.17,0.94,179797.85,3.06
656318.63,11.17,0.94,179767.3,3.06
656216.41,11.17,0.95,179706.17,3.06
656114.19,11.17,0.95,179712.95,3.06
656200.59,11.17,0.95,180519.83,3.07
655908.14,11.17,0.94,180135.13,3.07
655805.92,11.17,0.94,180036.66,3.07
655805.92,11.17,0.94,180036.66,3.07
656100.54,11.17,0.95,179717.72,3.06
655902.93,11.17,0.95,179580.2,3.06
656179.55,11.18,0.95,179488.51,3.06
656179.55,11.18,0.95,180169.93,3.07
656265.96,11.18,0.96,180734.71,3.08
656163.74,11.18,0.96,180726.19,3.08
656208.69,11.18,0.96,181884.1,3.1
656106.47,11.18,0.96,181800.93,3.1
656004.25,11.18,0.96,181807.72,3.1
656090.66,11.18,0.96,181918.78,3.1
656408.53,11.19,0.97,182318.05,3.11
656306.31,11.19,0.97,182219.58,3.11
655620.73,11.18,0.96,181473.71,3.09
655844.02,11.19,0.96,181540.67,3.1
656218.38,11.19,0.97,181318.47,3.09
656059.76,11.19,0.97,181159.84,3.09
655770.91,11.19,0.96,180844.41,3.09
655668.69,11.19,0.96,180835.89,3.09
655566.47,11.19,0.97,180752.72,3.08
655566.47,11.19,0.97,180752.72,3.08
655464.25,11.19,0.97,180661.03,3.08
655464.25,11.19,0.97,180661.03,3.08
655305.62,11.18,0.96,180502.41,3.08
655147.0,11.18,0.96,180373.05,3.08
655233.4,11.19,0.96,180661.42,3.08
655131.18,11.19,0.96,180661.42,3.08
655217.59,11.19,0.97,180775.26,3.09
655608.01,11.2,0.98,180629.41,3.09
655505.79,11.2,0.98,180633.58,3.09
655403.57,11.2,0.98,180533.97,3.08
655489.97,11.2,0.98,180666.84,3.09
654900.19,11.19,0.97,180094.06,3.08
654530.1,11.19,0.97,179702.01,3.07
654427.88,11.19,0.97,179610.33,3.07
654325.66,11.19,0.97,179610.33,3.07
654412.07,11.19,0.97,179724.17,3.07
654802.49,11.2,0.98,179578.32,3.07
654132.97,11.19,0.97,178908.8,3.06
654458.91,11.2,0.97,179211.33,3.07
653773.34,11.19,0.96,178465.46,3.05
653859.74,11.19,0.97,178579.3,3.06
653757.52,11.19,0.97,178586.09,3.06
653655.3,11.19,0.97,178487.62,3.06
655434.27,11.22,1.0,179932.88,3.08
655332.05,11.22,1.0,179841.19,3.08
655229.83,11.22,1.0,179841.19,3.08
655319.74,11.22,1.0,185500.91,3.18
655217.52,11.22,1.0,185470.35,3.18
655115.3,11.22,1.0,185409.22,3.18
655013.08,11.22,1.0,185317.53,3.18
654910.85,11.22,1.0,185317.53,3.18
655321.08,11.23,1.01,185131.19,3.17
655125.57,11.23,1.01,184999.44,3.17
655023.35,11.23,1.01,184904.0,3.17
654337.77,11.22,1.0,184158.13,3.16
654235.55,11.22,1.0,184158.13,3.16
654133.33,11.22,1.0,184149.61,3.16
658581.82,11.3,1.07,186162.08,3.19
658479.6,11.3,1.07,186078.91,3.19
657774.22,11.29,1.06,185373.53,3.18
657672.0,11.29,1.06,185365.01,3.18
657569.78,11.29,1.06,185281.84,3.18
657461.15,11.28,1.06,185176.82,3.18
657547.55,11.29,1.07,185309.69,3.18
657445.33,11.29,1.07,185316.48,3.18
657343.11,11.29,1.07,185218.01,3.18
658047.96,11.3,1.08,185326.28,3.18
659815.15,11.33,1.11,186041.69,3.2
659712.93,11.33,1.11,185950.0,3.19
659799.33,11.34,1.11,186063.85,3.2
659431.16,11.33,1.11,185801.18,3.19
659517.57,11.33,1.11,185934.06,3.2
660256.67,11.35,1.12,186102.21,3.2
660154.45,11.35,1.13,186102.21,3.2
660052.23,11.35,1.13,186109.0,3.2
660446.57,11.35,1.13,186017.31,3.2
659952.32,11.35,1.13,185497.43,3.19
659850.09,11.35,1.13,185398.96,3.19
659936.5,11.35,1.13,186094.88,3.2
659936.5,11.35,1.13,186094.88,3.2
659834.28,11.35,1.13,186086.36,3.2
659834.28,11.35,1.13,186086.36,3.2
659732.06,11.35,1.13,186003.19,3.2
659629.84,11.35,1.13,186009.98,3.2
659527.62,11.35,1.13,185911.5,3.2
659425.4,11.35,1.13,185894.76,3.2
659307.67,11.35,1.13,185691.91,3.2
