ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
420,2098,375200,6212,375200
421,2100,376200,6212,376200
422,2108,377200,6212,377200
423,2110,378010,6212,378010
423,2110,378010,6212,378010
424,2118,379010,6212,379010
424,2118,380010,6212,380010
425,2126,381010,6212,381010
425,2126,381480,6212,381480
426,2128,382480,6212,382480
426,2128,383480,6212,383480
427,2130,383480,6212,383480
427,2130,384480,6212,384480
428,2132,385290,6212,385290
429,2140,385520,6212,385520
429,2140,386520,6212,386520
430,2142,387520,6212,387520
431,2150,388520,6212,388520
432,2158,389520,6212,389520
432,2158,389990,6212,389990
432,2158,390990,6212,390990
433,2166,391990,6212,391990
433,2166,392990,6212,392990
433,2166,393990,6212,393990
434,2168,394800,6212,394800
435,2176,395800,6212,395800
436,2184,396800,6212,396800
436,2184,397800,6212,397800
436,2184,398030,6212,398030
437,2186,398030,6212,398030
437,2186,399030,6212,399030
438,2194,399840,6212,399840
439,2196,400840,6212,400840
440,2204,401840,6212,401840
441,2212,402160,6212,402160
441,2212,403160,6212,403160
442,2220,403160,6212,403160
443,2228,404160,6212,404160
444,2236,404970,6212,404970
444,2236,405520,6212,405520
444,2236,405520,6212,405520
445,2244,405680,6212,405680
446,2246,406000,6212,406000
447,2248,406810,6212,406810
448,2250,407280,6212,407280
448,2250,408280,6212,408280
449,2254,409090,6212,409090
450,2256,409560,6212,409560
