ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1590729.57,26.73,1.22,211821.12,3.56
1590523.38,26.73,1.22,211818.95,3.56
1590317.18,26.73,1.22,211747.88,3.56
1590697.06,26.74,1.23,211749.1,3.56
1590464.53,26.74,1.23,211746.65,3.56
1590231.99,26.74,1.23,211747.67,3.56
1590187.76,26.74,1.24,211757.64,3.56
1590169.6,26.75,1.24,211687.55,3.56
1590348.06,26.75,1.24,211831.26,3.56
1590115.53,26.75,1.24,211822.09,3.56
1589882.99,26.75,1.24,211820.97,3.56
1589676.79,26.75,1.24,211818.95,3.56
1589414.04,26.75,1.24,211797.7,3.57
1589414.04,26.75,1.24,211779.57,3.56
1589623.39,26.76,1.25,211710.83,3.56
1589833.88,26.77,1.26,211716.39,3.56
1589896.32,26.77,1.26,211684.35,3.56
1589912.84,26.77,1.26,211678.53,3.56
1589680.31,26.77,1.26,211681.14,3.56
1589474.11,26.77,1.26,211679.11,3.57
1589455.95,26.77,1.26,211775.5,3.57
1589683.47,26.78,1.27,211839.22,3.57
1589418.91,26.78,1.27,211801.82,3.57
1588812.22,26.77,1.26,211230.51,3.56
1588579.69,26.78,1.26,211235.84,3.56
1588535.46,26.78,1.27,211245.8,3.56
1588280.45,26.78,1.27,210765.96,3.55
1586196.01,26.78,1.27,210710.84,3.56
1586119.76,26.78,1.27,210702.61,3.56
1585913.56,26.78,1.27,210700.44,3.56
1586122.91,26.79,1.28,210631.69,3.56
1585916.71,26.79,1.28,210560.69,3.56
1586044.41,26.8,1.28,210377.22,3.55
1586254.9,26.8,1.29,210382.78,3.55
1585997.05,26.8,1.29,209688.51,3.54
1585952.82,26.81,1.29,209698.47,3.54
1586033.6,26.81,1.3,209698.8,3.54
1585827.4,26.81,1.3,209696.77,3.55
1585594.86,26.81,1.3,209695.65,3.55
1585388.66,26.81,1.3,209625.02,3.55
1585156.13,26.81,1.3,209626.04,3.55
1584890.15,26.81,1.3,209551.24,3.55
1584657.61,26.81,1.3,209550.12,3.55
1584451.42,26.81,1.3,209497.17,3.55
1584218.88,26.82,1.3,209499.78,3.55
1584862.32,26.83,1.31,209829.46,3.55
1584629.78,26.83,1.32,209820.43,3.55
1585310.99,26.84,1.33,210361.98,3.56
1585104.79,26.84,1.33,210359.81,3.56
1586135.65,26.86,1.34,211237.92,3.58
1585929.46,26.86,1.34,211166.92,3.58
1585723.26,26.86,1.34,211095.85,3.58
1586404.47,26.87,1.36,211637.4,3.58
1586198.27,26.87,1.36,211648.31,3.59
1586585.61,26.88,1.36,211661.68,3.59
1586379.41,26.88,1.36,211659.66,3.59
1586173.21,26.88,1.36,211654.48,3.59
1586189.74,26.88,1.36,211641.7,3.59
1586206.27,26.88,1.36,211635.88,3.59
1586394.9,26.89,1.37,211590.96,3.59
1586162.36,26.89,1.37,211640.65,3.59
1586144.2,26.89,1.37,211737.04,3.59
1586160.73,26.89,1.37,211724.26,3.59
1585954.53,26.89,1.37,211653.4,3.59
1586342.37,26.9,1.38,211645.26,3.59
1586136.17,26.9,1.38,211574.4,3.59
1586118.01,26.91,1.38,211565.42,3.59
1585871.79,26.91,1.39,211568.03,3.59
1586356.18,26.92,1.4,211570.8,3.59
1586311.95,26.92,1.4,211580.76,3.59
1586242.41,26.92,1.4,211142.37,3.58
1586336.87,26.93,1.41,211142.7,3.58
1586104.33,26.93,1.41,211133.54,3.58
1586491.67,26.94,1.41,211146.91,3.58
1586529.24,26.94,1.42,210793.08,3.58
1586639.38,26.95,1.43,210544.73,3.58
1586374.82,26.95,1.43,210517.69,3.58
1586116.97,26.95,1.43,209849.31,3.57
1586344.49,26.95,1.43,210446.15,3.58
1586516.0,26.96,1.44,210506.02,3.58
1586309.8,26.96,1.44,210434.95,3.58
1586103.6,26.96,1.44,210543.55,3.58
1585871.07,26.96,1.44,210548.88,3.58
1585606.51,26.96,1.44,210601.31,3.58
1585914.81,26.97,1.44,210598.0,3.58
1585659.81,26.97,1.45,210603.59,3.58
1585568.71,26.97,1.45,210080.36,3.57
1585492.46,26.97,1.45,210061.66,3.57
1585259.92,26.97,1.45,210040.2,3.57
1584995.36,26.97,1.45,210010.96,3.57
1584762.83,26.97,1.45,210016.29,3.57
1584702.07,26.98,1.45,210006.17,3.58
1584683.91,26.98,1.46,210102.56,3.58
1584419.35,26.98,1.46,210070.18,3.58
1584646.87,26.99,1.46,210154.57,3.58
1584414.33,26.99,1.46,210151.96,3.58
1584414.33,26.99,1.46,210140.28,3.58
1584414.33,26.99,1.46,210134.99,3.58
1584208.14,26.99,1.46,210129.76,3.58
1584208.14,26.99,1.46,210110.49,3.58
1583943.58,26.99,1.46,210098.57,3.58
1583975.6,26.99,1.46,210111.31,3.58
1583957.44,26.99,1.47,210207.7,3.58
1583751.24,26.99,1.47,210205.67,3.58
1584138.57,27.0,1.48,210138.57,3.58
1583906.04,27.0,1.48,210134.41,3.58
1583814.94,27.0,1.48,209611.19,3.57
1583737.27,27.01,1.48,209702.67,3.58
1583769.29,27.01,1.48,209715.41,3.58
1583563.09,27.01,1.48,209710.24,3.58
1583833.85,27.01,1.49,209740.33,3.58
1584262.51,27.03,1.5,210539.1,3.59
1584056.31,27.03,1.5,210468.27,3.59
1584056.31,27.03,1.5,210301.79,3.59
1584310.13,27.03,1.51,210315.74,3.59
1584108.58,27.03,1.51,210299.17,3.59
1583876.04,27.03,1.51,210295.01,3.59
1583876.04,27.03,1.51,210266.28,3.59
1583669.84,27.04,1.51,210264.11,3.59
1583437.31,27.04,1.51,210265.13,3.59
1583359.64,27.04,1.51,210603.59,3.6
1583153.44,27.04,1.51,210614.51,3.6
1583153.44,27.04,1.51,210553.4,3.6
1582947.24,27.04,1.51,210548.24,3.6
1582714.7,27.04,1.51,210553.56,3.6
1582482.17,27.04,1.51,210554.59,3.6
1583125.6,27.06,1.53,210884.27,3.6
1582919.41,27.06,1.53,210813.64,3.6
1582713.21,27.06,1.53,210804.13,3.6
1582635.54,27.06,1.53,210980.12,3.61
1582566.0,27.06,1.53,210541.72,3.6
1582364.45,27.06,1.53,210524.69,3.6
1582364.45,27.06,1.53,210463.13,3.6
1582379.95,27.06,1.53,210452.8,3.6
1582101.7,27.06,1.53,210425.76,3.6
1582446.44,27.07,1.54,209986.61,3.59
1582240.24,27.07,1.54,209912.41,3.59
1582034.04,27.07,1.54,209910.38,3.59
1581964.5,27.08,1.54,209471.99,3.59
1582114.13,27.08,1.55,209787.64,3.59
1582130.66,27.08,1.55,209774.86,3.59
1581851.25,27.08,1.55,209156.47,3.58
1581649.7,27.08,1.55,209140.53,3.58
1581836.53,27.09,1.55,209102.38,3.58
1581818.37,27.09,1.56,209777.66,3.59
1581585.83,27.09,1.56,209782.98,3.59
1581353.3,27.09,1.56,209788.31,3.59
1581147.1,27.09,1.56,209717.48,3.59
1580914.56,27.09,1.56,209708.32,3.59
1580896.4,27.1,1.56,209804.71,3.6
1580896.4,27.1,1.56,209672.65,3.59
1580663.86,27.1,1.56,209663.62,3.59
1580399.31,27.1,1.56,209627.13,3.59
1580166.77,27.1,1.56,209614.77,3.59
1580394.29,27.11,1.57,209864.77,3.6
1580188.09,27.11,1.57,209793.7,3.6
1579981.89,27.11,1.57,209788.54,3.6
1579981.89,27.11,1.57,209726.97,3.6
1579717.34,27.11,1.57,209700.85,3.6
1579639.66,27.11,1.57,209792.33,3.6
1580019.55,27.12,1.58,209793.55,3.6
1579754.99,27.12,1.58,209769.07,3.6
1579548.79,27.12,1.58,209716.12,3.6
1579316.26,27.12,1.58,209717.14,3.6
1579083.72,27.12,1.58,209722.47,3.6
1579311.24,27.13,1.59,210028.5,3.61
1579046.68,27.13,1.59,209996.37,3.61
1578814.14,27.13,1.59,209992.21,3.61
1578549.59,27.13,1.59,209967.74,3.61
1578285.03,27.13,1.59,209933.2,3.61
1578266.87,27.13,1.59,210029.58,3.61
1578034.33,27.13,1.59,210034.91,3.61
1577801.79,27.13,1.59,210037.52,3.61
1577537.24,27.13,1.59,209997.6,3.61
1577845.77,27.14,1.6,210289.74,3.62
1578876.63,27.16,1.62,211167.85,3.63
1578598.39,27.16,1.62,211132.56,3.63
1578554.16,27.16,1.62,211142.53,3.63
1578347.96,27.16,1.62,211071.46,3.63
1578115.42,27.16,1.62,211076.78,3.63
1578378.02,27.17,1.63,210986.38,3.63
1578113.46,27.17,1.63,210959.44,3.63
1578122.76,27.17,1.63,211759.62,3.65
1577890.22,27.17,1.63,211764.94,3.65
1577845.99,27.17,1.63,211774.91,3.65
1578015.38,27.18,1.64,211755.43,3.65
