ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
193,468,313740,6212,313740
193,468,314740,6212,314740
193,468,315740,6212,315740
193,468,315740,6212,315740
194,472,316740,6212,316740
194,472,317740,6212,317740
194,472,317740,6212,317740
194,472,318740,6212,318740
194,472,318740,6212,318740
194,472,319740,6212,319740
195,476,319740,6212,319740
195,476,320740,6212,320740
195,476,320740,6212,320740
196,480,321740,6212,321740
196,480,322210,6212,322210
196,480,323210,6212,323210
196,480,324210,6212,324210
197,482,325210,6212,325210
197,482,325210,6212,325210
197,482,326020,6212,326020
197,482,326020,6212,326020
197,482,327020,6212,327020
198,484,327670,6212,327670
198,484,328670,6212,328670
198,484,329140,6212,329140
198,484,329620,6212,329620
198,484,329620,6212,329620
199,486,330620,6212,330620
199,486,331430,6212,331430
199,486,332240,6212,332240
200,488,333050,6212,333050
200,488,334050,6212,334050
201,490,334600,6212,334600
201,490,335070,6212,335070
202,492,336070,6212,336070
202,492,337070,6212,337070
203,494,338070,6212,338070
203,494,338880,6212,338880
204,496,339430,6212,339430
204,496,339590,6212,339590
204,496,340590,6212,340590
205,498,341400,6212,341400
205,498,342400,6212,342400
205,498,342720,6212,342720
206,500,343370,6212,343370
206,500,344370,6212,344370
206,500,344840,6212,344840
207,502,345650,6212,345650
207,502,345650,6212,345650
207,502,346650,6212,346650
208,504,347650,6212,347650
208,504,348460,6212,348460
209,506,349460,6212,349460
209,506,350270,6212,350270
210,508,351270,6212,351270
210,508,351740,6212,351740
211,510,352550,6212,352550
211,510,353200,6212,353200
211,510,353200,6212,353200
212,512,354200,6212,354200
212,512,355010,6212,355010
212,512,355010,6212,355010
213,514,356010,6212,356010
213,514,356820,6212,356820
213,514,356820,6212,356820
214,516,357820,6212,357820
214,516,358820,6212,358820
214,516,359290,6212,359290
214,516,359290,6212,359290
215,518,360290,6212,360290
215,518,361290,6212,361290
215,518,361290,6212,361290
216,520,362290,6212,362290
216,520,363290,6212,363290
216,520,363290,6212,363290
216,520,363760,6212,363760
217,522,364760,6212,364760
217,522,365080,6212,365080
217,522,365890,6212,365890
218,524,366700,6212,366700
218,524,367170,6212,367170
218,524,368170,6212,368170
219,526,368640,6212,368640
219,526,368800,6212,368800
219,526,369270,6212,369270
219,526,369730,6212,369730
220,528,370730,6212,370730
220,528,371540,6212,371540
221,530,372350,6212,372350
221,530,372900,6212,372900
222,532,373550,6212,373550
222,532,374360,6212,374360
223,534,375360,6212,375360
223,534,375360,6212,375360
223,534,376360,6212,376360
224,536,377170,6212,377170
224,536,378170,6212,378170
224,536,378490,6212,378490
225,538,379490,6212,379490
225,538,379810,6212,379810
225,538,380810,6212,380810
225,538,380810,6212,380810
226,540,381810,6212,381810
226,540,382280,6212,382280
227,542,382930,6212,382930
227,542,382930,6212,382930
227,542,382930,6212,382930
227,542,382930,6212,382930
227,542,382930,6212,382930
227,542,383930,6212,383930
228,544,384740,6212,384740
228,544,385550,6212,385550
229,546,386550,6212,386550
229,546,387550,6212,387550
229,546,387550,6212,387550
230,548,388550,6212,388550
230,548,389020,6212,389020
230,548,389830,6212,389830
230,548,389830,6212,389830
231,550,390830,6212,390830
231,550,391830,6212,391830
232,552,392300,6212,392300
232,552,393300,6212,393300
232,552,393760,6212,393760
233,554,394570,6212,394570
233,554,395570,6212,395570
234,556,396570,6212,396570
234,556,397380,6212,397380
235,558,397850,6212,397850
235,558,398850,6212,398850
236,560,399850,6212,399850
236,560,400660,6212,400660
236,560,400890,6212,400890
236,560,400890,6212,400890
237,562,401890,6212,401890
237,562,402890,6212,402890
238,564,403890,6212,403890
238,564,403890,6212,403890
238,564,404700,6212,404700
239,566,405510,6212,405510
239,566,406510,6212,406510
240,568,407510,6212,407510
240,568,408510,6212,408510
241,570,409510,6212,409510
241,570,410510,6212,410510
242,572,411510,6212,411510
242,572,412320,6212,412320
242,572,412320,6212,412320
243,574,413320,6212,413320
243,574,414320,6212,414320
243,574,414320,6212,414320
243,574,414800,6212,414800
243,574,414800,6212,414800
243,574,414800,6212,414800
244,576,415800,6212,415800
244,576,415800,6212,415800
244,576,416800,6212,416800
244,576,416800,6212,416800
244,576,416800,6212,416800
244,576,417120,6212,417120
244,576,417120,6212,417120
245,578,418120,6212,418120
245,578,418120,6212,418120
245,578,418120,6212,418120
245,578,419120,6212,419120
246,580,419930,6212,419930
246,580,419930,6212,419930
246,580,420740,6212,420740
247,582,421740,6212,421740
247,582,422210,6212,422210
247,582,422680,6212,422680
248,584,423160,6212,423160
248,584,424160,6212,424160
248,584,424480,6212,424480
248,584,424480,6212,424480
248,584,424480,6212,424480
249,586,425480,6212,425480
249,586,426480,6212,426480
250,588,427480,6212,427480
250,588,428480,6212,428480
250,588,428480,6212,428480
250,588,428800,6212,428800
251,590,429260,6212,429260
251,590,429730,6212,429730
251,590,429730,6212,429730
251,590,430730,6212,430730
252,592,431730,6212,431730
252,592,431950,6212,431950
252,592,432950,6212,432950
252,592,432950,6212,432950
252,592,432950,6212,432950
252,592,432950,6212,432950
253,594,433420,6212,433420
253,594,434230,6212,434230
253,594,434340,6212,434340
254,596,435340,6212,435340
254,596,436340,6212,436340
254,596,436690,6212,436690
254,596,436850,6212,436850
255,598,437850,6212,437850
255,598,438170,6212,438170
256,600,439170,6212,439170
256,600,439170,6212,439170
256,600,440170,6212,440170
256,600,440400,6212,440400
257,602,441400,6212,441400
257,602,442400,6212,442400
258,604,443210,6212,443210
258,604,443680,6212,443680
258,604,444680,6212,444680
258,604,444680,6212,444680
258,604,444680,6212,444680
259,606,445150,6212,445150
259,606,445620,6212,445620
259,606,446620,6212,446620
260,608,447430,6212,447430
260,608,448430,6212,448430
261,610,449430,6212,449430
261,610,450430,6212,450430
262,612,451430,6212,451430
262,612,451430,6212,451430
262,612,452430,6212,452430
262,612,452430,6212,452430
262,612,452750,6212,452750
263,614,453750,6212,453750
263,614,453980,6212,453980
263,614,454980,6212,454980
264,616,455980,6212,455980
264,616,456980,6212,456980
264,616,456980,6212,456980
265,618,457980,6212,457980
265,618,458980,6212,458980
266,620,459450,6212,459450
266,620,459450,6212,459450
266,620,460450,6212,460450
266,620,460450,6212,460450
267,622,461450,6212,461450
267,622,462450,6212,462450
268,624,463450,6212,463450
268,624,464450,6212,464450
269,626,465260,6212,465260
269,626,465580,6212,465580
269,626,465580,6212,465580
269,626,465580,6212,465580
269,626,465800,6212,465800
269,626,466610,6212,466610
270,628,467610,6212,467610
270,628,467610,6212,467610
270,628,468080,6212,468080
271,630,469080,6212,469080
271,630,469550,6212,469550
271,630,470550,6212,470550
272,632,471020,6212,471020
272,632,472020,6212,472020
273,634,473020,6212,473020
273,634,473020,6212,473020
273,634,473490,6212,473490
273,634,474490,6212,474490
274,636,475300,6212,475300
274,636,475300,6212,475300
274,636,475780,6212,475780
275,638,476780,6212,476780
275,638,477430,6212,477430
276,640,478430,6212,478430
276,640,479430,6212,479430
277,642,480240,6212,480240
277,642,481050,6212,481050
278,644,482050,6212,482050
278,644,482050,6212,482050
278,644,482520,6212,482520
278,644,483520,6212,483520
279,646,484330,6212,484330
279,646,484330,6212,484330
279,646,484330,6212,484330
279,646,484330,6212,484330
279,646,484330,6212,484330
279,646,485330,6212,485330
279,646,485330,6212,485330
280,648,486330,6212,486330
280,648,487330,6212,487330
280,648,487330,6212,487330
281,650,487800,6212,487800
281,650,488800,6212,488800
282,652,489800,6212,489800
282,652,490800,6212,490800
283,654,491610,6212,491610
283,654,491610,6212,491610
283,654,491610,6212,491610
283,654,492200,6212,492200
284,656,493200,6212,493200
284,656,493200,6212,493200
284,656,493200,6212,493200
284,656,494200,6212,494200
285,658,495200,6212,495200
285,658,496200,6212,496200
286,660,497010,6212,497010
286,660,497820,6212,497820
286,660,497820,6212,497820
286,660,498140,6212,498140
287,662,499140,6212,499140
287,662,499950,6212,499950
287,662,499950,6212,499950
287,662,499950,6212,499950
288,664,500420,6212,500420
288,664,501230,6212,501230
288,664,501700,6212,501700
288,664,501700,6212,501700
289,666,502700,6212,502700
289,666,503510,6212,503510
290,668,503980,6212,503980
291,670,505980,6212,505980
291,670,506790,6212,506790
291,670,507110,6212,507110
292,672,507920,6212,507920
292,672,508920,6212,508920
293,674,509920,6212,509920
293,674,510920,6212,510920
294,676,511730,6212,511730
294,676,512100,6212,512100
294,676,512570,6212,512570
294,676,512570,6212,512570
