ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
70,294,261660,6212,261660
71,302,262310,6212,262310
71,302,263310,6212,263310
71,302,263780,6212,263780
71,302,264430,6212,264430
71,302,265430,6212,265430
71,302,266430,6212,266430
71,302,267240,6212,267240
71,302,268240,6212,268240
72,310,269240,6212,269240
72,310,270240,6212,270240
72,310,271050,6212,271050
72,310,271050,6212,271050
72,310,272050,6212,272050
72,310,272520,6212,272520
72,310,273520,6212,273520
72,310,274520,6212,274520
72,310,274840,6212,274840
72,310,275840,6212,275840
72,310,276840,6212,276840
72,310,277430,6212,277430
73,312,278430,6212,278430
73,312,279430,6212,279430
74,320,280430,6212,280430
74,320,281080,6212,281080
74,320,282080,6212,282080
74,320,283080,6212,283080
74,320,284080,6212,284080
74,320,285080,6212,285080
74,320,286080,6212,286080
74,320,286080,6212,286080
74,320,286550,6212,286550
74,320,287020,6212,287020
74,320,287830,6212,287830
75,328,288830,6212,288830
75,328,289830,6212,289830
75,328,290830,6212,290830
76,330,291640,6212,291640
76,330,292110,6212,292110
76,330,292920,6212,292920
76,330,293730,6212,293730
76,330,294540,6212,294540
76,330,295540,6212,295540
76,330,296540,6212,296540
77,332,297350,6212,297350
77,332,298160,6212,298160
78,334,298970,6212,298970
78,334,299290,6212,299290
78,334,299750,6212,299750
78,334,300220,6212,300220
79,342,308220,6212,308220
80,346,308770,6212,308770
80,346,309770,6212,309770
80,346,310580,6212,310580
80,346,311580,6212,311580
80,346,311810,6212,311810
81,348,312280,6212,312280
81,348,312750,6212,312750
81,348,313560,6212,313560
82,350,314560,6212,314560
82,350,315030,6212,315030
83,352,316030,6212,316030
83,352,317030,6212,317030
84,354,318030,6212,318030
84,354,319030,6212,319030
85,362,320030,6212,320030
85,362,320840,6212,320840
85,362,321650,6212,321650
85,362,322120,6212,322120
85,362,323120,6212,323120
85,362,323120,6212,323120
85,362,324120,6212,324120
86,370,332120,6212,332120
86,370,333120,6212,333120
86,370,333590,6212,333590
86,370,334590,6212,334590
87,372,335400,6212,335400
87,372,336400,6212,336400
87,372,336870,6212,336870
88,380,337870,6212,337870
88,380,338870,6212,338870
88,380,339870,6212,339870
88,380,340870,6212,340870
88,380,341340,6212,341340
88,380,342340,6212,342340
88,380,342930,6212,342930
88,380,343930,6212,343930
88,380,344930,6212,344930
88,380,345740,6212,345740
89,388,346740,6212,346740
89,388,347740,6212,347740
89,388,348210,6212,348210
89,388,349210,6212,349210
90,396,357210,6212,357210
90,396,358210,6212,358210
90,396,358530,6212,358530
90,396,359530,6212,359530
90,396,360180,6212,360180
90,396,360180,6212,360180
91,398,361180,6212,361180
91,398,361990,6212,361990
91,398,362460,6212,362460
91,398,362930,6212,362930
91,398,363930,6212,363930
92,406,364930,6212,364930
