ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1287903.78,21.25,0.75,195152.92,3.22
1287698.81,21.25,0.75,195095.52,3.22
1287822.04,21.25,0.76,195792.08,3.23
1287617.07,21.25,0.76,195793.67,3.23
1287944.78,21.26,0.76,195790.43,3.23
1287739.8,21.26,0.76,195788.95,3.23
1287974.23,21.27,0.77,195785.72,3.23
1287769.26,21.27,0.77,195782.49,3.23
1287675.29,21.27,0.77,195634.89,3.23
1287675.29,21.27,0.77,195631.72,3.23
1287909.73,21.27,0.77,195631.72,3.23
1287909.73,21.27,0.77,195628.56,3.23
1287893.53,21.27,0.78,195628.89,3.23
1288505.49,21.28,0.79,195756.33,3.23
1288833.2,21.29,0.79,195753.09,3.23
1288833.2,21.29,0.79,195863.69,3.24
1288628.22,21.29,0.79,195860.46,3.24
1288751.46,21.3,0.8,195857.23,3.24
1288735.26,21.3,0.8,195668.13,3.23
1288912.57,21.3,0.81,195664.89,3.23
1288896.37,21.31,0.81,195662.86,3.23
1288691.39,21.31,0.81,195662.79,3.23
1289478.2,21.32,0.82,196169.65,3.24
1289273.23,21.32,0.82,196184.94,3.24
1289257.03,21.32,0.82,196279.18,3.25
1289257.03,21.32,0.82,196276.01,3.25
1289380.27,21.33,0.83,196272.78,3.25
1289778.48,21.33,0.84,196657.92,3.25
1290176.69,21.34,0.84,196662.24,3.25
1290504.4,21.35,0.85,196660.84,3.25
1290488.2,21.35,0.85,196658.8,3.25
1290488.2,21.35,0.85,196601.4,3.25
1290730.92,21.36,0.86,196598.17,3.25
1291148.63,21.36,0.87,196028.67,3.24
1290943.66,21.36,0.87,196025.44,3.24
1291292.01,21.37,0.87,195968.04,3.24
1291506.61,21.38,0.88,195964.81,3.24
1291506.61,21.38,0.88,195907.41,3.24
1291301.64,21.38,0.88,195904.18,3.24
1291285.44,21.38,0.88,196084.73,3.25
1291080.47,21.38,0.88,196081.5,3.25
1291080.47,21.38,0.88,196079.84,3.25
1290875.49,21.38,0.88,196077.98,3.25
1290875.49,21.38,0.88,196121.93,3.25
1291118.21,21.38,0.89,196118.7,3.25
1290913.24,21.38,0.89,196116.86,3.25
1290913.24,21.38,0.89,196059.46,3.25
1290708.26,21.38,0.89,196058.3,3.25
1290503.28,21.38,0.89,196000.9,3.25
1290298.31,21.38,0.89,195999.04,3.25
1290646.67,21.39,0.89,195999.04,3.25
1290441.69,21.39,0.89,196014.33,3.25
1290441.69,21.39,0.89,196012.67,3.25
1290236.72,21.39,0.89,196009.44,3.25
1290031.74,21.39,0.89,196006.21,3.25
1289826.76,21.39,0.89,196021.5,3.25
1290069.49,21.4,0.9,196018.27,3.25
1290069.49,21.4,0.9,195960.87,3.25
1289864.51,21.4,0.9,195958.8,3.25
1289848.31,21.4,0.9,196053.04,3.25
1289643.34,21.4,0.9,196049.81,3.25
1289766.57,21.4,0.91,196046.58,3.25
1290896.91,21.42,0.93,196839.59,3.27
1291111.51,21.43,0.93,196590.08,3.26
1291106.98,21.43,0.93,196106.49,3.26
1290902.01,21.43,0.93,196104.42,3.26
1290902.01,21.43,0.93,196047.02,3.25
1290902.01,21.43,0.93,196043.86,3.25
1290902.01,21.43,0.93,196040.69,3.25
1290902.01,21.43,0.93,196037.53,3.25
1290902.01,21.43,0.93,196034.3,3.25
1290697.03,21.43,0.93,196049.59,3.26
1290492.06,21.43,0.93,196078.49,3.26
1290873.35,21.44,0.94,196306.56,3.26
1290873.35,21.44,0.94,196249.16,3.26
1290873.35,21.44,0.94,196249.16,3.26
1290873.35,21.44,0.94,196191.76,3.26
1291107.78,21.44,0.95,196282.36,3.26
1290902.81,21.44,0.95,196297.65,3.26
1290697.83,21.44,0.95,196296.17,3.26
1290681.63,21.45,0.95,196294.13,3.26
1291009.34,21.45,0.96,196290.9,3.26
1290804.37,21.45,0.96,196289.5,3.26
1290788.17,21.46,0.96,196383.74,3.26
1290583.19,21.46,0.96,196380.51,3.26
1290817.62,21.46,0.96,196377.28,3.27
1290612.65,21.46,0.97,196378.87,3.27
1290407.67,21.46,0.97,196378.87,3.27
1290407.67,21.46,0.97,196375.72,3.27
1290202.7,21.46,0.97,196318.32,3.27
1290186.5,21.47,0.97,196318.66,3.27
1290798.46,21.48,0.98,196446.09,3.27
1290593.49,21.48,0.98,196496.46,3.27
1290388.51,21.48,0.98,196496.46,3.27
1290388.51,21.48,0.98,196540.41,3.27
1290565.81,21.48,0.99,196537.17,3.27
1290565.81,21.48,0.99,196535.51,3.27
1290360.84,21.48,0.99,196534.35,3.27
1290688.55,21.49,0.99,196531.12,3.27
1290483.57,21.49,0.99,196531.12,3.27
1290278.6,21.49,0.99,196529.26,3.27
1290169.86,21.49,0.99,196313.86,3.27
1289964.89,21.49,0.99,196315.45,3.27
1289759.91,21.49,0.99,196258.05,3.27
1289554.94,21.49,0.99,196200.65,3.27
1289349.96,21.49,0.99,196200.12,3.27
1289144.99,21.49,0.99,196198.29,3.27
1288940.01,21.49,0.99,196195.05,3.27
1288735.03,21.49,0.99,196193.22,3.27
1288530.06,21.49,0.99,196189.99,3.27
1288355.08,21.49,0.99,196112.17,3.27
1288161.77,21.49,0.99,195450.85,3.26
1288145.57,21.49,1.0,195532.24,3.26
1287940.6,21.49,1.0,195530.38,3.26
1287735.62,21.5,1.0,195472.98,3.26
1287735.62,21.5,1.0,195415.58,3.26
1287530.65,21.5,1.0,195415.38,3.26
1287325.67,21.5,1.0,195413.53,3.26
1285685.86,21.5,1.0,195410.3,3.27
1285480.89,21.5,1.0,195408.47,3.27
1285275.91,21.5,1.0,195351.07,3.27
1285275.91,21.5,1.0,195349.41,3.27
1285509.22,21.5,1.01,195083.58,3.26
1285304.24,21.5,1.01,195080.35,3.26
1284855.51,21.5,1.0,194524.95,3.26
1284650.53,21.5,1.0,194523.57,3.26
1284445.56,21.5,1.0,194800.01,3.26
1284240.58,21.5,1.0,194797.94,3.26
1284475.01,21.51,1.01,194797.94,3.26
1284475.01,21.51,1.01,194796.28,3.26
1284709.44,21.51,1.01,194793.05,3.26
1284704.91,21.51,1.02,194309.46,3.25
1284499.94,21.51,1.02,194306.23,3.25
1284294.96,21.52,1.02,194303.0,3.26
1284089.99,21.52,1.02,194301.8,3.26
1283885.01,21.52,1.02,194244.4,3.26
1284119.44,21.52,1.02,194502.49,3.26
1284119.44,21.52,1.02,194350.85,3.26
1284353.87,21.53,1.03,194349.09,3.26
1284148.9,21.53,1.03,194349.09,3.26
1283943.92,21.53,1.03,194349.09,3.26
1283943.92,21.53,1.03,194291.7,3.26
