ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
80,280,225650,6212,225650
80,280,225810,6212,225810
80,280,226130,6212,226130
80,280,226290,6212,226290
81,282,227290,6212,227290
81,282,228290,6212,228290
81,282,229290,6212,229290
82,284,230290,6212,230290
82,284,230760,6212,230760
83,292,231410,6212,231410
83,292,232410,6212,232410
83,292,232880,6212,232880
84,294,233880,6212,233880
84,294,234880,6212,234880
85,296,235880,6212,235880
85,296,236880,6212,236880
86,298,237880,6212,237880
87,300,238880,6212,238880
87,300,239880,6212,239880
87,300,240200,6212,240200
87,300,241200,6212,241200
87,300,242010,6212,242010
87,300,242820,6212,242820
87,300,243290,6212,243290
87,300,244100,6212,244100
87,300,244570,6212,244570
87,300,244890,6212,244890
87,300,245700,6212,245700
87,300,246700,6212,246700
87,300,247290,6212,247290
87,300,248290,6212,248290
87,300,249290,6212,249290
87,300,250100,6212,250100
87,300,251100,6212,251100
87,300,252100,6212,252100
87,300,252750,6212,252750
87,300,253750,6212,253750
87,300,254750,6212,254750
87,300,255560,6212,255560
87,300,256020,6212,256020
87,300,256670,6212,256670
87,300,257670,6212,257670
87,300,258670,6212,258670
88,304,259670,6212,259670
88,304,259720,6212,259720
88,304,260720,6212,260720
88,304,261190,6212,261190
88,304,261660,6212,261660
88,304,262310,6212,262310
88,304,263310,6212,263310
88,304,263780,6212,263780
89,308,264430,6212,264430
89,308,265430,6212,265430
89,308,266430,6212,266430
90,310,267240,6212,267240
90,310,268240,6212,268240
90,310,269240,6212,269240
91,314,270240,6212,270240
91,314,271050,6212,271050
91,314,271050,6212,271050
91,314,272050,6212,272050
91,314,272520,6212,272520
91,314,273520,6212,273520
91,314,274520,6212,274520
91,314,274840,6212,274840
91,314,275840,6212,275840
92,316,276840,6212,276840
93,318,277430,6212,277430
93,318,278430,6212,278430
93,318,279430,6212,279430
94,320,280430,6212,280430
94,320,281080,6212,281080
95,322,282080,6212,282080
95,322,283080,6212,283080
96,324,284080,6212,284080
96,324,285080,6212,285080
97,326,286080,6212,286080
97,326,286080,6212,286080
97,326,286550,6212,286550
97,326,287020,6212,287020
98,328,287830,6212,287830
98,328,288830,6212,288830
99,330,289830,6212,289830
99,330,290830,6212,290830
100,332,291640,6212,291640
100,332,292110,6212,292110
101,334,292920,6212,292920
101,334,293730,6212,293730
102,336,294540,6212,294540
102,336,295540,6212,295540
103,338,296540,6212,296540
103,338,297350,6212,297350
104,340,298160,6212,298160
104,340,298970,6212,298970
104,340,299290,6212,299290
104,340,299750,6212,299750
105,342,300220,6212,300220
106,350,308220,6212,308220
106,350,308770,6212,308770
107,352,309770,6212,309770
107,352,310580,6212,310580
108,354,311580,6212,311580
108,354,311810,6212,311810
108,354,312280,6212,312280
108,354,312750,6212,312750
109,356,313560,6212,313560
110,358,314560,6212,314560
110,358,315030,6212,315030
110,358,316030,6212,316030
110,358,317030,6212,317030
111,360,318030,6212,318030
111,360,319030,6212,319030
112,362,320030,6212,320030
112,362,320840,6212,320840
113,366,321650,6212,321650
113,366,322120,6212,322120
113,366,323120,6212,323120
113,366,323120,6212,323120
114,368,324120,6212,324120
115,376,332120,6212,332120
116,378,333120,6212,333120
116,378,333590,6212,333590
116,378,334590,6212,334590
116,378,335400,6212,335400
116,378,336400,6212,336400
117,380,336870,6212,336870
118,382,337870,6212,337870
