ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
257455.98,4.25,0.4,185970.38,3.07
257606.19,4.25,0.41,185970.26,3.07
257567.73,4.25,0.41,185970.26,3.07
257862.13,4.26,0.41,185970.26,3.07
257494.06,4.25,0.4,185577.71,3.06
257455.59,4.25,0.4,186292.15,3.08
257417.13,4.25,0.4,186292.15,3.08
257378.67,4.25,0.41,186292.15,3.08
257528.88,4.25,0.41,186292.58,3.08
257679.09,4.26,0.41,186292.29,3.08
257829.3,4.26,0.41,186292.15,3.08
257790.84,4.26,0.41,186292.15,3.08
257752.38,4.26,0.41,186948.85,3.09
258141.99,4.27,0.42,187264.17,3.1
258103.53,4.27,0.42,187165.4,3.09
258065.07,4.27,0.42,187131.19,3.09
258026.61,4.27,0.42,187131.19,3.09
257988.15,4.27,0.42,187131.19,3.1
257949.69,4.27,0.42,187131.19,3.1
257581.61,4.26,0.42,186764.94,3.09
257581.61,4.26,0.42,186764.94,3.09
257368.74,4.26,0.41,186440.17,3.08
257663.15,4.26,0.42,186494.51,3.09
257363.22,4.26,0.41,186289.91,3.08
257324.76,4.26,0.41,186380.83,3.08
257324.76,4.26,0.41,186380.83,3.08
257722.45,4.27,0.42,186254.22,3.08
257690.98,4.27,0.42,186262.01,3.08
257645.52,4.27,0.42,187040.17,3.1
257607.06,4.27,0.42,187040.17,3.1
257568.6,4.27,0.42,187040.17,3.1
257540.63,4.27,0.42,186342.32,3.09
257582.45,4.27,0.42,186388.41,3.09
257543.99,4.27,0.42,186408.27,3.09
257694.2,4.27,0.42,186393.29,3.09
257655.73,4.27,0.42,186402.17,3.09
257306.71,4.27,0.42,186017.58,3.08
257268.25,4.27,0.42,186003.81,3.08
257664.86,4.27,0.43,186618.84,3.09
257619.41,4.27,0.43,186625.07,3.1
257913.81,4.28,0.43,186625.07,3.1
257875.35,4.28,0.43,186625.07,3.1
258025.56,4.28,0.43,186625.07,3.1
257987.1,4.28,0.43,186636.11,3.1
257948.64,4.28,0.44,186628.8,3.1
257789.97,4.28,0.43,186473.45,3.09
257751.5,4.28,0.43,186470.75,3.1
257901.71,4.28,0.44,187237.46,3.11
257688.85,4.28,0.43,187079.48,3.11
257385.98,4.27,0.43,186759.27,3.1
257347.52,4.27,0.43,186694.19,3.1
257737.03,4.28,0.43,186561.21,3.1
257698.57,4.28,0.43,186995.78,3.11
257848.78,4.28,0.44,187110.14,3.11
257998.99,4.29,0.44,187240.95,3.11
257630.91,4.28,0.43,186867.94,3.11
257592.45,4.28,0.43,186769.18,3.1
257553.99,4.28,0.43,186734.96,3.1
257515.52,4.28,0.44,186734.96,3.1
257477.06,4.28,0.44,186734.96,3.1
257438.6,4.28,0.44,186750.04,3.11
257400.14,4.28,0.44,186751.36,3.11
257361.68,4.28,0.44,186749.28,3.11
257765.28,4.29,0.44,186790.19,3.11
257726.82,4.29,0.44,186790.19,3.11
257726.82,4.29,0.44,186790.19,3.11
258021.22,4.29,0.45,186790.19,3.11
257982.76,4.29,0.45,186790.19,3.11
257944.3,4.29,0.45,186865.79,3.11
258326.82,4.3,0.45,187805.28,3.13
258470.03,4.3,0.46,187868.65,3.13
258431.57,4.3,0.46,187903.95,3.13
258393.11,4.3,0.46,187924.48,3.13
258354.65,4.3,0.46,187825.71,3.13
258316.19,4.3,0.46,187791.5,3.13
258277.73,4.3,0.46,187791.5,3.13
258137.73,4.3,0.46,187651.5,3.13
258099.27,4.3,0.46,187651.5,3.13
258060.8,4.3,0.46,187659.91,3.13
258022.34,4.3,0.46,187537.91,3.13
257983.88,4.3,0.46,187864.9,3.13
257945.42,4.3,0.46,187866.72,3.13
257580.49,4.3,0.45,187479.27,3.13
257542.03,4.3,0.45,187588.71,3.13
257503.57,4.3,0.45,187546.93,3.13
257349.72,4.3,0.45,187548.18,3.13
257311.26,4.3,0.45,187548.73,3.13
257662.73,4.3,0.46,187480.7,3.13
257624.27,4.3,0.46,187866.58,3.14
257465.59,4.3,0.45,187707.91,3.14
257162.73,4.3,0.45,187413.86,3.13
257005.38,4.29,0.45,187254.98,3.13
256966.92,4.29,0.45,187253.79,3.13
256928.46,4.29,0.45,187397.73,3.13
256781.61,4.29,0.45,186538.0,3.12
256634.76,4.29,0.44,186238.32,3.11
257024.37,4.3,0.45,186505.17,3.12
257318.78,4.3,0.46,186505.17,3.12
257280.31,4.3,0.46,186505.17,3.12
256912.24,4.3,0.45,186153.78,3.11
256873.78,4.3,0.45,186169.94,3.11
256835.31,4.3,0.45,186168.97,3.11
256796.85,4.3,0.45,186160.54,3.12
256758.39,4.3,0.45,186749.49,3.13
256719.93,4.3,0.45,186738.4,3.13
256688.46,4.3,0.45,186429.71,3.12
375561.61,6.29,0.67,308007.88,5.16
375270.04,6.28,0.67,307709.51,5.15
375203.37,6.28,0.67,307560.54,5.15
375317.02,6.29,0.67,307169.89,5.15
375346.46,6.29,0.67,307067.14,5.14
375700.07,6.29,0.68,307198.66,5.15
375813.72,6.3,0.68,306808.01,5.14
375453.44,6.29,0.68,306518.68,5.14
375161.37,6.29,0.67,306214.75,5.13
375190.81,6.29,0.67,306111.99,5.13
375124.14,6.29,0.67,306160.84,5.13
375441.58,6.29,0.68,306210.29,5.13
375374.91,6.29,0.68,306380.86,5.14
375308.25,6.29,0.68,306253.93,5.14
375421.89,6.3,0.68,305863.29,5.13
375266.67,6.3,0.68,305581.2,5.13
375200.0,6.3,0.68,305539.16,5.13
375463.68,6.3,0.69,305621.77,5.13
375397.02,6.3,0.69,305701.87,5.13
375330.35,6.3,0.69,305574.94,5.13
375444.0,6.3,0.69,305184.29,5.12
375805.54,6.31,0.7,305587.62,5.13
376000.32,6.31,0.7,305655.53,5.13
375933.65,6.31,0.7,305609.68,5.13
375866.98,6.31,0.7,305576.75,5.13
375800.32,6.31,0.7,305700.17,5.14
375750.32,6.31,0.7,305650.17,5.14
375683.65,6.31,0.7,305503.98,5.13
375325.44,6.31,0.69,305128.61,5.13
375679.05,6.31,0.7,305260.14,5.13
375942.74,6.32,0.7,305608.06,5.14
375876.07,6.32,0.7,305540.6,5.14
375515.79,6.31,0.7,305284.33,5.13
375779.47,6.32,0.7,305514.5,5.14
375712.81,6.32,0.7,305450.18,5.14
375646.14,6.32,0.7,305345.53,5.14
375759.79,6.32,0.71,304954.88,5.13
375604.56,6.32,0.71,304672.8,5.13
375537.89,6.32,0.71,304551.8,5.12
375471.23,6.32,0.71,304507.8,5.12
375584.88,6.32,0.71,304117.16,5.12
375584.88,6.32,0.71,304075.11,5.12
375518.21,6.32,0.71,303916.66,5.12
375871.82,6.33,0.71,304340.85,5.12
375713.93,6.33,0.71,304053.43,5.12
375647.26,6.33,0.71,303985.97,5.12
375346.91,6.32,0.71,303682.22,5.11
375280.25,6.32,0.71,303580.71,5.11
375213.58,6.32,0.71,303526.48,5.11
375531.02,6.33,0.71,303800.73,5.12
375464.35,6.33,0.71,303757.59,5.12
375397.68,6.33,0.71,303720.23,5.12
375331.02,6.33,0.71,303845.68,5.12
375594.7,6.33,0.72,304009.88,5.13
375528.04,6.33,0.72,303966.74,5.13
375461.37,6.33,0.72,303931.1,5.13
375394.7,6.33,0.72,304054.53,5.13
