ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
182,448,334270,6212,334270
182,448,334590,6212,334590
182,448,335590,6212,335590
182,448,336400,6212,336400
182,448,336720,6212,336720
183,450,337190,6212,337190
183,450,337190,6212,337190
183,450,338190,6212,338190
184,452,339190,6212,339190
184,452,339660,6212,339660
184,452,340660,6212,340660
185,454,341310,6212,341310
185,454,341310,6212,341310
185,454,342310,6212,342310
186,458,343310,6212,343310
186,458,343780,6212,343780
186,458,343780,6212,343780
187,462,344780,6212,344780
187,462,345250,6212,345250
187,462,345250,6212,345250
188,464,346250,6212,346250
188,464,347250,6212,347250
188,464,347250,6212,347250
188,464,347250,6212,347250
189,468,348250,6212,348250
189,468,350250,6212,350250
190,470,351250,6212,351250
190,470,352250,6212,352250
190,470,353250,6212,353250
190,470,353250,6212,353250
190,470,354250,6212,354250
191,472,355250,6212,355250
191,472,355250,6212,355250
191,472,356060,6212,356060
191,472,356870,6212,356870
191,472,357680,6212,357680
191,472,358680,6212,358680
191,472,358680,6212,358680
191,472,359150,6212,359150
192,476,360150,6212,360150
192,476,360150,6212,360150
192,476,360960,6212,360960
192,476,361960,6212,361960
192,476,362280,6212,362280
192,476,363280,6212,363280
193,480,364280,6212,364280
193,480,365090,6212,365090
193,480,366090,6212,366090
193,480,366560,6212,366560
193,480,367560,6212,367560
193,480,368370,6212,368370
194,484,370370,6212,370370
194,484,371370,6212,371370
194,484,372370,6212,372370
194,484,373370,6212,373370
194,484,374370,6212,374370
194,484,375180,6212,375180
195,488,376180,6212,376180
