ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
879325.32,14.71,1.65,401979.62,6.73
879983.68,14.73,1.66,402129.36,6.73
879983.68,14.73,1.66,402129.36,6.73
880269.35,14.73,1.67,401893.9,6.73
880240.08,14.73,1.67,401820.51,6.73
880544.05,14.74,1.68,401559.23,6.72
880829.71,14.75,1.68,401335.39,6.72
881634.11,14.76,1.7,401618.53,6.73
881114.84,14.76,1.69,401043.52,6.72
880595.58,14.75,1.69,400480.12,6.71
880436.85,14.75,1.68,400321.39,6.71
879727.58,14.74,1.67,399556.37,6.69
879018.31,14.73,1.66,398791.36,6.68
879018.31,14.73,1.66,398791.36,6.68
880594.71,14.76,1.69,399802.5,6.7
882327.11,14.79,1.72,400384.98,6.71
885683.78,14.84,1.78,403227.29,6.76
885164.52,14.83,1.77,402663.89,6.75
883929.33,14.83,1.77,402039.95,6.75
885131.73,14.86,1.79,402092.42,6.75
886334.13,14.88,1.81,402144.9,6.75
885624.87,14.87,1.81,401379.88,6.74
885469.48,14.87,1.81,401227.13,6.74
884950.21,14.86,1.8,400663.74,6.73
885758.7,14.88,1.81,400322.3,6.72
885592.42,14.88,1.81,400286.67,6.73
887144.82,14.91,1.84,400689.14,6.73
886607.25,14.9,1.84,400151.57,6.72
886761.52,14.9,1.84,400941.4,6.74
886732.26,14.91,1.84,400856.39,6.74
886732.26,14.91,1.84,400856.39,6.74
887934.66,14.93,1.86,400908.86,6.74
887899.64,14.93,1.87,400653.68,6.74
889102.05,14.95,1.89,400706.16,6.74
890304.45,14.98,1.91,400758.63,6.74
892036.85,15.01,1.94,401341.11,6.75
892817.37,15.02,1.96,401827.44,6.76
892312.95,15.01,1.95,401323.02,6.75
892305.03,15.02,1.95,401315.41,6.75
893088.16,15.03,1.97,401583.86,6.76
893066.19,15.03,1.97,401505.27,6.76
892936.54,15.03,1.97,401438.0,6.76
892418.49,15.03,1.96,400925.82,6.75
893904.82,15.05,1.99,401835.41,6.77
893749.43,15.05,1.99,401756.6,6.77
894019.0,15.06,2.0,402013.62,6.77
893889.34,15.06,2.0,401911.48,6.77
893861.29,15.06,2.0,401889.31,6.77
894578.85,15.08,2.01,402019.21,6.78
894423.46,15.08,2.01,401940.41,6.77
893715.41,15.07,2.0,401238.23,6.76
893197.37,15.06,2.0,400726.06,6.76
892821.52,15.05,1.99,400419.46,6.75
892303.48,15.05,1.98,399907.28,6.74
892137.2,15.05,1.98,399797.7,6.74
891619.15,15.04,1.98,399285.53,6.74
891489.5,15.04,1.98,399218.26,6.74
890781.45,15.03,1.97,398516.08,6.72
890073.4,15.02,1.96,397813.91,6.71
889918.02,15.02,1.96,397661.16,6.71
890369.17,15.03,1.97,398112.31,6.72
890202.9,15.03,1.97,398076.68,6.72
890047.51,15.03,1.97,397925.55,6.72
890047.51,15.03,1.97,397925.55,6.72
890047.51,15.03,1.97,397925.55,6.72
890047.51,15.03,1.97,397925.55,6.72
889529.46,15.02,1.96,397413.37,6.71
889799.03,15.03,1.96,397818.6,6.72
890097.81,15.04,1.97,398163.15,6.73
891142.71,15.05,1.99,398465.64,6.73
891114.67,15.06,1.99,398443.46,6.73
890959.28,15.05,1.99,398380.5,6.73
890583.44,15.05,1.99,397998.03,6.73
890417.16,15.05,1.99,397872.61,6.72
890417.16,15.05,1.99,397872.61,6.72
890287.51,15.05,1.99,397805.34,6.72
889989.46,15.05,1.98,397513.16,6.72
889291.45,15.04,1.97,396771.16,6.71
890009.01,15.05,1.99,396973.23,6.71
889879.36,15.05,1.99,396905.96,6.71
889879.36,15.05,1.99,396905.96,6.71
888834.2,15.05,1.99,396572.98,6.72
889879.11,15.07,2.01,396875.47,6.72
889371.1,15.07,2.0,396323.47,6.71
889215.72,15.07,2.0,396172.33,6.71
888927.71,15.06,2.0,395840.33,6.71
888284.39,15.06,2.0,394682.64,6.69
887776.38,15.06,1.99,394130.64,6.68
887610.11,15.06,1.99,394093.39,6.69
887610.11,15.06,1.99,394093.39,6.69
886564.95,15.06,1.99,393760.41,6.69
886564.95,15.06,1.99,393760.41,6.69
886845.4,15.07,2.0,393825.73,6.69
886679.13,15.07,2.0,393938.63,6.69
886679.13,15.07,2.0,393938.63,6.69
886761.12,15.07,2.0,393976.63,6.69
886761.12,15.07,2.0,393976.63,6.69
886872.94,15.07,2.01,394055.6,6.7
886717.55,15.07,2.01,393904.46,6.69
886551.28,15.07,2.01,393867.22,6.7
886748.98,15.07,2.01,393920.26,6.7
887466.53,15.09,2.03,394102.43,6.7
887466.53,15.09,2.03,394102.43,6.7
887435.78,15.09,2.03,394366.35,6.71
887280.39,15.09,2.03,394303.39,6.71
886477.35,15.08,2.01,393471.93,6.69
886738.82,15.08,2.02,393733.4,6.7
886322.73,15.08,2.01,393105.02,6.69
886212.68,15.08,2.01,393528.95,6.7
886046.41,15.08,2.01,393403.53,6.69
885630.32,15.07,2.01,392987.44,6.69
885403.08,15.07,2.01,392827.37,6.69
885683.53,15.08,2.01,392892.68,6.69
885683.53,15.08,2.01,392892.68,6.69
885517.26,15.08,2.01,393005.59,6.69
885361.87,15.08,2.01,392861.54,6.69
884986.03,15.07,2.01,392554.94,6.68
884819.75,15.07,2.01,392510.6,6.69
884991.72,15.07,2.01,392519.53,6.69
884991.72,15.07,2.01,392519.53,6.69
884825.44,15.07,2.01,392646.42,6.69
884695.79,15.07,2.01,392579.14,6.69
885874.63,15.1,2.03,392988.32,6.7
885874.63,15.1,2.03,392988.32,6.7
885744.97,15.1,2.03,392921.05,6.7
886923.81,15.12,2.05,393330.23,6.7
