ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
886557.79,14.92,2.65,808884.75,13.61
886557.79,14.92,2.65,808884.75,13.61
886366.74,14.92,2.65,808709.86,13.61
885986.8,14.91,2.65,808329.34,13.61
886187.5,14.92,2.65,808225.79,13.6
886438.05,14.92,2.66,808212.26,13.61
886213.77,14.92,2.66,808025.86,13.6
886005.03,14.92,2.65,807865.55,13.6
885623.43,14.91,2.65,807625.51,13.6
885623.43,14.91,2.65,807625.51,13.6
885432.37,14.91,2.65,807373.59,13.6
885396.9,14.91,2.65,807510.34,13.6
885172.63,14.91,2.65,807400.97,13.6
885172.63,14.91,2.65,807031.33,13.6
885517.83,14.92,2.65,807037.11,13.6
885326.78,14.92,2.65,806781.76,13.59
884596.11,14.91,2.64,805998.76,13.58
884371.84,14.91,2.64,805892.82,13.58
884180.78,14.91,2.64,805717.93,13.58
883956.51,14.9,2.64,805531.53,13.58
883637.77,14.9,2.64,805559.22,13.58
883446.71,14.9,2.64,805299.56,13.58
883222.44,14.9,2.63,805197.93,13.58
883186.97,14.9,2.64,805192.94,13.58
883184.72,14.9,2.64,805133.5,13.59
882769.39,14.9,2.64,804772.21,13.58
883152.36,14.91,2.64,805109.69,13.59
883369.31,14.91,2.65,804777.02,13.59
883671.29,14.92,2.65,806151.57,13.61
883437.66,14.92,2.65,806068.08,13.61
883246.61,14.91,2.65,805816.16,13.61
883497.15,14.92,2.66,805802.63,13.61
882752.9,14.91,2.65,805058.37,13.6
882528.63,14.91,2.64,804949.01,13.6
882718.06,14.91,2.65,804588.81,13.59
882527.0,14.91,2.65,804336.88,13.59
882491.54,14.92,2.65,804500.73,13.6
882267.26,14.91,2.65,804391.37,13.6
882267.26,14.91,2.65,804204.08,13.59
881885.66,14.91,2.64,803936.95,13.59
881883.41,14.91,2.65,803877.51,13.59
885324.06,14.97,2.7,807767.53,13.66
885288.59,14.97,2.71,807796.68,13.66
885539.14,14.98,2.71,807783.15,13.66
885334.46,14.97,2.71,807540.9,13.66
885143.41,14.97,2.71,807281.24,13.66
884919.13,14.97,2.71,807179.61,13.66
884883.67,14.97,2.71,807343.46,13.66
884881.42,14.97,2.71,807284.02,13.66
884881.42,14.97,2.71,807284.02,13.66
884690.36,14.97,2.71,807109.13,13.66
884308.76,14.97,2.7,806842.0,13.66
883291.34,14.97,2.71,806030.6,13.66
883255.87,14.97,2.71,806059.75,13.66
883506.42,14.98,2.71,806046.22,13.67
883506.42,14.98,2.71,806046.22,13.67
882789.69,14.97,2.7,805329.5,13.66
882565.42,14.97,2.7,805143.09,13.65
882374.36,14.97,2.7,804883.43,13.65
881992.76,14.96,2.7,804643.39,13.65
881768.48,14.96,2.7,804541.77,13.65
884807.74,15.01,2.75,807126.27,13.69
884047.69,15.01,2.74,806291.63,13.69
884206.37,15.01,2.75,806623.13,13.7
884015.31,15.01,2.75,806367.23,13.69
884208.58,15.02,2.75,807071.68,13.71
883984.3,15.01,2.75,806966.29,13.71
883982.06,15.02,2.75,806906.85,13.71
