ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
924806.63,15.19,1.59,200936.12,3.3
924153.87,15.18,1.59,200224.3,3.29
924193.17,15.18,1.59,200176.28,3.29
923730.41,15.18,1.58,199654.46,3.28
924396.2,15.19,1.59,199765.76,3.28
925957.23,15.22,1.62,200274.53,3.29
925754.47,15.22,1.62,200012.71,3.29
925265.7,15.21,1.61,199523.94,3.28
926826.72,15.24,1.64,200032.71,3.29
927031.95,15.24,1.65,199637.64,3.28
927018.89,15.24,1.65,199624.58,3.28
927113.9,15.25,1.65,200447.73,3.3
926651.14,15.24,1.65,199925.91,3.29
928015.06,15.26,1.67,200757.1,3.3
928066.76,15.27,1.67,200808.8,3.3
928381.68,15.27,1.68,200596.57,3.3
931837.84,15.33,1.73,203715.53,3.35
932152.76,15.34,1.74,203489.22,3.35
931689.14,15.33,1.74,202979.79,3.34
932332.72,15.34,1.75,203142.28,3.34
932651.3,15.35,1.75,203341.65,3.35
936107.46,15.41,1.81,206460.62,3.4
935644.7,15.4,1.81,205924.72,3.39
935181.94,15.4,1.8,205402.91,3.38
935233.63,15.4,1.8,205521.2,3.38
935548.55,15.41,1.81,205294.88,3.38
935390.9,15.4,1.81,205067.21,3.38
934928.14,15.4,1.8,204545.39,3.37
935760.99,15.41,1.82,204865.28,3.37
935812.68,15.42,1.82,205078.43,3.38
935864.37,15.42,1.82,205196.72,3.38
936205.3,15.43,1.83,204937.36,3.38
939661.46,15.49,1.89,208056.33,3.43
939525.5,15.49,1.89,208013.8,3.43
940719.79,15.51,1.91,208860.06,3.44
940814.8,15.51,1.91,209683.21,3.46
941647.66,15.52,1.93,210003.1,3.46
942191.44,15.53,1.94,211029.3,3.48
942857.23,15.55,1.95,211140.6,3.48
943500.81,15.56,1.96,211303.1,3.48
943012.04,15.55,1.96,210814.33,3.48
