ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
962338.22,15.89,2.32,260264.75,4.3
962563.98,15.89,2.32,260244.22,4.3
964292.66,15.92,2.35,261312.47,4.31
964851.19,15.93,2.36,261410.25,4.32
964851.19,15.93,2.36,261410.25,4.32
965051.33,15.93,2.37,261410.72,4.32
964913.99,15.93,2.37,260878.0,4.31
964965.52,15.94,2.37,260531.69,4.3
965017.05,15.94,2.37,260311.6,4.3
965352.59,15.95,2.38,260264.61,4.3
966065.5,15.96,2.39,260563.39,4.3
966065.5,15.96,2.39,260563.39,4.3
966065.5,15.96,2.39,260563.39,4.3
966778.4,15.97,2.41,260862.16,4.31
966731.22,15.97,2.41,260670.11,4.31
966971.54,15.98,2.41,260777.41,4.31
967684.45,15.99,2.43,261076.18,4.31
967420.22,15.99,2.42,260565.65,4.31
967735.98,15.99,2.43,260635.13,4.31
967578.79,15.99,2.43,260477.93,4.31
968052.72,16.0,2.44,260460.63,4.31
969108.73,16.02,2.45,261251.6,4.32
968844.5,16.02,2.45,260741.07,4.31
969551.84,16.03,2.46,261484.55,4.32
969539.34,16.03,2.46,261268.09,4.32
969446.59,16.03,2.46,261210.1,4.32
970237.92,16.04,2.48,261304.87,4.32
970100.58,16.04,2.48,260772.15,4.31
970502.02,16.05,2.48,260830.31,4.31
971558.03,16.07,2.5,261621.28,4.33
972614.04,16.09,2.52,262412.25,4.34
972575.68,16.09,2.52,262029.86,4.33
972438.34,16.09,2.52,261497.14,4.33
972996.87,16.1,2.53,261594.92,4.33
972707.01,16.1,2.53,261105.39,4.32
972569.67,16.1,2.53,260572.66,4.31
972621.2,16.1,2.53,260226.36,4.31
972932.75,16.1,2.54,260248.44,4.31
972984.28,16.11,2.54,259902.13,4.3
973381.42,16.12,2.55,260036.68,4.31
973147.02,16.11,2.55,259829.16,4.3
973198.55,16.12,2.55,260018.43,4.31
973100.39,16.12,2.55,260135.1,4.31
976557.74,16.17,2.61,263315.47,4.36
976727.14,16.18,2.61,263225.95,4.36
976778.67,16.18,2.61,263415.21,4.36
976830.2,16.18,2.62,263533.68,4.37
980287.54,16.24,2.67,266714.05,4.42
980441.81,16.24,2.68,266720.69,4.42
980607.71,16.25,2.68,266598.43,4.42
980373.31,16.24,2.68,266390.9,4.41
980424.84,16.25,2.68,266469.3,4.42
980476.37,16.25,2.68,266587.77,4.42
980527.9,16.25,2.69,266646.82,4.42
980682.17,16.26,2.69,267796.4,4.44
980733.7,16.26,2.69,267687.91,4.44
980599.62,16.26,2.69,267368.4,4.43
980599.62,16.26,2.69,267736.21,4.44
980651.15,16.26,2.7,267854.69,4.44
984108.5,16.32,2.75,271035.05,4.49
984160.03,16.32,2.76,271094.1,4.5
983910.35,16.32,2.75,270942.29,4.49
985282.92,16.34,2.78,272304.49,4.52
985018.06,16.34,2.77,272023.42,4.51
988475.41,16.4,2.83,275203.79,4.57
988629.67,16.4,2.84,275210.42,4.57
988681.2,16.41,2.84,275328.9,4.57
989975.99,16.43,2.86,275989.25,4.58
990027.52,16.43,2.86,276048.3,4.58
990079.05,16.43,2.87,276166.77,4.58
990130.58,16.44,2.87,276225.82,4.59
990182.11,16.44,2.87,276344.29,4.59
990336.37,16.44,2.88,276252.77,4.59
990179.18,16.44,2.88,276095.58,4.58
990009.25,16.44,2.87,277017.16,4.6
990410.69,16.45,2.88,277391.94,4.61
990414.54,16.45,2.88,277018.64,4.6
990688.0,16.45,2.89,277293.54,4.61
990739.53,16.46,2.89,277352.59,4.61
990524.47,16.46,2.89,277352.24,4.61
990576.0,16.46,2.89,277470.72,4.61
990576.0,16.46,2.89,277470.72,4.61
990736.32,16.46,2.9,277826.29,4.62
991044.14,16.47,2.9,278533.41,4.63
991275.0,16.47,2.91,278676.86,4.63
991435.32,16.48,2.91,279032.43,4.64
991486.85,16.48,2.91,279150.91,4.64
993066.05,16.51,2.94,279858.58,4.65
993066.05,16.51,2.94,279858.58,4.65
993071.67,16.51,2.94,279860.99,4.65
992845.69,16.51,2.94,279504.2,4.65
992897.22,16.51,2.94,279563.25,4.65
995465.18,16.55,2.99,281812.16,4.69
995311.42,16.55,2.98,281770.85,4.69
995477.32,16.55,2.99,281718.13,4.68
995528.85,16.56,2.99,281906.96,4.69
995580.38,16.56,2.99,282025.44,4.69
995358.82,16.56,2.99,281978.93,4.69
995519.14,16.56,3.0,282334.5,4.7
995688.53,16.57,3.0,282315.77,4.7
995688.53,16.57,3.0,282315.77,4.7
995681.68,16.57,3.0,282515.98,4.7
996258.34,16.58,3.01,282841.75,4.71
999715.69,16.64,3.07,286022.12,4.76
999876.0,16.64,3.07,286377.69,4.77
1000052.26,16.64,3.08,286129.41,4.76
1000044.81,16.64,3.08,285117.92,4.75
1000918.87,16.66,3.09,287289.14,4.78
1001200.21,16.67,3.1,287783.76,4.79
1001469.36,16.67,3.11,287296.16,4.78
1001629.68,16.68,3.11,287234.58,4.78
1001522.49,16.68,3.11,287131.18,4.78
1001286.51,16.67,3.11,287145.11,4.78
1001338.04,16.68,3.11,287263.58,4.78
1001389.57,16.68,3.11,287322.62,4.79
1001441.1,16.68,3.12,287441.1,4.79
1001492.63,16.69,3.12,287500.14,4.79
1001544.16,16.69,3.12,287618.62,4.79
1001595.69,16.69,3.13,287677.66,4.79
1001595.69,16.69,3.13,287677.66,4.79
1001756.0,16.7,3.13,287606.5,4.79
1001807.53,16.7,3.13,288538.47,4.81
1002430.35,16.71,3.14,288777.46,4.81
1002590.67,16.71,3.15,288715.88,4.81
1002590.67,16.71,3.15,288715.88,4.81
1002344.69,16.71,3.15,288978.8,4.82
1002396.22,16.72,3.15,289097.28,4.82
1002396.22,16.72,3.15,288873.21,4.82
1002138.0,16.71,3.15,288596.14,4.81
1002307.4,16.72,3.15,288577.41,4.81
1002461.66,16.72,3.15,288471.92,4.81
1003137.13,16.73,3.17,289958.47,4.84
1003297.45,16.74,3.17,290314.05,4.84
1003605.27,16.74,3.18,291021.17,4.86
1003898.55,16.75,3.18,290995.9,4.85
1003790.54,16.75,3.18,291102.8,4.86
1005369.75,16.78,3.21,291810.48,4.87
1005421.28,16.78,3.21,291928.95,4.87
1005472.81,16.78,3.22,291988.0,4.87
1005642.2,16.79,3.22,291898.48,4.87
1005796.46,16.79,3.22,291905.11,4.87
1005847.99,16.79,3.23,292094.38,4.88
1005841.15,16.79,3.23,292294.59,4.88
1006050.92,16.8,3.23,292277.38,4.88
1006102.45,16.8,3.24,292395.86,4.88
1007294.74,16.82,3.26,294691.05,4.92
1007137.55,16.82,3.25,294553.05,4.92
1007297.86,16.82,3.26,294580.77,4.92
1007297.86,16.82,3.26,294580.77,4.92
1007349.39,16.83,3.26,294699.25,4.92
1007400.92,16.83,3.26,294758.29,4.92
1007452.46,16.83,3.27,294876.76,4.93
1008683.25,16.85,3.29,295448.01,4.94
1008425.03,16.85,3.28,295170.94,4.93
1008189.05,16.85,3.28,295094.75,4.93
1008419.91,16.85,3.29,295238.2,4.93
1008574.18,16.86,3.29,295244.84,4.93
1008337.66,16.85,3.29,295121.5,4.93
1008293.79,16.85,3.29,295109.62,4.93
1008454.11,16.86,3.29,295093.68,4.93
1008876.5,16.87,3.3,297147.08,4.97
1009052.75,16.87,3.3,297083.75,4.97
1009052.75,16.87,3.3,297068.28,4.97
1009334.1,16.88,3.31,296575.97,4.96
1009494.41,16.88,3.31,296514.39,4.96
1009545.94,16.88,3.32,296632.86,4.96
1009548.75,16.88,3.32,296655.11,4.96
1009600.28,16.89,3.32,296714.15,4.96
1009651.81,16.89,3.32,296832.63,4.97
1009651.81,16.89,3.32,296832.63,4.97
1009563.01,16.89,3.32,296950.15,4.97
1009614.54,16.89,3.33,297009.2,4.97
1009783.93,16.9,3.33,296928.9,4.97
1009938.2,16.9,3.33,296911.83,4.97
1009702.22,16.9,3.33,296862.77,4.97
1009702.22,16.9,3.33,296847.98,4.97
1010377.69,16.91,3.34,298341.98,4.99
1010377.69,16.91,3.34,298361.0,4.99
1010203.62,16.91,3.34,297868.37,4.99
1010196.77,16.91,3.34,297831.14,4.99
1010248.3,16.91,3.35,297831.14,4.99
1010408.62,16.92,3.35,298782.97,5.0
1010172.64,16.92,3.35,298550.11,5.0
1010332.96,16.92,3.35,298591.24,5.0
1010487.22,16.92,3.36,298540.81,5.0
1010538.75,16.93,3.36,298659.28,5.0
1010590.28,16.93,3.36,298718.32,5.0
1010332.07,16.93,3.36,298423.4,5.0
1010501.46,16.93,3.36,298333.88,5.0
1010494.62,16.93,3.37,298250.88,5.0
1010324.69,16.93,3.36,299173.62,5.01
1010324.69,16.93,3.36,299252.48,5.01
1010376.22,16.93,3.37,299724.95,5.02
1010287.14,16.93,3.37,299580.34,5.02
1010485.42,16.94,3.37,299654.65,5.02
1011747.19,16.96,3.39,300498.9,5.04
1011534.43,16.96,3.39,300281.72,5.03
1011585.96,16.96,3.39,300442.18,5.04
1011585.96,16.96,3.39,300480.34,5.04
1011746.28,16.96,3.4,300418.76,5.04
1011510.3,16.96,3.39,300425.35,5.04
1011216.36,16.96,3.39,300240.99,5.03
1011219.16,16.96,3.39,300243.45,5.03
1011270.69,16.96,3.39,300361.93,5.04
1011270.69,16.96,3.39,300328.81,5.04
1011431.01,16.96,3.4,300233.38,5.04
1011482.54,16.97,3.4,300292.42,5.04
1011246.56,16.96,3.4,301478.6,5.06
1011783.47,16.97,3.41,301234.17,5.05
1011788.21,16.98,3.41,301070.42,5.05
1011948.53,16.98,3.41,301041.66,5.05
1012000.06,16.98,3.42,301216.62,5.06
1012000.06,16.98,3.42,301216.62,5.06
1012000.06,16.98,3.42,301254.38,5.06
1012051.59,16.99,3.42,301372.85,5.06
1012103.12,16.99,3.42,301431.9,5.06
1011867.14,16.99,3.42,301355.71,5.06
1011918.67,16.99,3.42,301474.18,5.06
1011755.69,16.99,3.42,301369.69,5.06
1011909.96,16.99,3.43,301452.75,5.06
1011961.49,17.0,3.43,301571.23,5.07
1012013.02,17.0,3.43,301630.27,5.07
1011844.8,17.0,3.43,301429.66,5.06
1012034.83,17.0,3.44,301352.45,5.06
1012034.83,17.0,3.44,301351.32,5.06
1011774.9,17.0,3.43,301189.52,5.06
1011929.16,17.0,3.44,301710.88,5.07
1011761.12,17.0,3.44,301505.89,5.07
1011921.43,17.01,3.44,301489.98,5.07
1011972.96,17.01,3.44,301608.46,5.07
1011736.98,17.01,3.44,301595.28,5.07
1011902.88,17.01,3.44,301815.33,5.07
1011954.41,17.01,3.45,301874.38,5.08
1011694.49,17.01,3.44,301646.0,5.07
1011472.92,17.01,3.44,301518.74,5.07
1011638.82,17.01,3.45,301868.81,5.08
1011417.26,17.01,3.44,301680.43,5.07
1011571.52,17.01,3.45,301842.03,5.08
1011401.6,17.01,3.45,301765.95,5.08
1011453.13,17.01,3.45,301884.43,5.08
1011453.13,17.01,3.45,301884.43,5.08
1011662.89,17.02,3.45,301867.22,5.08
1011823.21,17.02,3.46,301894.95,5.08
1011587.23,17.02,3.45,301818.76,5.08
1011638.76,17.02,3.46,301937.23,5.08
1011837.04,17.03,3.46,302053.53,5.08
1011837.04,17.03,3.46,302053.53,5.08
1011543.1,17.02,3.46,301869.18,5.08
1011594.63,17.03,3.46,301987.65,5.08
1011646.16,17.03,3.46,302046.7,5.08
1011697.69,17.03,3.47,302165.17,5.09
1011749.22,17.04,3.47,302224.22,5.09
1011800.75,17.04,3.47,302342.69,5.09
1011852.28,17.04,3.48,302401.73,5.09
1011808.41,17.04,3.48,302389.85,5.09
1011576.85,17.04,3.47,302484.89,5.1
1011786.62,17.05,3.48,302425.34,5.09
1011807.71,17.05,3.48,302389.85,5.09
1011571.18,17.04,3.48,302675.24,5.1
1011740.58,17.05,3.48,302592.64,5.1
1011746.19,17.05,3.48,302607.28,5.1
1011471.14,17.04,3.48,302404.5,5.1
