ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
883800.84,14.42,0.83,169717.24,2.77
884138.98,14.43,0.83,169537.1,2.77
883457.03,14.42,0.83,168855.15,2.76
883795.17,14.43,0.83,168675.01,2.75
883287.77,14.42,0.83,168109.58,2.75
883621.02,14.43,0.83,168989.64,2.76
884851.77,14.45,0.85,169865.04,2.77
885189.91,14.46,0.86,169672.8,2.77
886420.66,14.48,0.88,170548.2,2.79
887651.41,14.5,0.9,171423.6,2.8
888882.16,14.52,0.92,172299.0,2.81
889569.03,14.53,0.93,172403.45,2.82
889061.63,14.52,0.93,171838.02,2.81
890292.38,14.54,0.95,172713.42,2.82
890630.52,14.55,0.95,172533.28,2.82
890987.72,14.56,0.96,172339.79,2.82
890912.52,14.56,0.96,172288.41,2.82
891250.66,14.57,0.97,172108.27,2.81
890645.46,14.56,0.96,171387.99,2.8
890153.51,14.56,0.96,170896.04,2.79
890491.65,14.56,0.97,170715.9,2.79
890355.67,14.56,0.97,170635.71,2.79
891996.41,14.59,0.99,171700.15,2.81
892683.29,14.6,1.0,171804.6,2.81
893021.43,14.61,1.01,171612.36,2.81
894252.18,14.63,1.03,172487.76,2.82
893602.18,14.62,1.02,171837.76,2.81
893526.97,14.62,1.02,171647.48,2.81
892810.52,14.61,1.01,170905.41,2.8
892303.12,14.61,1.01,170339.98,2.79
891795.72,14.6,1.0,169786.65,2.78
891659.74,14.6,1.0,169780.49,2.78
891152.34,14.59,1.0,169215.07,2.77
891490.48,14.6,1.0,169034.93,2.77
892346.9,14.62,1.02,169381.26,2.77
891649.5,14.61,1.01,168625.83,2.76
891044.3,14.6,1.0,167905.55,2.75
890536.9,14.59,1.0,167340.12,2.74
890859.59,14.6,1.0,167086.51,2.74
890842.19,14.6,1.0,167023.18,2.74
890610.25,14.6,1.0,166791.23,2.73
890948.39,14.61,1.01,166599.0,2.73
891286.53,14.61,1.02,166406.76,2.73
891144.58,14.61,1.02,166264.81,2.73
890447.18,14.6,1.01,165509.39,2.71
889939.78,14.6,1.0,164956.06,2.71
890296.98,14.61,1.01,164762.57,2.7
890619.67,14.61,1.02,164508.95,2.7
890602.27,14.61,1.02,164445.62,2.7
890924.96,14.62,1.02,164192.0,2.69
890999.76,14.62,1.03,164151.72,2.69
891337.9,14.63,1.03,163971.58,2.69
891017.9,14.63,1.03,163651.58,2.69
891017.9,14.63,1.03,163651.58,2.69
890301.44,14.62,1.02,162909.51,2.67
893757.53,14.68,1.08,165934.09,2.72
894114.73,14.68,1.09,165714.98,2.72
894452.87,14.69,1.09,165534.84,2.72
893945.47,14.69,1.09,164969.42,2.71
894283.61,14.69,1.1,164789.28,2.71
894283.61,14.69,1.1,164789.28,2.71
894621.75,14.7,1.1,164609.14,2.7
895478.17,14.72,1.12,164955.47,2.71
894951.72,14.71,1.11,164429.01,2.7
895308.91,14.72,1.12,164209.9,2.7
895995.79,14.73,1.13,164314.35,2.7
899451.88,14.79,1.19,167338.94,2.75
901092.62,14.81,1.22,168403.37,2.77
901146.16,14.82,1.22,168456.92,2.77
901128.76,14.82,1.22,168381.49,2.77
901111.36,14.82,1.22,168306.07,2.77
900603.96,14.81,1.21,167740.64,2.76
900467.99,14.81,1.21,167660.45,2.76
899961.86,14.8,1.21,167160.44,2.75
901192.61,14.82,1.23,168035.83,2.76
902833.35,14.85,1.25,169100.27,2.78
903171.49,14.86,1.26,168920.13,2.78
902664.09,14.85,1.26,168354.7,2.77
903453.69,14.87,1.27,168867.61,2.78
904243.28,14.88,1.28,169380.51,2.79
903737.15,14.87,1.28,168880.49,2.78
903728.64,14.87,1.28,168871.98,2.78
903046.69,14.86,1.27,168190.03,2.77
903687.43,14.88,1.28,168254.47,2.77
903933.37,14.88,1.29,167900.28,2.76
904620.25,14.9,1.3,168004.74,2.77
905260.99,14.91,1.31,168069.17,2.77
904754.86,14.9,1.31,167569.15,2.76
905985.61,14.92,1.33,168444.55,2.77
906342.81,14.93,1.33,168225.44,2.77
906680.95,14.94,1.34,168045.3,2.77
905964.49,14.93,1.33,167328.84,2.76
905457.09,14.92,1.33,166763.42,2.75
905475.8,14.93,1.33,166805.96,2.75
906180.23,14.94,1.34,166992.28,2.75
906502.92,14.95,1.35,166738.66,2.75
907359.33,14.96,1.36,167084.99,2.76
907697.47,14.97,1.37,166892.76,2.75
908035.62,14.98,1.38,166712.62,2.75
908031.94,14.98,1.38,166650.72,2.75
908370.08,14.99,1.39,166458.49,2.75
907862.68,14.98,1.38,165905.16,2.74
907355.28,14.97,1.38,165339.74,2.73
906657.88,14.97,1.37,164596.41,2.72
906657.88,14.97,1.37,164763.31,2.72
906521.9,14.97,1.37,164590.25,2.72
907378.32,14.98,1.38,164936.58,2.72
907624.26,14.99,1.39,164582.39,2.72
907549.06,14.99,1.39,164531.01,2.72
907497.12,14.99,1.39,164479.06,2.72
908789.42,15.01,1.41,164588.12,2.72
908283.28,15.0,1.41,164088.1,2.71
907787.61,15.0,1.4,163526.21,2.7
909177.35,15.02,1.43,164823.41,2.72
908681.67,15.02,1.42,164261.52,2.71
908904.57,15.02,1.42,164393.14,2.72
908988.89,15.02,1.43,164411.25,2.72
908988.89,15.02,1.43,164411.25,2.72
912444.98,15.08,1.48,167435.83,2.77
915901.08,15.14,1.54,170460.42,2.82
916671.1,15.15,1.56,170719.62,2.82
916175.42,15.15,1.55,170157.73,2.81
915631.51,15.15,1.55,169951.94,2.81
915626.49,15.15,1.55,170710.16,2.82
915490.51,15.15,1.55,170649.28,2.82
915354.54,15.15,1.55,170623.82,2.82
914668.86,15.14,1.54,169871.93,2.81
914532.88,15.14,1.54,169791.74,2.81
914828.9,15.15,1.55,170226.28,2.82
916330.83,15.18,1.58,171587.03,2.84
917791.95,15.2,1.61,171853.39,2.85
917419.95,15.2,1.6,171472.68,2.84
917316.42,15.2,1.6,171511.99,2.84
918075.88,15.21,1.62,171649.47,2.84
917580.21,15.21,1.61,171087.57,2.84
917575.18,15.21,1.61,170991.83,2.83
917905.34,15.22,1.62,171369.63,2.84
917219.66,15.21,1.61,170617.73,2.83
918044.67,15.22,1.63,171101.96,2.84
917941.14,15.22,1.63,171195.95,2.84
918700.6,15.24,1.64,171388.15,2.84
918500.76,15.24,1.64,171126.54,2.84
918676.86,15.24,1.65,171302.65,2.84
917991.19,15.23,1.64,170550.75,2.83
917991.19,15.23,1.64,170595.63,2.83
917866.03,15.23,1.64,170512.57,2.83
917719.23,15.23,1.64,170464.41,2.83
917615.7,15.24,1.64,170503.72,2.83
918108.87,15.24,1.65,171167.47,2.84
917708.86,15.24,1.64,170546.51,2.83
917308.86,15.24,1.64,169925.55,2.82
917303.02,15.24,1.64,169863.96,2.82
918106.13,15.25,1.65,169781.29,2.82
918106.13,15.25,1.65,169781.29,2.82
918614.55,15.26,1.66,168990.92,2.81
