ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
166,354,199010,6212,199010
166,354,199010,6212,199010
166,354,200010,6212,200010
167,358,200480,6212,200480
167,358,201480,6212,201480
168,360,202480,6212,202480
168,360,203480,6212,203480
168,360,204290,6212,204290
168,360,204290,6212,204290
168,360,205100,6212,205100
168,360,206100,6212,206100
168,360,206910,6212,206910
169,362,207910,6212,207910
169,362,208910,6212,208910
169,362,208910,6212,208910
169,362,209910,6212,209910
169,362,210720,6212,210720
170,364,211720,6212,211720
170,364,212720,6212,212720
170,364,213040,6212,213040
171,366,214040,6212,214040
171,366,214360,6212,214360
171,366,214950,6212,214950
171,366,214950,6212,214950
171,366,215110,6212,215110
171,366,215580,6212,215580
172,370,216050,6212,216050
173,372,217050,6212,217050
173,372,218050,6212,218050
173,372,218050,6212,218050
173,372,218860,6212,218860
174,374,219860,6212,219860
174,374,220860,6212,220860
174,374,221860,6212,221860
174,374,221860,6212,221860
175,378,222860,6212,222860
175,378,223670,6212,223670
175,378,224320,6212,224320
176,382,225320,6212,225320
176,382,225320,6212,225320
176,382,226130,6212,226130
176,382,227130,6212,227130
176,382,228130,6212,228130
176,382,228940,6212,228940
177,384,229940,6212,229940
177,384,230410,6212,230410
178,386,231410,6212,231410
178,386,232410,6212,232410
179,388,234410,6212,234410
179,388,234880,6212,234880
179,388,235880,6212,235880
179,388,236110,6212,236110
180,392,237110,6212,237110
180,392,237430,6212,237430
180,392,237750,6212,237750
180,392,238750,6212,238750
180,392,239340,6212,239340
181,396,240340,6212,240340
181,396,241340,6212,241340
181,396,241340,6212,241340
181,396,241660,6212,241660
181,396,241660,6212,241660
181,396,242470,6212,242470
182,398,243470,6212,243470
182,398,243940,6212,243940
182,398,244170,6212,244170
182,398,244490,6212,244490
182,398,244810,6212,244810
182,398,245620,6212,245620
183,402,246270,6212,246270
183,402,247270,6212,247270
183,402,248270,6212,248270
183,402,249270,6212,249270
184,404,250270,6212,250270
184,404,251270,6212,251270
184,404,251740,6212,251740
185,408,252740,6212,252740
185,408,253210,6212,253210
185,408,254210,6212,254210
185,408,254210,6212,254210
185,408,254680,6212,254680
186,412,255680,6212,255680
186,412,256680,6212,256680
186,412,257680,6212,257680
186,412,258680,6212,258680
186,412,259490,6212,259490
186,412,259810,6212,259810
186,412,260620,6212,260620
187,416,261620,6212,261620
188,424,269620,6212,269620
188,424,270090,6212,270090
188,424,271090,6212,271090
188,424,272090,6212,272090
188,424,272250,6212,272250
189,425,273250,6212,273250
190,429,274250,6212,274250
191,433,274900,6212,274900
191,433,275900,6212,275900
191,433,276900,6212,276900
191,433,277900,6212,277900
191,433,278900,6212,278900
191,433,279900,6212,279900
191,433,280900,6212,280900
191,433,281900,6212,281900
192,435,282900,6212,282900
192,435,283900,6212,283900
192,435,284710,6212,284710
193,439,285710,6212,285710
193,439,286710,6212,286710
193,439,287520,6212,287520
193,439,287520,6212,287520
193,439,287990,6212,287990
193,439,288990,6212,288990
193,439,289990,6212,289990
194,443,290990,6212,290990
194,443,291990,6212,291990
194,443,292990,6212,292990
194,443,293990,6212,293990
195,447,294990,6212,294990
195,447,294990,6212,294990
195,447,295460,6212,295460
195,447,295460,6212,295460
195,447,296460,6212,296460
195,447,296690,6212,296690
195,447,297690,6212,297690
195,447,297690,6212,297690
196,449,298690,6212,298690
196,449,298910,6212,298910
196,449,299910,6212,299910
196,449,300370,6212,300370
196,449,301180,6212,301180
197,451,302180,6212,302180
197,451,302990,6212,302990
198,455,303460,6212,303460
198,455,304460,6212,304460
199,456,305270,6212,305270
199,456,306270,6212,306270
199,456,306270,6212,306270
199,456,306270,6212,306270
199,456,307270,6212,307270
199,456,308270,6212,308270
200,458,309270,6212,309270
200,458,310270,6212,310270
201,460,310920,6212,310920
201,460,311920,6212,311920
201,460,312920,6212,312920
202,462,313920,6212,313920
202,462,314380,6212,314380
202,462,315380,6212,315380
203,464,316380,6212,316380
203,464,317380,6212,317380
203,464,317380,6212,317380
204,466,318380,6212,318380
204,466,318850,6212,318850
205,468,319850,6212,319850
205,468,320850,6212,320850
205,468,321170,6212,321170
205,468,321640,6212,321640
206,470,322110,6212,322110
206,470,322480,6212,322480
206,470,323290,6212,323290
207,472,323760,6212,323760
207,472,324760,6212,324760
207,472,324760,6212,324760
207,472,325760,6212,325760
207,472,326570,6212,326570
207,472,326570,6212,326570
207,472,327040,6212,327040
207,472,328040,6212,328040
208,474,329040,6212,329040
208,474,330040,6212,330040
209,476,330510,6212,330510
209,476,330730,6212,330730
209,476,331730,6212,331730
210,478,332730,6212,332730
210,478,332730,6212,332730
210,478,332730,6212,332730
210,478,333730,6212,333730
211,480,334730,6212,334730
211,480,335730,6212,335730
212,482,336730,6212,336730
212,482,337540,6212,337540
212,482,338000,6212,338000
213,484,339000,6212,339000
213,484,339000,6212,339000
213,484,340000,6212,340000
214,486,340220,6212,340220
214,486,340810,6212,340810
214,486,340810,6212,340810
214,486,341620,6212,341620
215,488,342620,6212,342620
215,488,342620,6212,342620
215,488,343620,6212,343620
216,490,344620,6212,344620
216,490,345430,6212,345430
