ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
98,382,345650,6212,345650
98,382,346650,6212,346650
98,382,347650,6212,347650
99,384,348460,6212,348460
99,384,349460,6212,349460
100,386,350270,6212,350270
100,386,351270,6212,351270
100,386,351740,6212,351740
101,394,352550,6212,352550
101,394,353200,6212,353200
101,394,353200,6212,353200
101,394,354200,6212,354200
101,394,355010,6212,355010
101,394,355010,6212,355010
101,394,356010,6212,356010
101,394,356820,6212,356820
101,394,356820,6212,356820
101,394,357820,6212,357820
101,394,358820,6212,358820
102,396,359290,6212,359290
102,396,359290,6212,359290
102,396,360290,6212,360290
103,404,361290,6212,361290
103,404,361290,6212,361290
103,404,362290,6212,362290
103,404,363290,6212,363290
103,404,363290,6212,363290
103,404,363760,6212,363760
103,404,364760,6212,364760
103,404,365080,6212,365080
104,406,365890,6212,365890
104,406,366700,6212,366700
104,406,367170,6212,367170
104,406,368170,6212,368170
104,406,368640,6212,368640
104,406,368800,6212,368800
104,406,369270,6212,369270
104,406,369730,6212,369730
105,408,370730,6212,370730
105,408,371540,6212,371540
105,408,372350,6212,372350
105,408,372900,6212,372900
106,416,373550,6212,373550
106,416,374360,6212,374360
106,416,375360,6212,375360
106,416,375360,6212,375360
106,416,376360,6212,376360
