ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
108,404,332300,6212,332300
108,404,333110,6212,333110
108,404,333920,6212,333920
109,412,334920,6212,334920
109,412,335920,6212,335920
109,412,336920,6212,336920
109,412,337730,6212,337730
109,412,338540,6212,338540
109,412,339540,6212,339540
109,412,340010,6212,340010
109,412,341010,6212,341010
109,412,341010,6212,341010
109,412,341010,6212,341010
109,412,342010,6212,342010
109,412,342010,6212,342010
110,420,343010,6212,343010
110,420,343010,6212,343010
111,422,343820,6212,343820
111,422,344820,6212,344820
111,422,345050,6212,345050
111,422,346050,6212,346050
111,422,346860,6212,346860
111,422,347670,6212,347670
111,422,347670,6212,347670
111,422,348670,6212,348670
111,422,349020,6212,349020
111,422,350020,6212,350020
111,422,351020,6212,351020
111,422,351020,6212,351020
111,422,351340,6212,351340
112,430,352340,6212,352340
112,430,353340,6212,353340
112,430,353340,6212,353340
112,430,354340,6212,354340
112,430,355340,6212,355340
113,432,356150,6212,356150
113,432,357150,6212,357150
113,432,357150,6212,357150
113,432,358150,6212,358150
113,432,359150,6212,359150
113,432,360150,6212,360150
113,432,360620,6212,360620
113,432,361620,6212,361620
113,432,362620,6212,362620
113,432,363430,6212,363430
114,434,364240,6212,364240
114,434,365240,6212,365240
114,434,365240,6212,365240
114,434,365240,6212,365240
114,434,366240,6212,366240
114,434,366470,6212,366470
115,436,367470,6212,367470
115,436,368470,6212,368470
115,436,369280,6212,369280
116,438,369930,6212,369930
116,438,369930,6212,369930
116,438,370930,6212,370930
116,438,371930,6212,371930
116,438,372390,6212,372390
116,438,373200,6212,373200
116,438,374200,6212,374200
116,438,375200,6212,375200
117,446,376200,6212,376200
117,446,377200,6212,377200
117,446,378010,6212,378010
118,454,378010,6212,378010
118,454,379010,6212,379010
118,454,380010,6212,380010
119,458,381010,6212,381010
119,458,381480,6212,381480
120,466,382480,6212,382480
120,466,383480,6212,383480
121,474,383480,6212,383480
121,474,384480,6212,384480
121,474,385290,6212,385290
121,474,385520,6212,385520
121,474,386520,6212,386520
121,474,387520,6212,387520
121,474,388520,6212,388520
121,474,389520,6212,389520
121,474,389990,6212,389990
121,474,390990,6212,390990
121,474,391990,6212,391990
121,474,392990,6212,392990
121,474,393990,6212,393990
121,474,394800,6212,394800
121,474,395800,6212,395800
122,478,396800,6212,396800
122,478,397800,6212,397800
123,480,398030,6212,398030
123,480,398030,6212,398030
124,484,399030,6212,399030
124,484,399840,6212,399840
125,488,400840,6212,400840
125,488,401840,6212,401840
125,488,402160,6212,402160
126,496,403160,6212,403160
126,496,403160,6212,403160
126,496,404160,6212,404160
126,496,404970,6212,404970
126,496,405520,6212,405520
126,496,405520,6212,405520
126,496,405680,6212,405680
126,496,406000,6212,406000
126,496,406810,6212,406810
126,496,407280,6212,407280
126,496,408280,6212,408280
126,496,409090,6212,409090
127,498,409560,6212,409560
127,498,410020,6212,410020
127,498,411020,6212,411020
