ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1171849.61,19.71,1.07,233999.62,3.94
1171480.59,19.71,1.07,233637.69,3.93
1171313.56,19.71,1.07,233816.46,3.93
1171143.56,19.71,1.07,233821.79,3.93
1171762.51,19.72,1.08,234011.01,3.94
1171595.47,19.72,1.08,233933.52,3.94
1171612.0,19.72,1.08,233920.6,3.94
1171859.01,19.73,1.09,234325.32,3.94
1172618.69,19.74,1.1,234647.12,3.95
1172775.55,19.75,1.11,234684.73,3.95
1172775.55,19.75,1.11,236256.88,3.98
1172608.51,19.75,1.11,236452.14,3.98
1172441.48,19.75,1.11,236450.13,3.98
1172105.99,19.74,1.1,236272.01,3.98
1172367.98,19.75,1.11,236546.09,3.98
1172200.95,19.75,1.11,236468.79,3.98
1171484.41,19.74,1.1,235689.89,3.97
1171317.38,19.74,1.1,235685.56,3.97
1170810.93,19.74,1.1,235148.74,3.96
1170643.9,19.74,1.1,235071.3,3.96
1169055.67,19.74,1.1,235015.48,3.97
1169076.6,19.74,1.1,235194.98,3.97
1169321.73,19.75,1.11,235003.17,3.97
1169059.84,19.74,1.11,234709.95,3.96
1168892.81,19.75,1.11,234632.51,3.96
1168725.78,19.75,1.11,234628.32,3.96
1168356.75,19.74,1.1,234334.63,3.96
1168189.72,19.74,1.1,234257.3,3.96
1168210.65,19.74,1.1,234436.47,3.96
1168367.51,19.75,1.11,234474.08,3.96
1168200.48,19.75,1.11,234670.23,3.97
1168033.44,19.75,1.11,234593.08,3.97
1167866.41,19.75,1.11,234588.6,3.97
1167699.38,19.75,1.11,234567.1,3.97
1167532.35,19.75,1.11,234506.98,3.97
1167794.25,19.76,1.12,234286.16,3.96
1167065.59,19.75,1.11,233571.95,3.95
1166898.55,19.75,1.11,233563.0,3.95
1167160.54,19.76,1.11,233844.02,3.96
1166993.51,19.76,1.11,233766.53,3.96
1166993.51,19.76,1.11,233180.0,3.95
1166826.48,19.76,1.11,233175.87,3.95
1167138.34,19.76,1.12,233007.55,3.95
1166971.31,19.76,1.12,232930.11,3.94
1166804.28,19.76,1.12,232925.92,3.95
1169717.4,19.81,1.17,239531.34,4.06
1169550.37,19.81,1.17,239509.84,4.06
1169346.24,19.81,1.17,239298.35,4.05
1169186.69,19.81,1.17,239303.76,4.06
1168994.1,19.81,1.17,239266.37,4.06
1168994.1,19.81,1.17,239266.37,4.06
1168994.1,19.81,1.17,239266.37,4.06
1168635.08,19.81,1.16,238982.67,4.05
1168442.49,19.81,1.16,239055.57,4.05
1168437.86,19.81,1.16,239005.41,4.05
1168437.86,19.81,1.16,239005.41,4.05
1168245.27,19.81,1.16,238967.26,4.05
1168051.12,19.81,1.16,238779.56,4.05
1167858.52,19.81,1.16,238961.82,4.05
1167853.9,19.81,1.17,239077.41,4.06
1167686.87,19.81,1.17,239017.29,4.06
1167935.16,19.82,1.17,239319.66,4.06
1167956.09,19.82,1.17,239416.98,4.06
1167977.02,19.82,1.18,239560.94,4.07
1168133.87,19.83,1.18,239598.55,4.07
1167966.84,19.83,1.18,239793.81,4.07
1167762.71,19.83,1.18,239582.32,4.07
1167595.67,19.83,1.18,239504.88,4.07
1167425.67,19.83,1.18,239296.74,4.06
1167998.93,19.84,1.19,239650.64,4.07
1167831.89,19.84,1.19,239646.45,4.07
1167461.01,19.84,1.19,239473.83,4.07
1167788.92,19.84,1.2,239902.5,4.08
1168322.15,19.86,1.21,239967.47,4.08
1168155.12,19.86,1.21,239890.33,4.08
1167988.09,19.86,1.21,239885.85,4.08
1168521.33,19.87,1.22,239950.82,4.08
1168227.44,19.87,1.22,239665.43,4.08
1168472.57,19.87,1.22,239473.63,4.07
1167950.68,19.87,1.22,238920.41,4.06
1167971.61,19.87,1.22,239017.73,4.07
1167804.58,19.87,1.22,239022.25,4.07
1167637.55,19.87,1.22,239000.75,4.07
1167470.52,19.87,1.22,238940.63,4.07
1167491.45,19.87,1.22,239037.95,4.07
1167512.38,19.88,1.23,239181.91,4.07
1167345.35,19.88,1.23,239104.76,4.07
1167607.34,19.88,1.23,239521.93,4.08
1167440.3,19.88,1.23,239444.61,4.08
1167440.3,19.88,1.23,239421.86,4.08
1167440.3,19.88,1.23,239421.86,4.08
1167273.27,19.89,1.23,239417.55,4.08
1167306.32,19.89,1.23,239421.53,4.08
1167139.28,19.89,1.23,239412.58,4.08
1167139.28,19.89,1.23,242268.34,4.13
1167160.22,19.89,1.24,242357.11,4.13
1166993.18,19.89,1.24,242355.1,4.13
1166789.05,19.89,1.23,242157.65,4.13
1166622.02,19.89,1.23,242078.03,4.13
1166642.95,19.89,1.24,242175.36,4.13
1166663.88,19.89,1.24,242319.31,4.13
1173042.61,20.0,1.35,247426.51,4.22
1172875.58,20.0,1.35,247349.37,4.22
1172561.53,20.0,1.34,247040.52,4.21
1172394.5,20.0,1.34,247036.04,4.21
1172227.47,20.0,1.34,246958.89,4.21
