ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
172,460,381480,6212,381480
172,460,381640,6212,381640
172,460,381640,6212,381640
172,460,381640,6212,381640
173,462,382450,6212,382450
173,462,383450,6212,383450
174,464,383920,6212,383920
174,464,384920,6212,384920
175,466,385920,6212,385920
175,466,386730,6212,386730
176,468,387540,6212,387540
176,468,388540,6212,388540
176,468,388700,6212,388700
177,470,389700,6212,389700
177,470,390020,6212,390020
177,470,391020,6212,391020
177,470,391020,6212,391020
178,474,392020,6212,392020
179,476,392830,6212,392830
179,476,393300,6212,393300
179,476,394300,6212,394300
180,478,395300,6212,395300
180,478,395770,6212,395770
180,478,395770,6212,395770
181,480,396580,6212,396580
181,480,397390,6212,397390
182,482,398200,6212,398200
182,482,399200,6212,399200
183,484,400200,6212,400200
183,484,401200,6212,401200
183,484,401670,6212,401670
184,486,402670,6212,402670
184,486,402670,6212,402670
184,486,403670,6212,403670
185,488,404670,6212,404670
185,488,405480,6212,405480
186,490,406290,6212,406290
186,490,407290,6212,407290
187,492,408290,6212,408290
187,492,408760,6212,408760
188,494,409760,6212,409760
188,494,410760,6212,410760
189,496,411760,6212,411760
189,496,412230,6212,412230
189,496,413230,6212,413230
189,496,413230,6212,413230
190,498,413700,6212,413700
190,498,414020,6212,414020
190,498,414180,6212,414180
190,498,415180,6212,415180
191,502,415990,6212,415990
192,504,416990,6212,416990
192,504,417990,6212,417990
193,506,418990,6212,418990
193,506,419990,6212,419990
194,508,420990,6212,420990
194,508,421990,6212,421990
195,510,422990,6212,422990
195,510,423990,6212,423990
195,510,424460,6212,424460
195,510,424460,6212,424460
195,510,424460,6212,424460
196,512,425460,6212,425460
196,512,426110,6212,426110
196,512,426110,6212,426110
196,512,427110,6212,427110
197,514,427920,6212,427920
197,514,428920,6212,428920
197,514,428920,6212,428920
198,522,436920,6212,436920
199,524,437920,6212,437920
199,524,438380,6212,438380
200,526,439380,6212,439380
200,526,439850,6212,439850
200,526,439850,6212,439850
201,528,440850,6212,440850
201,528,441850,6212,441850
202,530,442850,6212,442850
202,530,443320,6212,443320
202,530,443640,6212,443640
202,530,444640,6212,444640
203,532,445450,6212,445450
203,532,446260,6212,446260
203,532,446260,6212,446260
203,532,446260,6212,446260
204,534,447260,6212,447260
204,534,448260,6212,448260
205,536,449070,6212,449070
205,536,449540,6212,449540
206,538,450540,6212,450540
206,538,451540,6212,451540
207,540,452540,6212,452540
208,542,453540,6212,453540
208,542,454540,6212,454540
209,544,455540,6212,455540
209,544,455540,6212,455540
209,544,456000,6212,456000
209,544,457000,6212,457000
209,544,457810,6212,457810
210,546,458810,6212,458810
210,546,459810,6212,459810
211,548,460810,6212,460810
211,548,461810,6212,461810
212,550,462810,6212,462810
212,550,463810,6212,463810
213,552,464280,6212,464280
213,552,465280,6212,465280
213,552,465750,6212,465750
214,554,466750,6212,466750
215,556,467750,6212,467750
215,556,468070,6212,468070
215,556,469070,6212,469070
215,556,470070,6212,470070
215,556,470070,6212,470070
216,558,470720,6212,470720
216,558,471530,6212,471530
216,558,471530,6212,471530
217,562,475530,6212,475530
218,564,476530,6212,476530
218,564,476530,6212,476530
218,564,476760,6212,476760
218,564,477080,6212,477080
218,564,478080,6212,478080
219,566,479080,6212,479080
219,566,479730,6212,479730
220,568,480730,6212,480730
220,568,481200,6212,481200
221,570,482200,6212,482200
221,570,482200,6212,482200
222,572,483200,6212,483200
222,572,483670,6212,483670
222,572,484670,6212,484670
222,572,485670,6212,485670
223,574,486260,6212,486260
223,574,487070,6212,487070
224,576,488070,6212,488070
224,576,488390,6212,488390
225,578,489390,6212,489390
226,586,497390,6212,497390
226,586,498390,6212,498390
226,586,499390,6212,499390
227,588,499860,6212,499860
227,588,500860,6212,500860
228,590,501860,6212,501860
228,590,502860,6212,502860
228,590,503330,6212,503330
229,592,503800,6212,503800
229,592,504270,6212,504270
229,592,505080,6212,505080
229,592,505080,6212,505080
230,594,506080,6212,506080
230,594,506890,6212,506890
231,596,507890,6212,507890
231,596,508890,6212,508890
231,596,509050,6212,509050
231,596,509050,6212,509050
232,598,510050,6212,510050
232,598,510860,6212,510860
232,598,511230,6212,511230
233,600,512230,6212,512230
233,600,513230,6212,513230
234,602,514230,6212,514230
234,602,515040,6212,515040
235,604,516040,6212,516040
235,604,516040,6212,516040
235,604,517040,6212,517040
236,606,517850,6212,517850
236,606,518320,6212,518320
237,608,518790,6212,518790
237,608,519790,6212,519790
238,612,523790,6212,523790
239,614,524790,6212,524790
239,614,525790,6212,525790
239,614,526110,6212,526110
240,616,527110,6212,527110
240,616,527110,6212,527110
240,616,527920,6212,527920
241,618,528920,6212,528920
241,618,528920,6212,528920
241,618,529920,6212,529920
242,620,530920,6212,530920
242,620,532920,6212,532920
242,620,533920,6212,533920
242,620,533920,6212,533920
243,624,534920,6212,534920
243,624,536920,6212,536920
244,628,537920,6212,537920
244,628,538380,6212,538380
244,628,539190,6212,539190
245,632,540190,6212,540190
246,636,541190,6212,541190
246,636,542190,6212,542190
247,640,543190,6212,543190
248,644,544190,6212,544190
249,648,545190,6212,545190
249,648,546000,6212,546000
250,656,546000,6212,546000
251,660,547000,6212,547000
252,664,548000,6212,548000
253,668,549000,6212,549000
253,668,549810,6212,549810
254,672,550810,6212,550810
254,672,551130,6212,551130
254,672,551600,6212,551600
255,676,552600,6212,552600
255,676,552820,6212,552820
255,676,552820,6212,552820
255,676,553630,6212,553630
255,676,553630,6212,553630
255,676,561630,6212,561630
255,676,562440,6212,562440
256,684,563440,6212,563440
257,692,563440,6212,563440
258,696,564090,6212,564090
259,700,564900,6212,564900
259,700,564900,6212,564900
259,700,564900,6212,564900
259,700,565900,6212,565900
259,700,566220,6212,566220
260,702,566540,6212,566540
260,702,567130,6212,567130
260,702,568130,6212,568130
261,706,568780,6212,568780
262,710,569780,6212,569780
263,718,569780,6212,569780
263,718,570430,6212,570430
264,722,571430,6212,571430
264,722,572240,6212,572240
264,722,572240,6212,572240
264,722,572350,6212,572350
264,722,572350,6212,572350
265,726,572820,6212,572820
265,726,573140,6212,573140
266,734,573140,6212,573140
267,738,574140,6212,574140
267,738,574140,6212,574140
267,738,574790,6212,574790
267,738,575600,6212,575600
267,738,576600,6212,576600
268,742,577070,6212,577070
268,742,577070,6212,577070
