ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
159,302,270240,6212,270240
159,302,271050,6212,271050
159,302,271050,6212,271050
159,302,272050,6212,272050
160,304,272520,6212,272520
160,304,273520,6212,273520
161,306,274520,6212,274520
161,306,274840,6212,274840
161,306,275840,6212,275840
162,308,276840,6212,276840
162,308,277430,6212,277430
163,310,278430,6212,278430
163,310,279430,6212,279430
164,312,280430,6212,280430
164,312,281080,6212,281080
165,314,282080,6212,282080
165,314,283080,6212,283080
166,316,284080,6212,284080
167,318,285080,6212,285080
167,318,286080,6212,286080
168,326,286080,6212,286080
169,328,286550,6212,286550
169,328,287020,6212,287020
169,328,287830,6212,287830
169,328,288830,6212,288830
170,330,289830,6212,289830
170,330,290830,6212,290830
171,332,291640,6212,291640
171,332,292110,6212,292110
172,334,292920,6212,292920
172,334,293730,6212,293730
173,336,294540,6212,294540
173,336,295540,6212,295540
174,338,296540,6212,296540
174,338,297350,6212,297350
175,340,298160,6212,298160
175,340,298970,6212,298970
175,340,299290,6212,299290
175,340,299750,6212,299750
176,342,300220,6212,300220
177,350,308220,6212,308220
177,350,308770,6212,308770
178,352,309770,6212,309770
178,352,310580,6212,310580
179,354,311580,6212,311580
179,354,311810,6212,311810
179,354,312280,6212,312280
179,354,312750,6212,312750
180,356,313560,6212,313560
180,356,314560,6212,314560
180,356,315030,6212,315030
181,358,316030,6212,316030
181,358,317030,6212,317030
182,360,318030,6212,318030
182,360,319030,6212,319030
183,362,320030,6212,320030
183,362,320840,6212,320840
184,364,321650,6212,321650
184,364,322120,6212,322120
185,366,323120,6212,323120
185,366,323120,6212,323120
185,366,324120,6212,324120
186,374,332120,6212,332120
187,376,333120,6212,333120
187,376,333590,6212,333590
187,376,334590,6212,334590
188,378,335400,6212,335400
188,378,336400,6212,336400
189,380,336870,6212,336870
189,380,337870,6212,337870
190,382,338870,6212,338870
190,382,339870,6212,339870
191,384,340870,6212,340870
191,384,341340,6212,341340
191,384,342340,6212,342340
192,386,342930,6212,342930
192,386,343930,6212,343930
193,388,344930,6212,344930
193,388,345740,6212,345740
194,390,346740,6212,346740
194,390,347740,6212,347740
195,392,348210,6212,348210
195,392,349210,6212,349210
196,400,357210,6212,357210
197,402,358210,6212,358210
197,402,358530,6212,358530
197,402,359530,6212,359530
198,404,360180,6212,360180
198,404,360180,6212,360180
198,404,361180,6212,361180
199,406,361990,6212,361990
199,406,362460,6212,362460
199,406,362930,6212,362930
199,406,363930,6212,363930
200,408,364930,6212,364930
200,408,365930,6212,365930
200,408,365930,6212,365930
201,410,366930,6212,366930
201,410,367930,6212,367930
202,412,368930,6212,368930
202,412,369930,6212,369930
203,414,370930,6212,370930
203,414,371930,6212,371930
204,416,372400,6212,372400
204,416,372400,6212,372400
204,416,373400,6212,373400
204,416,373720,6212,373720
204,416,374190,6212,374190
205,418,375000,6212,375000
205,418,376000,6212,376000
205,418,376000,6212,376000
206,422,376000,6212,376000
207,424,377000,6212,377000
207,424,378000,6212,378000
208,426,379000,6212,379000
208,426,380000,6212,380000
209,428,381000,6212,381000
209,428,382000,6212,382000
210,430,383000,6212,383000
210,430,383000,6212,383000
210,430,383590,6212,383590
211,432,384590,6212,384590
211,432,384910,6212,384910
211,432,385910,6212,385910
212,434,386720,6212,386720
212,434,387720,6212,387720
213,436,388720,6212,388720
213,436,389720,6212,389720
213,436,389720,6212,389720
213,436,389720,6212,389720
214,438,390720,6212,390720
214,438,391720,6212,391720
215,440,392720,6212,392720
215,440,392940,6212,392940
215,440,393750,6212,393750
216,442,394220,6212,394220
216,442,395030,6212,395030
217,444,396030,6212,396030
217,444,396030,6212,396030
217,444,397030,6212,397030
218,446,398030,6212,398030
218,446,398350,6212,398350
218,446,398820,6212,398820
218,446,399050,6212,399050
218,446,399640,6212,399640
219,448,400450,6212,400450
219,448,401450,6212,401450
220,450,402260,6212,402260
220,450,402730,6212,402730
220,450,403200,6212,403200
221,452,403670,6212,403670
221,452,404670,6212,404670
222,454,405480,6212,405480
222,454,405850,6212,405850
222,454,406850,6212,406850
222,454,407070,6212,407070
223,456,408070,6212,408070
223,456,408720,6212,408720
223,456,408880,6212,408880
223,456,409350,6212,409350
224,458,410350,6212,410350
224,458,411350,6212,411350
225,460,411900,6212,411900
225,460,412710,6212,412710
226,462,413710,6212,413710
226,462,414710,6212,414710
227,464,415710,6212,415710
228,466,416710,6212,416710
228,466,417180,6212,417180
228,466,417180,6212,417180
228,466,417650,6212,417650
229,468,418300,6212,418300
229,468,418460,6212,418460
229,468,419460,6212,419460
230,470,420460,6212,420460
230,470,421270,6212,421270
230,470,422270,6212,422270
231,472,422740,6212,422740
231,472,423740,6212,423740
232,474,424740,6212,424740
232,474,425200,6212,425200
233,476,425660,6212,425660
233,476,426660,6212,426660
233,476,426980,6212,426980
234,478,427980,6212,427980
234,478,428450,6212,428450
234,478,429450,6212,429450
234,478,430450,6212,430450
235,480,431260,6212,431260
235,480,432260,6212,432260
236,482,433260,6212,433260
236,482,433730,6212,433730
237,484,434730,6212,434730
238,486,435730,6212,435730
239,488,436730,6212,436730
239,488,437730,6212,437730
239,488,438730,6212,438730
240,496,446730,6212,446730
240,496,447540,6212,447540
241,498,448540,6212,448540
241,498,449540,6212,449540
242,500,450540,6212,450540
242,500,451540,6212,451540
243,502,452130,6212,452130
243,502,452290,6212,452290
243,502,453290,6212,453290
244,504,454290,6212,454290
245,508,458290,6212,458290
245,508,459290,6212,459290
246,510,459940,6212,459940
246,510,460410,6212,460410
246,510,460630,6212,460630
246,510,461630,6212,461630
247,512,462630,6212,462630
248,520,462630,6212,462630
248,520,463630,6212,463630
249,522,464630,6212,464630
249,522,464630,6212,464630
250,524,465630,6212,465630
250,524,466440,6212,466440
250,524,467440,6212,467440
251,526,468440,6212,468440
251,526,468760,6212,468760
251,526,469760,6212,469760
252,528,470760,6212,470760
252,528,471760,6212,471760
252,528,472080,6212,472080
252,528,472190,6212,472190
253,530,473190,6212,473190
253,530,474190,6212,474190
254,532,474660,6212,474660
254,532,474660,6212,474660
254,532,475660,6212,475660
255,534,476250,6212,476250
255,534,477250,6212,477250
255,534,477410,6212,477410
255,534,477880,6212,477880
255,534,478200,6212,478200
256,536,478670,6212,478670
256,536,479670,6212,479670
257,538,480320,6212,480320
258,540,481320,6212,481320
258,540,481910,6212,481910
258,540,482560,6212,482560
258,540,482560,6212,482560
259,542,483560,6212,483560
259,542,484560,6212,484560
260,544,485560,6212,485560
260,544,486560,6212,486560
261,546,487210,6212,487210
261,546,488210,6212,488210
262,548,489210,6212,489210
262,548,490210,6212,490210
263,550,491020,6212,491020
263,550,492020,6212,492020
264,552,492830,6212,492830
264,552,493640,6212,493640
264,552,494010,6212,494010
264,552,494010,6212,494010
264,552,494480,6212,494480
265,554,495290,6212,495290
265,554,496290,6212,496290
266,556,497100,6212,497100
266,556,497910,6212,497910
267,558,498910,6212,498910
267,558,499910,6212,499910
268,560,500720,6212,500720
268,560,500720,6212,500720
268,560,501720,6212,501720
268,560,501950,6212,501950
269,562,502950,6212,502950
269,562,503420,6212,503420
270,564,504420,6212,504420
270,564,505230,6212,505230
271,566,506230,6212,506230
271,566,506460,6212,506460
272,568,507110,6212,507110
272,568,508110,6212,508110
273,570,509110,6212,509110
273,570,510110,6212,510110
273,570,510340,6212,510340
273,570,510660,6212,510660
274,572,511660,6212,511660
274,572,512130,6212,512130
274,572,512590,6212,512590
274,572,512910,6212,512910
274,572,513910,6212,513910
275,574,514910,6212,514910
275,574,515910,6212,515910
276,576,517910,6212,517910
277,584,525910,6212,525910
278,586,526910,6212,526910
278,586,527560,6212,527560
279,588,528560,6212,528560
280,590,529560,6212,529560
281,592,530560,6212,530560
281,592,531370,6212,531370
281,592,531840,6212,531840
281,592,532070,6212,532070
281,592,533070,6212,533070
282,594,534070,6212,534070
283,596,534390,6212,534390
283,596,534710,6212,534710
283,596,535180,6212,535180
284,598,536180,6212,536180
284,598,536500,6212,536500
284,598,537500,6212,537500
284,598,538500,6212,538500
284,598,538970,6212,538970
285,600,539970,6212,539970
285,600,540780,6212,540780
285,600,541780,6212,541780
286,602,542780,6212,542780
286,602,543780,6212,543780
286,602,543940,6212,543940
286,602,543940,6212,543940
286,602,544310,6212,544310
287,604,544900,6212,544900
287,604,545900,6212,545900
288,606,546900,6212,546900
288,606,547900,6212,547900
289,608,548900,6212,548900
289,608,548900,6212,548900
289,608,549900,6212,549900
290,610,550900,6212,550900
290,610,551900,6212,551900
291,612,552360,6212,552360
291,612,553170,6212,553170
291,612,553390,6212,553390
291,612,553550,6212,553550
292,614,554550,6212,554550
293,616,555550,6212,555550
293,616,556360,6212,556360
293,616,557360,6212,557360
294,618,558360,6212,558360
294,618,559360,6212,559360
295,620,560360,6212,560360
295,620,561360,6212,561360
295,620,561360,6212,561360
296,622,562360,6212,562360
296,622,563360,6212,563360
297,624,564360,6212,564360
297,624,565360,6212,565360
298,626,566010,6212,566010
298,626,567010,6212,567010
299,628,568010,6212,568010
299,628,569010,6212,569010
300,630,570010,6212,570010
300,630,570010,6212,570010
300,630,571010,6212,571010
301,632,572010,6212,572010
301,632,572480,6212,572480
301,632,572950,6212,572950
302,634,573950,6212,573950
302,634,574760,6212,574760
303,636,575760,6212,575760
303,636,576030,6212,576030
303,636,577030,6212,577030
304,638,578030,6212,578030
305,640,579030,6212,579030
305,640,580030,6212,580030
306,642,580500,6212,580500
306,642,581500,6212,581500
307,644,582150,6212,582150
307,644,583150,6212,583150
308,646,584150,6212,584150
308,646,584960,6212,584960
309,648,585430,6212,585430
309,648,585890,6212,585890
309,648,586890,6212,586890
310,650,587890,6212,587890
310,650,588890,6212,588890
311,652,589890,6212,589890
311,652,590700,6212,590700
312,654,591700,6212,591700
312,654,592700,6212,592700
313,656,593700,6212,593700
313,656,594510,6212,594510
314,658,595320,6212,595320
314,658,596130,6212,596130
315,660,597130,6212,597130
315,660,598130,6212,598130
316,662,598940,6212,598940
316,662,599940,6212,599940
317,664,600750,6212,600750
317,664,601340,6212,601340
318,666,602340,6212,602340
319,668,603340,6212,603340
319,668,603340,6212,603340
319,668,604340,6212,604340
319,668,604570,6212,604570
319,668,605380,6212,605380
320,670,606380,6212,606380
320,670,606850,6212,606850
320,670,607170,6212,607170
321,672,608170,6212,608170
321,672,608490,6212,608490
321,672,609300,6212,609300
322,674,610300,6212,610300
322,674,611300,6212,611300
322,674,611760,6212,611760
323,676,612760,6212,612760
323,676,613760,6212,613760
324,678,614230,6212,614230
324,678,615230,6212,615230
325,680,616230,6212,616230
325,680,617230,6212,617230
326,682,617780,6212,617780
326,682,618780,6212,618780
327,684,619780,6212,619780
327,684,620590,6212,620590
328,686,621590,6212,621590
328,686,622140,6212,622140
329,688,623140,6212,623140
329,688,623510,6212,623510
329,688,624510,6212,624510
330,690,625510,6212,625510
330,690,625830,6212,625830
330,690,626640,6212,626640
331,698,634640,6212,634640
332,700,635640,6212,635640
333,702,636640,6212,636640
333,702,637640,6212,637640
334,704,638640,6212,638640
334,704,639640,6212,639640
334,704,639870,6212,639870
335,706,640340,6212,640340
335,706,640570,6212,640570
336,708,641570,6212,641570
336,708,641890,6212,641890
337,710,642360,6212,642360
337,710,643360,6212,643360
338,712,644360,6212,644360
338,712,645170,6212,645170
338,712,645980,6212,645980
339,714,646980,6212,646980
339,714,647980,6212,647980
340,716,648980,6212,648980
340,716,649980,6212,649980
341,718,650980,6212,650980
341,718,650980,6212,650980
341,718,651980,6212,651980
342,720,652790,6212,652790
342,720,653600,6212,653600
342,720,654070,6212,654070
343,722,655070,6212,655070
343,722,656070,6212,656070
344,724,657070,6212,657070
344,724,657540,6212,657540
345,726,658540,6212,658540
345,726,659540,6212,659540
346,728,660540,6212,660540
347,730,661540,6212,661540
347,730,662540,6212,662540
347,730,662860,6212,662860
347,730,663670,6212,663670
348,732,664670,6212,664670
348,732,665670,6212,665670
349,734,666670,6212,666670
349,734,667670,6212,667670
350,736,668480,6212,668480
350,736,669480,6212,669480
351,738,670290,6212,670290
351,738,670610,6212,670610
351,738,671610,6212,671610
352,740,672260,6212,672260
352,740,673260,6212,673260
353,742,674260,6212,674260
353,742,675260,6212,675260
353,742,675580,6212,675580
354,744,676580,6212,676580
355,746,677580,6212,677580
355,746,678580,6212,678580
355,746,679050,6212,679050
355,746,679280,6212,679280
356,748,680280,6212,680280
356,748,680280,6212,680280
357,750,680600,6212,680600
357,750,681070,6212,681070
357,750,682070,6212,682070
357,750,682550,6212,682550
358,752,683360,6212,683360
358,752,684170,6212,684170
358,752,684330,6212,684330
359,754,685140,6212,685140
359,754,685950,6212,685950
360,756,686760,6212,686760
360,756,686760,6212,686760
360,756,687230,6212,687230
361,758,688230,6212,688230
361,758,689230,6212,689230
362,760,690230,6212,690230
362,760,691230,6212,691230
363,762,692040,6212,692040
363,762,692850,6212,692850
363,762,693320,6212,693320
364,764,693910,6212,693910
364,764,694910,6212,694910
365,766,695910,6212,695910
366,768,696380,6212,696380
366,768,697380,6212,697380
367,770,698380,6212,698380
367,770,699380,6212,699380
367,770,700190,6212,700190
368,772,701190,6212,701190
369,774,702190,6212,702190
369,774,703190,6212,703190
370,776,704190,6212,704190
