ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
219,527,332300,6212,332300
219,527,333110,6212,333110
219,527,333920,6212,333920
220,529,334920,6212,334920
220,529,335920,6212,335920
221,531,336920,6212,336920
221,531,337730,6212,337730
221,531,338540,6212,338540
221,531,339540,6212,339540
221,531,340010,6212,340010
222,533,341010,6212,341010
222,533,341010,6212,341010
222,533,341010,6212,341010
222,533,342010,6212,342010
222,533,342010,6212,342010
223,535,343010,6212,343010
223,535,343010,6212,343010
223,535,343820,6212,343820
224,539,344820,6212,344820
224,539,345050,6212,345050
224,539,346050,6212,346050
224,539,346860,6212,346860
224,539,347670,6212,347670
224,539,347670,6212,347670
225,541,348670,6212,348670
225,541,349020,6212,349020
225,541,350020,6212,350020
226,543,351020,6212,351020
226,543,351020,6212,351020
226,543,351340,6212,351340
226,543,352340,6212,352340
226,543,353340,6212,353340
226,543,353340,6212,353340
226,543,354340,6212,354340
226,543,355340,6212,355340
226,543,356150,6212,356150
227,544,357150,6212,357150
227,544,357150,6212,357150
228,546,358150,6212,358150
228,546,359150,6212,359150
228,546,360150,6212,360150
228,546,360620,6212,360620
229,550,361620,6212,361620
229,550,362620,6212,362620
230,552,363430,6212,363430
230,552,364240,6212,364240
230,552,365240,6212,365240
230,552,365240,6212,365240
230,552,365240,6212,365240
230,552,366240,6212,366240
230,552,366470,6212,366470
231,554,367470,6212,367470
231,554,368470,6212,368470
231,554,369280,6212,369280
232,556,369930,6212,369930
232,556,369930,6212,369930
232,556,370930,6212,370930
233,558,371930,6212,371930
233,558,372390,6212,372390
233,558,373200,6212,373200
234,560,374200,6212,374200
235,564,375200,6212,375200
235,564,376200,6212,376200
235,564,377200,6212,377200
235,564,378010,6212,378010
235,564,378010,6212,378010
236,566,379010,6212,379010
236,566,380010,6212,380010
236,566,381010,6212,381010
236,566,381480,6212,381480
236,566,382480,6212,382480
236,566,383480,6212,383480
236,566,383480,6212,383480
237,574,384480,6212,384480
238,576,385290,6212,385290
238,576,385520,6212,385520
238,576,386520,6212,386520
238,576,387520,6212,387520
238,576,388520,6212,388520
238,576,389520,6212,389520
239,580,389990,6212,389990
240,588,390990,6212,390990
240,588,391990,6212,391990
240,588,392990,6212,392990
240,588,393990,6212,393990
240,588,393990,6212,394800
241,590,394990,6212,395800
241,590,395990,6212,396800
241,590,396990,6212,397800
241,590,397220,6212,398030
241,590,397220,6212,398030
242,592,398220,6212,399030
242,592,399030,6212,399840
243,594,400030,6212,400840
243,594,401030,6212,401840
243,594,401350,6212,402160
244,596,402350,6212,403160
244,596,402350,6212,403160
244,596,403350,6212,404160
244,596,403350,6212,404970
245,598,403900,6212,405520
245,598,403900,6212,405520
245,598,404060,6212,405680
245,598,404380,6212,406000
245,598,404380,6212,406810
245,598,404850,6212,407280
246,600,405850,6212,408280
246,600,406660,6212,409090
246,600,407130,6212,409560
247,602,407590,6212,410020
247,602,408590,6212,411020
248,604,409590,6212,412020
248,604,410590,6212,413020
248,604,410810,6212,413240
248,604,410810,6212,413240
249,606,411810,6212,414240
250,614,419810,6212,422240
250,614,420810,6212,423240
251,616,421620,6212,424050
251,616,421620,6212,424050
251,616,422620,6212,425050
252,618,423620,6212,426050
252,618,423840,6212,426270
252,618,424490,6212,426920
253,620,425490,6212,427920
253,620,426490,6212,428920
253,620,427490,6212,429920
253,620,428140,6212,430570
254,622,428950,6212,431380
254,622,429950,6212,432380
254,622,429950,6212,433030
254,622,430420,6212,433500
254,622,430420,6212,433500
254,622,431230,6212,434310
254,622,431700,6212,434780
255,624,432170,6212,435250
255,624,432640,6212,435720
255,624,433110,6212,436190
256,626,433920,6212,437000
256,626,434920,6212,438000
256,626,435240,6212,438320
257,628,436240,6212,439320
257,628,437050,6212,440130
257,628,437520,6212,440600
258,630,438520,6212,441600
258,630,438840,6212,441920
258,630,439650,6212,442730
258,630,439810,6212,442890
259,632,440810,6212,443890
259,632,441460,6212,444540
259,632,441460,6212,444540
260,634,442460,6212,445540
261,638,442930,6212,446010
261,638,443930,6212,447010
261,638,444250,6212,447330
261,638,445250,6212,448330
261,638,446250,6212,449330
261,638,446620,6212,449700
261,638,447620,6212,450700
262,640,448620,6212,451700
262,640,449620,6212,452700
263,642,450620,6212,453700
263,642,451620,6212,454700
263,642,452620,6212,455700
264,644,453620,6212,456700
264,644,453620,6212,456700
264,644,453620,6212,456700
264,644,453850,6212,456930
264,644,454850,6212,457930
264,644,454850,6212,457930
264,644,455170,6212,458250
264,644,455640,6212,458720
265,646,456640,6212,459720
265,646,457640,6212,460720
266,648,458640,6212,461720
266,648,459450,6212,462530
267,650,460260,6212,463340
267,650,460740,6212,463820
268,652,461740,6212,464820
268,652,462740,6212,465820
269,654,463740,6212,466820
269,654,463740,6212,466820
269,654,464740,6212,467820
270,656,465740,6212,468820
270,656,466550,6212,469630
271,658,467550,6212,470630
271,658,467550,6212,471100
271,658,468550,6212,472100
272,660,469360,6212,472910
272,660,470170,6212,473720
273,668,471170,6212,474720
273,668,472170,6212,475720
274,670,473170,6212,476720
274,670,473980,6212,477530
274,670,474210,6212,477760
275,672,475210,6212,478760
275,672,475210,6212,478760
275,672,476210,6212,479760
275,672,476430,6212,479980
275,672,476900,6212,480450
275,672,476900,6212,481260
275,672,477900,6212,482260
275,672,478900,6212,483260
275,672,479900,6212,484260
276,674,480710,6212,485070
276,674,481300,6212,485660
277,676,482300,6212,486660
278,684,490300,6212,494660
278,684,490850,6212,495210
279,686,491660,6212,496020
279,686,491660,6212,496020
279,686,492660,6212,497020
280,688,493660,6212,498020
280,688,493660,6212,498020
280,688,494660,6212,499020
281,690,495660,6212,500020
281,690,495890,6212,500250
281,690,496890,6212,501250
281,690,497050,6212,501410
281,690,498050,6212,502410
281,690,499050,6212,503410
282,692,500050,6212,504410
282,692,500520,6212,504880
282,692,500990,6212,505350
282,692,500990,6212,505820
282,692,501990,6212,506820
283,694,502800,6212,507630
283,694,503800,6212,508630
284,696,504800,6212,509630
284,696,505120,6212,509950
284,696,505930,6212,510760
284,696,506250,6212,511080
285,698,506720,6212,511550
285,698,507530,6212,512360
285,698,508000,6212,512830
286,706,509000,6212,513830
287,708,509470,6212,514300
287,708,509470,6212,514300
287,708,509790,6212,514620
287,708,510790,6212,515620
288,710,511790,6212,516620
288,710,512600,6212,517430
289,712,513600,6212,518430
289,712,514070,6212,518900
289,712,514390,6212,519220
289,712,514860,6212,519690
290,714,515670,6212,520500
290,714,516140,6212,520970
291,716,517140,6212,521970
291,716,518140,6212,522970
291,716,519140,6212,523970
291,716,519140,6212,523970
292,718,519790,6212,524620
292,718,520790,6212,525620
292,718,521600,6212,526430
292,718,521600,6212,526430
293,720,522410,6212,527240
293,720,523410,6212,528240
293,720,524410,6212,529240
293,720,524880,6212,529710
293,720,524880,6212,529710
293,720,524880,6212,529710
293,720,525880,6212,530710
294,722,526880,6212,531710
295,730,527880,6212,532710
295,730,528880,6212,533710
296,732,529880,6212,534710
296,732,530200,6212,535030
296,732,531200,6212,536030
297,734,532200,6212,537030
297,734,532200,6212,537030
297,734,532200,6212,537030
297,734,533200,6212,538030
298,736,534200,6212,539030
298,736,534670,6212,539500
299,744,535670,6212,540500
299,744,535670,6212,540500
299,744,536320,6212,541150
300,746,537320,6212,542150
300,746,537790,6212,542620
300,746,537790,6212,542620
300,746,537900,6212,542730
300,746,538370,6212,543200
301,748,539370,6212,544200
301,748,539370,6212,544200
301,748,540370,6212,545200
301,748,541370,6212,546200
302,750,542370,6212,547200
302,750,543370,6212,548200
302,750,544370,6212,549200
303,752,545370,6212,550200
303,752,546370,6212,551200
303,752,546600,6212,551430
304,754,547600,6212,552430
304,754,548600,6212,553430
305,756,549410,6212,554240
305,756,550410,6212,555240
305,756,551410,6212,556240
306,758,551870,6212,556700
306,758,552870,6212,557700
306,758,553330,6212,558160
307,760,554330,6212,559160
307,760,554330,6212,559970
307,760,554330,6212,559970
307,760,555330,6212,560970
307,760,556330,6212,561970
308,762,557330,6212,562970
308,762,558140,6212,563780
309,764,558730,6212,564370
309,764,559200,6212,564840
310,766,560200,6212,565840
310,766,564200,6212,569840
310,766,564200,6212,569840
310,766,564670,6212,570310
310,766,564670,6212,570310
310,766,564990,6212,570630
310,766,565800,6212,571440
311,768,566800,6212,572440
311,768,567800,6212,573440
311,768,567800,6212,573440
312,770,568800,6212,574440
312,770,569030,6212,574670
313,778,570030,6212,575670
313,778,571030,6212,576670
314,780,572030,6212,577670
314,780,572030,6212,577670
314,780,573030,6212,578670
315,782,573500,6212,579140
315,782,574150,6212,579790
316,784,575150,6212,580790
317,792,576150,6212,581790
317,792,576150,6212,581790
317,792,577150,6212,582790
317,792,577620,6212,583260
317,792,577940,6212,583580
317,792,578750,6212,584390
317,792,579560,6212,585200
318,794,580030,6212,585670
318,794,581030,6212,586670
318,794,581030,6212,586670
319,796,582030,6212,587670
319,796,583030,6212,588670
320,798,584030,6212,589670
320,798,585030,6212,590670
