ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
2188661.11,36.01,0.82,179804.36,2.96
2188604.41,36.01,0.82,179755.85,2.96
2188604.41,36.01,0.82,179755.85,2.96
2188896.87,36.02,0.82,180038.41,2.96
2188323.97,36.01,0.82,179508.33,2.95
2188039.95,36.01,0.82,179238.71,2.95
2187332.41,36.01,0.81,178521.26,2.94
2187541.5,36.01,0.82,178627.59,2.94
2187296.66,36.02,0.82,178807.06,2.94
2187376.44,36.02,0.83,178816.34,2.94
2187585.52,36.03,0.83,178922.67,2.95
2187015.55,36.03,0.83,178427.83,2.94
2187900.42,36.04,0.85,179339.55,2.95
2187886.74,36.05,0.85,179158.58,2.95
2188523.29,36.06,0.87,179462.66,2.96
2187746.06,36.06,0.86,178749.96,2.95
2187176.08,36.05,0.86,178255.12,2.94
2187246.97,36.06,0.86,178109.56,2.94
2187408.36,36.06,0.87,178252.96,2.94
2187163.52,36.06,0.87,178503.96,2.94
2187652.75,36.07,0.88,178797.64,2.95
2187624.74,36.08,0.88,178598.47,2.95
2187596.74,36.08,0.89,178424.87,2.94
2187758.12,36.09,0.89,178568.27,2.95
2187730.12,36.1,0.9,178369.1,2.94
2187157.21,36.09,0.89,177864.6,2.93
2186584.3,36.09,0.89,177334.52,2.93
2185821.4,36.08,0.88,176640.02,2.92
2185821.4,36.08,0.88,176640.02,2.92
2185793.39,36.08,0.89,176466.42,2.91
2186282.62,36.1,0.9,176760.11,2.92
2186176.01,36.1,0.9,176438.45,2.91
2186021.71,36.1,0.91,176396.43,2.91
2185888.8,36.1,0.91,176306.35,2.91
2185860.79,36.11,0.91,176107.18,2.91
2185287.89,36.1,0.91,175602.68,2.9
2184727.74,36.1,0.9,175135.33,2.89
2184925.19,36.1,0.91,175087.99,2.89
2184868.49,36.11,0.91,175691.86,2.9
2185187.55,36.12,0.92,175833.03,2.91
2185197.58,36.12,0.92,175918.19,2.91
2185197.58,36.12,0.92,175918.19,2.91
2185197.58,36.12,0.92,175918.19,2.91
2185197.58,36.12,0.92,175918.19,2.91
2184952.74,36.12,0.92,175869.04,2.91
2184392.6,36.11,0.92,175401.69,2.9
2182865.49,36.11,0.92,175202.71,2.9
2183074.58,36.12,0.93,175309.03,2.9
2182829.74,36.12,0.93,175305.68,2.9
2182464.87,36.12,0.93,175249.93,2.9
2181714.73,36.12,0.92,174592.58,2.89
2181349.86,36.12,0.92,174589.22,2.89
2181839.09,36.13,0.93,174882.91,2.9
2182605.74,36.15,0.95,176251.87,2.92
2182262.81,36.15,0.95,176245.65,2.92
2182752.04,36.16,0.96,176539.33,2.92
2182724.04,36.16,0.97,176340.16,2.92
2182479.2,36.17,0.97,176291.38,2.92
2181906.29,36.16,0.96,175786.88,2.91
2181661.45,36.16,0.96,175783.16,2.91
2182022.46,36.17,0.97,175940.2,2.92
2181272.32,36.17,0.97,175282.85,2.91
2181244.31,36.17,0.97,175083.68,2.9
2181216.3,36.18,0.98,174910.08,2.9
2181188.3,36.18,0.98,174736.49,2.9
2180566.37,36.18,0.98,174215.77,2.89
