ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccc-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
327,1698,249490,6212,249490
327,1698,250490,6212,250490
328,1700,251490,6212,251490
328,1700,252140,6212,252140
329,1702,252950,6212,252950
330,1706,253950,6212,253950
330,1706,254760,6212,254760
330,1706,255080,6212,255080
330,1706,255080,6212,255080
331,1714,256080,6212,256080
332,1722,256890,6212,256890
332,1722,257540,6212,257540
333,1724,258540,6212,258540
334,1732,258770,6212,258770
334,1732,259240,6212,259240
335,1740,259240,6212,259240
336,1742,259240,6212,259240
336,1742,259470,6212,259470
336,1742,260280,6212,260280
337,1750,260280,6212,260280
338,1752,260740,6212,260740
338,1752,261210,6212,261210
338,1752,262020,6212,262020
339,1754,263020,6212,263020
340,1756,264020,6212,264020
340,1756,264250,6212,264250
341,1758,264900,6212,264900
342,1766,264900,6212,264900
342,1766,265550,6212,265550
343,1774,266550,6212,266550
344,1776,266550,6212,266550
345,1778,267550,6212,267550
346,1780,268550,6212,268550
347,1782,269360,6212,269360
348,1783,270170,6212,270170
349,1785,270640,6212,270640
350,1793,271110,6212,271110
351,1801,271920,6212,271920
351,1801,272920,6212,272920
351,1801,273570,6212,273570
352,1803,274570,6212,274570
352,1803,275040,6212,275040
353,1811,275510,6212,275510
354,1819,276320,6212,276320
354,1819,277320,6212,277320
355,1821,278130,6212,278130
355,1821,278130,6212,278130
356,1829,279130,6212,279130
357,1837,280130,6212,280130
357,1837,280600,6212,280600
358,1839,281070,6212,281070
359,1841,281070,6212,281070
360,1843,281230,6212,281230
360,1843,282230,6212,282230
360,1843,282230,6212,282230
361,1845,283230,6212,283230
362,1853,284230,6212,284230
363,1861,284550,6212,284550
363,1861,285550,6212,285550
364,1869,286550,6212,286550
365,1871,287360,6212,287360
366,1879,288360,6212,288360
367,1887,288830,6212,288830
368,1895,289640,6212,289640
369,1897,290110,6212,290110
369,1897,291110,6212,291110
369,1897,291270,6212,291270
370,1905,292270,6212,292270
371,1907,293270,6212,293270
372,1909,294270,6212,294270
372,1909,295270,6212,295270
373,1911,295380,6212,295380
374,1919,295380,6212,295380
375,1927,296380,6212,296380
376,1935,296610,6212,296610
377,1943,296610,6212,296610
377,1943,297420,6212,297420
378,1951,298010,6212,298010
379,1955,298470,6212,298470
380,1957,299470,6212,299470
381,1959,300470,6212,300470
382,1967,301280,6212,301280
383,1969,302090,6212,302090
384,1977,302740,6212,302740
385,1979,303740,6212,303740
386,1987,304060,6212,304060
386,1987,304280,6212,304280
387,1988,304280,6212,304280
387,1988,304740,6212,304740
388,1990,304740,6212,304740
389,1998,304960,6212,304960
390,2000,305510,6212,305510
391,2008,306320,6212,306320
392,2016,306320,6212,306320
393,2018,307130,6212,307130
394,2022,307940,6212,307940
395,2024,307940,6212,307940
395,2024,308940,6212,308940
395,2024,309410,6212,309410
396,2026,309880,6212,309880
397,2034,310880,6212,310880
398,2036,311350,6212,311350
398,2036,311350,6212,311350
398,2036,312160,6212,312160
398,2036,312160,6212,312160
399,2044,313160,6212,313160
400,2046,313810,6212,313810
401,2054,314620,6212,314620
402,2056,315090,6212,315090
403,2060,315900,6212,315900
404,2068,316370,6212,316370
405,2076,317370,6212,317370
406,2084,318370,6212,318370
406,2084,319180,6212,319180
406,2084,320180,6212,320180
407,2092,321180,6212,321180
408,2100,322180,6212,322180
409,2108,322730,6212,322730
409,2108,322730,6212,322730
410,2116,323730,6212,323730
411,2124,324200,6212,324200
411,2124,324520,6212,324520
411,2124,325520,6212,325520
412,2126,326520,6212,326520
413,2128,327520,6212,327520
414,2136,327520,6212,327520
415,2140,327890,6212,327890
416,2142,328890,6212,328890
417,2150,329890,6212,329890
418,2158,329890,6212,329890
419,2166,330890,6212,330890
420,2168,330890,6212,330890
421,2176,331700,6212,331700
422,2184,332290,6212,332290
423,2192,333100,6212,333100
424,2200,333910,6212,333910
425,2208,334910,6212,334910
425,2208,335230,6212,335230
426,2212,336230,6212,336230
427,2220,336230,6212,336230
428,2222,336230,6212,336230
429,2224,337230,6212,337230
430,2232,338230,6212,338230
431,2240,339230,6212,339230
432,2242,339550,6212,339550
433,2250,340100,6212,340100
434,2258,341100,6212,341100
435,2266,342100,6212,342100
435,2266,343100,6212,343100
435,2266,343910,6212,343910
436,2274,344720,6212,344720
437,2282,344720,6212,344720
438,2284,345190,6212,345190
439,2286,346190,6212,346190
440,2294,346510,6212,346510
441,2302,347510,6212,347510
442,2310,347980,6212,347980
443,2312,348790,6212,348790
444,2320,349790,6212,349790
444,2320,350600,6212,350600
444,2320,351600,6212,351600
444,2320,352410,6212,352410
445,2322,352730,6212,352730
446,2324,352960,6212,352960
446,2324,353610,6212,353610
447,2332,354610,6212,354610
448,2340,355420,6212,355420
449,2348,355420,6212,355420
450,2350,356420,6212,356420
451,2358,357420,6212,357420
451,2358,358420,6212,358420
451,2358,358580,6212,358580
452,2366,359230,6212,359230
453,2367,359230,6212,359230
454,2369,360040,6212,360040
454,2369,360630,6212,360630
454,2369,361630,6212,361630
455,2371,362440,6212,362440
456,2379,362910,6212,362910
456,2379,363910,6212,363910
457,2387,364910,6212,364910
458,2395,365910,6212,365910
459,2396,366380,6212,366380
460,2404,367380,6212,367380
460,2404,367850,6212,367850
461,2406,368850,6212,368850
462,2414,369170,6212,369170
463,2422,369170,6212,369170
464,2424,370170,6212,370170
465,2426,370170,6212,370170
466,2428,370170,6212,370170
467,2430,371170,6212,371170
468,2438,372170,6212,372170
468,2438,373170,6212,373170
469,2446,373170,6212,373170
470,2448,373980,6212,373980
471,2456,374450,6212,374450
471,2456,375450,6212,375450
472,2458,376450,6212,376450
473,2460,377450,6212,377450
474,2468,378450,6212,378450
475,2470,378770,6212,378770
476,2472,378770,6212,378770
476,2472,379770,6212,379770
477,2480,380580,6212,380580
477,2480,381580,6212,381580
477,2480,381810,6212,381810
478,2488,382810,6212,382810
479,2496,383620,6212,383620
479,2496,383850,6212,383850
480,2498,384850,6212,384850
480,2498,385400,6212,385400
481,2506,386400,6212,386400
482,2510,386630,6212,386630
483,2518,387630,6212,387630
484,2522,387630,6212,387630
485,2524,387860,6212,387860
485,2524,388860,6212,388860
485,2524,389670,6212,389670
486,2532,389670,6212,389670
487,2540,390480,6212,390480
488,2542,391480,6212,391480
488,2542,392290,6212,392290
489,2550,393290,6212,393290
489,2550,394290,6212,394290
490,2558,395290,6212,395290
491,2560,395290,6212,395290
492,2562,395290,6212,395290
493,2570,395660,6212,395660
494,2574,395660,6212,395660
495,2576,395660,6212,395660
496,2584,396660,6212,396660
497,2592,397660,6212,397660
497,2592,398660,6212,398660
497,2592,399210,6212,399210
497,2592,400210,6212,400210
497,2592,400680,6212,400680
498,2594,401150,6212,401150
498,2594,402150,6212,402150
499,2602,402470,6212,402470
500,2610,403470,6212,403470
501,2618,404470,6212,404470
502,2626,405020,6212,405020
502,2626,405020,6212,405020
502,2626,405830,6212,405830
502,2626,406380,6212,406380
503,2634,407380,6212,407380
503,2634,408380,6212,408380
504,2642,408380,6212,408380
504,2642,409380,6212,409380
505,2650,410190,6212,410190
506,2652,411190,6212,411190
507,2654,411190,6212,411190
508,2662,411510,6212,411510
508,2662,411510,6212,411510
509,2670,419510,6212,419510
509,2670,419510,6212,419510
510,2672,420510,6212,420510
511,2674,421510,6212,421510
511,2674,421510,6212,421510
512,2682,421510,6212,421510
513,2684,422510,6212,422510
514,2692,423510,6212,423510
514,2692,424320,6212,424320
515,2700,424970,6212,424970
516,2702,425970,6212,425970
516,2702,426440,6212,426440
517,2704,427250,6212,427250
517,2704,427840,6212,427840
517,2704,428840,6212,428840
518,2706,429130,6212,429130
518,2706,429130,6212,429130
519,2708,429130,6212,429130
520,2710,429600,6212,429600
521,2712,430250,6212,430250
521,2712,430620,6212,430620
522,2714,430940,6212,430940
523,2722,431940,6212,431940
524,2724,431940,6212,431940
524,2724,432410,6212,432410
525,2732,432880,6212,432880
526,2736,433110,6212,433110
527,2738,434110,6212,434110
527,2738,435110,6212,435110
528,2740,435580,6212,435580
529,2748,436580,6212,436580
530,2750,437580,6212,437580
530,2750,438390,6212,438390
531,2752,439390,6212,439390
532,2760,439860,6212,439860
532,2760,440020,6212,440020
533,2768,441020,6212,441020
534,2776,442020,6212,442020
534,2776,442490,6212,442490
534,2776,443490,6212,443490
534,2776,444140,6212,444140
534,2776,445140,6212,445140
535,2784,445790,6212,445790
536,2792,445790,6212,445790
537,2794,446600,6212,446600
538,2802,446920,6212,446920
539,2804,447920,6212,447920
540,2812,448150,6212,448150
540,2812,449150,6212,449150
541,2820,450150,6212,450150
542,2828,450620,6212,450620
543,2836,450730,6212,450730
544,2838,450730,6212,450730
545,2840,451200,6212,451200
546,2848,452200,6212,452200
547,2856,452570,6212,452570
548,2858,452570,6212,452570
549,2866,453030,6212,453030
549,2866,453030,6212,453030
550,2868,454030,6212,454030
551,2872,454030,6212,454030
552,2880,454840,6212,454840
553,2888,455650,6212,455650
554,2890,456460,6212,456460
554,2890,457460,6212,457460
555,2894,458460,6212,458460
556,2902,459460,6212,459460
556,2902,459460,6212,459460
556,2902,460270,6212,460270
556,2902,461270,6212,461270
556,2902,461920,6212,461920
556,2902,462240,6212,462240
557,2910,470240,6212,470240
558,2918,471240,6212,471240
559,2926,472240,6212,472240
560,2928,473240,6212,473240
560,2928,474050,6212,474050
561,2930,474050,6212,474050
562,2938,474050,6212,474050
563,2946,475050,6212,475050
564,2954,476050,6212,476050
564,2954,477050,6212,477050
564,2954,477520,6212,477520
565,2956,478520,6212,478520
566,2958,479520,6212,479520
566,2958,480520,6212,480520
567,2960,481520,6212,481520
568,2962,481980,6212,481980
568,2962,482790,6212,482790
569,2964,483790,6212,483790
570,2972,484600,6212,484600
570,2972,484650,6212,484650
571,2980,485090,6212,485090
571,2980,485680,6212,485680
572,2982,486490,6212,486490
572,2982,487490,6212,487490
572,2982,487490,6212,487490
573,2984,488490,6212,488490
574,2992,488600,6212,488600
575,2994,488920,6212,488920
576,2996,489730,6212,489730
576,2996,490540,6212,490540
576,2996,491010,6212,491010
576,2996,492010,6212,492010
577,2998,493010,6212,493010
578,3006,493660,6212,493660
579,3014,493980,6212,493980
580,3015,494450,6212,494450
581,3023,495260,6212,495260
581,3023,495580,6212,495580
581,3023,496040,6212,496040
581,3023,497040,6212,497040
582,3025,498040,6212,498040
583,3027,498850,6212,498850
583,3027,499850,6212,499850
584,3031,500850,6212,500850
584,3031,500850,6212,500850
585,3039,501850,6212,501850
586,3047,502850,6212,502850
586,3047,503850,6212,503850
586,3047,504320,6212,504320
586,3047,504970,6212,504970
587,3049,505780,6212,505780
587,3049,506780,6212,506780
588,3053,507590,6212,507590
588,3053,508590,6212,508590
589,3055,509400,6212,509400
589,3055,510400,6212,510400
590,3063,510400,6212,510400
591,3065,510950,6212,510950
592,3073,511540,6212,511540
592,3073,512540,6212,512540
593,3077,513130,6212,513130
593,3077,513600,6212,513600
593,3077,513830,6212,513830
593,3077,514150,6212,514150
593,3077,514470,6212,514470
594,3079,515280,6212,515280
594,3079,515280,6212,515280
595,3087,515280,6212,515280
596,3095,515830,6212,515830
597,3103,516300,6212,516300
598,3111,517110,6212,517110
598,3111,518110,6212,518110
598,3111,519110,6212,519110
598,3111,519110,6212,519110
599,3113,519760,6212,519760
600,3121,519760,6212,519760
600,3121,520760,6212,520760
601,3123,520760,6212,520760
601,3123,521570,6212,521570
602,3131,522570,6212,522570
603,3139,523040,6212,523040
603,3139,524040,6212,524040
604,3141,524200,6212,524200
605,3145,524850,6212,524850
606,3149,525660,6212,525660
607,3157,526310,6212,526310
608,3165,526680,6212,526680
608,3165,527680,6212,527680
608,3165,528330,6212,528330
608,3165,529330,6212,529330
609,3173,529550,6212,529550
609,3173,530360,6212,530360
610,3175,531360,6212,531360
611,3177,532170,6212,532170
611,3177,532640,6212,532640
611,3177,532640,6212,532640
612,3179,533640,6212,533640
613,3187,534640,6212,534640
613,3187,535110,6212,535110
614,3189,536110,6212,536110
615,3191,536920,6212,536920
615,3191,537920,6212,537920
616,3193,538920,6212,538920
616,3193,538920,6212,538920
616,3193,539730,6212,539730
616,3193,540730,6212,540730
617,3201,541050,6212,541050
618,3209,542050,6212,542050
619,3211,542860,6212,542860
619,3211,543230,6212,543230
620,3219,544040,6212,544040
620,3219,544850,6212,544850
621,3221,546850,6212,546850
621,3221,546850,6212,546850
621,3221,547850,6212,547850
621,3221,548850,6212,548850
622,3229,549850,6212,549850
622,3229,550660,6212,550660
623,3237,551130,6212,551130
623,3237,551450,6212,551450
624,3245,552260,6212,552260
625,3253,552720,6212,552720
626,3261,553720,6212,553720
626,3261,554190,6212,554190
627,3269,554840,6212,554840
628,3271,554840,6212,554840
628,3271,555650,6212,555650
629,3279,556120,6212,556120
630,3287,556590,6212,556590
630,3287,557590,6212,557590
631,3289,558590,6212,558590
631,3289,558590,6212,558590
632,3297,558590,6212,558590
633,3305,559400,6212,559400
633,3305,560050,6212,560050
634,3307,561050,6212,561050
635,3315,562050,6212,562050
636,3323,562860,6212,562860
637,3325,563330,6212,563330
638,3327,564330,6212,564330
639,3329,565140,6212,565140
640,3331,566140,6212,566140
641,3333,567140,6212,567140
641,3333,568140,6212,568140
641,3333,568460,6212,568460
642,3341,569110,6212,569110
643,3349,569660,6212,569660
644,3350,570250,6212,570250
645,3358,571250,6212,571250
646,3360,572250,6212,572250
646,3360,572250,6212,572250
647,3368,572250,6212,572250
647,3368,572250,6212,572250
648,3370,573250,6212,573250
648,3370,573720,6212,573720
648,3370,574190,6212,574190
648,3370,575190,6212,575190
648,3370,575660,6212,575660
648,3370,576130,6212,576130
648,3370,576940,6212,576940
649,3372,576940,6212,576940
650,3374,577410,6212,577410
651,3376,577520,6212,577520
651,3376,578520,6212,578520
651,3376,579330,6212,579330
651,3376,580330,6212,580330
651,3376,581330,6212,581330
651,3376,582330,6212,582330
