ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
190,486,376980,6212,376980
191,490,377980,6212,377980
191,490,378450,6212,378450
191,490,378680,6212,378680
192,494,379150,6212,379150
192,494,379620,6212,379620
192,494,379620,6212,379620
192,494,380430,6212,380430
192,494,381240,6212,381240
192,494,381560,6212,381560
193,496,382560,6212,382560
193,496,383030,6212,383030
193,496,383400,6212,383400
193,496,383400,6212,383400
193,496,384400,6212,384400
194,500,385400,6212,385400
194,500,386210,6212,386210
194,500,386680,6212,386680
194,500,386680,6212,386680
195,502,388680,6212,388680
196,510,396680,6212,396680
197,512,397680,6212,397680
197,512,398490,6212,398490
197,512,398490,6212,398490
198,516,399490,6212,399490
198,516,400490,6212,400490
199,520,401490,6212,401490
199,520,402490,6212,402490
200,522,403490,6212,403490
200,522,404490,6212,404490
201,524,405490,6212,405490
201,524,406490,6212,406490
201,524,406490,6212,406490
201,524,407140,6212,407140
201,524,407510,6212,407510
202,528,408320,6212,408320
202,528,409320,6212,409320
202,528,410320,6212,410320
202,528,410790,6212,410790
203,532,414790,6212,414790
204,536,415790,6212,415790
204,536,416790,6212,416790
204,536,417110,6212,417110
204,536,417580,6212,417580
204,536,418390,6212,418390
205,540,420390,6212,420390
205,540,420390,6212,420390
205,540,421390,6212,421390
205,540,422390,6212,422390
206,544,426390,6212,426390
207,548,427390,6212,427390
207,548,428390,6212,428390
207,548,429390,6212,429390
207,548,429940,6212,429940
208,550,430410,6212,430410
208,550,431410,6212,431410
208,550,431880,6212,431880
209,552,432530,6212,432530
210,554,434530,6212,434530
210,554,435340,6212,435340
211,556,435810,6212,435810
211,556,436280,6212,436280
211,556,436280,6212,436280
211,556,437090,6212,437090
212,558,437680,6212,437680
212,558,438680,6212,438680
213,560,439150,6212,439150
213,560,439960,6212,439960
214,562,440960,6212,440960
215,564,442960,6212,442960
215,564,443430,6212,443430
215,564,444240,6212,444240
216,566,445240,6212,445240
216,566,445890,6212,445890
217,568,447890,6212,447890
218,570,448700,6212,448700
218,570,449700,6212,449700
218,570,450020,6212,450020
219,572,450490,6212,450490
219,572,451490,6212,451490
219,572,451490,6212,451490
219,572,451490,6212,451490
220,574,453490,6212,453490
221,582,461490,6212,461490
221,582,461490,6212,461490
222,584,462490,6212,462490
222,584,462960,6212,462960
222,584,463550,6212,463550
223,586,464200,6212,464200
223,586,465010,6212,465010
224,588,466010,6212,466010
224,588,466010,6212,466010
224,588,466010,6212,466010
224,588,466820,6212,466820
225,590,467820,6212,467820
225,590,467870,6212,467870
225,590,468870,6212,468870
226,592,469870,6212,469870
226,592,470680,6212,470680
227,594,471490,6212,471490
227,594,472490,6212,472490
227,594,472720,6212,472720
228,596,473720,6212,473720
228,596,474190,6212,474190
229,598,475000,6212,475000
230,600,477000,6212,477000
230,600,478000,6212,478000
231,602,478810,6212,478810
231,602,479810,6212,479810
231,602,479810,6212,479810
231,602,479810,6212,479810
232,604,480810,6212,480810
232,604,481810,6212,481810
233,606,483810,6212,483810
234,608,484810,6212,484810
234,608,484810,6212,484810
234,608,485810,6212,485810
234,608,486280,6212,486280
235,610,487090,6212,487090
236,618,495090,6212,495090
236,618,495900,6212,495900
236,618,495900,6212,495900
237,620,496370,6212,496370
237,620,496370,6212,496370
237,620,497180,6212,497180
238,628,505180,6212,505180
239,630,506180,6212,506180
239,630,506830,6212,506830
240,632,507830,6212,507830
241,640,515830,6212,515830
241,640,516830,6212,516830
242,642,517830,6212,517830
242,642,518300,6212,518300
243,644,520300,6212,520300
243,644,521110,6212,521110
244,646,522110,6212,522110
244,646,523110,6212,523110
245,648,523570,6212,523570
245,648,524040,6212,524040
245,648,524040,6212,524040
245,648,524040,6212,524040
245,648,525040,6212,525040
246,650,526040,6212,526040
246,650,527040,6212,527040
247,652,527510,6212,527510
247,652,528510,6212,528510
248,654,529160,6212,529160
248,654,530160,6212,530160
249,656,531160,6212,531160
249,656,531810,6212,531810
249,656,532130,6212,532130
250,658,533130,6212,533130
250,658,534130,6212,534130
251,660,535130,6212,535130
251,660,535940,6212,535940
252,664,539940,6212,539940
253,666,540750,6212,540750
253,666,541070,6212,541070
254,674,549070,6212,549070
254,674,549070,6212,549070
254,674,549300,6212,549300
255,678,553300,6212,553300
255,678,553770,6212,553770
255,678,553770,6212,553770
255,678,554000,6212,554000
255,678,554470,6212,554470
256,680,555470,6212,555470
256,680,556470,6212,556470
257,682,557470,6212,557470
258,684,559470,6212,559470
258,684,560470,6212,560470
259,686,561470,6212,561470
259,686,562470,6212,562470
260,688,563470,6212,563470
260,688,564470,6212,564470
261,690,566470,6212,566470
262,692,566940,6212,566940
262,692,567940,6212,567940
263,694,568750,6212,568750
264,696,570750,6212,570750
264,696,571750,6212,571750
265,698,572750,6212,572750
266,706,580750,6212,580750
266,706,580750,6212,580750
267,708,582750,6212,582750
267,708,583400,6212,583400
268,710,584400,6212,584400
268,710,585400,6212,585400
269,712,586400,6212,586400
269,712,587400,6212,587400
270,714,588400,6212,588400
270,714,589400,6212,589400
270,714,589400,6212,589400
270,714,589400,6212,589400
271,722,597400,6212,597400
272,730,605400,6212,605400
273,732,606210,6212,606210
273,732,607020,6212,607020
274,734,609020,6212,609020
275,736,610020,6212,610020
276,744,618020,6212,618020
276,744,619020,6212,619020
276,744,619490,6212,619490
277,746,620490,6212,620490
277,746,620490,6212,620490
277,746,621490,6212,621490
277,746,621490,6212,621490
278,748,622490,6212,622490
278,748,623490,6212,623490
279,750,624490,6212,624490
279,750,625490,6212,625490
280,752,625960,6212,625960
281,754,627960,6212,627960
281,754,628430,6212,628430
281,754,629240,6212,629240
282,756,630240,6212,630240
283,760,634240,6212,634240
283,760,634240,6212,634240
283,760,634710,6212,634710
284,762,635710,6212,635710
284,762,636180,6212,636180
284,762,636990,6212,636990
285,764,637460,6212,637460
285,764,638270,6212,638270
285,764,638590,6212,638590
285,764,639060,6212,639060
286,766,640060,6212,640060
286,766,640380,6212,640380
286,766,640840,6212,640840
287,768,641840,6212,641840
287,768,642650,6212,642650
287,768,642760,6212,642760
288,770,643570,6212,643570
288,770,643890,6212,643890
288,770,644890,6212,644890
289,772,646890,6212,646890
289,772,646890,6212,646890
290,774,647890,6212,647890
290,774,648890,6212,648890
290,774,648890,6212,648890
291,776,649890,6212,649890
291,776,650700,6212,650700
292,784,658700,6212,658700
292,784,659020,6212,659020
293,786,660020,6212,660020
293,786,661020,6212,661020
294,788,662020,6212,662020
294,788,662830,6212,662830
295,790,663830,6212,663830
295,790,663830,6212,663830
295,790,664830,6212,664830
296,792,665830,6212,665830
296,792,666830,6212,666830
297,794,667640,6212,667640
297,794,667640,6212,667640
297,794,668640,6212,668640
297,794,668870,6212,668870
298,796,669870,6212,669870
298,796,670870,6212,670870
299,798,671870,6212,671870
299,798,672870,6212,672870
300,800,673870,6212,673870
300,800,674870,6212,674870
300,800,674870,6212,674870
301,802,675340,6212,675340
301,802,676340,6212,676340
302,804,677340,6212,677340
302,804,678340,6212,678340
302,804,678340,6212,678340
302,804,678560,6212,678560
302,804,679020,6212,679020
303,806,679490,6212,679490
303,806,680490,6212,680490
303,806,680810,6212,680810
304,808,681360,6212,681360
305,816,689360,6212,689360
305,816,689360,6212,689360
305,816,690170,6212,690170
306,820,694170,6212,694170
306,820,694170,6212,694170
307,822,695170,6212,695170
307,822,696170,6212,696170
308,824,697170,6212,697170
308,824,697640,6212,697640
309,826,698450,6212,698450
309,826,698770,6212,698770
309,826,699770,6212,699770
309,826,699990,6212,699990
310,828,701990,6212,701990
311,836,709990,6212,709990
312,844,717990,6212,717990
313,846,718990,6212,718990
313,846,719990,6212,719990
314,848,720990,6212,720990
314,848,721990,6212,721990
315,850,722990,6212,722990
315,850,723990,6212,723990
316,852,724990,6212,724990
316,852,725460,6212,725460
316,852,725780,6212,725780
317,854,726590,6212,726590
317,854,726910,6212,726910
317,854,727910,6212,727910
318,856,728720,6212,728720
318,856,729530,6212,729530
318,856,729750,6212,729750
319,858,730070,6212,730070
319,858,731070,6212,731070
320,860,732070,6212,732070
320,860,733070,6212,733070
321,862,734070,6212,734070
321,862,734230,6212,734230
321,862,734820,6212,734820
322,864,736820,6212,736820
322,864,737820,6212,737820
323,866,738820,6212,738820
323,866,739040,6212,739040
323,866,739850,6212,739850
324,868,740320,6212,740320
324,868,740640,6212,740640
324,868,741290,6212,741290
324,868,741750,6212,741750
325,870,742560,6212,742560
325,870,743560,6212,743560
326,872,744210,6212,744210
326,872,745210,6212,745210
327,874,746020,6212,746020
327,874,747020,6212,747020
328,876,748020,6212,748020
328,876,748490,6212,748490
328,876,748720,6212,748720
328,876,749720,6212,749720
328,876,749720,6212,749720
329,878,750190,6212,750190
329,878,751190,6212,751190
330,886,759190,6212,759190
331,888,760190,6212,760190
331,888,760660,6212,760660
331,888,761130,6212,761130
331,888,761600,6212,761600
332,890,762600,6212,762600
332,890,763070,6212,763070
333,892,764070,6212,764070
333,892,765070,6212,765070
333,892,765070,6212,765070
333,892,765390,6212,765390
334,894,766390,6212,766390
334,894,766710,6212,766710
334,894,766710,6212,766710
335,896,767710,6212,767710
335,896,768710,6212,768710
336,898,769710,6212,769710
336,898,769710,6212,769710
336,898,770710,6212,770710
337,900,771710,6212,771710
337,900,772710,6212,772710
338,902,773710,6212,773710
339,904,775710,6212,775710
339,904,776180,6212,776180
339,904,777180,6212,777180
340,912,785180,6212,785180
341,914,786180,6212,786180
