ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
192,590,520970,6212,520970
192,590,521970,6212,521970
192,590,522970,6212,522970
192,590,523970,6212,523970
192,590,523970,6212,523970
193,592,524620,6212,524620
193,592,525620,6212,525620
193,592,526430,6212,526430
193,592,526430,6212,526430
193,592,527240,6212,527240
194,594,528240,6212,528240
194,594,529240,6212,529240
194,594,529710,6212,529710
194,594,529710,6212,529710
194,594,529710,6212,529710
195,596,530710,6212,530710
195,596,531710,6212,531710
196,598,532710,6212,532710
196,598,533710,6212,533710
197,600,534710,6212,534710
197,600,535030,6212,535030
197,600,536030,6212,536030
198,602,537030,6212,537030
198,602,537030,6212,537030
199,610,537030,6212,537030
199,610,538030,6212,538030
200,612,539030,6212,539030
200,612,539500,6212,539500
200,612,540500,6212,540500
201,620,540500,6212,540500
202,622,541150,6212,541150
202,622,542150,6212,542150
202,622,542620,6212,542620
202,622,542620,6212,542620
202,622,542730,6212,542730
203,624,543200,6212,543200
204,626,544200,6212,544200
204,626,544200,6212,544200
204,626,545200,6212,545200
205,628,546200,6212,546200
205,628,547200,6212,547200
206,630,548200,6212,548200
207,632,549200,6212,549200
207,632,550200,6212,550200
207,632,551200,6212,551200
207,632,551430,6212,551430
208,634,552430,6212,552430
208,634,553430,6212,553430
208,634,554240,6212,554240
209,636,555240,6212,555240
209,636,556240,6212,556240
209,636,556700,6212,556700
210,638,557700,6212,557700
210,638,558160,6212,558160
211,640,559160,6212,559160
211,640,559970,6212,559970
211,640,559970,6212,559970
211,640,560970,6212,560970
211,640,561970,6212,561970
211,640,562970,6212,562970
212,644,563780,6212,563780
213,646,564370,6212,564370
213,646,564840,6212,564840
214,648,565840,6212,565840
215,656,569840,6212,569840
216,664,569840,6212,569840
216,664,570310,6212,570310
216,664,570310,6212,570310
216,664,570630,6212,570630
216,664,571440,6212,571440
216,664,572440,6212,572440
216,664,573440,6212,573440
216,664,573440,6212,573440
216,664,574440,6212,574440
216,664,574670,6212,574670
217,666,575670,6212,575670
217,666,576670,6212,576670
218,668,577670,6212,577670
218,668,577670,6212,577670
218,668,578670,6212,578670
218,668,579140,6212,579140
219,670,579790,6212,579790
219,670,580790,6212,580790
220,672,581790,6212,581790
220,672,581790,6212,581790
220,672,582790,6212,582790
220,672,583260,6212,583260
220,672,583580,6212,583580
220,672,584390,6212,584390
220,672,585200,6212,585200
220,672,585670,6212,585670
220,672,586670,6212,586670
220,672,586670,6212,586670
221,674,587670,6212,587670
221,674,588670,6212,588670
222,676,589670,6212,589670
222,676,590670,6212,590670
222,676,590890,6212,590890
223,678,591890,6212,591890
224,680,592890,6212,592890
224,680,593890,6212,593890
225,684,594700,6212,594700
225,684,594700,6212,594700
225,684,595160,6212,595160
225,684,595380,6212,595380
225,684,596380,6212,596380
225,684,597380,6212,597380
225,684,597850,6212,597850
226,692,598850,6212,598850
226,692,599850,6212,599850
226,692,600850,6212,600850
227,700,608850,6212,608850
227,700,609170,6212,609170
227,700,609720,6212,609720
227,700,610720,6212,610720
227,700,610720,6212,610720
228,702,611720,6212,611720
228,702,612530,6212,612530
228,702,613000,6212,613000
228,702,613810,6212,613810
228,702,614810,6212,614810
228,702,615030,6212,615030
229,704,616030,6212,616030
229,704,616500,6212,616500
229,704,617310,6212,617310
229,704,618310,6212,618310
230,706,619120,6212,619120
230,706,619440,6212,619440
231,714,619440,6212,619440
231,714,620250,6212,620250
231,714,621060,6212,621060
231,714,621060,6212,621060
231,714,621060,6212,621060
231,714,621870,6212,621870
232,716,622870,6212,622870
232,716,623680,6212,623680
232,716,624000,6212,624000
232,716,624810,6212,624810
232,716,625810,6212,625810
233,720,626620,6212,626620
234,722,627620,6212,627620
235,724,628620,6212,628620
235,724,628940,6212,628940
235,724,629940,6212,629940
235,724,630400,6212,630400
236,726,631400,6212,631400
236,726,632210,6212,632210
236,726,633210,6212,633210
237,728,634210,6212,634210
237,728,635210,6212,635210
237,728,635210,6212,635210
237,728,636020,6212,636020
238,736,637020,6212,637020
238,736,637020,6212,637020
238,736,638020,6212,638020
238,736,638830,6212,638830
238,736,639830,6212,639830
238,736,640830,6212,640830
238,736,641830,6212,641830
238,736,642640,6212,642640
238,736,643450,6212,643450
238,736,643670,6212,643670
238,736,644670,6212,644670
238,736,645130,6212,645130
238,736,645940,6212,645940
238,736,646940,6212,646940
239,738,647940,6212,647940
239,738,648940,6212,648940
239,738,649940,6212,649940
240,740,650940,6212,650940
240,740,651940,6212,651940
240,740,651940,6212,651940
240,740,651940,6212,651940
240,740,652940,6212,652940
241,742,653940,6212,653940
241,742,654940,6212,654940
242,744,655940,6212,655940
242,744,656940,6212,656940
242,744,656940,6212,656940
242,744,656940,6212,656940
243,746,657940,6212,657940
244,748,658750,6212,658750
244,748,659750,6212,659750
244,748,660560,6212,660560
244,748,660560,6212,660560
244,748,661560,6212,661560
245,750,662560,6212,662560
245,750,663560,6212,663560
246,752,664560,6212,664560
246,752,664560,6212,664560
246,752,665560,6212,665560
246,752,666370,6212,666370
247,754,667370,6212,667370
247,754,668370,6212,668370
248,756,669370,6212,669370
249,758,670370,6212,670370
249,758,671370,6212,671370
249,758,672020,6212,672020
250,760,673020,6212,673020
250,760,674020,6212,674020
251,762,675020,6212,675020
251,762,675830,6212,675830
251,762,676830,6212,676830
251,762,677150,6212,677150
252,764,678150,6212,678150
252,764,679150,6212,679150
253,766,680150,6212,680150
253,766,680150,6212,680150
253,766,681150,6212,681150
254,768,682150,6212,682150
254,768,683150,6212,683150
255,770,684150,6212,684150
255,770,685150,6212,685150
255,770,685960,6212,685960
255,770,685960,6212,685960
255,770,685960,6212,685960
256,772,686960,6212,686960
256,772,687610,6212,687610
257,774,688610,6212,688610
257,774,689610,6212,689610
258,776,690200,6212,690200
258,776,690200,6212,690200
258,776,690430,6212,690430
259,778,691430,6212,691430
259,778,691890,6212,691890
259,778,692890,6212,692890
260,786,692890,6212,692890
260,786,693890,6212,693890
260,786,694260,6212,694260
261,788,695260,6212,695260
261,788,696070,6212,696070
262,790,697070,6212,697070
