ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1141104.95,19.03,0.44,205457.88,3.43
1141008.93,19.03,0.44,205336.15,3.42
1140841.9,19.03,0.44,205259.0,3.42
1140674.87,19.03,0.44,205254.52,3.42
1140507.84,19.03,0.44,205234.3,3.42
1140497.53,19.03,0.44,205353.87,3.43
1140836.66,19.04,0.45,205130.43,3.42
1140792.35,19.04,0.45,205127.92,3.42
1140625.32,19.04,0.45,205188.09,3.43
1140458.28,19.04,0.45,205114.59,3.42
1140458.28,19.04,0.45,205113.51,3.42
1140291.25,19.04,0.45,205107.63,3.42
1140422.68,19.04,0.45,205140.66,3.43
1140422.68,19.04,0.45,205140.66,3.43
1140255.65,19.04,0.45,205063.16,3.43
1139842.51,19.04,0.45,204699.19,3.42
1139638.24,19.04,0.45,204798.59,3.42
1139872.69,19.05,0.46,204726.46,3.42
1139689.91,19.05,0.46,204096.6,3.41
1139593.89,19.05,0.46,203974.86,3.41
1139426.86,19.05,0.46,203970.73,3.41
1139259.83,19.05,0.46,203893.29,3.41
1139092.79,19.05,0.46,203889.11,3.41
1139088.17,19.05,0.46,203954.53,3.41
1139088.17,19.05,0.46,203954.53,3.41
1139077.86,19.05,0.46,204011.99,3.41
1138495.18,19.05,0.46,203429.31,3.4
1138260.96,19.04,0.45,203252.61,3.4
1138078.18,19.04,0.45,202622.74,3.39
1138078.18,19.04,0.45,202622.74,3.39
1138078.18,19.04,0.45,202622.74,3.39
1137743.03,19.04,0.45,203248.11,3.4
1137647.01,19.04,0.45,203126.38,3.4
1137647.01,19.04,0.45,203126.38,3.4
1137479.98,19.04,0.45,203104.88,3.4
