ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
197,517,349880,6212,349880
198,525,357880,6212,357880
199,533,365880,6212,365880
199,533,366880,6212,366880
200,535,367880,6212,367880
200,535,367880,6212,367880
200,535,368880,6212,368880
201,543,376880,6212,376880
202,551,384880,6212,384880
203,553,385880,6212,385880
203,553,386350,6212,386350
204,555,387350,6212,387350
204,555,387350,6212,387350
204,555,387820,6212,387820
204,555,387820,6212,387820
204,555,387820,6212,387820
204,555,387820,6212,387820
204,555,388820,6212,388820
205,557,389820,6212,389820
205,557,390820,6212,390820
206,559,391820,6212,391820
206,559,392820,6212,392820
207,563,393470,6212,393470
207,563,393940,6212,393940
207,563,393940,6212,393940
207,563,394940,6212,394940
207,563,395410,6212,395410
208,565,395880,6212,395880
208,565,396350,6212,396350
208,565,397350,6212,397350
208,565,397820,6212,397820
209,566,398820,6212,398820
210,574,406820,6212,406820
210,574,407630,6212,407630
211,578,408630,6212,408630
211,578,408950,6212,408950
211,578,409950,6212,409950
211,578,410950,6212,410950
211,578,411270,6212,411270
211,578,412270,6212,412270
212,580,413270,6212,413270
212,580,414270,6212,414270
213,588,422270,6212,422270
213,588,422270,6212,422270
213,588,422730,6212,422730
214,590,423730,6212,423730
214,590,424380,6212,424380
214,590,425190,6212,425190
215,592,426190,6212,426190
215,592,427190,6212,427190
215,592,428190,6212,428190
215,592,429000,6212,429000
215,592,430000,6212,430000
215,592,430810,6212,430810
216,594,431810,6212,431810
216,594,432810,6212,432810
217,596,433810,6212,433810
217,596,434810,6212,434810
217,596,435620,6212,435620
218,598,436090,6212,436090
218,598,436900,6212,436900
219,606,444900,6212,444900
219,606,445370,6212,445370
219,606,446370,6212,446370
220,608,447370,6212,447370
220,608,448370,6212,448370
220,608,448690,6212,448690
220,608,448690,6212,448690
220,608,448690,6212,448690
220,608,449500,6212,449500
220,608,450310,6212,450310
221,610,450770,6212,450770
221,610,451770,6212,451770
221,610,452240,6212,452240
221,610,453240,6212,453240
222,612,453470,6212,453470
222,612,453470,6212,453470
222,612,454470,6212,454470
222,612,455470,6212,455470
223,614,456280,6212,456280
223,614,456750,6212,456750
223,614,457400,6212,457400
224,616,458400,6212,458400
224,616,459210,6212,459210
224,616,459210,6212,459210
225,618,460210,6212,460210
225,618,460670,6212,460670
226,620,461480,6212,461480
226,620,462290,6212,462290
227,622,463100,6212,463100
227,622,464100,6212,464100
227,622,464330,6212,464330
228,630,472330,6212,472330
229,632,472880,6212,472880
229,632,472880,6212,472880
229,632,473880,6212,473880
229,632,473880,6212,473880
230,634,474880,6212,474880
230,634,474880,6212,474880
230,634,475880,6212,475880
230,634,475880,6212,475880
231,636,476690,6212,476690
231,636,477500,6212,477500
232,638,478500,6212,478500
232,638,479500,6212,479500
233,640,480500,6212,480500
233,640,480500,6212,480500
233,640,481150,6212,481150
233,640,481150,6212,481150
234,642,482150,6212,482150
234,642,482620,6212,482620
234,642,483620,6212,483620
235,644,484620,6212,484620
235,644,485430,6212,485430
236,646,486430,6212,486430
237,650,490430,6212,490430
237,650,491430,6212,491430
237,650,491430,6212,491430
238,658,499430,6212,499430
239,660,500430,6212,500430
240,664,504430,6212,504430
240,664,504900,6212,504900
241,666,505900,6212,505900
241,666,506900,6212,506900
242,668,507900,6212,507900
242,668,508120,6212,508120
242,668,509120,6212,509120
243,670,510120,6212,510120
243,670,510930,6212,510930
244,672,511930,6212,511930
244,672,512930,6212,512930
245,674,513930,6212,513930
245,674,514930,6212,514930
246,676,515930,6212,515930
