ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
887888.48,14.47,1.78,580302.36,9.46
888664.75,14.49,1.8,580564.57,9.47
888302.25,14.49,1.8,580294.65,9.46
887286.86,14.49,1.8,579836.69,9.47
887286.86,14.49,1.8,579836.69,9.47
887561.86,14.5,1.8,579554.89,9.47
888331.09,14.51,1.82,579152.42,9.46
888937.12,14.52,1.83,579195.94,9.46
889476.79,14.53,1.84,579178.81,9.46
890082.81,14.55,1.85,579222.33,9.47
893014.06,14.59,1.9,581185.97,9.5
893553.73,14.6,1.91,581168.83,9.5
893796.52,14.61,1.92,580854.82,9.5
893863.39,14.61,1.92,580921.69,9.5
893335.84,14.61,1.91,580339.98,9.49
893082.72,14.6,1.91,580086.86,9.49
893082.72,14.6,1.91,580086.86,9.49
893221.66,14.61,1.92,581010.94,9.5
892590.17,14.6,1.91,580401.68,9.49
895881.03,14.65,1.96,583099.75,9.54
894865.65,14.66,1.96,582616.28,9.54
898156.52,14.71,2.02,585314.34,9.59
898932.79,14.72,2.03,585576.56,9.59
899190.0,14.73,2.04,585319.84,9.59
899549.61,14.74,2.04,586054.27,9.6
898881.82,14.74,2.04,585448.8,9.6
898794.28,14.73,2.04,585318.38,9.6
898248.94,14.73,2.04,584773.04,9.59
897617.45,14.72,2.03,584033.88,9.58
897874.66,14.73,2.03,583788.45,9.57
898131.87,14.73,2.04,583543.03,9.57
897605.51,14.73,2.03,583022.37,9.57
897605.51,14.73,2.03,583022.37,9.57
896887.96,14.72,2.02,582250.66,9.55
897145.17,14.72,2.03,581993.94,9.55
897387.96,14.73,2.04,581679.93,9.55
897630.75,14.74,2.04,581365.92,9.54
897887.96,14.74,2.05,581109.2,9.54
897170.41,14.73,2.04,580337.49,9.53
897427.62,14.74,2.05,580092.06,9.53
898203.89,14.75,2.06,580354.28,9.53
898461.11,14.76,2.07,580108.85,9.53
898718.32,14.77,2.08,579863.43,9.53
899875.29,14.79,2.09,580669.84,9.54
900414.95,14.8,2.11,580652.7,9.54
899697.4,14.79,2.1,579892.28,9.53
900849.33,14.81,2.12,579666.27,9.53
899833.94,14.81,2.12,579182.8,9.53
900091.15,14.82,2.13,578937.37,9.53
898789.23,14.82,2.13,577981.59,9.53
898086.11,14.81,2.12,577278.47,9.52
898059.5,14.81,2.12,577209.12,9.52
898599.16,14.82,2.13,577191.98,9.52
898391.85,14.82,2.13,576778.43,9.51
897682.72,14.82,2.12,575476.5,9.5
897320.22,14.82,2.12,575206.57,9.5
897595.41,14.82,2.13,575263.55,9.5
897493.92,14.82,2.13,575054.38,9.5
897547.56,14.82,2.13,575113.72,9.5
897804.77,14.83,2.14,574868.3,9.49
898344.43,14.84,2.15,574851.16,9.5
897884.1,14.84,2.14,573834.02,9.48
898159.1,14.84,2.15,573552.22,9.48
897645.97,14.84,2.15,573039.1,9.47
900936.84,14.89,2.2,575737.17,9.52
901194.05,14.9,2.21,575491.74,9.51
901092.56,14.9,2.21,575412.48,9.51
901632.22,14.91,2.22,575395.35,9.51
901605.61,14.91,2.22,575326.0,9.51
901862.83,14.92,2.22,575080.57,9.51
901595.28,14.91,2.22,574770.15,9.51
900877.73,14.9,2.21,573998.44,9.5
903808.98,14.95,2.26,575962.08,9.53
904066.19,14.96,2.27,575716.65,9.53
904323.4,14.97,2.27,575471.23,9.52
904221.91,14.97,2.27,575262.06,9.52
904761.58,14.98,2.28,575244.93,9.52
903746.19,14.98,2.29,574761.45,9.53
904522.46,14.99,2.3,575023.67,9.53
904765.25,15.0,2.31,574709.66,9.53
905304.91,15.01,2.32,574692.52,9.53
905579.91,15.02,2.33,574410.72,9.53
905052.37,15.01,2.32,573829.01,9.52
906440.35,15.04,2.35,574903.01,9.54
907216.62,15.05,2.36,575165.23,9.54
907992.89,15.07,2.37,575427.44,9.55
908235.68,15.07,2.38,575113.43,9.54
907708.13,15.07,2.37,574531.72,9.54
908484.4,15.08,2.39,574793.93,9.54
907852.91,15.07,2.38,574054.77,9.53
908392.57,15.08,2.39,574037.63,9.53
907675.02,15.07,2.38,573265.92,9.52
907312.52,15.07,2.38,572996.0,9.52
908469.49,15.09,2.4,573802.41,9.53
908262.19,15.09,2.4,573388.86,9.53
908174.64,15.09,2.4,573247.15,9.52
908714.3,15.1,2.41,573230.01,9.53
908777.69,15.1,2.41,573250.66,9.53
909034.91,15.11,2.42,572993.95,9.52
908933.42,15.11,2.42,572784.78,9.52
909428.48,15.12,2.42,572915.71,9.52
910968.14,15.14,2.45,573898.58,9.54
910422.8,15.14,2.44,573353.24,9.53
909791.31,15.13,2.44,572614.08,9.52
913082.18,15.18,2.49,575312.14,9.57
913339.39,15.19,2.5,575066.72,9.56
913596.6,15.2,2.5,574810.0,9.56
913495.11,15.2,2.5,574600.84,9.56
914883.09,15.22,2.53,575674.84,9.58
915659.36,15.24,2.54,575937.05,9.58
916402.25,15.25,2.56,576401.12,9.59
915684.7,15.24,2.55,575629.41,9.58
917224.36,15.26,2.57,576612.27,9.6
916208.98,15.27,2.58,576128.8,9.6
915491.43,15.26,2.57,575357.09,9.59
916031.09,15.27,2.58,575339.95,9.59
915763.54,15.27,2.57,575018.24,9.59
916038.54,15.27,2.58,574736.44,9.58
916295.76,15.28,2.59,574491.02,9.58
916552.97,15.29,2.6,574234.3,9.58
916345.66,15.29,2.59,573820.75,9.57
916602.87,15.29,2.6,573575.32,9.57
916877.87,15.3,2.61,573293.52,9.57
917016.81,15.3,2.61,574217.6,9.58
916299.27,15.3,2.6,573445.89,9.57
916272.66,15.3,2.6,573376.54,9.57
917424.58,15.32,2.63,573150.53,9.57
917681.79,15.32,2.63,572905.1,9.57
917924.58,15.33,2.64,572591.09,9.56
918181.79,15.34,2.65,572345.66,9.56
917819.29,15.34,2.64,572075.74,9.56
918425.32,15.35,2.66,572119.26,9.56
917912.2,15.34,2.65,571606.14,9.55
917946.86,15.34,2.65,571640.8,9.55
917665.37,15.34,2.65,571251.64,9.55
917922.58,15.35,2.65,571006.21,9.55
917219.46,15.34,2.65,570303.08,9.54
