ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
282,682,629630,6212,629630
282,682,630630,6212,630630
283,686,631630,6212,631630
283,686,631630,6212,631630
284,688,632440,6212,632440
284,688,633440,6212,633440
285,690,634250,6212,634250
285,690,634570,6212,634570
286,692,635570,6212,635570
286,692,636570,6212,636570
286,692,637570,6212,637570
287,694,638570,6212,638570
288,696,639380,6212,639380
288,696,639380,6212,639380
288,696,640380,6212,640380
288,696,640970,6212,640970
289,698,641970,6212,641970
289,698,642970,6212,642970
289,698,643200,6212,643200
290,700,645200,6212,645200
290,700,645670,6212,645670
291,702,646670,6212,646670
291,702,647670,6212,647670
292,706,651670,6212,651670
293,708,652670,6212,652670
293,708,653670,6212,653670
293,708,654260,6212,654260
293,708,655070,6212,655070
294,710,656070,6212,656070
294,710,656070,6212,656070
294,710,656540,6212,656540
294,710,656540,6212,656540
295,712,657540,6212,657540
295,712,658540,6212,658540
296,714,659350,6212,659350
296,714,660000,6212,660000
296,714,660810,6212,660810
297,722,660810,6212,660810
297,722,661620,6212,661620
297,722,662620,6212,662620
297,722,670620,6212,670620
298,724,671620,6212,671620
298,724,672620,6212,672620
299,728,673620,6212,673620
299,728,674270,6212,674270
300,732,675270,6212,675270
300,732,675270,6212,675270
300,732,676270,6212,676270
300,732,676590,6212,676590
301,734,677400,6212,677400
301,734,678210,6212,678210
301,734,679210,6212,679210
302,742,679210,6212,679210
303,744,680210,6212,680210
303,744,680680,6212,680680
303,744,681680,6212,681680
304,746,682680,6212,682680
304,746,682680,6212,682680
304,746,683680,6212,683680
305,748,684680,6212,684680
305,748,685150,6212,685150
306,750,686150,6212,686150
306,750,686620,6212,686620
306,750,687620,6212,687620
306,750,687620,6212,687620
307,752,688620,6212,688620
308,760,688620,6212,688620
308,760,689090,6212,689090
308,760,689560,6212,689560
309,762,690560,6212,690560
309,762,691560,6212,691560
310,764,692370,6212,692370
310,764,692600,6212,692600
310,764,693410,6212,693410
311,768,694410,6212,694410
312,770,695220,6212,695220
312,770,695870,6212,695870
313,772,696680,6212,696680
313,772,697490,6212,697490
313,772,697960,6212,697960
313,772,698960,6212,698960
314,776,699960,6212,699960
314,776,700960,6212,700960
314,776,701960,6212,701960
315,778,702960,6212,702960
316,780,703770,6212,703770
316,780,703770,6212,703770
316,780,704770,6212,704770
316,780,705580,6212,705580
317,782,706580,6212,706580
317,782,707050,6212,707050
317,782,708050,6212,708050
318,784,708860,6212,708860
318,784,709860,6212,709860
319,786,710860,6212,710860
319,786,711860,6212,711860
320,790,712860,6212,712860
321,792,713860,6212,713860
321,792,714860,6212,714860
322,794,715860,6212,715860
323,796,716670,6212,716670
323,796,717670,6212,717670
323,796,718670,6212,718670
324,798,719140,6212,719140
325,800,719950,6212,719950
325,800,719950,6212,719950
325,800,720950,6212,720950
325,800,721420,6212,721420
325,800,721740,6212,721740
325,800,722740,6212,722740
326,802,723740,6212,723740
327,804,724550,6212,724550
327,804,724550,6212,724550
327,804,724870,6212,724870
327,804,725520,6212,725520
327,804,726110,6212,726110
328,806,727110,6212,727110
328,806,728110,6212,728110
329,808,728920,6212,728920
329,808,729240,6212,729240
329,808,729240,6212,729240
329,808,730240,6212,730240
330,810,731240,6212,731240
330,810,732240,6212,732240
331,812,732710,6212,732710
331,812,733710,6212,733710
331,812,734180,6212,734180
332,820,734180,6212,734180
332,820,734180,6212,734180
332,820,734180,6212,734180
332,820,742180,6212,742180
332,820,742180,6212,742180
333,824,743180,6212,743180
333,824,744180,6212,744180
333,824,744650,6212,744650
333,824,745120,6212,745120
333,824,746120,6212,746120
333,824,746120,6212,746120
334,826,747120,6212,747120
334,826,747770,6212,747770
334,826,747770,6212,747770
335,828,748240,6212,748240
335,828,749240,6212,749240
335,828,749240,6212,749240
336,830,750240,6212,750240
337,832,751050,6212,751050
337,832,752050,6212,752050
337,832,752050,6212,752050
337,832,752520,6212,752520
337,832,752990,6212,752990
338,834,753990,6212,753990
338,834,754990,6212,754990
339,836,755800,6212,755800
339,836,756800,6212,756800
340,838,757800,6212,757800
340,838,758260,6212,758260
340,838,758260,6212,758260
340,838,759260,6212,759260
341,840,760260,6212,760260
341,840,760260,6212,760260
342,842,762260,6212,762260
342,842,762260,6212,762260
342,842,762260,6212,762260
342,842,762910,6212,762910
343,844,763910,6212,763910
344,846,764720,6212,764720
