ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
133,282,214390,6212,214390
134,284,215200,6212,215200
134,284,216200,6212,216200
135,286,217200,6212,217200
135,286,218200,6212,218200
136,288,219010,6212,219010
136,288,219330,6212,219330
136,288,220140,6212,220140
137,290,221140,6212,221140
137,290,222140,6212,222140
137,290,222140,6212,222140
138,292,223140,6212,223140
138,292,223790,6212,223790
138,292,223790,6212,223790
139,294,224790,6212,224790
140,296,226790,6212,226790
140,296,227020,6212,227020
140,296,227490,6212,227490
141,298,228490,6212,228490
141,298,229300,6212,229300
142,300,230300,6212,230300
142,300,231300,6212,231300
143,302,232300,6212,232300
143,302,233110,6212,233110
143,302,233110,6212,233110
144,304,233920,6212,233920
144,304,234510,6212,234510
144,304,234830,6212,234830
144,304,235830,6212,235830
144,304,235830,6212,235830
145,312,235830,6212,235830
146,314,236300,6212,236300
146,314,237110,6212,237110
146,314,237110,6212,237110
147,316,238110,6212,238110
147,316,238340,6212,238340
147,316,239340,6212,239340
148,318,240340,6212,240340
148,318,241340,6212,241340
148,318,241340,6212,241340
149,320,241660,6212,241660
149,320,242130,6212,242130
149,320,243130,6212,243130
149,320,243130,6212,243130
150,322,243780,6212,243780
150,322,244590,6212,244590
151,330,252590,6212,252590
152,332,253590,6212,253590
152,332,254590,6212,254590
153,334,255590,6212,255590
153,334,256240,6212,256240
154,336,257240,6212,257240
155,338,257710,6212,257710
155,338,258710,6212,258710
155,338,259710,6212,259710
156,340,260710,6212,260710
156,340,261710,6212,261710
157,342,262710,6212,262710
157,342,262940,6212,262940
157,342,263940,6212,263940
158,344,264940,6212,264940
158,344,265750,6212,265750
159,346,266560,6212,266560
159,346,267030,6212,267030
159,346,268030,6212,268030
160,348,269030,6212,269030
160,348,270030,6212,270030
161,350,271030,6212,271030
161,350,271030,6212,271030
161,350,271580,6212,271580
162,352,272050,6212,272050
162,352,272700,6212,272700
162,352,272700,6212,272700
163,354,273700,6212,273700
164,356,274700,6212,274700
164,356,275510,6212,275510
164,356,275980,6212,275980
164,356,276980,6212,276980
165,358,277980,6212,277980
165,358,278980,6212,278980
166,360,279790,6212,279790
166,360,280790,6212,280790
167,368,288790,6212,288790
168,370,289600,6212,289600
168,370,290600,6212,290600
169,372,291150,6212,291150
169,372,292150,6212,292150
170,374,293150,6212,293150
170,374,293620,6212,293620
171,376,294620,6212,294620
171,376,295430,6212,295430
172,378,296080,6212,296080
173,380,297080,6212,297080
173,380,298080,6212,298080
174,382,299080,6212,299080
174,382,300080,6212,300080
175,384,301080,6212,301080
176,386,302080,6212,302080
176,386,303080,6212,303080
176,386,304080,6212,304080
176,386,304550,6212,304550
177,388,305550,6212,305550
177,388,305550,6212,305550
177,388,306550,6212,306550
177,388,306550,6212,306550
178,390,307550,6212,307550
178,390,308550,6212,308550
178,390,308550,6212,308550
178,390,309550,6212,309550
178,390,309780,6212,309780
179,392,310780,6212,310780
179,392,311780,6212,311780
180,400,311780,6212,311780
180,400,311780,6212,311780
181,402,312240,6212,312240
181,402,313240,6212,313240
182,404,314050,6212,314050
182,404,314050,6212,314050
182,404,315050,6212,315050
182,404,315270,6212,315270
183,406,316270,6212,316270
183,406,317080,6212,317080
184,408,318080,6212,318080
184,408,318540,6212,318540
184,408,319350,6212,319350
185,410,320160,6212,320160
185,410,320810,6212,320810
186,412,321810,6212,321810
186,412,322040,6212,322040
186,412,323040,6212,323040
187,414,324040,6212,324040
187,414,325040,6212,325040
188,416,326040,6212,326040
188,416,326510,6212,326510
188,416,326980,6212,326980
189,418,327980,6212,327980
189,418,328980,6212,328980
190,420,329980,6212,329980
191,422,330980,6212,330980
191,422,331300,6212,331300
191,422,332300,6212,332300
191,422,333110,6212,333110
192,424,333920,6212,333920
192,424,334920,6212,334920
193,426,335920,6212,335920
193,426,336920,6212,336920
194,428,337730,6212,337730
194,428,338540,6212,338540
195,430,339540,6212,339540
195,430,340010,6212,340010
196,432,341010,6212,341010
196,432,341010,6212,341010
196,432,341010,6212,341010
196,432,342010,6212,342010
197,440,342010,6212,342010
198,442,343010,6212,343010
198,442,343010,6212,343010
198,442,343820,6212,343820
199,444,344820,6212,344820
