ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
199,406,361180,6212,361180
199,406,361990,6212,361990
200,408,362460,6212,362460
200,408,362930,6212,362930
201,410,363930,6212,363930
201,410,364930,6212,364930
202,412,365930,6212,365930
202,412,365930,6212,365930
202,412,366930,6212,366930
203,414,367930,6212,367930
203,414,368930,6212,368930
204,416,369930,6212,369930
204,416,370930,6212,370930
205,418,371930,6212,371930
205,418,372400,6212,372400
205,418,372400,6212,372400
205,418,373400,6212,373400
205,418,373720,6212,373720
205,418,374190,6212,374190
206,420,375000,6212,375000
207,422,376000,6212,376000
207,422,376000,6212,376000
208,426,376000,6212,376000
208,426,377000,6212,377000
209,428,378000,6212,378000
209,428,379000,6212,379000
210,430,380000,6212,380000
210,430,381000,6212,381000
211,432,382000,6212,382000
211,432,383000,6212,383000
211,432,383000,6212,383000
211,432,383590,6212,383590
212,434,384590,6212,384590
212,434,384910,6212,384910
213,436,385910,6212,385910
214,438,386720,6212,386720
214,438,387720,6212,387720
215,440,388720,6212,388720
215,440,389720,6212,389720
215,440,389720,6212,389720
215,440,389720,6212,389720
216,442,390720,6212,390720
216,442,391720,6212,391720
216,442,392720,6212,392720
216,442,392940,6212,392940
216,442,393750,6212,393750
216,442,394220,6212,394220
217,444,395030,6212,395030
218,446,396030,6212,396030
218,446,396030,6212,396030
219,448,397030,6212,397030
219,448,398030,6212,398030
219,448,398350,6212,398350
219,448,398820,6212,398820
219,448,399050,6212,399050
220,450,399640,6212,399640
220,450,400450,6212,400450
220,450,401450,6212,401450
221,452,402260,6212,402260
221,452,402730,6212,402730
221,452,403200,6212,403200
221,452,403670,6212,403670
222,454,404670,6212,404670
223,456,405480,6212,405480
223,456,405850,6212,405850
224,458,406850,6212,406850
224,458,407070,6212,407070
224,458,408070,6212,408070
224,458,408720,6212,408720
224,458,408880,6212,408880
225,460,409350,6212,409350
225,460,410350,6212,410350
226,462,411350,6212,411350
226,462,411900,6212,411900
227,464,412710,6212,412710
228,466,413710,6212,413710
228,466,414710,6212,414710
228,466,415710,6212,415710
229,468,416710,6212,416710
229,468,417180,6212,417180
229,468,417180,6212,417180
229,468,417650,6212,417650
230,470,418300,6212,418300
230,470,418460,6212,418460
230,470,419460,6212,419460
231,472,420460,6212,420460
231,472,421270,6212,421270
231,472,422270,6212,422270
231,472,422740,6212,422740
232,474,423740,6212,423740
233,476,424740,6212,424740
234,478,425200,6212,425200
234,478,425660,6212,425660
234,478,426660,6212,426660
234,478,426980,6212,426980
235,480,427980,6212,427980
235,480,428450,6212,428450
235,480,429450,6212,429450
236,482,430450,6212,430450
237,484,431260,6212,431260
237,484,432260,6212,432260
238,486,433260,6212,433260
238,486,433730,6212,433730
239,488,434730,6212,434730
239,488,435730,6212,435730
240,490,436730,6212,436730
240,490,437730,6212,437730
240,490,438730,6212,438730
241,498,446730,6212,446730
241,498,447540,6212,447540
242,500,448540,6212,448540
242,500,449540,6212,449540
243,502,450540,6212,450540
243,502,451540,6212,451540
244,504,452130,6212,452130
244,504,452290,6212,452290
245,506,453290,6212,453290
245,506,454290,6212,454290
246,510,458290,6212,458290
247,512,459290,6212,459290
247,512,459940,6212,459940
248,514,460410,6212,460410
248,514,460630,6212,460630
248,514,461630,6212,461630
249,516,462630,6212,462630
250,524,462630,6212,462630
250,524,463630,6212,463630
251,526,464630,6212,464630
251,526,464630,6212,464630
251,526,465630,6212,465630
251,526,466440,6212,466440
252,528,467440,6212,467440
252,528,468440,6212,468440
252,528,468760,6212,468760
253,530,469760,6212,469760
253,530,470760,6212,470760
254,532,471760,6212,471760
254,532,472080,6212,472080
254,532,472190,6212,472190
254,532,473190,6212,473190
255,534,474190,6212,474190
256,536,474660,6212,474660
256,536,474660,6212,474660
256,536,475660,6212,475660
256,536,476250,6212,476250
257,538,477250,6212,477250
257,538,477410,6212,477410
257,538,477880,6212,477880
257,538,478200,6212,478200
258,540,478670,6212,478670
259,542,479670,6212,479670
259,542,480320,6212,480320
259,542,481320,6212,481320
260,544,481910,6212,481910
260,544,482560,6212,482560
260,544,482560,6212,482560
261,546,483560,6212,483560
261,546,484560,6212,484560
262,548,485560,6212,485560
262,548,486560,6212,486560
263,550,487210,6212,487210
263,550,488210,6212,488210
264,552,489210,6212,489210
264,552,490210,6212,490210
264,552,491020,6212,491020
265,554,492020,6212,492020
266,556,492830,6212,492830
266,556,493640,6212,493640
266,556,494010,6212,494010
266,556,494010,6212,494010
266,556,494480,6212,494480
267,558,495290,6212,495290
268,560,496290,6212,496290
268,560,497100,6212,497100
269,562,497910,6212,497910
269,562,498910,6212,498910
270,564,499910,6212,499910
270,564,500720,6212,500720
270,564,500720,6212,500720
271,566,501720,6212,501720
271,566,501950,6212,501950
272,568,502950,6212,502950
273,570,503420,6212,503420
273,570,504420,6212,504420
273,570,505230,6212,505230
274,572,506230,6212,506230
274,572,506460,6212,506460
275,574,507110,6212,507110
275,574,508110,6212,508110
276,576,509110,6212,509110
276,576,510110,6212,510110
276,576,510340,6212,510340
276,576,510660,6212,510660
277,578,511660,6212,511660
278,580,512130,6212,512130
279,582,512590,6212,512590
279,582,512910,6212,512910
279,582,513910,6212,513910
279,582,514910,6212,514910
279,582,515910,6212,515910
280,584,517910,6212,517910
281,592,525910,6212,525910
282,594,526910,6212,526910
283,596,527560,6212,527560
283,596,528560,6212,528560
284,598,529560,6212,529560
284,598,530560,6212,530560
284,598,531370,6212,531370
284,598,531840,6212,531840
284,598,532070,6212,532070
285,600,533070,6212,533070
285,600,534070,6212,534070
285,600,534390,6212,534390
285,600,534710,6212,534710
286,602,535180,6212,535180
287,604,536180,6212,536180
287,604,536500,6212,536500
287,604,537500,6212,537500
288,606,538500,6212,538500
288,606,538970,6212,538970
288,606,539970,6212,539970
288,606,540780,6212,540780
289,608,541780,6212,541780
289,608,542780,6212,542780
290,610,543780,6212,543780
290,610,543940,6212,543940
290,610,543940,6212,543940
291,612,544310,6212,544310
291,612,544900,6212,544900
291,612,545900,6212,545900
292,614,546900,6212,546900
293,616,547900,6212,547900
293,616,548900,6212,548900
293,616,548900,6212,548900
294,618,549900,6212,549900
294,618,550900,6212,550900
295,620,551900,6212,551900
295,620,552360,6212,552360
296,622,553170,6212,553170
296,622,553390,6212,553390
296,622,553550,6212,553550
296,622,554550,6212,554550
297,624,555550,6212,555550
297,624,556360,6212,556360
297,624,557360,6212,557360
297,624,558360,6212,558360
298,626,559360,6212,559360
299,628,560360,6212,560360
299,628,561360,6212,561360
299,628,561360,6212,561360
299,628,562360,6212,562360
300,630,563360,6212,563360
300,630,564360,6212,564360
301,632,565360,6212,565360
302,634,566010,6212,566010
302,634,567010,6212,567010
303,636,568010,6212,568010
303,636,569010,6212,569010
304,638,570010,6212,570010
304,638,570010,6212,570010
305,640,571010,6212,571010
305,640,572010,6212,572010
306,642,572480,6212,572480
307,644,572950,6212,572950
308,646,573950,6212,573950
308,646,574760,6212,574760
308,646,575760,6212,575760
308,646,576030,6212,576030
309,648,577030,6212,577030
309,648,578030,6212,578030
310,650,579030,6212,579030
310,650,580030,6212,580030
310,650,580500,6212,580500
311,652,581500,6212,581500
311,652,582150,6212,582150
311,652,583150,6212,583150
312,654,584150,6212,584150
312,654,584960,6212,584960
313,656,585430,6212,585430
313,656,585890,6212,585890
313,656,586890,6212,586890
314,658,587890,6212,587890
314,658,588890,6212,588890
315,660,589890,6212,589890
315,660,590700,6212,590700
315,660,591700,6212,591700
316,662,592700,6212,592700
316,662,593700,6212,593700
317,664,594510,6212,594510
317,664,595320,6212,595320
318,666,596130,6212,596130
319,668,597130,6212,597130
319,668,598130,6212,598130
319,668,598940,6212,598940
320,670,599940,6212,599940
321,672,600750,6212,600750
321,672,601340,6212,601340
321,672,602340,6212,602340
322,674,603340,6212,603340
322,674,603340,6212,603340
322,674,604340,6212,604340
322,674,604570,6212,604570
323,676,605380,6212,605380
324,678,606380,6212,606380
324,678,606850,6212,606850
324,678,607170,6212,607170
324,678,608170,6212,608170
324,678,608490,6212,608490
325,680,609300,6212,609300
326,682,610300,6212,610300
326,682,611300,6212,611300
326,682,611760,6212,611760
327,684,612760,6212,612760
328,686,613760,6212,613760
328,686,614230,6212,614230
328,686,615230,6212,615230
329,688,616230,6212,616230
329,688,617230,6212,617230
330,690,617780,6212,617780
331,692,618780,6212,618780
332,694,619780,6212,619780
332,694,620590,6212,620590
332,694,621590,6212,621590
333,696,622140,6212,622140
333,696,623140,6212,623140
333,696,623510,6212,623510
334,698,624510,6212,624510
334,698,625510,6212,625510
334,698,625830,6212,625830
334,698,626640,6212,626640
335,706,634640,6212,634640
336,708,635640,6212,635640
337,710,636640,6212,636640
338,712,637640,6212,637640
338,712,638640,6212,638640
339,714,639640,6212,639640
340,716,639870,6212,639870
340,716,640340,6212,640340
340,716,640570,6212,640570
340,716,641570,6212,641570
340,716,641890,6212,641890
340,716,642360,6212,642360
341,718,643360,6212,643360
341,718,644360,6212,644360
342,720,645170,6212,645170
342,720,645980,6212,645980
343,722,646980,6212,646980
