ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
909406.32,14.83,1.24,221951.57,3.62
910173.37,14.84,1.25,222644.83,3.63
910173.37,14.84,1.25,222644.83,3.63
911886.63,14.87,1.28,223730.34,3.65
911387.51,14.86,1.27,223034.86,3.64
911078.4,14.86,1.27,222529.37,3.63
911259.28,14.87,1.27,222513.88,3.63
911309.73,14.87,1.28,222636.1,3.63
911309.73,14.87,1.28,222636.1,3.63
911897.25,14.88,1.29,222761.33,3.63
911740.89,14.88,1.29,222643.2,3.63
911788.25,14.88,1.29,223266.32,3.64
911453.99,14.87,1.28,222766.6,3.64
912196.37,14.89,1.3,223077.6,3.64
912783.88,14.9,1.31,223202.83,3.64
913526.25,14.91,1.32,223513.83,3.65
914268.62,14.93,1.33,223824.82,3.65
914449.51,14.93,1.34,223809.34,3.65
915748.25,14.95,1.36,225881.01,3.69
916335.76,14.96,1.37,226006.23,3.69
916199.85,14.96,1.37,225915.43,3.69
916199.85,14.96,1.37,225899.0,3.69
915865.59,14.96,1.37,225399.29,3.68
915709.24,14.96,1.37,225262.04,3.68
916627.38,14.97,1.38,227042.52,3.71
917216.61,14.98,1.39,226939.51,3.71
917007.77,14.98,1.39,226804.62,3.71
917750.14,15.0,1.4,227115.62,3.71
918463.4,15.01,1.42,227201.13,3.71
918705.09,15.02,1.43,226865.97,3.71
919582.28,15.03,1.44,226700.16,3.71
919248.02,15.03,1.44,226200.44,3.7
920831.7,15.05,1.46,228065.73,3.73
920493.25,15.05,1.46,227676.4,3.72
920674.14,15.06,1.46,227660.91,3.72
920493.14,15.05,1.46,227107.96,3.71
921235.51,15.07,1.48,227418.96,3.72
921416.39,15.07,1.48,227403.47,3.72
922003.91,15.08,1.49,227528.7,3.72
922451.2,15.09,1.5,227619.77,3.72
922294.84,15.09,1.5,227468.32,3.72
922620.81,15.1,1.5,227522.76,3.72
922464.45,15.09,1.5,227337.19,3.72
922130.19,15.09,1.5,226837.48,3.71
922131.35,15.09,1.5,226841.31,3.71
922578.64,15.1,1.51,226932.39,3.71
922629.09,15.1,1.51,226911.11,3.71
922679.54,15.1,1.51,227033.33,3.72
923267.06,15.11,1.52,227158.55,3.72
926723.43,15.17,1.58,230413.07,3.77
926389.17,15.17,1.58,229913.36,3.76
926439.62,15.17,1.58,229987.21,3.77
926765.58,15.18,1.59,230041.65,3.77
926816.03,15.18,1.59,230163.87,3.77
927001.69,15.18,1.59,230224.51,3.77
927052.14,15.19,1.6,230346.73,3.77
927639.66,15.2,1.61,230471.96,3.78
927530.56,15.2,1.61,230529.91,3.78
927710.27,15.2,1.61,230585.96,3.78
927211.15,15.2,1.61,229890.47,3.77
930667.52,15.25,1.66,233144.99,3.82
931260.34,15.26,1.67,233065.57,3.82
931260.34,15.26,1.67,233084.31,3.82
931847.86,15.27,1.68,233209.53,3.82
932280.31,15.28,1.69,233692.49,3.83
932867.82,15.29,1.7,233817.72,3.83
933460.64,15.3,1.71,233738.3,3.83
933351.0,15.3,1.71,233795.74,3.83
933016.74,15.3,1.71,233296.03,3.83
933258.44,15.31,1.72,232960.87,3.82
933845.96,15.32,1.73,233086.1,3.82
934526.4,15.33,1.74,233811.03,3.84
934712.06,15.33,1.74,233778.66,3.83
934622.94,15.33,1.74,233493.18,3.83
934288.68,15.33,1.74,232993.46,3.82
933954.42,15.33,1.74,232493.74,3.82
934150.99,15.33,1.74,232429.5,3.81
934331.87,15.33,1.74,232414.02,3.81
935074.24,15.35,1.76,232725.02,3.82
934832.68,15.34,1.75,232604.75,3.82
936545.93,15.37,1.78,233690.26,3.84
936207.49,15.37,1.78,233300.93,3.83
936071.58,15.37,1.78,233380.93,3.83
