ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
875672.69,14.36,0.79,208634.58,3.42
875882.46,14.36,0.8,208633.98,3.42
875882.46,14.36,0.8,208633.39,3.42
875860.75,14.36,0.8,208633.88,3.42
875912.28,14.37,0.8,208396.51,3.42
876122.05,14.37,0.8,208315.57,3.42
876173.58,14.37,0.81,208315.35,3.42
876371.86,14.38,0.81,208569.01,3.42
876537.76,14.38,0.81,208568.42,3.42
876589.29,14.38,0.82,208686.89,3.42
876749.61,14.39,0.82,208658.13,3.42
876915.51,14.39,0.82,208605.41,3.42
877075.83,14.39,0.83,208576.65,3.42
877127.36,14.4,0.83,208695.12,3.43
877178.89,14.4,0.83,208884.39,3.43
877230.42,14.4,0.84,208884.16,3.43
877230.42,14.4,0.84,208884.16,3.43
877223.64,14.4,0.84,208879.51,3.43
877223.64,14.4,0.84,208879.51,3.43
877223.64,14.4,0.84,208878.91,3.43
877389.54,14.41,0.84,208826.2,3.43
877351.17,14.41,0.84,208443.81,3.42
877402.7,14.41,0.84,208206.44,3.42
877454.23,14.41,0.85,208206.71,3.42
877505.76,14.42,0.85,208325.19,3.42
877557.29,14.42,0.85,208324.96,3.42
877608.82,14.42,0.86,208443.43,3.43
877763.09,14.43,0.86,208443.9,3.43
877923.41,14.43,0.86,208415.14,3.43
878077.67,14.43,0.87,208507.11,3.43
878237.99,14.44,0.87,208506.9,3.43
878447.76,14.44,0.88,208506.3,3.43
880176.43,14.47,0.9,209574.55,3.45
880386.2,14.47,0.91,209573.96,3.45
880437.73,14.48,0.91,209573.73,3.45
880489.26,14.48,0.91,209573.51,3.45
880540.79,14.48,0.92,209691.98,3.45
880948.94,14.49,0.92,209623.24,3.45
881000.47,14.49,0.93,209623.01,3.45
881052.0,14.5,0.93,209623.01,3.45
881103.53,14.5,0.93,209741.49,3.45
881103.53,14.5,0.93,209751.57,3.45
881103.53,14.5,0.93,209579.05,3.45
881263.85,14.5,0.94,209578.84,3.45
881424.17,14.51,0.94,209550.08,3.45
881475.7,14.51,0.94,209550.08,3.45
881475.7,14.51,0.94,209549.48,3.45
881629.96,14.51,0.95,209548.89,3.45
881790.28,14.52,0.95,209548.68,3.45
881841.81,14.52,0.95,209548.45,3.45
882002.13,14.52,0.96,209519.69,3.45
882053.66,14.53,0.96,209519.46,3.45
882105.19,14.53,0.96,209519.46,3.45
882105.19,14.53,0.96,209518.87,3.45
882826.67,14.54,0.98,209760.6,3.46
883057.53,14.55,0.98,209760.01,3.46
883226.92,14.55,0.98,209410.33,3.45
883278.45,14.55,0.99,209237.81,3.45
883438.77,14.56,0.99,209718.53,3.46
883490.3,14.56,0.99,209718.3,3.46
883659.69,14.56,1.0,209717.71,3.46
883711.22,14.57,1.0,209764.55,3.46
883871.54,14.57,1.0,209764.34,3.46
884031.86,14.57,1.01,210386.48,3.47
884083.39,14.58,1.01,210350.33,3.47
884134.92,14.58,1.01,210349.73,3.47
884186.45,14.58,1.02,210349.5,3.47
884340.71,14.59,1.02,210441.48,3.47
884325.79,14.59,1.02,210441.48,3.47
884377.32,14.59,1.02,210441.48,3.47
884531.59,14.59,1.03,210650.76,3.48
884700.98,14.6,1.03,210561.24,3.47
884915.24,14.6,1.03,210560.65,3.47
885971.25,14.62,1.05,211351.62,3.49
885971.25,14.62,1.05,211351.02,3.49
886022.78,14.62,1.05,211469.5,3.49
886192.17,14.62,1.06,211379.98,3.49
886243.7,14.63,1.06,211379.98,3.49
886295.23,14.63,1.06,211379.75,3.49
886455.55,14.63,1.07,211379.54,3.49
886624.94,14.64,1.07,211378.95,3.49
888353.62,14.67,1.1,212447.19,3.51
888507.88,14.67,1.1,212447.19,3.51
888507.88,14.67,1.1,212274.67,3.5
888677.28,14.67,1.11,212274.07,3.5
888728.81,14.68,1.11,212273.85,3.51
888780.34,14.68,1.11,212387.76,3.51
888831.87,14.68,1.12,212387.53,3.51
888986.13,14.69,1.12,212555.43,3.51
889699.04,14.7,1.13,212854.21,3.52
889699.04,14.7,1.13,212853.61,3.52
889699.04,14.7,1.13,212853.61,3.52
890411.95,14.71,1.15,213152.39,3.52
890168.01,14.71,1.14,213152.39,3.52
890377.77,14.71,1.15,212714.68,3.51
890538.09,14.72,1.15,213070.25,3.52
890589.62,14.72,1.15,213069.86,3.52
890799.39,14.72,1.16,213069.26,3.52
890777.68,14.72,1.16,213068.67,3.52
890947.08,14.73,1.16,212979.15,3.52
890947.08,14.73,1.16,213063.63,3.52
890998.61,14.73,1.16,213182.11,3.52
890998.61,14.73,1.16,213182.39,3.52
891050.14,14.73,1.17,213182.17,3.52
891259.91,14.74,1.17,213101.24,3.52
891469.68,14.74,1.17,213020.3,3.52
891521.21,14.74,1.18,213019.93,3.52
891681.52,14.75,1.18,213019.56,3.52
891681.52,14.75,1.18,212990.47,3.52
891681.52,14.75,1.18,212989.43,3.52
891733.05,14.75,1.18,213107.91,3.53
891784.58,14.75,1.19,213166.95,3.53
891938.85,14.76,1.19,213258.92,3.53
891990.38,14.76,1.19,213258.7,3.53
892041.91,14.76,1.2,213377.17,3.53
892093.44,14.77,1.2,213495.65,3.53
891857.46,14.76,1.2,213495.26,3.53
891908.99,14.77,1.2,213495.03,3.53
892069.31,14.77,1.2,213494.82,3.53
891825.36,14.77,1.2,213487.83,3.53
891876.89,14.77,1.2,213677.09,3.54
892037.21,14.77,1.21,213648.33,3.54
892037.21,14.77,1.21,213528.52,3.54
892206.61,14.78,1.21,213527.92,3.54
892168.24,14.78,1.21,213145.53,3.53
892219.77,14.78,1.21,213264.01,3.53
892219.77,14.78,1.21,213121.49,3.53
892374.04,14.78,1.22,213121.1,3.53
892539.94,14.79,1.22,213121.1,3.53
892709.33,14.79,1.23,213120.5,3.53
892760.86,14.8,1.23,213119.9,3.53
892812.39,14.8,1.23,213119.68,3.53
892863.92,14.8,1.23,213119.45,3.53
893018.19,14.8,1.24,213118.86,3.53
893069.72,14.81,1.24,213308.12,3.54
893259.74,14.81,1.25,213307.52,3.54
893259.74,14.81,1.25,213135.0,3.53
893311.27,14.81,1.25,213253.48,3.54
893311.27,14.81,1.25,213170.47,3.54
893362.8,14.82,1.25,212824.17,3.53
893532.19,14.82,1.25,212826.04,3.53
893692.51,14.82,1.26,212826.04,3.53
893861.9,14.83,1.26,212826.04,3.53
893861.9,14.83,1.26,212958.73,3.53
894016.17,14.83,1.27,213050.7,3.53
894067.7,14.84,1.27,213169.17,3.54
894237.09,14.84,1.27,213169.17,3.54
894288.62,14.84,1.28,213168.95,3.54
894340.15,14.84,1.28,213168.95,3.54
894391.68,14.85,1.28,213168.24,3.54
894443.21,14.85,1.28,213167.85,3.54
894597.48,14.85,1.29,213167.85,3.54
894575.77,14.85,1.29,212996.56,3.54
894785.54,14.86,1.29,212996.56,3.54
894945.86,14.86,1.3,212996.35,3.54
895115.25,14.87,1.3,212906.83,3.54
895026.17,14.87,1.3,212906.83,3.54
895077.7,14.87,1.3,212906.83,3.54
895275.98,14.87,1.31,212981.14,3.54
895327.51,14.88,1.31,213099.62,3.54
895327.51,14.88,1.31,213099.02,3.54
895487.82,14.88,1.31,213070.26,3.54
895648.14,14.88,1.32,213604.22,3.55
895879.0,14.89,1.32,213603.62,3.55
896039.32,14.89,1.33,213603.41,3.55
896090.85,14.9,1.33,213603.19,3.55
896251.16,14.9,1.33,213602.98,3.55
896251.16,14.9,1.33,213613.06,3.55
896251.16,14.9,1.33,213397.62,3.55
896417.07,14.9,1.34,213344.91,3.55
896468.6,14.91,1.34,213463.38,3.55
896468.6,14.91,1.34,213361.68,3.55
896678.36,14.91,1.34,213280.75,3.55
896844.27,14.91,1.35,213280.38,3.55
896895.8,14.92,1.35,213280.15,3.55
896947.33,14.92,1.35,213279.93,3.55
897113.23,14.92,1.36,213279.33,3.55
897273.55,14.93,1.36,213279.12,3.55
897442.94,14.93,1.36,213260.39,3.55
897442.94,14.93,1.36,213087.87,3.55
897693.49,14.94,1.37,213114.11,3.55
897847.75,14.94,1.37,213103.07,3.55
897847.75,14.94,1.37,213113.16,3.55
898008.07,14.94,1.38,213112.95,3.55
898001.23,14.94,1.38,213112.95,3.55
898054.23,14.95,1.38,213112.95,3.55
898208.5,14.95,1.38,213112.58,3.55
898260.03,14.95,1.39,213231.05,3.55
898311.56,14.96,1.39,213230.83,3.55
898471.87,14.96,1.39,213230.83,3.55
898456.95,14.96,1.39,213246.54,3.55
898617.27,14.96,1.4,213246.33,3.55
898353.03,14.96,1.4,212735.8,3.54
898404.56,14.96,1.4,212389.5,3.54
898456.09,14.97,1.4,212507.97,3.54
898507.62,14.97,1.4,212626.44,3.54
898559.15,14.97,1.41,212736.01,3.54
898610.68,14.98,1.41,212854.48,3.55
898610.68,14.98,1.41,213025.49,3.55
898771.0,14.98,1.41,213025.28,3.55
898822.53,14.98,1.42,213143.75,3.55
898982.85,14.99,1.42,213166.09,3.55
899143.17,14.99,1.42,213137.33,3.55
899143.17,14.99,1.42,213137.33,3.55
899297.9,14.99,1.43,213261.69,3.56
899349.43,15.0,1.43,213073.91,3.55
899349.43,15.0,1.43,213073.31,3.55
899518.82,15.0,1.43,213072.72,3.55
899688.22,15.0,1.44,212983.2,3.55
899842.48,15.01,1.44,213075.17,3.55
900002.8,15.01,1.45,213074.96,3.55
900163.12,15.02,1.45,213074.75,3.55
900323.43,15.02,1.45,213041.58,3.55
900479.37,15.02,1.46,213147.09,3.56
900634.1,15.03,1.46,213147.97,3.56
900794.42,15.03,1.46,213119.2,3.56
900845.95,15.03,1.47,212881.83,3.55
900897.48,15.04,1.47,212940.88,3.55
901066.87,15.04,1.47,212940.28,3.55
901221.14,15.04,1.48,212939.91,3.55
901272.67,15.05,1.48,212939.68,3.56
901442.06,15.05,1.48,212770.23,3.55
901651.83,15.06,1.49,212769.63,3.55
901703.36,15.06,1.49,212661.6,3.55
901703.36,15.06,1.49,212671.69,3.55
901681.65,15.06,1.49,212500.39,3.55
901841.97,15.06,1.5,212500.19,3.55
901841.97,15.06,1.5,212499.59,3.55
901893.5,15.07,1.5,212499.36,3.55
901945.03,15.07,1.5,212499.14,3.55
901996.56,15.07,1.5,212498.91,3.55
902206.33,15.07,1.51,212348.28,3.55
902375.72,15.08,1.51,212718.36,3.55
902536.04,15.08,1.52,212718.15,3.55
902766.9,15.09,1.52,212717.55,3.56
902921.16,15.09,1.53,212716.96,3.56
903090.56,15.1,1.53,212627.43,3.55
903300.33,15.1,1.53,212626.84,3.55
903460.64,15.1,1.54,212982.41,3.56
903460.64,15.1,1.54,212981.81,3.56
903630.04,15.11,1.54,212981.81,3.56
903630.04,15.11,1.54,212812.14,3.56
903681.57,15.11,1.54,212930.61,3.56
903841.88,15.11,1.55,212985.37,3.56
903893.41,15.12,1.55,212986.48,3.56
903893.41,15.12,1.55,212985.89,3.56
903944.94,15.12,1.55,212985.89,3.56
903996.47,15.12,1.56,212985.5,3.56
903996.47,15.12,1.56,212883.8,3.56
904165.87,15.13,1.56,212883.2,3.56
904217.4,15.13,1.56,213001.68,3.56
904386.79,15.13,1.57,213001.08,3.56
904541.06,15.14,1.57,213221.48,3.57
904701.37,15.14,1.57,213571.24,3.57
904701.37,15.14,1.57,213580.85,3.57
904861.69,15.14,1.58,213580.64,3.57
904861.69,15.14,1.58,213866.73,3.58
904913.22,15.15,1.58,213985.2,3.58
905082.62,15.15,1.59,213984.61,3.58
905134.15,15.15,1.59,213981.43,3.58
905294.46,15.16,1.59,213952.66,3.58
905454.78,15.16,1.6,213975.0,3.58
905615.1,15.17,1.6,213974.8,3.58
905769.36,15.17,1.6,214203.09,3.59
905820.89,15.17,1.61,214202.87,3.59
905872.42,15.18,1.61,214321.34,3.59
906041.82,15.18,1.61,214231.82,3.59
906211.21,15.18,1.62,214142.3,3.59
906380.6,15.19,1.62,214141.71,3.59
906590.37,15.19,1.62,214704.85,3.6
906590.37,15.19,1.62,214562.34,3.6
906641.9,15.19,1.63,214562.34,3.6
906811.3,15.2,1.63,214561.74,3.6
907009.57,15.2,1.64,214561.14,3.6
907169.89,15.21,1.64,214561.14,3.6
907706.81,15.22,1.65,214401.93,3.59
907758.34,15.22,1.65,214363.43,3.59
907758.34,15.22,1.65,214336.23,3.59
907692.13,15.22,1.65,214336.27,3.59
907852.45,15.22,1.66,214307.5,3.59
908042.47,15.23,1.66,214230.3,3.59
908042.47,15.23,1.66,214128.6,3.59
908094.0,15.23,1.66,214303.56,3.59
908094.0,15.23,1.66,214201.87,3.59
908254.32,15.23,1.67,214173.1,3.59
908305.85,15.24,1.67,214362.37,3.6
908466.16,15.24,1.67,214362.16,3.6
908680.42,15.24,1.68,214373.85,3.6
908731.95,15.25,1.68,214492.33,3.6
909133.39,15.26,1.69,214550.49,3.6
909184.92,15.26,1.69,214204.18,3.59
909184.92,15.26,1.69,214027.9,3.59
909184.92,15.26,1.69,213855.38,3.59
909236.45,15.26,1.7,213964.94,3.59
909287.98,15.26,1.7,213964.72,3.59
909448.29,15.27,1.7,213935.95,3.59
909499.82,15.27,1.7,214054.43,3.59
909669.22,15.27,1.71,214053.83,3.59
909823.48,15.28,1.71,214145.8,3.6
909875.01,15.28,1.72,214145.58,3.6
909926.54,15.29,1.72,214145.35,3.6
910136.31,15.29,1.72,213809.51,3.59
910326.33,15.29,1.73,213808.91,3.59
910326.33,15.29,1.73,214300.97,3.6
910495.72,15.3,1.73,214300.38,3.6
910649.99,15.3,1.73,214392.35,3.6
910810.31,15.31,1.74,214362.34,3.6
910970.62,15.31,1.74,214333.58,3.6
911022.15,15.31,1.75,214392.62,3.6
911182.47,15.32,1.75,214392.25,3.6
911903.96,15.33,1.76,214633.99,3.61
911955.49,15.33,1.77,214752.46,3.61
912429.41,15.34,1.77,214735.16,3.61
912595.31,15.34,1.78,214842.63,3.61
912761.22,15.35,1.78,214670.11,3.61
912927.12,15.35,1.79,214669.51,3.61
913081.38,15.36,1.79,214761.49,3.61
913291.15,15.36,1.79,214760.89,3.61
913342.68,15.36,1.8,214760.89,3.61
913342.68,15.36,1.8,214659.19,3.61
913552.45,15.37,1.8,214658.59,3.61
913712.77,15.37,1.81,214629.83,3.61
913925.84,15.38,1.81,214576.37,3.61
913977.37,15.38,1.81,214576.0,3.61
914175.64,15.38,1.82,214650.31,3.61
915110.39,15.4,1.83,215415.87,3.63
915300.41,15.4,1.84,215415.27,3.63
915170.67,15.4,1.84,215019.0,3.62
915222.2,15.41,1.84,215018.78,3.62
915273.73,15.41,1.84,215193.74,3.62
915325.26,15.41,1.85,215193.74,3.62
915376.79,15.42,1.85,215193.04,3.62
915428.32,15.42,1.85,214972.95,3.62
915258.4,15.42,1.85,214708.45,3.62
915418.71,15.42,1.85,214679.69,3.62
915628.48,15.43,1.86,214679.09,3.62
915797.88,15.43,1.86,214608.27,3.62
915967.27,15.43,1.87,214607.67,3.62
916136.66,15.44,1.87,214518.15,3.61
916136.66,15.44,1.87,214517.78,3.61
916290.93,15.44,1.87,214609.75,3.62
916290.93,15.44,1.87,214609.15,3.62
916290.93,15.44,1.87,214609.15,3.62
916482.75,15.44,1.88,214734.01,3.62
916534.28,15.45,1.88,214828.56,3.62
916694.6,15.45,1.89,214828.35,3.62
916694.6,15.45,1.89,214837.96,3.62
916904.37,15.46,1.89,214837.36,3.62
916955.9,15.46,1.89,214837.14,3.62
917007.43,15.46,1.9,214836.91,3.62
917058.96,15.46,1.9,214978.82,3.63
917110.49,15.47,1.9,214978.82,3.63
917279.88,15.47,1.9,214889.3,3.62
917222.99,15.47,1.91,214739.94,3.62
917222.99,15.47,1.91,214560.88,3.62
917201.28,15.47,1.91,214429.92,3.62
917329.28,15.47,1.91,214301.43,3.61
917498.67,15.48,1.91,214282.7,3.61
917658.99,15.48,1.92,214253.94,3.61
917710.52,15.48,1.92,214253.71,3.62
917870.83,15.49,1.92,214224.95,3.61
918085.09,15.49,1.93,214224.35,3.62
918136.62,15.5,1.93,214224.35,3.62
918306.01,15.5,1.93,214223.75,3.62
918357.54,15.5,1.94,214223.36,3.62
918409.07,15.51,1.94,214593.12,3.62
918578.47,15.51,1.94,215089.69,3.63
