ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
169,868,90390,6212,90390
169,868,91200,6212,91200
170,876,92010,6212,92010
171,884,92820,6212,92820
172,886,93290,6212,93290
173,888,94100,6212,94100
174,890,94570,6212,94570
175,898,95380,6212,95380
176,906,95850,6212,95850
177,910,96320,6212,96320
178,912,96640,6212,96640
179,920,96750,6212,96750
180,922,96750,6212,96750
181,924,97560,6212,97560
182,932,98370,6212,98370
183,940,99180,6212,99180
184,948,99500,6212,99500
185,956,99500,6212,99500
186,964,99970,6212,99970
187,972,100440,6212,100440
188,980,100900,6212,100900
188,980,101370,6212,101370
189,982,102180,6212,102180
190,983,102990,6212,102990
191,991,103460,6212,103460
192,993,103780,6212,103780
193,995,104250,6212,104250
194,997,104570,6212,104570
195,1005,104570,6212,104570
196,1013,105120,6212,105120
197,1015,105120,6212,105120
198,1023,105590,6212,105590
199,1025,106060,6212,106060
200,1033,106710,6212,106710
201,1041,107180,6212,107180
202,1043,107650,6212,107650
203,1045,108120,6212,108120
204,1053,108440,6212,108440
205,1061,108910,6212,108910
206,1069,109720,6212,109720
207,1077,109950,6212,109950
208,1079,110410,6212,110410
209,1087,110730,6212,110730
210,1089,111540,6212,111540
211,1091,112090,6212,112090
212,1099,112740,6212,112740
213,1101,113390,6212,113390
214,1109,113620,6212,113620
215,1117,113620,6212,113620
216,1125,113780,6212,113780
217,1129,114590,6212,114590
218,1131,114820,6212,114820
219,1139,115630,6212,115630
219,1139,116220,6212,116220
220,1147,116680,6212,116680
221,1149,117490,6212,117490
222,1151,117960,6212,117960
223,1153,118420,6212,118420
224,1155,118890,6212,118890
225,1157,119700,6212,119700
225,1157,120510,6212,120510
226,1165,121320,6212,121320
226,1165,121320,6212,121320
227,1167,121370,6212,121370
227,1167,121370,6212,121370
228,1175,121370,6212,121370
229,1177,121830,6212,121830
229,1177,122640,6212,122640
230,1181,123450,6212,123450
230,1181,124260,6212,124260
231,1183,125070,6212,125070
232,1191,125880,6212,125880
233,1193,126690,6212,126690
234,1201,127340,6212,127340
235,1203,127810,6212,127810
236,1205,128460,6212,128460
237,1213,128930,6212,128930
238,1221,129160,6212,129160
