ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1200708.04,19.61,1.02,217824.87,3.56
1203594.32,19.66,1.07,219958.35,3.59
1203839.44,19.66,1.08,219758.28,3.59
1204982.34,19.68,1.1,220621.02,3.6
1206125.23,19.7,1.12,221483.76,3.62
1207268.12,19.72,1.13,222346.5,3.63
1207859.52,19.73,1.15,222440.17,3.63
1207341.36,19.72,1.14,221943.21,3.63
1208484.26,19.74,1.16,222805.95,3.64
1208729.38,19.75,1.17,222617.01,3.64
1208991.29,19.76,1.17,222387.93,3.63
1208901.83,19.76,1.17,222315.89,3.63
1209146.95,19.77,1.18,222126.95,3.63
1208521.29,19.76,1.17,221404.92,3.62
1208016.18,19.75,1.17,220914.27,3.61
1208261.31,19.76,1.18,220725.33,3.61
1208337.21,19.76,1.18,221642.6,3.63
1209870.45,19.79,1.21,222699.31,3.64
1210461.85,19.8,1.22,222792.97,3.64
1211584.35,19.82,1.24,222914.71,3.65
1212727.24,19.84,1.26,223777.45,3.66
1212080.51,19.83,1.25,223133.1,3.65
1211984.84,19.83,1.25,222941.08,3.65
1211289.74,19.82,1.24,222260.42,3.64
1211310.67,19.83,1.24,222357.75,3.64
1210788.78,19.82,1.24,221793.39,3.63
1210864.68,19.83,1.24,222710.66,3.65
1210359.57,19.82,1.24,222220.01,3.64
1211482.07,19.84,1.26,222341.75,3.64
1212241.76,19.86,1.27,222655.28,3.65
1211546.65,19.85,1.26,221974.63,3.64
1210920.99,19.84,1.26,221252.6,3.63
1210399.1,19.84,1.25,220699.38,3.62
1210627.45,19.84,1.26,220436.73,3.61
1210611.0,19.84,1.26,220389.91,3.61
1210349.11,19.84,1.26,220085.55,3.61
1210594.24,19.85,1.26,219885.48,3.61
1210839.36,19.85,1.27,219685.41,3.6
1210752.17,19.85,1.27,219501.85,3.6
1210040.28,19.85,1.26,218747.49,3.59
1209518.39,19.84,1.26,218183.14,3.58
1209780.3,19.85,1.26,217954.05,3.58
1210008.65,19.86,1.27,217691.41,3.57
1209976.76,19.86,1.27,217628.18,3.57
1210205.11,19.86,1.28,217365.54,3.57
1210259.44,19.86,1.28,217323.51,3.57
1210504.57,19.87,1.29,217134.57,3.56
1210855.94,19.88,1.3,217657.0,3.57
1210893.63,19.88,1.3,217507.77,3.57
1210181.75,19.87,1.29,216753.41,3.56
1213388.67,19.92,1.34,219800.94,3.61
1213221.63,19.92,1.34,219723.44,3.61
1213466.76,19.93,1.35,219534.5,3.61
1212948.6,19.93,1.34,219037.55,3.6
1213193.73,19.93,1.35,218848.61,3.6
1215168.17,19.97,1.38,220814.68,3.63
1215413.3,19.97,1.39,220625.74,3.63
1216172.98,19.99,1.4,220939.27,3.63
1215634.31,19.98,1.4,220415.06,3.62
1215896.22,19.99,1.4,220185.98,3.62
1216487.62,20.0,1.42,220279.64,3.62
1219694.54,20.05,1.47,223327.17,3.67
1221227.78,20.08,1.49,224383.87,3.69
1221612.81,20.08,1.5,225209.11,3.7
1221580.93,20.09,1.5,225134.75,3.7
1221549.04,20.09,1.5,225060.4,3.7
1221030.88,20.08,1.5,224563.44,3.69
1221106.78,20.08,1.5,225480.7,3.71
1220600.13,20.08,1.5,224988.51,3.7
1222731.14,20.11,1.53,226118.77,3.72
1224264.38,20.14,1.56,227175.48,3.74
1224509.51,20.15,1.56,226986.54,3.73
1223987.62,20.14,1.56,226433.31,3.73
1224025.31,20.14,1.56,226284.08,3.72
1224150.78,20.14,1.56,226068.57,3.72
1223628.89,20.14,1.55,225515.35,3.71
1223612.45,20.14,1.56,225468.52,3.71
1222986.79,20.13,1.55,224746.5,3.7
1222794.2,20.13,1.55,224719.14,3.7
1222168.53,20.12,1.54,223997.12,3.69
1222325.39,20.13,1.55,224307.48,3.69
1222858.63,20.14,1.56,224364.19,3.7
1222879.56,20.14,1.56,224461.51,3.7
1225162.25,20.18,1.6,227698.32,3.75
1225424.16,20.19,1.61,227469.24,3.75
