ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
106,334,239340,6212,239340
106,334,240340,6212,240340
107,338,241340,6212,241340
107,338,241340,6212,241340
107,338,241660,6212,241660
107,338,242130,6212,242130
108,340,243130,6212,243130
108,340,243130,6212,243130
108,340,243780,6212,243780
108,340,244590,6212,244590
108,340,252590,6212,252590
109,348,253590,6212,253590
110,356,254590,6212,254590
111,364,255590,6212,255590
112,366,256240,6212,256240
113,374,257240,6212,257240
113,374,257710,6212,257710
113,374,258710,6212,258710
113,374,259710,6212,259710
113,374,260710,6212,260710
114,376,261710,6212,261710
114,376,262710,6212,262710
114,376,262940,6212,262940
115,378,263940,6212,263940
116,380,264940,6212,264940
116,380,265750,6212,265750
116,380,266560,6212,266560
116,380,267030,6212,267030
116,380,268030,6212,268030
116,380,269030,6212,269030
117,382,270030,6212,270030
117,382,271030,6212,271030
117,382,271030,6212,271030
118,384,271580,6212,271580
118,384,272050,6212,272050
118,384,272700,6212,272700
118,384,272700,6212,272700
118,384,273700,6212,273700
118,384,274700,6212,274700
118,384,275510,6212,275510
118,384,275980,6212,275980
118,384,276980,6212,276980
119,386,277980,6212,277980
119,386,278980,6212,278980
119,386,279790,6212,279790
119,386,280790,6212,280790
120,394,288790,6212,288790
121,396,289600,6212,289600
122,404,290600,6212,290600
123,412,291150,6212,291150
123,412,292150,6212,292150
123,412,293150,6212,293150
123,412,293620,6212,293620
123,412,294620,6212,294620
123,412,295430,6212,295430
123,412,296080,6212,296080
123,412,297080,6212,297080
124,416,298080,6212,298080
124,416,299080,6212,299080
124,416,300080,6212,300080
124,416,301080,6212,301080
124,416,302080,6212,302080
124,416,303080,6212,303080
124,416,304080,6212,304080
124,416,304550,6212,304550
124,416,305550,6212,305550
124,416,305550,6212,305550
125,418,306550,6212,306550
125,418,306550,6212,306550
125,418,307550,6212,307550
125,418,308550,6212,308550
125,418,308550,6212,308550
125,418,309550,6212,309550
125,418,309780,6212,309780
126,426,310780,6212,310780
126,426,311780,6212,311780
126,426,311780,6212,311780
126,426,311780,6212,311780
126,426,312240,6212,312240
126,426,313240,6212,313240
