ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1739159.55,28.88,0.38,198997.57,3.3
1739049.66,28.88,0.38,199440.08,3.31
1739251.46,28.89,0.39,199421.4,3.31
1738872.19,28.89,0.39,199128.98,3.31
1738872.19,28.89,0.39,199128.98,3.31
1738651.49,28.88,0.38,198951.24,3.31
1738798.17,28.89,0.39,198904.54,3.3
1738605.51,28.89,0.39,198917.2,3.3
1738333.34,28.89,0.39,200119.23,3.33
1738225.77,28.89,0.39,199908.34,3.32
1737920.15,28.89,0.39,199857.44,3.32
1737809.48,28.89,0.39,199786.84,3.32
1737809.48,28.89,0.39,199766.96,3.32
1737442.49,28.89,0.39,201007.4,3.34
1737144.11,28.89,0.39,200937.46,3.34
1736844.17,28.89,0.39,200931.92,3.34
1736754.42,28.89,0.39,200940.87,3.34
1736445.71,28.89,0.39,200862.29,3.34
1736137.77,28.89,0.39,200864.01,3.34
1736274.63,28.89,0.39,200843.11,3.34
1735976.24,28.89,0.39,200831.23,3.34
1735864.54,28.89,0.4,200929.08,3.34
1735596.37,28.89,0.4,200925.65,3.35
