ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
638445.35,10.49,0.27,172019.66,2.83
638343.13,10.49,0.27,172011.14,2.83
638240.91,10.49,0.27,171927.98,2.83
638721.18,10.5,0.27,171877.51,2.82
638429.9,10.49,0.27,171870.82,2.82
638327.67,10.49,0.27,171779.13,2.82
638225.45,10.49,0.27,171779.13,2.82
638323.1,10.5,0.27,171740.91,2.82
638735.29,10.5,0.28,172294.09,2.83
638735.29,10.5,0.28,172294.09,2.83
638310.88,10.5,0.28,171881.11,2.83
638636.83,10.5,0.28,171855.73,2.83
638312.37,10.5,0.28,173763.64,2.86
638210.15,10.5,0.28,173733.09,2.86
638285.32,10.5,0.28,173745.7,2.86
638394.2,10.5,0.28,173630.3,2.86
638291.98,10.5,0.28,173630.39,2.86
638243.36,10.5,0.28,173582.49,2.86
638141.13,10.5,0.28,173521.36,2.86
638542.09,10.51,0.29,174314.15,2.87
638337.41,10.51,0.29,173732.52,2.86
638665.59,10.51,0.29,174374.04,2.87
638888.87,10.52,0.3,174373.76,2.87
638786.65,10.52,0.3,174357.01,2.87
638581.15,10.52,0.29,174371.33,2.87
638478.92,10.52,0.29,174296.39,2.87
638376.7,10.52,0.29,174279.64,2.87
638274.48,10.52,0.29,174204.7,2.87
638274.48,10.52,0.29,174204.7,2.87
638274.48,10.52,0.29,174204.7,2.87
638172.26,10.52,0.29,174196.18,2.87
638258.67,10.52,0.3,174181.86,2.87
638156.45,10.52,0.3,174098.69,2.87
638054.23,10.52,0.3,174102.87,2.87
637952.0,10.52,0.3,174003.25,2.87
637849.78,10.52,0.3,173972.7,2.87
637936.19,10.52,0.3,173972.7,2.87
637833.97,10.52,0.3,173911.56,2.87
637731.75,10.52,0.3,173819.88,2.87
637731.75,10.52,0.3,173819.88,2.87
637629.53,10.52,0.3,173819.88,2.87
637527.31,10.52,0.3,173728.19,2.87
637425.08,10.52,0.3,173897.45,2.87
637511.49,10.53,0.3,173886.66,2.87
637597.9,10.53,0.31,174204.48,2.88
637684.3,10.53,0.31,174390.98,2.88
637684.3,10.53,0.31,174390.98,2.88
638010.25,10.54,0.32,174909.65,2.89
638010.25,10.54,0.32,174909.65,2.89
637851.62,10.54,0.31,174751.02,2.89
637749.4,10.54,0.31,174742.5,2.89
637749.4,10.54,0.31,174742.5,2.89
637647.18,10.54,0.31,174659.34,2.89
637733.59,10.54,0.32,174173.01,2.88
637819.99,10.54,0.32,173951.48,2.87
637717.77,10.54,0.32,173942.96,2.88
637615.55,10.54,0.32,173859.79,2.87
637513.33,10.54,0.32,173843.05,2.87
637376.37,10.54,0.32,174013.33,2.88
637274.15,10.54,0.32,173938.39,2.88
637171.93,10.54,0.32,173921.64,2.88
637069.71,10.54,0.32,173846.7,2.88
637069.71,10.54,0.32,173846.7,2.88
636967.49,10.54,0.32,173835.76,2.88
637293.44,10.55,0.32,173836.66,2.88
637191.21,10.55,0.32,173752.15,2.88
637277.62,10.55,0.33,173751.07,2.88
637175.4,10.55,0.33,173659.39,2.88
637073.18,10.55,0.33,173659.39,2.88
636970.96,10.55,0.33,173567.7,2.87
636970.96,10.55,0.33,173567.7,2.87
636868.74,10.55,0.33,173567.7,2.87
636766.52,10.55,0.33,173550.95,2.88
636664.29,10.55,0.33,173550.95,2.88
636306.13,10.54,0.32,173550.95,2.88
635986.13,10.54,0.32,173230.95,2.87
636312.07,10.55,0.32,173530.0,2.88
636209.85,10.55,0.32,173536.79,2.88
636107.63,10.55,0.32,173438.31,2.88
636005.41,10.55,0.32,173438.31,2.88
635785.72,10.54,0.32,173270.46,2.87
635683.5,10.54,0.32,173259.52,2.87
635581.28,10.54,0.32,173175.01,2.87
635857.9,10.55,0.33,173206.35,2.87
635755.68,10.55,0.33,173114.67,2.87
635534.47,10.55,0.32,172822.65,2.87
635620.88,10.55,0.33,172822.46,2.87
635420.74,10.55,0.32,172794.76,2.87
635420.74,10.55,0.32,172870.12,2.87
635318.51,10.55,0.32,172870.12,2.87
635216.29,10.55,0.32,172876.91,2.87
635114.07,10.55,0.32,172778.44,2.87
635011.85,10.55,0.32,172769.91,2.87
