ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
737095.09,12.16,1.93,191970.41,3.17
736579.71,12.15,1.93,191428.41,3.16
736970.13,12.16,1.94,191278.02,3.16
737380.35,12.17,1.95,191087.13,3.15
740625.2,12.22,2.0,193365.41,3.19
741035.42,12.23,2.01,193201.15,3.19
740445.65,12.22,2.0,192491.96,3.18
741150.49,12.24,2.01,192595.7,3.18
740654.91,12.23,2.01,192039.83,3.17
740159.34,12.22,2.0,191483.96,3.16
739663.76,12.22,1.99,190928.09,3.15
740484.2,12.23,2.01,191479.36,3.16
740424.43,12.23,2.01,191300.17,3.16
741703.26,12.25,2.03,192207.48,3.17
741719.24,12.25,2.03,191854.78,3.17
742109.66,12.26,2.04,191704.39,3.17
743388.5,12.28,2.06,192611.7,3.18
743778.92,12.29,2.07,192461.31,3.18
743284.66,12.28,2.06,191941.43,3.17
742769.28,12.28,2.05,191426.05,3.16
742667.06,12.28,2.05,192063.29,3.17
742564.84,12.28,2.05,192052.65,3.18
741859.46,12.27,2.04,191347.27,3.16
741708.84,12.26,2.04,191099.23,3.16
741606.62,12.27,2.04,191014.92,3.16
740937.1,12.26,2.03,190345.4,3.15
740267.58,12.25,2.02,189675.88,3.14
740267.58,12.25,2.02,189751.88,3.14
740165.36,12.25,2.03,189741.24,3.14
739808.35,12.24,2.02,189365.47,3.13
739706.13,12.24,2.02,189281.16,3.13
739190.75,12.24,2.01,188739.17,3.12
739400.01,12.24,2.02,189702.12,3.14
740781.86,12.27,2.04,189857.27,3.14
740679.64,12.27,2.04,189748.94,3.14
740679.64,12.27,2.04,189748.94,3.14
740577.42,12.27,2.04,189753.6,3.14
739907.9,12.26,2.04,189084.08,3.13
739805.68,12.26,2.04,188984.47,3.13
739676.16,12.26,2.03,188854.95,3.13
740088.35,12.26,2.04,189139.06,3.13
740448.02,12.27,2.05,189471.82,3.14
740345.79,12.27,2.05,189476.48,3.14
740243.57,12.27,2.05,189376.87,3.14
741341.0,12.29,2.07,189896.72,3.15
741347.61,12.29,2.07,189796.38,3.15
741245.39,12.29,2.07,189785.74,3.15
740559.81,12.28,2.06,189039.87,3.14
740836.43,12.29,2.07,189335.22,3.14
740734.21,12.29,2.07,189240.28,3.14
740534.07,12.29,2.07,189020.92,3.14
740038.49,12.28,2.06,188465.05,3.13
740518.77,12.29,2.07,189087.13,3.14
740518.77,12.29,2.07,189087.13,3.14
740416.55,12.29,2.07,188992.19,3.14
740314.32,12.29,2.07,188992.19,3.14
740212.1,12.29,2.07,188981.55,3.14
740109.88,12.29,2.07,188897.24,3.14
739594.5,12.28,2.06,188355.24,3.13
739803.76,12.29,2.07,189318.2,3.14
741185.62,12.31,2.09,189473.35,3.15
741076.99,12.31,2.09,189364.72,3.15
741017.21,12.31,2.09,189185.53,3.14
740914.99,12.31,2.09,189090.58,3.14
740855.22,12.31,2.09,188911.4,3.14
740359.64,12.31,2.08,188355.53,3.13
740068.35,12.3,2.08,187993.98,3.13
739966.13,12.3,2.08,187993.98,3.13
739260.75,12.29,2.07,187261.99,3.11
739484.04,12.3,2.08,187327.23,3.12
739484.04,12.3,2.08,187327.23,3.12
739484.04,12.3,2.08,187360.05,3.12
739381.82,12.3,2.08,187523.81,3.12
