ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
128,374,329140,6212,329140
128,374,329620,6212,329620
128,374,329620,6212,329620
128,374,330620,6212,330620
129,376,331430,6212,331430
129,376,332240,6212,332240
130,378,333050,6212,333050
131,386,334050,6212,334050
131,386,334600,6212,334600
131,386,335070,6212,335070
131,386,336070,6212,336070
131,386,337070,6212,337070
131,386,338070,6212,338070
132,388,338880,6212,338880
132,388,339430,6212,339430
132,388,339590,6212,339590
132,388,340590,6212,340590
133,390,341400,6212,341400
133,390,342400,6212,342400
133,390,342720,6212,342720
133,390,343370,6212,343370
133,390,344370,6212,344370
133,390,344840,6212,344840
134,392,345650,6212,345650
134,392,345650,6212,345650
134,392,346650,6212,346650
134,392,347650,6212,347650
135,394,348460,6212,348460
135,394,349460,6212,349460
136,396,350270,6212,350270
137,404,351270,6212,351270
137,404,351740,6212,351740
137,404,352550,6212,352550
137,404,353200,6212,353200
137,404,353200,6212,353200
137,404,354200,6212,354200
138,406,355010,6212,355010
138,406,355010,6212,355010
138,406,356010,6212,356010
138,406,356820,6212,356820
138,406,356820,6212,356820
139,414,357820,6212,357820
139,414,358820,6212,358820
139,414,359290,6212,359290
139,414,359290,6212,359290
139,414,360290,6212,360290
139,414,361290,6212,361290
139,414,361290,6212,361290
139,414,362290,6212,362290
139,414,363290,6212,363290
139,414,363290,6212,363290
139,414,363760,6212,363760
139,414,364760,6212,364760
139,414,365080,6212,365080
140,416,365890,6212,365890
140,416,366700,6212,366700
140,416,367170,6212,367170
141,424,368170,6212,368170
141,424,368640,6212,368640
141,424,368800,6212,368800
141,424,369270,6212,369270
141,424,369730,6212,369730
141,424,370730,6212,370730
142,426,371540,6212,371540
142,426,372350,6212,372350
142,426,372900,6212,372900
142,426,373550,6212,373550
143,428,374360,6212,374360
143,428,375360,6212,375360
143,428,375360,6212,375360
143,428,376360,6212,376360
144,430,377170,6212,377170
144,430,378170,6212,378170
144,430,378490,6212,378490
144,430,379490,6212,379490
144,430,379810,6212,379810
145,438,380810,6212,380810
145,438,380810,6212,380810
145,438,381810,6212,381810
145,438,382280,6212,382280
