ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1149353.05,19.0,0.41,264321.29,4.37
1149353.05,19.0,0.41,264259.0,4.37
1149160.07,19.0,0.41,264228.81,4.37
1149153.75,19.0,0.41,264210.29,4.37
1149153.75,19.0,0.41,264210.29,4.37
1149282.53,19.01,0.41,264637.68,4.38
1149067.16,19.01,0.41,264417.56,4.37
1148864.56,19.0,0.41,264316.78,4.37
1148566.04,19.0,0.4,264018.25,4.37
1148559.72,19.0,0.41,264204.94,4.37
1148559.72,19.0,0.41,264204.94,4.37
1148837.61,19.01,0.41,263280.63,4.36
1148644.95,19.01,0.41,263141.74,4.35
1148451.96,19.01,0.41,263105.43,4.35
1148295.3,19.0,0.41,262984.09,4.35
1148523.02,19.01,0.41,263450.3,4.36
1148523.02,19.01,0.41,263450.3,4.36
1148330.04,19.01,0.41,263512.52,4.36
1148316.7,19.01,0.41,263477.79,4.36
1148123.72,19.01,0.41,263394.23,4.36
1148123.72,19.01,0.41,263394.23,4.36
1147930.74,19.01,0.41,263382.38,4.36
1147930.74,19.01,0.41,263382.38,4.36
1147960.91,19.01,0.42,267689.62,4.43
1147767.93,19.01,0.42,267679.86,4.43
1147767.93,19.01,0.42,267679.86,4.43
1147574.95,19.01,0.42,267610.16,4.43
1147381.96,19.01,0.42,267537.71,4.43
1147188.98,19.01,0.42,267530.7,4.43
1147032.32,19.01,0.41,267381.22,4.43
