ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
211,472,427440,6212,427440
212,474,428090,6212,428090
212,474,428900,6212,428900
213,476,429710,6212,429710
214,484,437710,6212,437710
214,484,438710,6212,438710
215,486,439710,6212,439710
215,486,439710,6212,439710
215,486,440520,6212,440520
215,486,440750,6212,440750
216,488,441340,6212,441340
216,488,442340,6212,442340
217,490,443340,6212,443340
217,490,443810,6212,443810
217,490,444810,6212,444810
217,490,444810,6212,444810
218,492,445280,6212,445280
218,492,446280,6212,446280
219,494,447280,6212,447280
219,494,448090,6212,448090
219,494,448560,6212,448560
220,496,449370,6212,449370
220,496,449840,6212,449840
221,498,450840,6212,450840
221,498,451160,6212,451160
221,498,451160,6212,451160
221,498,451970,6212,451970
222,500,452970,6212,452970
222,500,453970,6212,453970
222,500,453970,6212,453970
223,502,454520,6212,454520
223,502,455330,6212,455330
224,504,456330,6212,456330
224,504,457330,6212,457330
225,506,458330,6212,458330
225,506,459330,6212,459330
226,508,460330,6212,460330
226,508,461140,6212,461140
227,510,461950,6212,461950
227,510,462950,6212,462950
228,512,463950,6212,463950
228,512,464950,6212,464950
229,514,465950,6212,465950
229,514,466760,6212,466760
230,516,467230,6212,467230
230,516,468230,6212,468230
231,518,469230,6212,469230
231,518,469230,6212,469230
231,518,469230,6212,469230
231,518,470040,6212,470040
231,518,470150,6212,470150
232,520,470960,6212,470960
232,520,471960,6212,471960
233,522,472770,6212,472770
233,522,473770,6212,473770
234,524,474580,6212,474580
234,524,475390,6212,475390
234,524,475710,6212,475710
235,526,476710,6212,476710
236,528,477710,6212,477710
236,528,478520,6212,478520
236,528,479070,6212,479070
236,528,479070,6212,479070
237,530,480070,6212,480070
237,530,481070,6212,481070
238,532,482070,6212,482070
239,534,484070,6212,484070
239,534,484070,6212,484070
239,534,484530,6212,484530
239,534,485530,6212,485530
239,534,485530,6212,485530
240,536,486530,6212,486530
240,536,487530,6212,487530
240,536,487530,6212,487530
241,538,488530,6212,488530
241,538,488530,6212,488530
241,538,488850,6212,488850
241,538,489850,6212,489850
241,538,489850,6212,489850
242,540,490850,6212,490850
243,548,498850,6212,498850
243,548,499850,6212,499850
244,550,500500,6212,500500
244,550,501500,6212,501500
245,552,502500,6212,502500
245,552,503310,6212,503310
246,554,504310,6212,504310
246,554,504780,6212,504780
247,556,505780,6212,505780
247,556,506780,6212,506780
248,558,507780,6212,507780
248,558,508590,6212,508590
249,560,509590,6212,509590
249,560,509590,6212,509590
249,560,510590,6212,510590
250,562,511590,6212,511590
250,562,512400,6212,512400
251,564,513400,6212,513400
251,564,514210,6212,514210
252,566,515020,6212,515020
252,566,515670,6212,515670
253,568,516670,6212,516670
253,568,517480,6212,517480
254,570,518480,6212,518480
254,570,518940,6212,518940
254,570,518940,6212,518940
254,570,519940,6212,519940
255,572,520490,6212,520490
255,572,520490,6212,520490
