ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1368887.4,22.68,2.18,209372.33,3.47
1368682.43,22.68,2.18,209308.21,3.47
1368477.45,22.68,2.18,209310.62,3.47
1368825.81,22.69,2.19,209779.73,3.48
1368620.84,22.69,2.19,209782.13,3.48
1368620.84,22.69,2.19,209856.0,3.48
1368415.86,22.69,2.19,209779.74,3.48
1368395.62,22.69,2.19,209804.9,3.48
1369104.66,22.71,2.21,211142.42,3.5
1369005.93,22.71,2.21,210937.02,3.5
1369005.93,22.71,2.21,210937.02,3.5
1368281.97,22.7,2.2,210170.6,3.49
1367752.87,22.69,2.2,209647.15,3.48
1367825.0,22.7,2.2,210421.65,3.49
1367460.45,22.69,2.2,210026.11,3.49
1369568.41,22.73,2.23,211032.89,3.5
1369294.45,22.73,2.23,210705.29,3.5
1368746.56,22.72,2.22,210157.4,3.49
1368022.6,22.71,2.21,209379.8,3.48
1368022.6,22.71,2.21,209418.32,3.48
1368022.6,22.71,2.21,209418.74,3.48
1368022.6,22.71,2.21,209418.74,3.48
1368022.6,22.71,2.21,209418.74,3.48
1368184.01,22.71,2.22,208839.75,3.47
1367979.03,22.72,2.22,208842.15,3.47
1367774.06,22.72,2.22,208765.89,3.47
1368155.35,22.72,2.22,208873.71,3.47
1368155.35,22.72,2.22,208873.71,3.47
1370416.04,22.76,2.26,212071.82,3.52
1373596.13,22.81,2.32,214853.1,3.57
1373487.4,22.81,2.32,214637.7,3.56
1373282.42,22.81,2.32,214640.1,3.57
1373077.45,22.81,2.32,214563.84,3.56
1372548.35,22.81,2.31,214040.39,3.56
1372518.91,22.81,2.31,213968.63,3.56
1372313.94,22.81,2.31,213971.03,3.56
1371784.84,22.8,2.31,213447.58,3.55
1371075.16,22.8,2.3,212737.91,3.54
1370966.43,22.8,2.3,212522.5,3.53
1370228.54,22.79,2.29,211784.62,3.52
1370023.57,22.79,2.29,211708.35,3.52
1370331.62,22.79,2.29,212738.2,3.54
1369692.89,22.79,2.29,212136.84,3.53
1369158.93,22.78,2.28,211549.24,3.52
1370651.14,22.81,2.31,211805.83,3.52
1369927.18,22.8,2.3,211039.42,3.51
1369722.2,22.8,2.3,211029.68,3.51
1372902.3,22.85,2.35,213810.96,3.56
1372691.3,22.85,2.35,213395.7,3.55
1372691.3,22.85,2.35,213469.57,3.55
1372486.33,22.85,2.35,213405.45,3.55
1372456.89,22.85,2.35,213333.68,3.55
1372251.91,22.85,2.35,213265.65,3.55
1372046.94,22.85,2.35,213259.83,3.55
1371882.27,22.85,2.35,212954.79,3.55
1371261.27,22.84,2.35,212129.54,3.53
1370551.83,22.84,2.34,211377.77,3.52
1371329.87,22.85,2.36,213302.13,3.55
1371124.89,22.85,2.36,213304.53,3.56
1370919.91,22.85,2.36,213228.27,3.55
1370714.94,22.85,2.36,213154.42,3.55
1370509.96,22.85,2.36,213154.42,3.55
1370304.99,22.86,2.36,213084.13,3.55
1370100.01,22.86,2.36,213080.56,3.55
1369404.62,22.85,2.35,212091.85,3.54
1368895.45,22.84,2.34,211543.93,3.53
1368690.48,22.84,2.35,211546.34,3.53
1368485.5,22.84,2.35,211470.08,3.53
1368485.5,22.84,2.35,211580.67,3.53
1367864.51,22.84,2.34,210755.42,3.52
1367659.53,22.84,2.34,210757.83,3.52
1366019.73,22.84,2.34,210754.6,3.52
1365814.75,22.84,2.34,210678.33,3.52
1366514.67,22.86,2.36,211629.8,3.54
1366514.67,22.86,2.36,211740.39,3.54
1366309.69,22.86,2.36,211730.65,3.54
1366104.71,22.86,2.36,211666.54,3.54
1365786.68,22.85,2.36,211286.74,3.54
1366266.86,22.87,2.37,211879.05,3.55
1366061.89,22.87,2.37,211918.86,3.55
1365856.91,22.87,2.37,211805.2,3.55
1366121.34,22.87,2.38,211600.43,3.54
1367332.82,22.89,2.4,214482.57,3.59
1368097.01,22.91,2.41,214408.97,3.59
1367672.88,22.9,2.41,213761.13,3.58
1366963.45,22.9,2.4,213009.37,3.57
1366758.47,22.9,2.4,212941.77,3.57
1366553.5,22.9,2.4,212935.51,3.57
1366348.52,22.9,2.4,212867.48,3.57
1366582.95,22.9,2.41,213291.65,3.57
1366582.95,22.9,2.41,213291.65,3.57
1366203.55,22.9,2.4,212921.66,3.57
1365998.57,22.9,2.4,212847.8,3.57
1365793.59,22.9,2.4,212847.8,3.57
1365793.59,22.9,2.4,212847.8,3.57
1365172.6,22.89,2.4,212009.96,3.56
1365156.4,22.9,2.4,212070.58,3.56
1365390.83,22.9,2.4,211927.72,3.55
1365185.86,22.9,2.4,211857.44,3.55
1364980.88,22.9,2.4,211853.86,3.55
1364886.46,22.9,2.4,212301.47,3.56
1366490.35,22.93,2.43,214809.55,3.6
1366059.35,22.92,2.43,214174.3,3.59
1365628.35,22.92,2.42,213539.05,3.58
1365700.49,22.92,2.43,214313.54,3.6
1366808.45,22.95,2.45,214320.32,3.6
1366603.48,22.95,2.45,214252.73,3.6
1366398.5,22.95,2.45,214246.47,3.6
1366662.93,22.95,2.46,214476.64,3.6
1367310.19,22.97,2.47,214692.02,3.61
1367433.42,22.97,2.48,214585.89,3.61
1367248.45,22.97,2.48,214499.12,3.6
1367115.84,22.98,2.48,215090.81,3.61
1366840.29,22.98,2.48,214696.39,3.61
1366635.31,22.98,2.48,214723.17,3.61
1366511.04,22.98,2.48,214541.45,3.61
1366306.66,22.98,2.48,214757.12,3.61
1366511.52,22.98,2.49,214841.9,3.61
1365890.52,22.98,2.48,214016.65,3.6
1365890.52,22.98,2.48,214016.65,3.6
1365570.38,22.97,2.48,213597.59,3.59
1365365.41,22.97,2.48,213498.61,3.59
1364673.96,22.97,2.47,212973.39,3.58
1364673.96,22.97,2.47,212973.39,3.58
1364468.98,22.97,2.47,213098.04,3.59
1364468.98,22.97,2.47,213098.04,3.59
1364284.0,22.97,2.47,212981.37,3.59
1364487.91,22.98,2.48,213590.91,3.6
1364487.91,22.98,2.48,213590.91,3.6
1364487.91,22.98,2.48,213590.91,3.6
1362848.1,22.98,2.48,213559.5,3.6
1362643.13,22.98,2.48,213502.1,3.6
1362009.28,22.97,2.47,212762.58,3.59
1362009.28,22.97,2.47,212762.58,3.59
1361804.3,22.97,2.48,212762.58,3.59
1361301.62,22.97,2.47,212335.89,3.58
1359661.81,22.97,2.47,212332.66,3.59
1359645.61,22.97,2.48,212393.27,3.59
1359629.42,22.98,2.48,212487.51,3.59
1359863.85,22.98,2.48,212417.98,3.59
1360350.05,22.99,2.49,212309.52,3.59
1360145.07,22.99,2.49,212307.71,3.59
1360145.07,22.99,2.49,212307.71,3.59
1360128.87,22.99,2.5,212401.95,3.59
1360363.3,23.0,2.5,212699.66,3.6
1360178.33,23.0,2.5,212588.0,3.59
1360178.33,23.0,2.5,212588.0,3.59
1360178.33,23.0,2.5,212588.0,3.59
1359963.66,23.0,2.5,213780.44,3.62
1360368.97,23.01,2.51,213483.57,3.61
1360352.77,23.01,2.52,213577.81,3.61
1360147.8,23.01,2.52,213606.71,3.61
1359942.82,23.01,2.52,213608.3,3.61
1359563.42,23.01,2.51,213397.45,3.61
1359282.28,23.01,2.51,213116.31,3.61
1359303.6,23.01,2.51,213658.99,3.62
1359098.63,23.01,2.51,213600.0,3.62
1359098.63,23.01,2.51,213600.0,3.62
1358893.65,23.01,2.51,213615.29,3.62
1358688.68,23.01,2.51,213542.6,3.62
1358672.48,23.01,2.51,213636.84,3.62
1358467.51,23.01,2.51,213635.03,3.62
1358701.94,23.02,2.52,213725.63,3.62
1358496.96,23.02,2.52,214002.09,3.63
1358620.2,23.02,2.53,214069.59,3.63
1358379.5,23.02,2.52,213835.18,3.62
1358363.31,23.02,2.53,214105.98,3.63
1358347.11,23.03,2.53,214200.22,3.63
1358142.13,23.03,2.53,214229.12,3.63
1357937.16,23.03,2.53,214171.73,3.63
1357732.18,23.03,2.53,214171.73,3.63
1357732.18,23.03,2.53,214171.73,3.63
1357527.21,23.03,2.53,214187.01,3.63
1357322.23,23.03,2.53,214114.33,3.63
1357322.23,23.03,2.53,214114.33,3.63
1357117.26,23.03,2.53,214129.61,3.63
1357117.26,23.03,2.53,214129.61,3.63
1356912.28,23.03,2.53,214056.93,3.63
1356912.28,23.03,2.53,214056.93,3.63
1356707.31,23.03,2.53,214058.51,3.63
1356707.31,23.03,2.53,214058.51,3.63
1356502.33,23.03,2.53,213999.53,3.63
1356736.76,23.04,2.54,214090.12,3.63
1356531.78,23.04,2.54,214366.63,3.64
1356326.81,23.04,2.54,214381.91,3.64
1356121.83,23.04,2.54,214309.23,3.64
1356121.83,23.04,2.54,214309.23,3.64
1356105.64,23.04,2.54,214403.47,3.64
1356105.64,23.04,2.54,214403.47,3.64
1355900.66,23.04,2.54,214432.37,3.64
1356023.9,23.04,2.55,214499.87,3.65
1355818.92,23.05,2.55,214690.71,3.65
1355439.51,23.04,2.54,214326.21,3.64
1355665.65,23.05,2.55,214564.59,3.65
1355665.65,23.05,2.55,214564.59,3.65
1355460.68,23.05,2.55,214615.2,3.65
1355444.48,23.05,2.55,214709.44,3.65
1355428.28,23.05,2.55,214857.46,3.65
1355412.09,23.06,2.56,214951.7,3.66
1355207.11,23.06,2.56,214980.61,3.66
1355421.71,23.06,2.56,214980.41,3.66
1355040.6,23.06,2.56,214684.02,3.65
1354835.62,23.06,2.56,214845.03,3.66
1354630.65,23.06,2.56,214912.53,3.66
1354425.67,23.06,2.56,215011.36,3.66
1354409.47,23.06,2.56,215105.6,3.66
1354624.07,23.07,2.57,215542.71,3.67
1354465.36,23.06,2.57,215392.66,3.67
1354260.38,23.07,2.57,215335.26,3.67
1354244.19,23.07,2.57,215516.01,3.67
1354039.21,23.07,2.57,215458.61,3.67
1353749.63,23.07,2.57,215261.27,3.67
1353872.87,23.07,2.57,215577.01,3.67
1353667.89,23.07,2.57,215578.59,3.67
1353902.32,23.08,2.58,215850.38,3.68
1353886.13,23.08,2.58,215944.62,3.68
1353886.13,23.08,2.58,215944.62,3.68
1353681.15,23.08,2.58,215975.61,3.68
1353476.18,23.08,2.58,215977.2,3.68
1353459.98,23.08,2.59,216068.04,3.68
1353255.0,23.08,2.59,216083.33,3.69
1353238.81,23.09,2.59,216160.48,3.69
1353033.83,23.09,2.59,216209.7,3.69
1352654.43,23.08,2.58,215938.93,3.68
1352638.23,23.08,2.59,216000.69,3.69
1352761.46,23.09,2.59,216068.19,3.69
1352761.46,23.09,2.59,216068.19,3.69
1352556.49,23.09,2.59,216199.76,3.69
1352540.29,23.09,2.6,216294.0,3.69
1352540.29,23.09,2.6,216294.0,3.69
