ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
82,342,243830,6212,243830
82,342,244300,6212,244300
82,342,244410,6212,244410
82,342,245410,6212,245410
82,342,246220,6212,246220
82,342,247220,6212,247220
82,342,247220,6212,247220
82,342,247220,6212,247220
82,342,247440,6212,247440
82,342,248090,6212,248090
82,342,249090,6212,249090
82,342,249900,6212,249900
82,342,250370,6212,250370
82,342,250370,6212,250370
83,344,251370,6212,251370
83,344,251370,6212,251370
83,344,251370,6212,251370
83,344,252370,6212,252370
83,344,252370,6212,252370
83,344,252370,6212,252370
83,344,253370,6212,253370
83,344,254370,6212,254370
83,344,254690,6212,254690
84,352,255500,6212,255500
84,352,256500,6212,256500
84,352,257500,6212,257500
84,352,258500,6212,258500
84,352,259500,6212,259500
84,352,260500,6212,260500
84,352,260500,6212,260500
84,352,260500,6212,260500
84,352,260970,6212,260970
84,352,261780,6212,261780
85,360,262780,6212,262780
85,360,263780,6212,263780
85,360,264430,6212,264430
85,360,265430,6212,265430
85,360,265430,6212,265430
85,360,265750,6212,265750
85,360,266750,6212,266750
86,362,266750,6212,266750
86,362,267340,6212,267340
86,362,268340,6212,268340
86,362,269340,6212,269340
86,362,269340,6212,269340
86,362,269340,6212,269340
87,370,269340,6212,269340
87,370,270340,6212,270340
88,374,270340,6212,270340
88,374,271340,6212,271340
89,382,279340,6212,279340
89,382,279810,6212,279810
89,382,280810,6212,280810
89,382,281810,6212,281810
89,382,282280,6212,282280
90,384,282280,6212,282280
90,384,283280,6212,283280
90,384,284280,6212,284280
90,384,285280,6212,285280
90,384,287280,6212,287280
90,384,288090,6212,288090
90,384,289090,6212,289090
91,386,290090,6212,290090
91,386,290900,6212,290900
91,386,290900,6212,290900
91,386,291900,6212,291900
91,386,292900,6212,292900
91,386,292900,6212,292900
91,386,293900,6212,293900
92,388,294710,6212,294710
92,388,294710,6212,294710
92,388,294710,6212,294710
92,388,295360,6212,295360
93,390,296170,6212,296170
93,390,296980,6212,296980
93,390,297450,6212,297450
94,392,298450,6212,298450
94,392,298450,6212,298450
94,392,299450,6212,299450
95,400,300450,6212,300450
95,400,300450,6212,300450
95,400,301450,6212,301450
95,400,301450,6212,301450
95,400,302450,6212,302450
95,400,303100,6212,303100
95,400,304100,6212,304100
95,400,304420,6212,304420
95,400,304420,6212,304420
95,400,304890,6212,304890
95,400,304890,6212,304890
96,408,305890,6212,305890
96,408,306120,6212,306120
96,408,307120,6212,307120
96,408,307590,6212,307590
96,408,308400,6212,308400
96,408,308870,6212,308870
96,408,309870,6212,309870
96,408,310330,6212,310330
96,408,311140,6212,311140
96,408,312140,6212,312140
96,408,312610,6212,312610
97,410,313610,6212,313610
97,410,314610,6212,314610
97,410,315610,6212,315610
98,412,316610,6212,316610
98,412,316610,6212,316610
98,412,317080,6212,317080
98,412,318080,6212,318080
