ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
840315.17,14.41,2.14,757432.2,12.99
839933.57,14.4,2.14,757115.6,12.98
839933.57,14.4,2.14,757115.6,12.98
839931.32,14.4,2.14,757056.16,12.98
839895.85,14.4,2.14,757085.32,12.98
840241.05,14.41,2.15,756894.76,12.98
840016.78,14.41,2.15,757273.97,12.99
839689.2,14.41,2.14,756906.95,12.99
840030.32,14.41,2.15,755950.85,12.97
840030.32,14.41,2.15,755950.85,12.97
839817.31,14.41,2.15,756562.77,12.98
839626.25,14.41,2.15,756307.42,12.98
839623.08,14.41,2.15,755993.02,12.98
839348.27,14.41,2.14,755497.12,12.97
839348.27,14.41,2.14,755497.12,12.97
838820.98,14.4,2.14,754420.19,12.96
837803.56,14.41,2.14,753608.79,12.96
837491.35,14.4,2.14,753620.74,12.96
837455.89,14.41,2.14,753700.6,12.96
837455.89,14.41,2.14,753700.6,12.96
837264.83,14.4,2.14,753515.91,12.96
837040.56,14.4,2.14,753339.31,12.96
836849.5,14.4,2.14,753154.61,12.96
836625.22,14.4,2.14,752978.02,12.96
836434.17,14.4,2.14,752803.13,12.96
836209.89,14.4,2.13,752616.72,12.96
836018.84,14.4,2.13,752364.8,12.96
835794.56,14.4,2.13,752255.43,12.96
835794.56,14.4,2.13,752255.43,12.96
835932.25,14.4,2.14,752149.74,12.96
836222.14,14.41,2.14,752741.26,12.97
836219.89,14.41,2.14,752750.54,12.97
835995.62,14.41,2.14,752545.48,12.97
835804.56,14.41,2.14,752285.81,12.97
835449.39,14.4,2.14,751855.16,12.96
834637.31,14.4,2.13,750362.62,12.94
834413.03,14.4,2.13,750261.0,12.94
834221.98,14.4,2.13,750005.65,12.94
833923.24,14.39,2.13,749774.98,12.94
834140.57,14.4,2.13,750110.33,12.95
834138.32,14.4,2.13,750050.89,12.95
833722.99,14.4,2.13,749689.6,12.94
833722.99,14.4,2.13,749689.6,12.94
833498.72,14.39,2.13,749553.25,12.94
833285.82,14.39,2.13,748867.56,12.93
832525.78,14.39,2.12,748032.93,12.93
832211.38,14.39,2.12,747641.7,12.92
832020.32,14.39,2.12,747466.81,12.92
831796.04,14.38,2.12,747280.4,12.92
832025.3,14.39,2.12,747066.47,12.92
831643.7,14.38,2.12,746685.18,12.91
831419.42,14.38,2.12,746957.55,12.92
831669.97,14.39,2.12,746944.01,12.92
831774.44,14.39,2.13,747221.56,12.93
831359.1,14.39,2.12,746860.26,12.93
831356.86,14.39,2.13,746800.83,12.93
830975.25,14.39,2.12,746557.74,12.92
831192.58,14.39,2.13,746767.5,12.93
831192.58,14.39,2.13,746767.5,12.93
831190.33,14.39,2.13,746708.06,12.93
831349.01,14.4,2.13,746971.74,12.94
831157.95,14.4,2.13,746712.07,12.93
830776.35,14.39,2.13,746444.94,12.93
830740.88,14.39,2.13,746529.12,12.93
830549.83,14.39,2.13,746269.46,12.93
830134.5,14.39,2.12,745908.16,12.93
830351.83,14.39,2.13,746247.83,12.94
830349.58,14.4,2.13,746188.39,12.94
830125.3,14.4,2.13,746072.34,12.94
830262.99,14.4,2.13,745966.65,12.94
829847.66,14.4,2.13,745605.35,12.94
829812.19,14.4,2.13,745790.73,12.94
829621.13,14.4,2.13,745615.84,12.94
829330.82,14.39,2.13,745326.11,12.94
828949.21,14.39,2.12,744944.82,12.93
828724.94,14.39,2.12,744758.42,12.93
828724.94,14.39,2.12,744758.42,12.93
828724.94,14.39,2.12,744758.42,12.93
828197.65,14.38,2.12,743681.49,12.91
827216.46,14.39,2.12,742942.21,12.92
827216.46,14.39,2.12,742942.21,12.92
827003.57,14.38,2.12,742256.51,12.91
827188.64,14.39,2.12,742364.75,12.91
827380.53,14.39,2.13,742146.75,12.91
827485.0,14.4,2.13,742724.24,12.92
827482.75,14.4,2.13,742664.8,12.92
827258.48,14.4,2.13,742548.75,12.92
827258.48,14.4,2.13,742548.75,12.92
827258.48,14.4,2.13,742548.75,12.92
827256.23,14.4,2.13,742489.31,12.92
827031.95,14.4,2.13,742352.97,12.92
826983.14,14.4,2.13,742304.35,12.92
826792.09,14.4,2.13,742044.68,12.92
826567.81,14.39,2.13,741943.05,12.92
826565.56,14.4,2.13,741883.62,12.92
826530.1,14.4,2.13,741912.77,12.92
826339.04,14.4,2.13,741737.88,12.92
826130.3,14.39,2.13,741535.67,12.92
825906.03,14.39,2.13,741349.27,12.92
826156.58,14.4,2.13,741335.73,12.92
826121.11,14.4,2.14,741499.58,12.92
825705.78,14.4,2.13,741138.29,12.92
825492.89,14.4,2.13,740452.6,12.91
825367.29,14.4,2.13,740246.1,12.91
825176.24,14.4,2.13,739987.55,12.91
825176.24,14.4,2.13,739987.55,12.91
825176.24,14.4,2.13,739987.55,12.91
824951.96,14.39,2.13,739884.8,12.91
824760.91,14.39,2.13,739625.14,12.91
824345.57,14.39,2.13,739263.85,12.91
824121.3,14.39,2.12,739162.22,12.91
824121.3,14.39,2.12,738811.94,12.9
823930.24,14.39,2.12,738560.02,12.9
823548.64,14.38,2.12,738292.89,12.89
823513.17,14.38,2.12,738349.02,12.9
822495.75,14.39,2.12,737887.9,12.91
822493.5,14.39,2.12,737828.46,12.91
822493.5,14.39,2.12,737828.46,12.91
822710.83,14.39,2.13,738038.22,12.91
822710.83,14.39,2.13,737687.94,12.91
822708.59,14.4,2.13,737628.5,12.91
821691.16,14.4,2.13,737167.37,12.92
