ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
629924.53,10.62,0.39,172093.61,2.9
629822.31,10.62,0.39,172510.88,2.91
629720.09,10.62,0.39,172214.15,2.9
629617.87,10.62,0.39,172421.1,2.91
629515.65,10.62,0.39,172420.92,2.91
629413.43,10.62,0.39,172420.92,2.91
629311.21,10.62,0.39,172429.54,2.91
629397.61,10.62,0.4,172421.95,2.91
629295.39,10.62,0.4,172420.92,2.91
629193.17,10.62,0.4,172627.03,2.91
629279.58,10.62,0.4,172805.69,2.92
629279.58,10.62,0.4,172805.69,2.92
629605.53,10.63,0.41,173063.06,2.92
629503.3,10.63,0.41,172971.37,2.92
629401.08,10.63,0.41,172971.37,2.92
629298.86,10.63,0.41,172971.5,2.92
629196.64,10.63,0.41,172971.65,2.92
629094.42,10.63,0.41,172971.18,2.92
628992.2,10.63,0.41,173104.86,2.93
628889.98,10.63,0.41,173040.36,2.92
628889.98,10.63,0.41,173040.36,2.92
628521.81,10.62,0.4,172834.49,2.92
628521.81,10.62,0.4,172834.49,2.92
628419.59,10.62,0.4,172822.57,2.92
628198.38,10.62,0.4,172624.75,2.92
628107.4,10.62,0.4,172788.5,2.92
628107.4,10.62,0.4,172788.5,2.92
628005.18,10.62,0.4,172779.98,2.92
627809.67,10.62,0.4,172587.45,2.92
627707.45,10.62,0.4,172504.29,2.92
628058.27,10.62,0.4,172771.3,2.92
628157.79,10.63,0.41,172372.46,2.92
627953.11,10.63,0.4,172069.57,2.91
628039.52,10.63,0.41,172183.42,2.91
628365.47,10.63,0.41,172485.95,2.92
628263.24,10.63,0.41,172469.2,2.92
628349.65,10.64,0.42,172563.47,2.92
628247.43,10.64,0.42,172471.78,2.92
628247.43,10.64,0.42,172471.78,2.92
628247.43,10.64,0.42,172471.78,2.92
628145.21,10.64,0.42,172471.78,2.92
628042.99,10.64,0.42,172472.15,2.92
627940.77,10.64,0.42,172471.59,2.92
627838.55,10.64,0.42,172678.54,2.93
628061.83,10.64,0.42,172647.26,2.93
627959.61,10.64,0.42,172567.51,2.92
627857.39,10.64,0.42,172517.22,2.92
627755.17,10.64,0.42,172505.95,2.92
627370.89,10.64,0.42,172097.92,2.92
627268.67,10.64,0.42,172496.24,2.93
627166.45,10.64,0.42,172764.6,2.93
627064.23,10.64,0.42,172764.73,2.93
627064.23,10.64,0.42,172764.73,2.93
626962.0,10.64,0.42,172764.41,2.93
626593.83,10.63,0.41,172501.74,2.93
626491.61,10.63,0.41,172534.71,2.93
626389.39,10.63,0.41,172501.83,2.93
626093.88,10.63,0.41,172204.33,2.92
626419.83,10.63,0.41,172204.24,2.92
626051.66,10.63,0.41,172420.24,2.93
626446.01,10.64,0.41,172209.9,2.92
626554.89,10.64,0.42,172215.25,2.92
626239.65,10.64,0.41,172858.41,2.94
626137.43,10.64,0.41,172858.5,2.94
626137.43,10.64,0.41,172858.5,2.94
626023.97,10.64,0.41,173444.23,2.95
626099.13,10.64,0.42,173455.78,2.95
626099.13,10.64,0.42,173455.78,2.95
626425.08,10.64,0.42,173455.5,2.95
626311.62,10.64,0.42,173084.71,2.94
626198.16,10.64,0.42,173025.07,2.94
626095.94,10.64,0.42,173036.34,2.94
625727.77,10.64,0.42,173029.42,2.94
625532.26,10.64,0.41,172839.69,2.94
625430.04,10.64,0.41,172835.46,2.94
625327.82,10.64,0.41,172835.61,2.94
625327.82,10.64,0.41,172835.61,2.94
625327.82,10.64,0.41,172835.61,2.94
625225.6,10.64,0.41,172805.06,2.94
625123.38,10.64,0.41,172743.92,2.94
625021.16,10.64,0.41,172744.02,2.94
624918.94,10.64,0.41,172744.21,2.94
625039.06,10.64,0.42,172367.99,2.93
625373.09,10.65,0.42,172988.32,2.94
625270.87,10.65,0.42,173041.78,2.95
625270.87,10.65,0.42,173041.78,2.95
625179.88,10.65,0.42,172763.35,2.94
625133.83,10.65,0.42,173118.77,2.95
625306.63,10.65,0.43,173137.72,2.95
625306.63,10.65,0.43,173137.72,2.95
625393.03,10.65,0.43,173090.89,2.95
625290.81,10.65,0.43,173089.74,2.95
625290.81,10.65,0.43,173089.74,2.95
625188.59,10.65,0.43,173157.02,2.95
625086.37,10.65,0.43,173163.81,2.95
625185.89,10.66,0.43,172764.97,2.94
625426.93,10.66,0.44,172929.96,2.95
625324.7,10.66,0.44,172831.49,2.95
625222.48,10.66,0.44,173105.23,2.95
625445.77,10.67,0.44,173251.29,2.95
625343.55,10.67,0.44,173251.11,2.96
625184.92,10.66,0.44,173092.26,2.95
624891.26,10.66,0.44,172826.79,2.95
624789.04,10.66,0.44,172826.79,2.95
624686.82,10.66,0.44,172848.0,2.95
624686.82,10.66,0.44,172848.0,2.95
624584.6,10.66,0.44,172838.34,2.95
624584.6,10.66,0.44,172838.34,2.95
624426.12,10.66,0.44,172716.38,2.95
624267.49,10.66,0.43,172555.09,2.95
624367.01,10.66,0.44,172156.25,2.94
624162.33,10.66,0.43,171853.37,2.93
624261.85,10.66,0.44,171454.53,2.93
624057.18,10.66,0.44,171151.64,2.92
623954.96,10.66,0.44,171140.09,2.92
623852.74,10.66,0.44,171559.05,2.93
623950.38,10.66,0.44,171451.91,2.93
623836.92,10.66,0.44,171314.73,2.93
623441.21,10.66,0.43,170896.85,2.92
623338.99,10.66,0.43,170896.67,2.92
623236.77,10.66,0.43,170896.67,2.92
623323.17,10.66,0.44,170971.22,2.92
623220.95,10.66,0.44,170991.58,2.92
623118.73,10.66,0.44,170913.07,2.92
623444.68,10.67,0.44,170974.55,2.92
623342.46,10.67,0.44,171501.98,2.93
623428.86,10.67,0.45,171695.85,2.94
623326.64,10.67,0.45,171702.63,2.94
623224.42,10.67,0.45,171604.16,2.94
623224.42,10.67,0.45,171604.16,2.94
623122.2,10.67,0.45,171603.97,2.94
623019.98,10.67,0.45,171603.97,2.94
623019.98,10.67,0.45,171603.97,2.94
622917.76,10.67,0.45,171645.05,2.94
622815.54,10.67,0.45,171610.25,2.94
622713.32,10.67,0.45,172624.27,2.96
622611.1,10.67,0.45,172532.58,2.96
622508.87,10.67,0.45,172532.58,2.96
622313.37,10.67,0.44,172358.39,2.95
622211.15,10.67,0.44,172266.7,2.95
622108.92,10.67,0.44,172266.7,2.95
622006.7,10.67,0.44,172258.18,2.95
621904.48,10.67,0.44,172175.01,2.95
621904.48,10.67,0.44,172175.01,2.95
621802.26,10.67,0.44,172174.84,2.95
621700.04,10.67,0.44,172174.83,2.95
621597.82,10.67,0.44,172204.22,2.96
621495.6,10.67,0.44,172181.46,2.96
621385.6,10.67,0.44,172071.46,2.95
621494.48,10.67,0.45,171601.24,2.95
621392.26,10.67,0.45,171601.3,2.95
621290.04,10.67,0.45,171899.42,2.95
621187.82,10.67,0.45,171899.24,2.95
621187.82,10.67,0.45,171925.08,2.95
621085.6,10.67,0.45,171925.08,2.95
621160.77,10.67,0.45,171504.2,2.95
620792.6,10.67,0.44,171134.37,2.94
620867.76,10.67,0.45,171534.67,2.95
621091.05,10.67,0.45,171703.54,2.95
620988.83,10.67,0.45,171734.14,2.95
620886.61,10.67,0.45,171774.55,2.95
620543.82,10.67,0.45,171423.49,2.95
620630.22,10.67,0.45,171389.98,2.95
620528.0,10.67,0.45,171297.38,2.95
620614.41,10.67,0.45,171130.23,2.94
620614.41,10.67,0.45,171180.77,2.94
620512.19,10.67,0.45,171169.83,2.94
620512.19,10.67,0.45,171199.3,2.95
620421.21,10.68,0.45,171767.1,2.96
620307.75,10.68,0.45,171628.79,2.95
620205.52,10.68,0.45,171544.28,2.95
620103.3,10.68,0.45,171527.54,2.95
619907.8,10.67,0.45,171344.17,2.95
620233.74,10.68,0.46,171643.22,2.96
620320.15,10.68,0.46,171643.03,2.96
620217.93,10.68,0.46,171643.03,2.96
620115.71,10.68,0.46,171643.03,2.96
620202.11,10.68,0.46,171656.77,2.96
620288.52,10.69,0.47,171648.0,2.96
620186.3,10.69,0.47,171643.03,2.96
620084.08,10.69,0.47,172291.45,2.97
620084.08,10.69,0.47,172295.87,2.97
619981.86,10.69,0.47,172199.16,2.97
