ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
201,460,332730,6212,332730
201,460,332730,6212,332730
202,462,333730,6212,333730
202,462,334730,6212,334730
203,464,335730,6212,335730
203,464,336730,6212,336730
204,466,337540,6212,337540
204,466,338000,6212,338000
204,466,339000,6212,339000
204,466,339000,6212,339000
205,468,340000,6212,340000
205,468,340220,6212,340220
205,468,340810,6212,340810
205,468,340810,6212,340810
206,470,341620,6212,341620
206,470,342620,6212,342620
206,470,342620,6212,342620
207,472,343620,6212,343620
207,472,344620,6212,344620
208,474,345430,6212,345430
208,474,345910,6212,345910
209,476,346910,6212,346910
209,476,347910,6212,347910
210,478,348560,6212,348560
210,478,349560,6212,349560
210,478,349720,6212,349720
210,478,350040,6212,350040
211,480,351040,6212,351040
211,480,352040,6212,352040
211,480,352040,6212,352040
212,482,353040,6212,353040
212,482,353040,6212,353040
212,482,353200,6212,353200
212,482,353360,6212,353360
212,482,354170,6212,354170
213,484,355170,6212,355170
213,484,355980,6212,355980
214,486,356980,6212,356980
214,486,357980,6212,357980
215,488,358980,6212,358980
215,488,359790,6212,359790
216,490,360790,6212,360790
216,490,361260,6212,361260
216,490,362260,6212,362260
217,492,363260,6212,363260
217,492,364070,6212,364070
218,494,365070,6212,365070
218,494,366070,6212,366070
219,496,366540,6212,366540
219,496,367540,6212,367540
220,498,368350,6212,368350
220,498,369350,6212,369350
221,500,370350,6212,370350
221,500,370350,6212,370350
221,500,371350,6212,371350
222,502,372350,6212,372350
222,502,372350,6212,372350
222,502,373350,6212,373350
223,504,374350,6212,374350
223,504,375350,6212,375350
224,506,376350,6212,376350
224,506,377350,6212,377350
