ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
930723.57,15.31,1.75,222720.55,3.66
931436.48,15.33,1.76,223019.33,3.67
932149.39,15.34,1.77,223318.11,3.68
931885.16,15.34,1.77,222807.58,3.67
935342.51,15.4,1.83,225177.03,3.71
937137.94,15.43,1.86,225769.78,3.72
938383.07,15.45,1.88,226144.92,3.72
938118.84,15.45,1.88,225634.39,3.71
940092.77,15.48,1.91,227175.81,3.74
940294.68,15.48,1.92,227492.52,3.75
940498.1,15.49,1.92,227040.56,3.74
943922.05,15.55,1.98,229376.61,3.78
944087.95,15.55,1.98,229522.94,3.78
944599.32,15.56,1.99,230233.82,3.79
944364.92,15.56,1.99,230026.3,3.79
944416.45,15.56,1.99,230009.54,3.79
944184.89,15.56,1.99,229955.64,3.79
944055.73,15.56,1.99,229409.08,3.78
943842.39,15.55,1.99,229229.47,3.78
943893.92,15.56,1.99,228992.1,3.77
944054.24,15.56,2.0,228897.82,3.77
944180.8,15.57,2.0,229284.27,3.78
944223.46,15.57,2.0,229114.48,3.78
943929.74,15.57,2.0,229039.83,3.78
943981.27,15.57,2.0,228802.46,3.77
944135.53,15.57,2.01,228788.79,3.77
944028.34,15.57,2.0,228681.59,3.77
944079.87,15.57,2.01,229203.4,3.78
944254.64,15.58,2.01,229154.15,3.78
944424.03,15.58,2.02,229060.42,3.78
944309.29,15.58,2.01,228879.28,3.78
944309.29,15.58,2.01,228855.12,3.78
944314.9,15.58,2.01,228869.76,3.78
944366.43,15.58,2.02,229056.69,3.78
944359.59,15.58,2.02,229257.71,3.78
944411.12,15.59,2.02,229371.62,3.79
944462.65,15.59,2.02,229429.22,3.79
944622.97,15.59,2.03,229394.06,3.79
944364.75,15.59,2.02,229116.17,3.78
944364.75,15.59,2.02,229143.24,3.78
944519.02,15.59,2.03,229481.09,3.79
944521.83,15.59,2.03,229483.45,3.79
944684.29,15.6,2.03,229111.63,3.78
944818.33,15.6,2.04,229786.47,3.79
944600.17,15.6,2.03,229298.46,3.79
944651.7,15.6,2.04,229061.08,3.78
944805.96,15.61,2.04,229510.71,3.79
945207.4,15.62,2.05,229085.68,3.78
945213.01,15.62,2.05,229100.32,3.79
945218.63,15.62,2.05,229114.97,3.79
945378.94,15.62,2.05,229470.54,3.79
945382.79,15.62,2.05,230289.03,3.81
945749.06,15.63,2.06,230383.69,3.81
946056.89,15.63,2.07,231090.81,3.82
946271.96,15.64,2.07,230744.82,3.81
947051.31,15.65,2.09,231225.81,3.82
946894.12,15.65,2.08,231068.62,3.82
947063.51,15.65,2.09,230974.89,3.82
947063.51,15.65,2.09,231004.6,3.82
947115.04,15.66,2.09,231191.53,3.82
947115.04,15.66,2.09,231193.08,3.82
947166.57,15.66,2.09,231306.99,3.82
947228.04,15.66,2.1,231587.1,3.83
947074.28,15.66,2.09,231375.62,3.83
947125.81,15.66,2.1,231433.22,3.83
947286.13,15.67,2.1,231398.06,3.83
947286.13,15.67,2.1,231392.53,3.83
947286.13,15.67,2.1,231449.18,3.83
947337.66,15.67,2.1,231152.69,3.82
947389.19,15.67,2.11,231031.56,3.82
947704.93,15.68,2.11,231832.32,3.84
947756.46,15.68,2.12,231946.23,3.84
947807.99,15.69,2.12,232003.83,3.84
947859.52,15.69,2.12,232117.74,3.84
948019.84,15.69,2.13,232143.49,3.84
948071.37,15.7,2.13,232257.4,3.85
947835.39,15.69,2.13,232182.95,3.84
947649.19,15.69,2.12,231952.66,3.84
947700.72,15.69,2.13,232010.26,3.84
947861.04,15.7,2.13,231975.1,3.84
947871.08,15.7,2.13,231987.56,3.84
947553.75,15.69,2.13,231670.23,3.84
947605.28,15.7,2.13,231373.75,3.83
947656.81,15.7,2.13,231252.61,3.83
947656.81,15.7,2.13,231248.7,3.83
947972.55,15.71,2.14,232049.47,3.84
948138.45,15.71,2.14,231713.0,3.84
947952.26,15.71,2.14,231482.71,3.84
948003.79,15.71,2.14,232172.86,3.85
948055.32,15.71,2.15,231920.11,3.84
948106.85,15.72,2.15,231884.96,3.84
948261.11,15.72,2.15,231976.77,3.85
948312.64,15.72,2.16,231633.91,3.84
948178.57,15.72,2.16,231486.01,3.84
949950.5,15.75,2.19,233454.75,3.87
950002.03,15.75,2.19,233568.66,3.87
950002.03,15.75,2.19,233555.09,3.87
950053.56,15.76,2.19,233612.69,3.87
950222.95,15.76,2.2,233518.96,3.87
950124.79,15.76,2.19,233433.62,3.87
950294.19,15.76,2.2,233973.36,3.88
950294.19,15.76,2.2,233936.38,3.88
950022.23,15.76,2.2,233673.62,3.88
950073.76,15.76,2.2,233436.25,3.87
950243.16,15.77,2.2,233136.17,3.87
950294.69,15.77,2.21,233127.87,3.87
950346.22,15.77,2.21,233291.75,3.87
950397.75,15.78,2.21,233405.66,3.87
950449.28,15.78,2.21,233463.26,3.88
950174.22,15.78,2.21,233623.14,3.88
950017.03,15.78,2.21,233465.94,3.88
950226.79,15.78,2.21,233028.24,3.87
950160.59,15.78,2.21,233103.94,3.87
950329.98,15.78,2.22,234730.63,3.9
950685.68,15.79,2.22,234605.12,3.9
950741.01,15.79,2.23,234034.76,3.89
950939.29,15.8,2.23,234104.49,3.89
950990.82,15.8,2.23,234263.0,3.89
950990.82,15.8,2.23,234303.38,3.89
951151.13,15.8,2.24,234658.95,3.9
951458.96,15.81,2.24,235366.07,3.91
951953.46,15.82,2.25,235694.21,3.92
952113.78,15.82,2.26,236049.78,3.92
952308.48,15.83,2.26,235539.32,3.92
952072.5,15.83,2.26,235707.48,3.92
952072.5,15.83,2.26,235693.9,3.92
952075.31,15.83,2.26,235703.54,3.92
953010.94,15.84,2.28,235538.59,3.92
953385.46,15.85,2.29,236147.4,3.93
953391.07,15.85,2.29,236150.02,3.93
953234.47,15.85,2.28,236102.86,3.93
953400.38,15.85,2.29,236045.74,3.93
953451.91,15.86,2.29,236232.43,3.93
953503.44,15.86,2.29,235995.06,3.93
953281.87,15.86,2.29,235948.93,3.93
953442.19,15.86,2.3,236224.11,3.93
953353.11,15.86,2.3,235664.47,3.92
953358.72,15.86,2.3,235679.12,3.92
953832.65,15.87,2.3,236955.29,3.94
953986.91,15.87,2.31,237042.6,3.94
953986.91,15.87,2.31,237019.54,3.94
954147.23,15.88,2.31,237125.23,3.95
954200.07,15.88,2.31,236967.71,3.94
954547.89,15.89,2.32,237091.25,3.95
954702.15,15.89,2.32,237178.55,3.95
954753.68,15.89,2.33,237286.25,3.95
954805.21,15.9,2.33,237400.16,3.95
954569.23,15.89,2.33,237378.64,3.95
954462.04,15.89,2.33,237271.45,3.95
954622.35,15.9,2.33,237297.2,3.95
954673.88,15.9,2.33,237059.83,3.95
954725.41,15.9,2.34,236944.59,3.95
954776.95,15.91,2.34,237020.96,3.95
954828.48,15.91,2.34,237151.55,3.95
954880.01,15.91,2.35,237265.46,3.95
954931.54,15.91,2.35,237323.06,3.96
954942.47,15.91,2.35,237325.55,3.96
954706.49,15.91,2.35,237251.54,3.95
954758.02,15.91,2.35,237365.45,3.96
954918.34,15.92,2.35,237391.2,3.96
954682.35,15.92,2.35,237316.75,3.96
954742.43,15.92,2.35,237376.21,3.96
954897.16,15.92,2.35,237495.81,3.96
954948.69,15.92,2.36,237651.13,3.96
954948.69,15.92,2.36,237679.32,3.96
954688.76,15.92,2.35,237518.28,3.96
954595.41,15.92,2.35,237395.63,3.96
954749.68,15.92,2.36,237487.44,3.96
955332.38,15.94,2.37,238076.98,3.97
955492.7,15.94,2.37,238432.55,3.98
955800.53,15.95,2.38,239139.67,3.99
955946.78,15.95,2.38,239843.68,4.0
956413.43,15.96,2.39,240216.32,4.01
956573.74,15.96,2.4,240181.16,4.01
956855.09,15.97,2.4,239693.5,4.0
957134.96,15.98,2.41,239205.86,3.99
957045.87,15.97,2.41,238831.31,3.99
957562.68,15.99,2.42,239171.89,3.99
957615.59,15.99,2.42,239846.73,4.0
957784.99,15.99,2.43,239497.06,4.0
958121.38,16.0,2.43,239591.72,4.0
958172.91,16.0,2.43,239403.94,4.0
958172.91,16.0,2.43,239405.53,4.0
958015.72,16.0,2.43,239249.22,4.0
957917.56,16.0,2.43,239087.9,3.99
957920.37,16.0,2.43,239090.27,3.99
957971.9,16.0,2.44,239072.56,3.99
958023.43,16.0,2.44,239746.91,4.01
958074.96,16.01,2.44,239719.53,4.01
958284.73,16.01,2.45,239592.83,4.0
958305.81,16.01,2.45,240205.11,4.01
958466.13,16.02,2.45,240154.48,4.01
958696.99,16.02,2.46,240245.26,4.02
958851.26,16.03,2.46,240251.9,4.02
958614.73,16.02,2.46,240543.71,4.02
958460.98,16.02,2.46,240287.55,4.02
958235.04,16.02,2.45,240106.63,4.01
958235.04,16.02,2.45,240134.99,4.01
957975.11,16.02,2.45,239927.62,4.01
957975.11,16.02,2.45,239923.72,4.01
958026.64,16.02,2.45,239960.23,4.01
958186.96,16.02,2.46,240651.43,4.02
958238.49,16.03,2.46,240609.85,4.02
958389.71,16.03,2.46,240670.68,4.02
958441.24,16.03,2.46,240643.3,4.03
958492.77,16.03,2.47,240684.59,4.03
958492.77,16.03,2.47,240768.25,4.03
958261.18,16.03,2.46,240595.09,4.03
958312.71,16.03,2.47,240779.23,4.03
958482.11,16.04,2.47,240725.45,4.03
958207.05,16.04,2.47,240928.61,4.03
958367.37,16.04,2.47,240969.74,4.03
958367.37,16.04,2.47,240957.9,4.03
958131.39,16.04,2.47,240936.1,4.03
958134.19,16.04,2.47,240945.73,4.03
958185.72,16.04,2.47,240779.66,4.03
958355.12,16.04,2.48,241661.99,4.05
958406.65,16.05,2.48,241518.37,4.04
958317.21,16.05,2.48,241329.48,4.04
958477.52,16.05,2.48,241370.62,4.04
958241.54,16.05,2.48,241348.81,4.04
958395.81,16.05,2.49,241352.23,4.04
958628.61,16.06,2.49,242201.58,4.06
958509.12,16.06,2.49,241833.62,4.05
958244.55,16.05,2.49,241552.56,4.05
958413.95,16.06,2.49,241389.75,4.04
958407.1,16.06,2.49,241317.8,4.04
958238.89,16.06,2.49,241781.47,4.05
958238.89,16.06,2.49,241749.46,4.05
958290.42,16.06,2.49,241709.2,4.05
958459.82,16.06,2.5,241475.19,4.05
