ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
338,884,794560,6212,794560
339,886,795370,6212,795370
339,886,795530,6212,795530
339,886,796340,6212,796340
340,888,797150,6212,797150
340,888,798150,6212,798150
341,890,799150,6212,799150
341,890,799470,6212,799470
341,890,800470,6212,800470
342,892,801470,6212,801470
342,892,802280,6212,802280
343,896,806280,6212,806280
343,896,807280,6212,807280
343,896,807500,6212,807500
344,898,808500,6212,808500
344,898,808500,6212,808500
344,898,809500,6212,809500
344,898,809500,6212,809500
345,906,817500,6212,817500
346,908,818500,6212,818500
346,908,819500,6212,819500
347,910,820050,6212,820050
348,912,821050,6212,821050
348,912,821860,6212,821860
348,912,822860,6212,822860
349,914,823860,6212,823860
350,916,824330,6212,824330
351,918,825330,6212,825330
351,918,826330,6212,826330
352,920,827330,6212,827330
352,920,828330,6212,828330
353,928,828330,6212,828330
353,928,828800,6212,828800
354,930,829800,6212,829800
355,932,830800,6212,830800
355,932,830800,6212,830800
355,932,831800,6212,831800
355,932,832610,6212,832610
356,940,840610,6212,840610
357,942,841610,6212,841610
357,942,841610,6212,841610
358,944,842420,6212,842420
358,944,843420,6212,843420
358,944,844420,6212,844420
359,946,845420,6212,845420
359,946,846230,6212,846230
359,946,846230,6212,846230
359,946,846230,6212,846230
359,946,847230,6212,847230
360,948,848230,6212,848230
360,948,849230,6212,849230
361,950,850230,6212,850230
361,950,850230,6212,850230
361,950,850230,6212,850230
362,952,851040,6212,851040
362,952,851510,6212,851510
363,954,852320,6212,852320
363,954,853320,6212,853320
364,956,854320,6212,854320
364,956,854550,6212,854550
364,956,855550,6212,855550
364,956,856200,6212,856200
365,958,857200,6212,857200
366,960,857850,6212,857850
367,968,865850,6212,865850
367,968,866220,6212,866220
367,968,866220,6212,866220
367,968,866220,6212,866220
367,968,866220,6212,866220
367,968,867220,6212,867220
367,968,868030,6212,868030
368,970,869030,6212,869030
369,972,869840,6212,869840
369,972,870650,6212,870650
369,972,870970,6212,870970
369,972,871290,6212,871290
369,972,872290,6212,872290
370,980,880290,6212,880290
371,982,880760,6212,880760
371,982,881230,6212,881230
