ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
69,294,243680,6212,243680
69,294,244490,6212,244490
70,296,244490,6212,244490
70,296,244950,6212,244950
70,296,245600,6212,245600
71,300,246410,6212,246410
71,300,246410,6212,246410
71,300,247220,6212,247220
71,300,247680,6212,247680
71,300,247680,6212,247680
71,300,248680,6212,248680
71,300,249000,6212,249000
71,300,249810,6212,249810
72,304,250360,6212,250360
72,304,250830,6212,250830
72,304,250830,6212,250830
73,312,251300,6212,251300
73,312,251300,6212,251300
73,312,252300,6212,252300
73,312,253110,6212,253110
73,312,253920,6212,253920
73,312,254730,6212,254730
73,312,255280,6212,255280
73,312,256090,6212,256090
73,312,256900,6212,256900
73,312,257220,6212,257220
73,312,257680,6212,257680
73,312,258680,6212,258680
74,314,259680,6212,259680
74,314,260330,6212,260330
75,322,261140,6212,261140
75,322,261140,6212,261140
75,322,262140,6212,262140
75,322,262610,6212,262610
75,322,263200,6212,263200
75,322,264200,6212,264200
75,322,265010,6212,265010
75,322,265480,6212,265480
75,322,265480,6212,265480
75,322,265800,6212,265800
75,322,266170,6212,266170
75,322,266640,6212,266640
75,322,266640,6212,266640
75,322,267110,6212,267110
75,322,267110,6212,267110
75,322,267570,6212,267570
75,322,267800,6212,267800
75,322,268610,6212,268610
76,330,268930,6212,268930
76,330,269930,6212,269930
76,330,270740,6212,270740
76,330,271550,6212,271550
76,330,271550,6212,271550
76,330,271550,6212,271550
76,330,272020,6212,272020
76,330,273020,6212,273020
76,330,273830,6212,273830
76,330,274640,6212,274640
76,330,275450,6212,275450
77,332,275770,6212,275770
78,340,276090,6212,276090
78,340,277090,6212,277090
78,340,277250,6212,277250
78,340,277720,6212,277720
78,340,277720,6212,277720
78,340,278310,6212,278310
78,340,279120,6212,279120
78,340,279440,6212,279440
78,340,279910,6212,279910
78,340,280500,6212,280500
78,340,281310,6212,281310
78,340,281470,6212,281470
78,340,282280,6212,282280
78,340,282600,6212,282600
78,340,283410,6212,283410
78,340,284220,6212,284220
79,348,284540,6212,284540
79,348,285350,6212,285350
79,348,286000,6212,286000
79,348,286470,6212,286470
79,348,286470,6212,286470
79,348,287470,6212,287470
79,348,288470,6212,288470
79,348,289280,6212,289280
79,348,290090,6212,290090
79,348,290740,6212,290740
79,348,290740,6212,290740
79,348,291220,6212,291220
79,348,291380,6212,291380
79,348,291700,6212,291700
80,356,292510,6212,292510
80,356,292830,6212,292830
80,356,293640,6212,293640
80,356,294290,6212,294290
80,356,294940,6212,294940
80,356,295750,6212,295750
80,356,296220,6212,296220
80,356,296540,6212,296540
80,356,296650,6212,296650
80,356,297120,6212,297120
