ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
845412.68,13.79,0.2,194905.86,3.18
845147.1,13.79,0.2,194482.81,3.17
845197.54,13.79,0.2,194615.13,3.18
845197.54,13.79,0.2,194615.13,3.18
845357.22,13.79,0.2,194643.89,3.18
845199.86,13.79,0.2,194486.11,3.17
845199.86,13.79,0.2,194437.06,3.17
845250.31,13.79,0.2,195111.55,3.18
844994.7,13.79,0.2,194843.8,3.18
845154.38,13.79,0.2,194843.38,3.18
845334.08,13.8,0.21,194843.38,3.18
845078.47,13.8,0.2,194843.38,3.18
844812.89,13.79,0.2,194746.2,3.18
844992.59,13.8,0.21,195023.43,3.18
845152.27,13.8,0.21,195044.41,3.18
845038.76,13.8,0.21,197580.7,3.23
845038.76,13.8,0.21,197630.3,3.23
845090.49,13.8,0.21,197151.04,3.22
844933.75,13.8,0.21,196968.67,3.22
844797.84,13.8,0.21,196995.2,3.22
844532.26,13.8,0.21,197038.52,3.22
844393.13,13.8,0.2,196841.63,3.22
844572.83,13.8,0.21,196838.27,3.22
844436.92,13.8,0.21,197324.46,3.22
844301.02,13.8,0.21,197151.65,3.22
844055.4,13.8,0.21,196966.58,3.22
844105.85,13.8,0.21,198036.42,3.24
844309.24,13.8,0.21,198175.67,3.24
844347.85,13.81,0.22,197697.59,3.23
844454.04,13.81,0.22,197378.69,3.23
